percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.093128,0.20909,0.2264769999999999,0.2333,0.1367199999999999,0.1551,0.17827,0.189145,0.199343,0.243262,0.2366619999999999,0.2384,0.238881,0.203724,0.241867,0.2099,0.244881,0.224224,0.243262,0.2318,0.210581,0.266262,0.247843,0.250286,0.252124,0.214081,0.255981,0.219186,0.260324,0.231505,0.266262,0.2412,0.211562,0.285381,0.249781,0.254143,0.257081,0.216281,0.265129,0.221043,0.270881,0.234043,0.2853,0.244105,0.140282,0.19046,0.190912,0.1933,0.153882,0.160346,0.168871,0.1748
1,0.109992,0.22202,0.2342219999999999,0.236682,0.1512,0.163964,0.19402,0.2086,0.2121,0.256162,0.2478,0.250162,0.251762,0.2155,0.2553,0.220324,0.256,0.2325,0.256162,0.2413,0.218524,0.2802,0.254686,0.258462,0.262,0.222724,0.267762,0.225662,0.2726,0.238462,0.2802,0.2481,0.221424,0.2895,0.2595,0.263524,0.2675,0.225962,0.2751,0.2299,0.280162,0.242724,0.2895,0.252424,0.1507,0.1939,0.196424,0.1968,0.1643639999999999,0.1698,0.1799,0.1918
2,0.1231,0.2293,0.2388,0.239573,0.159546,0.175946,0.1999,0.218,0.218243,0.2642,0.2537,0.255229,0.2583,0.225,0.261843,0.228929,0.263643,0.238943,0.264143,0.2475429999999999,0.2242,0.2834,0.260043,0.263,0.266343,0.228743,0.2723,0.2328,0.2762,0.243486,0.2834,0.2531,0.226686,0.2931,0.2648,0.268143,0.2722,0.231743,0.2789,0.2359,0.2836,0.2467,0.293043,0.2579,0.1563,0.19999,0.201936,0.2019,0.1705,0.175446,0.187439,0.1964
3,0.1336,0.23434,0.2407,0.242564,0.168728,0.185656,0.20618,0.2221,0.225,0.2689,0.258024,0.260624,0.2623,0.2312479999999999,0.2658,0.2346,0.2677,0.244048,0.2689,0.2519,0.229824,0.2852,0.263724,0.266424,0.269324,0.234124,0.2746,0.2375,0.2783,0.247524,0.2852,0.2578,0.2321,0.2954,0.268224,0.2717,0.275224,0.236796,0.281724,0.2415479999999999,0.2862,0.252372,0.295424,0.262,0.1617,0.20482,0.2084,0.209272,0.175612,0.1809,0.194484,0.2013
4,0.14303,0.2379,0.2433,0.2455,0.17661,0.19152,0.21465,0.227245,0.2305,0.2719,0.262405,0.2641,0.265505,0.2358,0.268005,0.240805,0.270105,0.250305,0.2719049999999999,0.2561049999999999,0.2333,0.287205,0.2673,0.2696,0.272105,0.238615,0.2768,0.242905,0.2799049999999999,0.2537,0.287205,0.261405,0.2354,0.297405,0.2713,0.2742,0.277205,0.2411,0.2835049999999999,0.245705,0.2884,0.256905,0.2975,0.265605,0.16731,0.2096,0.211,0.21266,0.18041,0.18521,0.198855,0.20545
5,0.1494919999999999,0.2421,0.2462,0.250246,0.1822839999999999,0.1975759999999999,0.22022,0.231394,0.234872,0.2737,0.266,0.267486,0.2682,0.239458,0.2709,0.2456,0.2726,0.2548,0.2741,0.261086,0.237286,0.2897,0.2702859999999999,0.273086,0.2746,0.2425,0.2788,0.248386,0.282086,0.258,0.289572,0.264686,0.2386,0.2995,0.2736,0.2766,0.279,0.243986,0.2855,0.2493,0.2906,0.2607,0.2995,0.2682,0.1719839999999999,0.21268,0.2141,0.2168,0.186,0.1905919999999999,0.2018,0.2099
6,0.155574,0.24621,0.249054,0.2541,0.1889,0.2039,0.22746,0.235843,0.2382,0.2759,0.2688669999999999,0.2711,0.271234,0.243567,0.2731,0.2494,0.2747,0.2589,0.2762,0.265,0.240367,0.2915,0.2728,0.275367,0.2768,0.2463,0.2815,0.2517,0.2848,0.2612,0.2915,0.2678,0.2417669999999999,0.3027,0.2755,0.2786,0.281,0.2467,0.2874,0.2534,0.2927,0.263634,0.3028,0.2703669999999999,0.1773,0.2162,0.2174,0.2202,0.189574,0.1952,0.2053,0.2134
7,0.1619,0.24874,0.2517,0.2589,0.1938,0.210556,0.23156,0.239792,0.2415,0.2774,0.2716,0.2733,0.2738,0.247248,0.276648,0.252396,0.2777,0.262848,0.278,0.267848,0.2439,0.2942,0.2747,0.2774,0.2789,0.249548,0.2838,0.2543,0.2872,0.2646,0.2941,0.2704,0.2448,0.3052,0.277948,0.2808,0.2831,0.2504,0.2895,0.256,0.2948,0.2665,0.3052,0.2723,0.181956,0.2182,0.220696,0.2226,0.1929,0.1998,0.211,0.216
8,0.1684,0.25227,0.257699,0.2613189999999999,0.2006379999999999,0.218076,0.23463,0.243941,0.2444,0.2798,0.2739,0.2759,0.2764,0.249729,0.2791,0.255229,0.280429,0.2663,0.2807,0.2706,0.246529,0.2965,0.2766,0.2791,0.2807,0.253,0.285629,0.257829,0.2888,0.2676,0.296229,0.2725,0.247529,0.3071,0.2799,0.2823,0.2846,0.253929,0.291229,0.259029,0.2964,0.269729,0.3071,0.2744,0.185638,0.2201,0.2223,0.2235,0.196238,0.2034,0.214639,0.2181
9,0.1745,0.2563,0.2599,0.26311,0.20652,0.2224,0.2392,0.24969,0.2475,0.2825,0.2764,0.27831,0.27951,0.2529,0.28171,0.2579,0.283,0.2697,0.28301,0.27331,0.25011,0.2984,0.27851,0.28061,0.2825,0.25572,0.2871,0.26081,0.2908,0.27111,0.2983,0.27451,0.2513,0.3092,0.28171,0.2838,0.28641,0.25691,0.29302,0.26252,0.29841,0.2727,0.3092,0.27691,0.18872,0.2215,0.22392,0.2247,0.19884,0.20704,0.21811,0.2205
