percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.061,0.13853,0.143822,0.1484909999999999,0.0882,0.103364,0.1263,0.134849,0.150177,0.192,0.178354,0.1818,0.183677,0.155977,0.1886,0.161154,0.1928,0.1691079999999999,0.192477,0.173754,0.154677,0.211977,0.181877,0.184977,0.187854,0.161531,0.195077,0.166731,0.201277,0.173062,0.212277,0.178731,0.1551,0.209777,0.184131,0.1878,0.1909,0.161177,0.1988,0.166185,0.204677,0.174377,0.209677,0.179877,0.094046,0.13069,0.1334,0.1367,0.103864,0.109928,0.1229,0.12895
1,0.0739,0.1445,0.149422,0.153382,0.098412,0.113064,0.13204,0.1392,0.1583,0.197654,0.184554,0.187308,0.1885,0.164208,0.193,0.169254,0.1961,0.178462,0.198554,0.182,0.163254,0.2143,0.189516,0.1914539999999999,0.192954,0.169708,0.2001,0.174354,0.2053,0.184,0.2147,0.1862079999999999,0.1629,0.216354,0.190654,0.193454,0.1954,0.168954,0.202254,0.173454,0.2086,0.181954,0.216354,0.186608,0.102,0.13856,0.1394,0.142372,0.110864,0.1182,0.129,0.1314
2,0.084,0.1477899999999999,0.1531,0.158973,0.108,0.1205919999999999,0.13911,0.1425,0.162593,0.201,0.1905,0.1934,0.195131,0.167831,0.196731,0.174331,0.199331,0.185,0.201931,0.188962,0.167631,0.217431,0.1957,0.1993,0.201731,0.173531,0.2061,0.178031,0.2093,0.1877,0.2178,0.191831,0.1674,0.2202,0.1946,0.198331,0.2004,0.1732,0.206,0.1772,0.2108,0.185631,0.219731,0.1902,0.108246,0.1416899999999999,0.144536,0.147676,0.1175,0.1248,0.1347,0.13765
3,0.090728,0.1522,0.159,0.161,0.114184,0.125028,0.14358,0.145896,0.166916,0.203708,0.196008,0.1985,0.199508,0.172108,0.202516,0.177508,0.2031,0.1892,0.2047,0.1933,0.171524,0.2197,0.199808,0.202608,0.2045,0.1764,0.2094,0.180508,0.2121,0.1905,0.2198,0.1953,0.171108,0.222516,0.1981,0.202008,0.2045,0.176,0.2091,0.1801,0.212708,0.1892,0.2222,0.1934,0.112828,0.1445199999999999,0.1494,0.1503,0.121028,0.129628,0.138,0.1429
4,0.09633,0.15635,0.161665,0.1629,0.11941,0.1293,0.14675,0.1506,0.1704,0.206385,0.1995,0.20137,0.2027,0.174885,0.206185,0.180685,0.2073,0.1912,0.2069,0.1957,0.1743,0.221585,0.2022,0.204785,0.206685,0.178685,0.2112,0.182785,0.21477,0.1927,0.22157,0.1979,0.174385,0.2252,0.200585,0.2042,0.206885,0.178785,0.2114,0.1823,0.214985,0.1916,0.224585,0.1965,0.11641,0.14625,0.15136,0.15336,0.12621,0.1324,0.140955,0.14585
5,0.099892,0.16266,0.1634,0.1642,0.1239919999999999,0.133092,0.1490199999999999,0.153994,0.173,0.2084,0.2013,0.203662,0.2052,0.1771,0.2084,0.1828,0.2098,0.1936,0.2092,0.1976,0.177,0.222962,0.203762,0.206862,0.208962,0.1804,0.2134,0.185,0.2165,0.1942,0.2229,0.1997,0.177262,0.2267,0.203162,0.2064,0.2087,0.1813,0.2138,0.184662,0.217,0.1932,0.2258,0.1995,0.1191919999999999,0.15108,0.1535,0.1568,0.1296,0.135092,0.1435,0.1482
6,0.1055,0.1648,0.1655,0.166337,0.127422,0.137,0.1512,0.1577,0.175639,0.21,0.2028,0.2055,0.206939,0.1799,0.2102,0.184639,0.211739,0.1953,0.2111,0.1996,0.1789,0.2243,0.2054,0.208939,0.211,0.1823,0.216039,0.1866,0.218739,0.196239,0.224,0.2016,0.179539,0.2278,0.2056,0.2083,0.2108,0.1833,0.2161,0.1868,0.219639,0.195839,0.2273,0.2016,0.1228,0.1532,0.155684,0.1579,0.132674,0.1379,0.1466,0.15
7,0.110256,0.16654,0.1679,0.1721,0.130956,0.141256,0.1541,0.1616,0.177416,0.212,0.2048,0.2074,0.208716,0.181716,0.211616,0.1867,0.2131,0.196616,0.2128,0.201216,0.181,0.2257,0.2077,0.2105,0.212716,0.184216,0.2177,0.188316,0.2204,0.1979,0.2256,0.2033,0.181616,0.2294,0.2077,0.2105,0.2127,0.185,0.2186,0.1887,0.222216,0.1982,0.2292,0.2033,0.1252,0.155,0.1581,0.159,0.1349,0.14,0.1488,0.1521
8,0.113838,0.1688,0.1702,0.1739,0.1338379999999999,0.1450759999999999,0.15713,0.1653,0.1802,0.2133,0.206193,0.2089,0.2102,0.1839,0.212693,0.188493,0.214093,0.1987,0.2141,0.2026929999999999,0.183,0.2269,0.2094,0.212386,0.2146,0.1861,0.2189,0.1902,0.221793,0.2,0.227193,0.2047,0.1834,0.2311,0.2098,0.2139,0.2156,0.1869,0.220493,0.1909,0.2243,0.200493,0.231393,0.2059,0.1269,0.1567,0.16,0.160528,0.1367,0.1421,0.1504,0.1544
9,0.11782,0.1719,0.17471,0.1761,0.1379,0.1483,0.1596,0.16899,0.18197,0.21457,0.2075,0.21007,0.2115,0.1858,0.214,0.19027,0.21517,0.2005,0.2153,0.2044,0.1845,0.22837,0.2108,0.21427,0.2162,0.1877,0.2204,0.1918,0.2232,0.2019,0.2285,0.2064,0.1854,0.2326,0.2129,0.21614,0.2181,0.189,0.22277,0.1927,0.2262,0.20297,0.2327,0.2078,0.1296,0.1581,0.161,0.162,0.13872,0.14342,0.1521,0.1555
