percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.076512,0.0,0.0,0.0,0.104644,0.11663,0.0,0.0,0.22018,0.225125,0.22968,0.232545,0.23459,0.221645,0.239235,0.222495,0.236925,0.227625,0.22709,0.23029,0.226,0.24512,0.22838,0.23229,0.23629,0.226135,0.241045,0.227325,0.24409,0.228135,0.24445,0.22778,0.222638,0.244422,0.22823,0.231638,0.236814,0.222984,0.2410759999999999,0.223538,0.2442,0.2265,0.244422,0.225938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.087706,0.0,0.0,0.0,0.119418,0.126306,0.136896,0.0,0.22587,0.22976,0.24109,0.24335,0.24357,0.22619,0.24306,0.22709,0.2437,0.2314,0.23249,0.23709,0.23234,0.2526,0.2432,0.244,0.24478,0.23252,0.24625,0.23309,0.2487599999999999,0.23738,0.2522,0.2414,0.230384,0.263968,0.242584,0.2445,0.245768,0.230368,0.247796,0.232728,0.251864,0.237004,0.2642919999999999,0.242192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0942,0.0,0.0,0.0,0.129459,0.137472,0.151218,0.16428,0.228435,0.23641,0.246235,0.2485,0.249135,0.22887,0.247935,0.23074,0.2467,0.23467,0.238075,0.242005,0.23647,0.2558,0.249905,0.2516,0.25254,0.23647,0.254505,0.23667,0.25427,0.2406,0.25567,0.2462,0.2374,0.270038,0.2512,0.253138,0.255438,0.237538,0.257804,0.239038,0.260076,0.2427,0.2701,0.2480379999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.10096,0.186612,0.0212520000000008,0.0,0.133648,0.146424,0.162432,0.182936,0.2315,0.2394,0.24966,0.25086,0.25206,0.23188,0.2512,0.2333599999999999,0.24818,0.2386,0.2419599999999999,0.24578,0.24178,0.2602,0.2531,0.25524,0.25666,0.24178,0.2586199999999999,0.24208,0.25756,0.2439599999999999,0.26046,0.24938,0.241852,0.274284,0.254452,0.257368,0.259052,0.241984,0.2637,0.242584,0.2661,0.245452,0.272484,0.250736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.10792,0.18933,0.186905,0.185395,0.1377,0.154095,0.167765,0.18913,0.234325,0.24145,0.252725,0.2549,0.2553,0.23515,0.254,0.237325,0.24985,0.242525,0.244225,0.2483,0.2444,0.2624,0.2558,0.2578,0.2589,0.2444,0.2612,0.244675,0.2593,0.247,0.262775,0.2518,0.2455,0.2759,0.25743,0.2596299999999999,0.2619499999999999,0.2457,0.26596,0.24646,0.26813,0.24903,0.2742,0.25293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.112718,0.195798,0.194454,0.1909539999999999,0.1450179999999999,0.1571179999999999,0.1714,0.19199,0.2384,0.2438,0.25464,0.2567399999999999,0.25811,0.23957,0.2554,0.2417099999999999,0.25257,0.24578,0.24597,0.25047,0.24624,0.2634,0.25787,0.2602,0.26127,0.2463,0.26287,0.24647,0.2612,0.24934,0.26407,0.25397,0.247476,0.277176,0.259452,0.2628,0.264576,0.247804,0.267876,0.248976,0.269576,0.251776,0.2758759999999999,0.255328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.1165,0.199771,0.198571,0.199742,0.148871,0.1592,0.176371,0.194071,0.242515,0.245315,0.2566,0.2588,0.2594,0.24273,0.2581,0.244145,0.255415,0.2481,0.2468,0.252815,0.2482,0.264515,0.2596,0.261645,0.2637,0.248415,0.2646,0.24903,0.264,0.25163,0.2652,0.255345,0.250022,0.2785,0.2615,0.264444,0.2663,0.250122,0.2696,0.250422,0.270622,0.2537,0.277688,0.257444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.12,0.203324,0.202524,0.201896,0.1543,0.1635,0.179696,0.195924,0.24482,0.24666,0.25832,0.26038,0.26136,0.24526,0.26006,0.24762,0.2577,0.2505,0.2476,0.25476,0.25012,0.2655,0.261,0.26376,0.2652,0.2506,0.2658,0.25144,0.266,0.25396,0.266,0.2564,0.251936,0.279568,0.2627,0.2661,0.2684,0.253104,0.2713,0.2537,0.2721,0.2556,0.279,0.2591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1233,0.2067,0.209054,0.2048539999999999,0.1566,0.1687,0.1845309999999999,0.200208,0.248005,0.248,0.259605,0.2613,0.262605,0.2481,0.262,0.249515,0.2588049999999999,0.2531,0.24841,0.2562,0.2524,0.2663,0.2628,0.265105,0.2663049999999999,0.2528,0.266905,0.2532,0.267605,0.255805,0.267,0.2592049999999999,0.254528,0.2809,0.264028,0.2675,0.270214,0.2554,0.273014,0.255914,0.274114,0.2589,0.280614,0.2613839999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.129,0.2081,0.21162,0.20802,0.16003,0.17126,0.18779,0.2037,0.25035,0.2489,0.26085,0.2625,0.26365,0.25045,0.26315,0.2517,0.2601,0.2554,0.2504,0.2581,0.2538,0.26735,0.26425,0.266,0.26785,0.2542,0.2687,0.25495,0.2692,0.25795,0.2678,0.2612,0.2568,0.2821,0.2658,0.2689,0.2714,0.2575,0.2745,0.25806,0.2755,0.26108,0.2821,0.26352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.1334,0.210783,0.214932,0.220883,0.163266,0.175549,0.192783,0.2064659999999999,0.25279,0.250995,0.2621,0.26369,0.265095,0.2528,0.2638,0.254,0.2616,0.2573,0.251795,0.2592,0.2558,0.268595,0.2652,0.267,0.2691,0.2567799999999999,0.270495,0.257595,0.2704,0.2604,0.2688,0.2627,0.259012,0.2833,0.267306,0.270006,0.2726,0.259406,0.276,0.259512,0.2772,0.262906,0.283106,0.265206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.13708,0.214872,0.218136,0.2231,0.166308,0.178936,0.195788,0.208808,0.255,0.2529,0.26344,0.26484,0.26604,0.25522,0.2649,0.25614,0.26264,0.259,0.25442,0.26144,0.25784,0.26994,0.26624,0.268,0.2703399999999999,0.25814,0.27144,0.26008,0.27144,0.2623,0.27024,0.2643,0.261204,0.2844,0.268752,0.2711,0.273552,0.2617,0.277,0.262352,0.278952,0.2649,0.2843,0.266752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
