percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0819749999999999,0.1786,0.1853,0.1916,0.125605,0.1457,0.1615609999999999,0.1742,0.209547,0.224947,0.222794,0.225747,0.226647,0.2098,0.224947,0.209994,0.224947,0.213841,0.224947,0.221094,0.2264,0.2349,0.231951,0.232051,0.234651,0.2264,0.2349,0.226604,0.2349,0.230051,0.2349,0.231651,0.216888,0.231649,0.228749,0.229649,0.230898,0.217347,0.231649,0.218149,0.231649,0.226798,0.231649,0.229649,0.138135,0.188583,0.1959,0.201335,0.15227,0.160615,0.1762719999999999,0.185903
1,0.09387,0.1858,0.1905,0.195192,0.13305,0.15107,0.1688,0.177204,0.221994,0.2333,0.2321939999999999,0.233494,0.2349939999999999,0.2218,0.2333,0.221994,0.2333,0.224294,0.2333,0.2289,0.232602,0.2421,0.242706,0.2439,0.242902,0.2326,0.2421,0.2326,0.2421,0.2344,0.2421,0.237804,0.227096,0.2406,0.241496,0.2417979999999999,0.241498,0.227696,0.2406,0.2282,0.2406,0.233098,0.2406,0.2371,0.14651,0.193332,0.2007,0.2092,0.1603099999999999,0.1683,0.1831,0.189936
2,0.1021,0.188249,0.196,0.198,0.1414149999999999,0.155305,0.174,0.181312,0.2267,0.239641,0.237582,0.240682,0.240482,0.2267,0.239641,0.226023,0.239641,0.229841,0.239641,0.2347,0.237259,0.2473649999999999,0.2476529999999999,0.2488,0.2478,0.2370529999999999,0.2473649999999999,0.236653,0.2473649999999999,0.2384,0.2473649999999999,0.244353,0.232794,0.245994,0.2474,0.248347,0.2472,0.2333,0.245994,0.2335,0.245994,0.2377,0.245994,0.2443,0.153605,0.1979489999999999,0.205403,0.2121,0.1656,0.174105,0.1889,0.1942
3,0.10882,0.191432,0.1986,0.203152,0.14656,0.15932,0.177184,0.1864,0.231452,0.243888,0.2424879999999999,0.244188,0.2437879999999999,0.231452,0.243888,0.230788,0.243888,0.2341879999999999,0.243888,0.239288,0.2404,0.2528,0.251308,0.2528,0.253308,0.240304,0.2528,0.2404,0.2528,0.2422,0.2528,0.247804,0.237396,0.252996,0.252296,0.2532,0.2525,0.2377,0.252996,0.238296,0.252996,0.241896,0.252996,0.2484,0.15774,0.2046,0.2108,0.215188,0.1701399999999999,0.17778,0.192792,0.196824
4,0.1159,0.194215,0.20043,0.2064,0.150275,0.1626,0.1796,0.18991,0.235835,0.24637,0.2457,0.246635,0.247105,0.23607,0.24637,0.236235,0.24637,0.238505,0.24637,0.242735,0.243355,0.2561,0.25391,0.2556,0.256355,0.243355,0.2561,0.2435,0.2561,0.246,0.2561,0.2505549999999999,0.240645,0.257245,0.2549,0.256445,0.257245,0.240945,0.257245,0.241645,0.257245,0.246545,0.257245,0.251845,0.16135,0.2079,0.215805,0.2175,0.17385,0.181875,0.1961,0.2024
5,0.121,0.1976959999999999,0.202496,0.21,0.1536199999999999,0.16571,0.181638,0.1925,0.238682,0.249,0.248482,0.2491,0.2494,0.239082,0.249,0.239482,0.249,0.2419,0.249,0.245682,0.246406,0.258706,0.255406,0.2571,0.2585,0.246212,0.258706,0.246106,0.258706,0.249806,0.258706,0.2533,0.244494,0.259894,0.257094,0.2589,0.2598,0.2451,0.259894,0.2452,0.259894,0.2499,0.259894,0.2544,0.1648099999999999,0.211098,0.2177,0.2197,0.17801,0.1854,0.199144,0.2078
6,0.125145,0.2004,0.2054,0.2128,0.157445,0.169245,0.185061,0.1948,0.241329,0.2515,0.2505,0.2509,0.251429,0.241658,0.2515,0.242029,0.2515,0.244,0.2515,0.2483,0.249157,0.2606569999999999,0.2569,0.258857,0.2599,0.249,0.2606569999999999,0.249,0.2606569999999999,0.2525,0.2606569999999999,0.255,0.2482,0.2616,0.2592,0.2608,0.2615,0.248386,0.2616,0.249272,0.2616,0.253443,0.2616,0.257043,0.16899,0.2151,0.22,0.221,0.1816,0.1891,0.201136,0.212221
7,0.1304,0.202564,0.2099,0.215,0.1608,0.17168,0.187,0.196116,0.243976,0.2532,0.2519,0.2528,0.2533,0.244476,0.2532,0.2445,0.2532,0.247076,0.2532,0.2501,0.251708,0.2619,0.258608,0.2603,0.261308,0.2517,0.2619,0.251508,0.2619,0.2544,0.2619,0.2564,0.251892,0.2636,0.2605,0.2622,0.2633,0.252492,0.2636,0.253092,0.2636,0.255692,0.2636,0.2592,0.1734399999999999,0.2173,0.2216,0.223276,0.18448,0.1919,0.2039,0.2145
8,0.1345,0.207147,0.2132,0.2166,0.163815,0.1749,0.189307,0.1983,0.246723,0.255023,0.2538,0.2545,0.255,0.2471229999999999,0.255023,0.247023,0.255023,0.2494,0.255023,0.2519,0.254,0.263359,0.2601,0.2617,0.2624,0.2542,0.263359,0.254259,0.263359,0.2558,0.263359,0.258,0.2552,0.2653,0.2621,0.2635,0.265041,0.255582,0.2653,0.256241,0.2653,0.258241,0.2653,0.261,0.177,0.220547,0.223203,0.2259,0.187015,0.1949,0.2059,0.2163
9,0.13815,0.21093,0.2161,0.2188,0.16695,0.1774,0.1918,0.2008,0.2491,0.25647,0.255,0.256,0.2563,0.2494,0.25647,0.24947,0.25647,0.25117,0.25647,0.2538,0.2563,0.2643,0.261,0.2627,0.26381,0.2565,0.2643,0.2564,0.2643,0.2575,0.2643,0.2595,0.2581,0.2665,0.2633,0.2651,0.2664,0.2583,0.2665,0.25909,0.2665,0.26019,0.2665,0.2626,0.1794,0.2232,0.2247,0.2279,0.18995,0.19705,0.2078,0.21773
