percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.058782,0.11453,0.1165,0.120573,0.0792819999999999,0.0932819999999999,0.10371,0.107094,0.124482,0.1391,0.1386,0.1393,0.1394,0.1247819999999999,0.1391,0.1262,0.1391,0.134782,0.1391,0.138064,0.130282,0.1527,0.146064,0.148682,0.1503,0.130482,0.1527,0.1321,0.1527,0.140382,0.1527,0.143582,0.131982,0.1624,0.148882,0.152482,0.155,0.1328,0.1599,0.135064,0.1624,0.142882,0.1624,0.145282,0.0869,0.10853,0.110812,0.115268,0.094564,0.0984,0.105571,0.10605
1,0.068092,0.12186,0.124844,0.12741,0.089292,0.101892,0.1113,0.117298,0.1295,0.1453,0.1428,0.144028,0.1446,0.130228,0.1453,0.1321,0.1453,0.138064,0.1453,0.140864,0.1363,0.157464,0.148864,0.151164,0.152664,0.1368,0.156464,0.137864,0.157464,0.143564,0.157464,0.1469639999999999,0.137564,0.1664,0.1534,0.156264,0.159164,0.138364,0.1624,0.1406,0.166,0.147064,0.1664,0.150364,0.091864,0.11462,0.118344,0.1217,0.100828,0.1053279999999999,0.1102,0.111
2,0.074346,0.1281,0.129733,0.1332,0.095846,0.1066,0.1193,0.1237,0.134992,0.150546,0.1457,0.1472,0.148746,0.136046,0.149992,0.136646,0.150346,0.1411,0.150546,0.144246,0.1395,0.1625,0.152246,0.1544,0.156146,0.139946,0.158946,0.141538,0.161692,0.1472,0.1625,0.15,0.1421,0.169046,0.156546,0.159246,0.161446,0.1425,0.164546,0.1442,0.1674,0.1504,0.169046,0.1536,0.0968919999999999,0.1228,0.1253,0.124476,0.1046,0.109846,0.1153,0.11685
3,0.0794,0.1322,0.133844,0.1351,0.100428,0.110228,0.1244,0.129496,0.1383,0.1545,0.148828,0.1503,0.1515,0.139328,0.1536,0.140228,0.153928,0.144528,0.1545,0.147028,0.143256,0.1659,0.155228,0.156828,0.158828,0.144028,0.1619,0.145128,0.164228,0.1503,0.1659,0.1537,0.1449,0.1729,0.1587,0.161628,0.163828,0.1457,0.1672,0.1467,0.169028,0.1535,0.1729,0.1564,0.1006,0.12654,0.1276,0.127368,0.107728,0.1134,0.119,0.124
4,0.0838,0.1348,0.138255,0.1387,0.10373,0.1136,0.1292,0.132645,0.1419,0.1577,0.1515,0.15301,0.15421,0.1429,0.1558,0.1438,0.15682,0.1473,0.1577,0.15001,0.1469,0.16982,0.1573,0.15981,0.1621,0.1474,0.1641,0.14851,0.16611,0.1534,0.16982,0.1555,0.14751,0.1762,0.1613,0.16421,0.16661,0.14842,0.1692,0.14971,0.17101,0.1554,0.1762,0.1586,0.1035,0.1286,0.12926,0.12986,0.1106,0.11601,0.1222,0.1261
5,0.0881919999999999,0.1382,0.1409659999999999,0.1436,0.1078,0.1176,0.13232,0.134994,0.144592,0.161292,0.1536,0.155,0.1564,0.1455,0.158,0.146692,0.1598919999999999,0.1504,0.1612,0.1521,0.149392,0.1734,0.1595,0.1621,0.164192,0.149892,0.1664,0.150692,0.1684,0.1551,0.1734,0.1574,0.149992,0.1784919999999999,0.163492,0.1663,0.168984,0.151092,0.1718,0.1522919999999999,0.1735,0.157492,0.1784919999999999,0.1608,0.1062,0.1295,0.1307,0.131252,0.1133919999999999,0.1188,0.124526,0.1276
6,0.0918,0.14193,0.144777,0.1457,0.112,0.120574,0.1344,0.138586,0.147074,0.1637,0.1556,0.157174,0.1585,0.1477,0.160574,0.1493,0.1617,0.1528,0.1636,0.1546,0.1511,0.1753,0.1616,0.1647,0.166774,0.1517,0.168874,0.152774,0.170874,0.156774,0.175274,0.159174,0.152174,0.1812,0.1652,0.1678,0.170674,0.1531,0.174774,0.154474,0.175974,0.158974,0.1812,0.162474,0.1083,0.13051,0.1318,0.1323,0.115374,0.1208,0.1267,0.12995
7,0.095012,0.14454,0.1467,0.1472,0.1149,0.1235,0.13606,0.1407,0.1492,0.1662,0.1579,0.1594,0.1606,0.1499,0.162656,0.151256,0.163756,0.155256,0.1662,0.157,0.153,0.1769,0.1639,0.166756,0.169412,0.1538,0.172,0.154656,0.1732,0.158256,0.1768,0.161156,0.1541,0.183056,0.167156,0.169756,0.1724,0.1549,0.176856,0.1563,0.1778,0.1608,0.183056,0.164156,0.110856,0.13194,0.1329,0.1345,0.1177,0.122356,0.128,0.1315
8,0.098438,0.14687,0.1479,0.1482,0.118738,0.126238,0.1382,0.1427,0.150838,0.1681,0.1606,0.162,0.1632,0.1515,0.164538,0.153,0.165738,0.157138,0.168,0.1591,0.154638,0.1787,0.166038,0.1686379999999999,0.1712,0.155338,0.1743,0.1564,0.1747,0.1597,0.1786,0.1631,0.1556,0.1852379999999999,0.1692,0.171838,0.1744,0.156738,0.1782,0.1578,0.180138,0.1623,0.1852379999999999,0.1658,0.1136,0.1335,0.134208,0.1361,0.1202,0.1236,0.1292,0.1326
9,0.10112,0.1481,0.1493,0.14921,0.1211,0.1282,0.14,0.14509,0.1525,0.1699,0.16282,0.1643,0.16532,0.1531,0.16642,0.1549,0.1672,0.1588,0.1699,0.1614,0.15662,0.1805,0.1679,0.1707,0.17292,0.157,0.17562,0.1579,0.176,0.16172,0.1804,0.1649,0.1572,0.18682,0.1708,0.17402,0.1762,0.1581,0.1797,0.1593,0.1821,0.1637,0.18682,0.1674,0.1156,0.1347,0.1362,0.1374,0.123,0.1249,0.1303,0.1341
