percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.080114,0.1796,0.186328,0.189894,0.11682,0.129188,0.1555079999999999,0.174356,0.186305,0.22022,0.210905,0.219605,0.21884,0.1881749999999999,0.22022,0.192,0.22022,0.193625,0.22022,0.20474,0.2017,0.234705,0.22962,0.233105,0.234505,0.205205,0.234705,0.20921,0.234705,0.214715,0.234705,0.2238,0.193005,0.225225,0.2216199999999999,0.224325,0.226405,0.196315,0.225225,0.203115,0.225225,0.2085199999999999,0.225225,0.213625,0.1382209999999999,0.189244,0.190845,0.195285,0.149805,0.159772,0.170378,0.185314
1,0.0897,0.1849,0.1889,0.194676,0.126424,0.138494,0.160708,0.1757,0.1971,0.23031,0.22377,0.22733,0.2307,0.2011,0.23031,0.20462,0.23031,0.2115199999999999,0.23031,0.21922,0.207,0.23993,0.23491,0.23744,0.23971,0.21044,0.23993,0.214,0.23993,0.22102,0.23993,0.22831,0.20274,0.23344,0.22981,0.23262,0.23392,0.2065,0.23344,0.2102,0.23344,0.2176,0.23344,0.22384,0.143928,0.192644,0.1986,0.2008,0.15634,0.1661959999999999,0.174456,0.191114
2,0.0972,0.187605,0.193,0.197764,0.132012,0.145455,0.165962,0.1787,0.202945,0.234515,0.2315,0.23429,0.235615,0.20703,0.234515,0.2107149999999999,0.234515,0.21703,0.234515,0.2248,0.2112,0.243615,0.236945,0.2417149999999999,0.243615,0.21483,0.243615,0.217815,0.243615,0.2245,0.243615,0.2306,0.206715,0.239515,0.233815,0.236915,0.23943,0.2107149999999999,0.239515,0.21393,0.239515,0.221115,0.239515,0.22783,0.1477,0.196032,0.20119,0.202685,0.161215,0.168994,0.178734,0.193971
3,0.105728,0.1895,0.196256,0.2015,0.136932,0.1496,0.1699,0.1818239999999999,0.2077,0.24012,0.2345,0.23834,0.2400199999999999,0.21062,0.24012,0.2137,0.24012,0.2215,0.24012,0.2282199999999999,0.2151,0.24684,0.2394,0.2442,0.2466,0.2176,0.24684,0.2201199999999999,0.24684,0.2274,0.24684,0.2334,0.2098,0.2443199999999999,0.23714,0.24172,0.244,0.2141,0.2443199999999999,0.2173199999999999,0.2443199999999999,0.2249,0.2443199999999999,0.2314,0.1502,0.197788,0.2025,0.2051599999999999,0.16524,0.172,0.1812,0.1959
4,0.1105,0.191875,0.1993,0.20584,0.1407,0.155685,0.1734699999999999,0.18448,0.210125,0.2436,0.236725,0.2409,0.243225,0.21405,0.2436,0.2172,0.2436,0.22405,0.2436,0.2312249999999999,0.2176,0.248725,0.2411,0.2462,0.248525,0.219825,0.248725,0.222625,0.248725,0.2294,0.248725,0.235125,0.212225,0.247925,0.2402,0.24425,0.246625,0.216225,0.247925,0.2202,0.247925,0.227775,0.247925,0.2339,0.152835,0.20088,0.2042,0.207725,0.1688,0.174,0.184,0.197485
5,0.114284,0.1943,0.200684,0.2094,0.1436,0.160482,0.1766,0.187636,0.2133,0.24583,0.23843,0.2429,0.2451,0.21633,0.24583,0.2191,0.24583,0.22833,0.24583,0.2336,0.21933,0.2502,0.24253,0.2478,0.24983,0.2214,0.2502,0.2249,0.2502,0.2314,0.2502,0.2368,0.2149,0.25,0.24173,0.24633,0.2489,0.21913,0.25,0.2231,0.25,0.22993,0.25,0.23583,0.155342,0.2029,0.2061,0.2117,0.17023,0.1751,0.1861,0.199
6,0.118449,0.195645,0.2028,0.210958,0.146428,0.1628,0.1781,0.1895,0.2159,0.2479,0.240435,0.244235,0.247335,0.2188,0.2479,0.2212,0.2479,0.23037,0.2479,0.2355,0.221035,0.2516,0.24407,0.2486,0.250935,0.2231,0.2516,0.2266,0.2516,0.233335,0.2516,0.2386,0.217335,0.2511,0.243135,0.2478,0.2501,0.221035,0.2511,0.2249,0.2511,0.232435,0.2511,0.2382,0.157849,0.205456,0.2072,0.2147,0.17194,0.176786,0.1884,0.2018
7,0.1218,0.198,0.205136,0.214356,0.1492959999999999,0.164376,0.179916,0.1914,0.2178,0.24934,0.242,0.2463,0.2483,0.22,0.24934,0.22344,0.24934,0.23204,0.24934,0.23724,0.22304,0.2526,0.2452,0.2496,0.2516,0.22524,0.2526,0.228,0.2526,0.2348,0.2526,0.24,0.21998,0.2522,0.2445,0.2494,0.25134,0.22278,0.2522,0.22664,0.2522,0.2337,0.2522,0.2397,0.161,0.2074,0.2095199999999999,0.2164,0.1739399999999999,0.178284,0.193124,0.204556
8,0.1255,0.2002449999999999,0.2064,0.216846,0.151736,0.166273,0.181786,0.1931,0.2196,0.2506,0.2433,0.2474,0.2496,0.2216,0.2506,0.225,0.2506,0.2336,0.2506,0.238845,0.224545,0.2533,0.2461,0.2505,0.2524,0.2266,0.2533,0.229745,0.2533,0.2361,0.2533,0.2416,0.222345,0.253145,0.246045,0.250445,0.252345,0.2247,0.253145,0.228,0.253145,0.2352,0.253145,0.2414,0.1632,0.2092,0.214205,0.218155,0.1765,0.180282,0.1963,0.2065
9,0.1291,0.2017499999999999,0.2078,0.219,0.15474,0.16874,0.1848,0.1947,0.2213,0.2518,0.2443,0.2484,0.2505,0.22355,0.2518,0.2266,0.2518,0.235,0.2518,0.2400499999999999,0.226,0.254,0.2469,0.2513,0.25315,0.228,0.254,0.2318,0.254,0.2374,0.254,0.2426,0.2237,0.25425,0.2473,0.25165,0.2532,0.2262,0.25425,0.2297,0.25425,0.2364,0.25425,0.2427,0.1656399999999999,0.21166,0.2166,0.21995,0.17845,0.1819599999999999,0.198,0.20954
