percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.04029,0.143865,0.148,0.211155,0.045685,0.0511,0.0537,0.05892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05683,0.16649,0.23124,0.24016,0.05672,0.05799,0.0715800000000001,0.16668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.069375,0.225145,0.24289,0.2480899999999999,0.0762,0.11667,0.170265,0.18462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.08474,0.24056,0.24636,0.25126,0.1314,0.15552,0.1934799999999999,0.2182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.105975,0.244225,0.25345,0.255425,0.147225,0.163775,0.20595,0.22675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.12157,0.24687,0.2597899999999999,0.26119,0.15539,0.1721899999999999,0.21158,0.23117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.129565,0.25078,0.2626549999999999,0.26312,0.16431,0.17722,0.2141,0.23911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.13764,0.25482,0.26464,0.26554,0.17184,0.1847,0.21778,0.24594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.14421,0.25827,0.2662,0.2741,0.176955,0.1908699999999999,0.2234,0.251185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1499,0.26495,0.26755,0.2771,0.1845,0.19645,0.22875,0.25495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.157115,0.267015,0.26996,0.27873,0.18816,0.200645,0.2322,0.257515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.16196,0.27026,0.27474,0.28176,0.19276,0.20456,0.23658,0.25994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.1665,0.2735,0.28058,0.2839,0.19709,0.2107,0.2405,0.263045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.17075,0.2748,0.28381,0.28621,0.2021,0.2175,0.24431,0.2651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.174775,0.2783,0.2856,0.29065,0.2056,0.222725,0.249275,0.269575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.17908,0.2815,0.28724,0.294,0.2086,0.22824,0.25404,0.27224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.182205,0.2833,0.2889049999999999,0.3015049999999999,0.21221,0.231805,0.25652,0.2757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.18534,0.2872,0.29107,0.30387,0.216,0.23574,0.25998,0.27907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.189035,0.28974,0.29347,0.305935,0.219005,0.2398,0.264535,0.282835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.1933,0.2927,0.2956,0.3093,0.2237,0.2441,0.2692,0.2871,0.0331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.1976649999999999,0.2951,0.300965,0.3139599999999999,0.226465,0.247465,0.274565,0.291465,0.0465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.2017,0.29873,0.30536,0.31633,0.22943,0.2502,0.27673,0.29413,0.07699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.20679,0.300895,0.310185,0.318085,0.23319,0.25459,0.280295,0.296195,0.147215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.2107,0.30558,0.31408,0.31976,0.23592,0.25982,0.28296,0.29906,0.16712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.213625,0.31055,0.3182999999999999,0.32445,0.24095,0.26335,0.2861,0.301325,0.180625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.21799,0.31389,0.3217899999999999,0.32649,0.2462299999999999,0.26609,0.2903799999999999,0.30368,0.19049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.221855,0.319755,0.3231,0.32841,0.2497,0.269755,0.29361,0.306455,0.197755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.22664,0.3221,0.32682,0.33192,0.2544,0.2723,0.29864,0.31106,0.2061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.2299,0.3244,0.3317549999999999,0.3363099999999999,0.258985,0.277155,0.300685,0.317285,0.2132549999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.2326,0.3288,0.3339999999999999,0.33885,0.26475,0.28015,0.30565,0.32045,0.21705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.236475,0.33206,0.335815,0.343315,0.271,0.284215,0.3087149999999999,0.3227299999999999,0.2203149999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.24118,0.3353,0.33866,0.34678,0.27636,0.28804,0.31254,0.328,0.22576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.245745,0.3368,0.34249,0.3491,0.2806,0.29139,0.315925,0.33079,0.2323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.24953,0.3395,0.34582,0.35791,0.285,0.29602,0.32101,0.3329,0.2371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.25375,0.34215,0.347575,0.359775,0.2894,0.300575,0.324475,0.3351,0.24255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.2579,0.34604,0.3514,0.36794,0.29364,0.30722,0.32824,0.33876,0.24574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.2618149999999999,0.3495049999999999,0.364015,0.3827,0.298405,0.311525,0.331015,0.3419449999999999,0.2497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.26677,0.3511,0.3704,0.38674,0.30077,0.31742,0.3351,0.34937,0.25332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.270635,0.352835,0.37518,0.3898,0.305,0.323,0.3401,0.3513,0.2571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.277,0.356,0.3836,0.3941,0.3084,0.3262,0.3443,0.3551,0.2604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.2834649999999999,0.3599949999999999,0.3865,0.397265,0.31443,0.332685,0.3479649999999999,0.3598249999999999,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.28876,0.3894599999999999,0.38959,0.39896,0.3234,0.33852,0.35376,0.3648199999999999,0.26708,0.0,0.0,0.0,0.0648,0.0,0.0,0.0
42,0.2929,0.4033699999999999,0.39729,0.4041749999999999,0.328395,0.34439,0.3570899999999999,0.3697,0.2698949999999999,0.0,0.0,0.0,0.1621699999999999,0.0,0.0,0.0
43,0.2976,0.40686,0.4058,0.4067,0.33484,0.34886,0.35926,0.37344,0.27256,0.0,0.0,0.0,0.19108,0.0,0.0,0.0
44,0.30295,0.4087,0.4122,0.41015,0.3395,0.351925,0.36505,0.3787,0.275825,0.0,0.0,0.0,0.203675,0.0,0.0,0.0
45,0.3082,0.41357,0.41588,0.4131,0.34368,0.35738,0.3681400000000001,0.38498,0.27947,0.0,0.0,0.0,0.21259,0.0,0.0,0.0
