percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.084578,0.193026,0.200726,0.212163,0.128263,0.150315,0.169089,0.190289,0.226317,0.233262,0.236,0.2372,0.237031,0.226317,0.233262,0.226317,0.233262,0.2303,0.233262,0.232986,0.2468189999999999,0.245119,0.2543,0.252619,0.252295,0.247052,0.245119,0.247052,0.245119,0.249138,0.245119,0.252414,0.2249,0.242675,0.240625,0.24345,0.2469,0.2249,0.242675,0.226475,0.242675,0.23205,0.242675,0.23815,0.145763,0.195726,0.2054629999999999,0.213563,0.158852,0.165315,0.1819629999999999,0.1889
1,0.100026,0.201026,0.2133,0.2212039999999999,0.1434,0.160778,0.1856779999999999,0.196726,0.2407,0.244162,0.24971,0.250924,0.248262,0.2407,0.244162,0.241862,0.244162,0.2455,0.244162,0.247796,0.260938,0.259014,0.264866,0.2642,0.261938,0.260938,0.259014,0.260838,0.259014,0.26259,0.259014,0.26419,0.24445,0.2554,0.2552,0.25725,0.2568,0.24445,0.2554,0.24525,0.2554,0.2488,0.2554,0.25375,0.159626,0.2060519999999999,0.215326,0.2231,0.1729,0.179752,0.189452,0.1961
2,0.1155559999999999,0.2094889999999999,0.220489,0.2275889999999999,0.154,0.1694,0.1948889999999999,0.2,0.249993,0.253765,0.256986,0.257593,0.256493,0.2502,0.253765,0.2501859999999999,0.253765,0.2546859999999999,0.253765,0.2563,0.2688569999999999,0.266657,0.271457,0.270714,0.269657,0.268957,0.266657,0.2684,0.266657,0.269657,0.266657,0.2704,0.25615,0.263975,0.266075,0.26655,0.266075,0.2563,0.263975,0.256725,0.263975,0.25785,0.263975,0.263675,0.1665,0.212478,0.221789,0.230789,0.1811559999999999,0.1890889999999999,0.198734,0.205089
3,0.126568,0.218252,0.224552,0.2327,0.160856,0.1751039999999999,0.1988,0.204704,0.257148,0.259124,0.262748,0.264524,0.2631,0.257148,0.259124,0.257148,0.259124,0.259148,0.259124,0.262048,0.2733759999999999,0.272628,0.2756,0.276576,0.2761,0.2733,0.272628,0.2731,0.272628,0.2736,0.272628,0.275976,0.2641,0.2703,0.273,0.2734,0.2736,0.2642,0.2703,0.2643,0.2703,0.2661,0.2703,0.2703,0.172852,0.220252,0.2304,0.2351,0.187856,0.195352,0.2064,0.214008
4,0.134645,0.22283,0.2282,0.2352,0.168215,0.1823,0.20503,0.211115,0.262,0.2636,0.267655,0.2694,0.2679,0.262,0.2636,0.262465,0.2636,0.2654,0.2636,0.2672549999999999,0.277695,0.2774,0.2792,0.279395,0.2795,0.277695,0.2774,0.277695,0.2774,0.2775,0.2774,0.2793,0.2716,0.2766,0.2778,0.27755,0.278225,0.2717,0.2766,0.271125,0.2766,0.273325,0.2766,0.2759,0.177915,0.22806,0.2338,0.2369,0.1922,0.1992,0.212115,0.221715
5,0.1427,0.2258,0.2336,0.2377,0.175878,0.188778,0.209478,0.215256,0.266586,0.2675,0.271658,0.273086,0.271486,0.2666,0.2675,0.267,0.2675,0.269,0.2675,0.2715,0.281714,0.280328,0.2826,0.282714,0.2822,0.2818,0.280328,0.281514,0.280328,0.281414,0.280328,0.282714,0.27805,0.28005,0.2818,0.28225,0.28135,0.278,0.28005,0.2773,0.28005,0.27845,0.28005,0.2807,0.1821,0.2332,0.2361,0.237978,0.196,0.202678,0.2154,0.2273
6,0.149141,0.2295,0.2367,0.2393,0.180541,0.193641,0.213741,0.2202,0.270285,0.271617,0.275334,0.2754169999999999,0.274768,0.2707,0.271617,0.2713,0.271617,0.273217,0.271617,0.274934,0.2844,0.2835,0.285666,0.285733,0.2854,0.284466,0.2835,0.2842,0.2835,0.2838,0.2835,0.2853,0.281975,0.2832,0.2853,0.2857,0.284375,0.2819,0.2832,0.2814,0.2832,0.283,0.2832,0.285,0.185,0.2369,0.2383,0.2389,0.2001,0.2082,0.219282,0.231082
7,0.1535,0.232004,0.2397,0.2407,0.1853,0.1995,0.2176,0.223404,0.274548,0.2748,0.279348,0.278448,0.277648,0.2746,0.2748,0.274996,0.2748,0.276296,0.2748,0.278796,0.287,0.286352,0.288252,0.288704,0.2879,0.2869,0.286352,0.2867,0.286352,0.2864,0.286352,0.287852,0.2853,0.2858,0.2886,0.2879,0.287,0.2857,0.2858,0.2853,0.2858,0.2859,0.2858,0.2886,0.188404,0.2394,0.2403,0.2406,0.203704,0.2118,0.223804,0.2347
8,0.1580669999999999,0.236767,0.2421,0.244,0.189,0.2049669999999999,0.220267,0.228867,0.2777,0.277779,0.282758,0.2815,0.280758,0.277779,0.277779,0.2782,0.277779,0.280779,0.277779,0.282579,0.2908,0.288871,0.291171,0.290871,0.290442,0.2902,0.288871,0.289771,0.288871,0.289471,0.288871,0.2908,0.2895,0.2886,0.290825,0.290625,0.289925,0.2897,0.2886,0.289125,0.2886,0.2901,0.2886,0.290925,0.1919,0.2412,0.2419,0.2421,0.206667,0.2161,0.2273,0.236667
9,0.16202,0.2432,0.2444,0.2469,0.1949,0.20893,0.22356,0.2333,0.28131,0.28001,0.28581,0.28501,0.28401,0.2815,0.28001,0.2818,0.28001,0.2845,0.28001,0.28552,0.29329,0.29108,0.29359,0.29339,0.29259,0.29318,0.29108,0.29269,0.29108,0.2928,0.29108,0.2935,0.29185,0.2908,0.2932,0.29315,0.2927,0.29195,0.2908,0.2918,0.2908,0.29315,0.2908,0.2938,0.1955,0.243,0.2434,0.24356,0.2097,0.21843,0.2296,0.2386
