percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.07565,0.176924,0.1812,0.1830729999999999,0.110841,0.1316,0.14692,0.168473,0.198448,0.208096,0.205948,0.209948,0.209148,0.198748,0.208096,0.199548,0.208096,0.201548,0.208096,0.203448,0.215648,0.2126,0.211385,0.213,0.212737,0.216148,0.2126,0.216537,0.2126,0.2128739999999999,0.2126,0.211422,0.205674,0.2108,0.208637,0.211474,0.212311,0.205911,0.2108,0.208437,0.2108,0.2087,0.2108,0.207948,0.1295,0.163758,0.168036,0.1682,0.140848,0.1479,0.153921,0.1635
1,0.0917,0.187,0.189332,0.195078,0.125876,0.1402,0.15866,0.178096,0.211096,0.2141,0.213696,0.214388,0.214,0.2112959999999999,0.2141,0.212492,0.2141,0.213592,0.2141,0.212988,0.221696,0.2182,0.218974,0.218348,0.2186,0.221696,0.2182,0.2224,0.2182,0.221244,0.2182,0.218674,0.215174,0.217474,0.218474,0.218674,0.2177,0.215248,0.217474,0.217474,0.217474,0.2193,0.217474,0.218722,0.1388,0.177316,0.1807,0.1812,0.148788,0.155082,0.163388,0.1744
2,0.1006,0.1904,0.194674,0.199,0.133982,0.14742,0.1660799999999999,0.187694,0.219688,0.2199,0.2204,0.2202,0.220788,0.219888,0.2199,0.2203,0.2199,0.221244,0.2199,0.220032,0.233011,0.2238,0.224244,0.2236,0.223633,0.233,0.2238,0.231633,0.2238,0.2284,0.2238,0.2264219999999999,0.2221,0.221655,0.226311,0.225711,0.224099,0.222622,0.221655,0.224711,0.221655,0.2264219999999999,0.221655,0.224311,0.14345,0.183137,0.1833,0.1875,0.155344,0.1606,0.172752,0.1838
3,0.1065,0.193312,0.197,0.2033,0.141076,0.1533,0.17478,0.191,0.224284,0.225584,0.2258,0.2258919999999999,0.225376,0.224576,0.225584,0.225084,0.225584,0.226684,0.225584,0.225584,0.240248,0.230096,0.233,0.2322,0.230696,0.240148,0.230096,0.240348,0.230096,0.2337,0.230096,0.233348,0.228696,0.2281,0.232448,0.2323,0.230044,0.2289,0.2281,0.230748,0.2281,0.230748,0.2281,0.232044,0.1489,0.1884,0.1904,0.1932,0.1602,0.166464,0.1765,0.1875
4,0.1122,0.1965,0.2008,0.2049,0.1457,0.1571,0.1801,0.1942,0.2295,0.2307799999999999,0.23034,0.2315,0.23108,0.2304,0.2307799999999999,0.23144,0.2307799999999999,0.2302,0.2307799999999999,0.23004,0.24497,0.233985,0.238385,0.237585,0.23651,0.244285,0.233985,0.245255,0.233985,0.2384,0.233985,0.238985,0.23454,0.2334,0.237885,0.237585,0.2349,0.23567,0.2334,0.2371,0.2334,0.23517,0.2334,0.2374,0.1539,0.190695,0.1942,0.1962,0.16444,0.170105,0.1796,0.1911
5,0.1176,0.1992,0.2042479999999999,0.207334,0.1501,0.1618,0.18404,0.1965,0.237088,0.235288,0.234176,0.235364,0.2353,0.237276,0.235288,0.2375,0.235288,0.233588,0.235288,0.2348,0.250044,0.2390219999999999,0.2423219999999999,0.2420439999999999,0.2409,0.2498439999999999,0.2390219999999999,0.2498,0.2390219999999999,0.243666,0.2390219999999999,0.243644,0.239222,0.2388,0.2415,0.242522,0.2394,0.240566,0.2388,0.2418,0.2388,0.2397439999999999,0.2388,0.2418,0.1572,0.1948,0.1976239999999999,0.19894,0.1682,0.173946,0.182726,0.1949
6,0.12205,0.2034,0.2065,0.209,0.152329,0.1649,0.18968,0.1981,0.24208,0.238336,0.238836,0.239944,0.239272,0.242472,0.238336,0.243,0.238336,0.238108,0.238336,0.238772,0.254359,0.2424,0.246659,0.245759,0.2438,0.254359,0.2424,0.252859,0.2424,0.248118,0.2424,0.247459,0.244459,0.242659,0.2458,0.245359,0.243459,0.245,0.242659,0.246559,0.242659,0.244718,0.242659,0.2455,0.16015,0.199253,0.2013,0.20098,0.171836,0.1771,0.187694,0.1975
7,0.1263,0.206924,0.2094639999999999,0.2103,0.1562,0.1678,0.19332,0.200792,0.246968,0.241584,0.2427,0.2431,0.2423,0.246968,0.241584,0.248084,0.241584,0.242768,0.241584,0.2424,0.2588,0.246592,0.249396,0.2490959999999999,0.2478,0.258596,0.246592,0.257396,0.246592,0.252896,0.246592,0.2502,0.248696,0.2459,0.248992,0.2482879999999999,0.247,0.2490959999999999,0.2459,0.250392,0.2459,0.2487919999999999,0.2459,0.248796,0.1629,0.2018,0.2028,0.20202,0.175084,0.1798,0.196068,0.1992
8,0.12975,0.21,0.2121,0.2119,0.1594,0.17076,0.1962,0.202791,0.251732,0.244332,0.245332,0.245732,0.2455,0.251932,0.244332,0.2524,0.244332,0.247,0.244332,0.2458,0.2634,0.250633,0.251733,0.252,0.2516,0.263066,0.250633,0.261833,0.250633,0.256233,0.250633,0.252833,0.2534,0.250066,0.252133,0.251033,0.2503,0.2537,0.250066,0.2546,0.250066,0.2532,0.250066,0.2514,0.16595,0.204611,0.204331,0.205,0.1775,0.182769,0.198978,0.2019
9,0.133,0.2129,0.2133,0.2153,0.1621,0.1741,0.1989,0.20699,0.2554,0.24788,0.24858,0.24858,0.24868,0.25548,0.24788,0.2555,0.24788,0.2499,0.24788,0.2484,0.26694,0.2532,0.2546,0.25457,0.254,0.26664,0.2532,0.2648,0.2532,0.2597,0.2532,0.2552,0.2571,0.25447,0.25557,0.2542,0.25447,0.2571,0.25447,0.258,0.25447,0.2567,0.25447,0.25477,0.1689,0.2073,0.20589,0.2059,0.1798,0.18571,0.20201,0.2044
