percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.104548,0.263874,0.266048,0.277116,0.161332,0.173716,0.191472,0.230628,0.2534,0.300008,0.295376,0.2959,0.299056,0.257636,0.300008,0.265024,0.300008,0.287756,0.300008,0.290928,0.265312,0.312712,0.307356,0.310268,0.311056,0.269312,0.312712,0.28118,0.312712,0.296312,0.312712,0.303744,0.264308,0.314012,0.30618,0.310812,0.311968,0.270456,0.314012,0.278624,0.314012,0.290556,0.314012,0.298604,0.173396,0.2590059999999999,0.261702,0.268074,0.192438,0.202078,0.2203439999999999,0.249316
1,0.123732,0.270116,0.272216,0.284944,0.1667,0.19148,0.234032,0.258376,0.269148,0.309224,0.306236,0.3094,0.311048,0.2718,0.309224,0.276636,0.309224,0.296348,0.309224,0.303312,0.281824,0.3177359999999999,0.3144,0.317812,0.318424,0.286524,0.3177359999999999,0.292136,0.3177359999999999,0.305624,0.3177359999999999,0.312612,0.277424,0.319112,0.314712,0.317936,0.320412,0.2813839999999999,0.319112,0.288024,0.319112,0.302524,0.319112,0.3117479999999999,0.184232,0.2627,0.271032,0.279524,0.205564,0.214016,0.234312,0.254616
2,0.135174,0.273074,0.279774,0.294074,0.1827059999999999,0.213666,0.241032,0.2657,0.276272,0.3165,0.313236,0.314568,0.3164,0.279336,0.3165,0.28684,0.3165,0.30134,0.3165,0.3112,0.291,0.3220719999999999,0.321668,0.323668,0.323304,0.295004,0.3220719999999999,0.298472,0.3220719999999999,0.309904,0.3220719999999999,0.3166,0.284636,0.323036,0.320368,0.322936,0.323568,0.2885,0.323036,0.2946,0.323036,0.308876,0.323036,0.316336,0.193518,0.266,0.280122,0.2852659999999999,0.214574,0.2216,0.242748,0.2566
3,0.145964,0.275932,0.2845959999999999,0.2986,0.194324,0.2245599999999999,0.251232,0.268764,0.283848,0.320648,0.320592,0.321972,0.322672,0.292024,0.320648,0.29552,0.320648,0.309,0.320648,0.316,0.296748,0.325472,0.325324,0.325824,0.325924,0.300324,0.325472,0.304448,0.325472,0.313824,0.325472,0.3188959999999999,0.289424,0.3272,0.324972,0.325948,0.326748,0.295616,0.3272,0.301124,0.3272,0.313224,0.3272,0.3196,0.200524,0.271864,0.284764,0.296628,0.220132,0.232164,0.25806,0.263864
4,0.15239,0.28009,0.28979,0.3037,0.20185,0.22975,0.25551,0.27409,0.2894799999999999,0.32536,0.32408,0.32604,0.32592,0.29624,0.32548,0.301,0.32548,0.31262,0.32536,0.3187,0.30176,0.32896,0.32798,0.32856,0.3296,0.30678,0.32916,0.30876,0.32916,0.3169,0.32896,0.32226,0.29694,0.33002,0.3295,0.33088,0.3302,0.30196,0.32966,0.30498,0.33018,0.3166799999999999,0.33002,0.3233,0.20629,0.28046,0.28829,0.3003,0.22549,0.2376899999999999,0.26386,0.27019
5,0.1583,0.2823,0.299148,0.3052,0.211248,0.236648,0.2612,0.279048,0.296172,0.328436,0.3271,0.3294,0.329808,0.30178,0.328636,0.306544,0.328772,0.316936,0.328436,0.322336,0.306936,0.332708,0.330836,0.3324,0.333136,0.3107,0.333308,0.313072,0.333536,0.320936,0.332708,0.3256,0.302,0.334236,0.332636,0.3332,0.333572,0.3076359999999999,0.334236,0.3097,0.334236,0.319808,0.334236,0.3262359999999999,0.212148,0.285736,0.294348,0.3015,0.229648,0.247048,0.267488,0.2738
6,0.164812,0.29013,0.304706,0.3096359999999999,0.2162,0.2405,0.265812,0.2804,0.3015919999999999,0.3317839999999999,0.329792,0.332068,0.332276,0.309276,0.332192,0.31206,0.3322839999999999,0.320976,0.3317839999999999,0.325592,0.311776,0.3365,0.3333839999999999,0.334592,0.3356,0.315668,0.3368,0.318392,0.336492,0.324692,0.3365,0.3296,0.3072,0.338284,0.334492,0.336168,0.3372,0.311168,0.3383919999999999,0.3151839999999999,0.338268,0.323592,0.338284,0.329892,0.215736,0.2905359999999999,0.296618,0.3027,0.23223,0.2516,0.270506,0.279012
7,0.172564,0.2943,0.3098,0.315156,0.220328,0.244028,0.27232,0.2824,0.3072,0.334648,0.331796,0.3342,0.333648,0.313328,0.3347,0.317796,0.334796,0.324544,0.334648,0.328596,0.316784,0.339748,0.3354,0.336744,0.3376,0.31944,0.339548,0.32234,0.339896,0.3278,0.339748,0.332548,0.311848,0.342948,0.336448,0.3393,0.339748,0.316448,0.342744,0.320648,0.342948,0.3277,0.342948,0.333148,0.2184,0.2935,0.29972,0.304128,0.238792,0.255392,0.274856,0.283628
8,0.179366,0.2996439999999999,0.314644,0.320066,0.2251,0.2497,0.277922,0.284622,0.312116,0.337708,0.3338,0.336104,0.335804,0.318208,0.337312,0.322008,0.337804,0.3281,0.337708,0.331704,0.320204,0.342408,0.337312,0.339608,0.340104,0.323504,0.342004,0.326204,0.342216,0.3308,0.342408,0.3364,0.316304,0.3457,0.3388,0.342,0.342804,0.321408,0.345108,0.324132,0.346204,0.330812,0.3457,0.3356,0.222466,0.2971439999999999,0.3033,0.307022,0.2428439999999999,0.2609,0.280622,0.288922
9,0.18348,0.303,0.31738,0.32258,0.22994,0.2526,0.2824799999999999,0.28924,0.317,0.34092,0.33678,0.3384,0.33846,0.32196,0.3402,0.32478,0.34072,0.3317,0.34092,0.33438,0.32412,0.3449,0.33956,0.34186,0.34252,0.32764,0.3445,0.3294,0.3452,0.33456,0.3449,0.3386,0.3197,0.34946,0.34126,0.34446,0.34494,0.32462,0.3492,0.32898,0.34996,0.3353,0.34946,0.33812,0.2271,0.2998,0.30838,0.31086,0.24808,0.2652799999999999,0.2832,0.29168
10,0.1890379999999999,0.3069759999999999,0.319438,0.327438,0.233352,0.257276,0.286538,0.2942,0.320716,0.3442,0.339116,0.341,0.340716,0.3246,0.343048,0.328016,0.3442,0.335416,0.3442,0.3369,0.3274,0.347616,0.342264,0.344232,0.345,0.330616,0.347116,0.334016,0.347732,0.339632,0.347616,0.341116,0.323932,0.3525,0.3441,0.346516,0.34858,0.329516,0.3521,0.3328,0.3525,0.339,0.3525,0.3417,0.229676,0.3019,0.3095,0.313776,0.250776,0.268738,0.285976,0.29389
11,0.192684,0.3140479999999999,0.3216839999999999,0.33,0.236896,0.259596,0.289496,0.303284,0.3244,0.347044,0.3413,0.343,0.3433,0.328344,0.346188,0.332744,0.3469,0.3387599999999999,0.347044,0.339272,0.330516,0.3502159999999999,0.344772,0.347144,0.347344,0.3341,0.3497,0.338,0.350444,0.342772,0.3502159999999999,0.3436,0.328272,0.3556,0.345844,0.350488,0.352388,0.333744,0.355216,0.336172,0.355544,0.342472,0.3556,0.3446,0.233,0.3036,0.310996,0.316292,0.253996,0.271096,0.2884,0.301392
12,0.198116,0.3194079999999999,0.324508,0.3330079999999999,0.240454,0.262808,0.2932,0.3078079999999999,0.3275,0.349128,0.3443279999999999,0.3459,0.3464279999999999,0.3323,0.348628,0.336428,0.3493,0.3411,0.349128,0.342056,0.3324,0.354128,0.347656,0.3498,0.349512,0.338056,0.352356,0.3408,0.353828,0.345728,0.354128,0.3463279999999999,0.3322279999999999,0.361156,0.348796,0.353468,0.3554,0.336912,0.3584279999999999,0.340484,0.361,0.34504,0.361156,0.347,0.235862,0.3071,0.313962,0.318762,0.2572,0.2747,0.290954,0.304154
13,0.2025,0.321512,0.3269,0.337212,0.2428,0.265412,0.295948,0.3103,0.3304,0.3518,0.347368,0.3487,0.3479839999999999,0.3359,0.350284,0.340484,0.351352,0.3449,0.3518,0.34522,0.336,0.358636,0.350084,0.353284,0.353284,0.342184,0.3554,0.345468,0.357,0.349404,0.358636,0.349368,0.335052,0.3658,0.353768,0.356768,0.359152,0.340068,0.361852,0.343868,0.364052,0.3489,0.3658,0.349868,0.239212,0.310512,0.3167359999999999,0.321,0.261012,0.2783,0.292836,0.3061359999999999
