percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.104044,0.2079,0.21842,0.21852,0.145045,0.157701,0.196543,0.204286,0.2526,0.306952,0.303184,0.306442,0.308784,0.254968,0.3102,0.260042,0.309742,0.277584,0.306952,0.292162,0.2536,0.310636,0.304642,0.3076419999999999,0.309442,0.2559519999999999,0.310636,0.26011,0.310636,0.277768,0.310636,0.29251,0.250384,0.311568,0.302088,0.3075,0.310042,0.254294,0.311284,0.258268,0.311568,0.276884,0.311568,0.290868,0.154372,0.219386,0.220475,0.22466,0.161488,0.177678,0.2008019999999999,0.2221
1,0.12579,0.2207,0.228096,0.2228399999999999,0.157658,0.18022,0.2099,0.2182,0.26082,0.310952,0.3101,0.3128,0.31522,0.261668,0.3156359999999999,0.2651,0.3138,0.285284,0.311,0.303768,0.261884,0.317084,0.3111359999999999,0.313484,0.316368,0.262568,0.3175199999999999,0.2657359999999999,0.3175199999999999,0.284836,0.317084,0.303684,0.257968,0.317084,0.310368,0.3126839999999999,0.315568,0.259568,0.316968,0.2637839999999999,0.317084,0.285036,0.317084,0.30332,0.166888,0.225186,0.22425,0.2299,0.19299,0.2097,0.218602,0.229204
2,0.137803,0.230729,0.233416,0.2347999999999999,0.1702189999999999,0.1939,0.219616,0.223429,0.266778,0.3158,0.318438,0.3214,0.3228,0.269604,0.322,0.274352,0.320304,0.2959259999999999,0.316352,0.310552,0.268452,0.322304,0.317468,0.318764,0.321034,0.271804,0.321756,0.2738,0.322304,0.298126,0.322304,0.311426,0.267304,0.3223519999999999,0.316426,0.318926,0.322026,0.271052,0.322152,0.2738259999999999,0.3223519999999999,0.2958079999999999,0.3223519999999999,0.3108039999999999,0.184529,0.2295,0.23575,0.2314,0.210087,0.219,0.237487,0.235629
3,0.144744,0.243044,0.2944879999999999,0.29546,0.181472,0.210616,0.227116,0.238732,0.2731719999999999,0.319936,0.331636,0.3332,0.3328359999999999,0.276748,0.3285,0.2838,0.326968,0.30224,0.320136,0.318104,0.275968,0.335072,0.332072,0.333668,0.334768,0.278868,0.3344,0.285236,0.3366719999999999,0.30364,0.335072,0.319136,0.273776,0.3325,0.32994,0.330504,0.331668,0.2781,0.3315,0.2846,0.332212,0.303372,0.3325,0.317276,0.193716,0.238508,0.243,0.2361599999999999,0.218344,0.224672,0.245288,0.241144
4,0.151215,0.2822,0.30294,0.3011,0.1898449999999999,0.2175,0.23582,0.24873,0.27963,0.32351,0.33662,0.33731,0.3373,0.28362,0.33511,0.29161,0.3326,0.3085,0.32341,0.32436,0.28302,0.34031,0.33682,0.33901,0.3395,0.28542,0.34051,0.29191,0.34082,0.30962,0.34051,0.32464,0.2813,0.33923,0.33513,0.33601,0.33582,0.28595,0.33574,0.29006,0.33805,0.30783,0.33923,0.32381,0.20333,0.25283,0.2581,0.2492,0.22306,0.23273,0.24883,0.246015
5,0.157274,0.2891,0.3058,0.30388,0.199374,0.222058,0.2409059999999999,0.255148,0.285752,0.328304,0.3397,0.340052,0.340256,0.291052,0.338952,0.298152,0.336,0.313756,0.328052,0.3315,0.288108,0.343704,0.34,0.341404,0.341552,0.2924159999999999,0.3436,0.298452,0.344652,0.3152,0.343704,0.333456,0.2871039999999999,0.343556,0.3380039999999999,0.339008,0.340052,0.291652,0.341652,0.296604,0.3423,0.313,0.343804,0.332404,0.209458,0.260958,0.26705,0.2588399999999999,0.2286159999999999,0.2388739999999999,0.252116,0.2542
6,0.161904,0.300601,0.3079,0.3073,0.2105,0.228802,0.2487,0.269903,0.29247,0.33257,0.341794,0.342194,0.3424,0.297282,0.341582,0.303482,0.339994,0.318094,0.333288,0.3367,0.293194,0.3462,0.34367,0.344594,0.3451,0.298,0.345,0.305788,0.3464939999999999,0.320388,0.346388,0.338294,0.2917,0.3499879999999999,0.3408879999999999,0.3424,0.3428,0.296888,0.3436,0.302594,0.346582,0.316894,0.3499879999999999,0.336294,0.214302,0.272306,0.26895,0.26778,0.231901,0.244804,0.254901,0.263103
7,0.168132,0.305008,0.310492,0.3151,0.2188,0.23704,0.251632,0.2814439999999999,0.297572,0.3358359999999999,0.344172,0.344736,0.3447,0.3026,0.343072,0.3085,0.342036,0.3221,0.336072,0.339572,0.2986,0.348,0.3465,0.346036,0.3464,0.305144,0.3472,0.310872,0.348136,0.325536,0.348,0.340936,0.297136,0.3531,0.344836,0.345572,0.345372,0.3021,0.346336,0.308444,0.349236,0.32288,0.353,0.338672,0.2197,0.2784,0.2755,0.2741,0.2362,0.2493,0.2583,0.270588
8,0.175235,0.308074,0.313632,0.31748,0.226487,0.243087,0.260087,0.2881,0.301134,0.3385,0.3468779999999999,0.3473779999999999,0.347078,0.3084,0.3451,0.3115779999999999,0.344,0.327,0.3387779999999999,0.3412,0.302812,0.3506,0.3484,0.347578,0.348178,0.3097,0.348778,0.315278,0.349778,0.329378,0.350578,0.343578,0.300456,0.3557,0.348034,0.348,0.348678,0.3080779999999999,0.3497,0.3136779999999999,0.351578,0.327846,0.355634,0.3418779999999999,0.223487,0.281387,0.2812,0.27748,0.240387,0.2526,0.261887,0.2785
9,0.18337,0.3124,0.31628,0.3214,0.23119,0.24892,0.26743,0.2944299999999999,0.30472,0.34052,0.3501,0.34964,0.34902,0.3122,0.34642,0.3145,0.34534,0.33116,0.3409,0.34414,0.3069,0.35264,0.35124,0.35062,0.3506,0.31364,0.351,0.3198,0.3517,0.3338,0.3526,0.34624,0.30534,0.35732,0.35002,0.35044,0.35082,0.3123,0.35152,0.31804,0.35312,0.33264,0.35722,0.34524,0.2279,0.2839,0.28665,0.2856,0.24323,0.2561,0.2667,0.2803299999999999
10,0.1904,0.314346,0.318264,0.32482,0.236973,0.254646,0.2722,0.297446,0.309662,0.3416,0.3529,0.3519,0.350962,0.315562,0.3479,0.319724,0.347062,0.334386,0.3424,0.347662,0.311524,0.354862,0.353562,0.3532,0.353124,0.3186859999999999,0.3526,0.323762,0.3532,0.337124,0.354862,0.349124,0.309648,0.359562,0.352462,0.352624,0.352962,0.3168,0.3534,0.322462,0.3549,0.336762,0.359362,0.3478,0.231919,0.2862,0.290675,0.28792,0.246673,0.259319,0.271773,0.281773
11,0.197632,0.316716,0.3222,0.32844,0.241116,0.259016,0.276748,0.302816,0.313204,0.344104,0.355204,0.354404,0.353204,0.319504,0.349904,0.3233,0.348504,0.337808,0.344604,0.3503,0.316404,0.356704,0.356404,0.356,0.355712,0.3229,0.3551,0.3272,0.3548,0.340204,0.3564,0.3509,0.314908,0.3608,0.354612,0.3546,0.355304,0.3220159999999999,0.355304,0.326604,0.3568,0.339404,0.360304,0.350704,0.236148,0.29,0.2925,0.2913,0.249916,0.2624,0.2737,0.284116
12,0.202959,0.320018,0.3266,0.33056,0.246159,0.261795,0.2815210000000001,0.308236,0.3176,0.346046,0.3578,0.3563,0.3549,0.322484,0.351692,0.326792,0.3506,0.341346,0.3464,0.3526,0.320184,0.358046,0.3587,0.3582,0.358546,0.3264,0.356892,0.329392,0.3566,0.344046,0.357892,0.353346,0.3178,0.362746,0.3592,0.356846,0.3569,0.3262,0.357446,0.331146,0.358492,0.342746,0.362446,0.352746,0.2398,0.291759,0.295075,0.29416,0.2534,0.2647,0.275659,0.285859
13,0.2099,0.3226,0.3293,0.3336,0.250508,0.265702,0.28861,0.3113,0.320588,0.3475,0.3598,0.357888,0.3567,0.325776,0.3534879999999999,0.3297,0.3522,0.344276,0.3479879999999999,0.355688,0.325576,0.3596,0.362352,0.361,0.3606,0.3294,0.3588,0.3326,0.3587,0.347376,0.3597,0.3554,0.3237879999999999,0.3644,0.361976,0.359664,0.359852,0.3292,0.359988,0.3352,0.3605879999999999,0.3456,0.3642,0.354876,0.2432,0.293504,0.2978,0.2968,0.257502,0.267204,0.278006,0.287502
