percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0458,0.103274,0.0,0.0,0.063923,0.076151,0.095876,0.103377,0.089591,0.0855819999999999,0.0894819999999999,0.087873,0.086491,0.089591,0.085691,0.090419,0.085691,0.089591,0.0855819999999999,0.089591,0.1444879999999999,0.143928,0.149976,0.148376,0.145176,0.1444879999999999,0.143928,0.1446879999999999,0.143928,0.14764,0.143928,0.1511,0.127468,0.133578,0.136,0.132168,0.134045,0.127468,0.1333889999999999,0.127867,0.1333889999999999,0.135278,0.133578,0.133856,0.079,0.101136,0.0,0.0,0.086948,0.091234,0.0987,0.102378
1,0.0514499999999999,0.110116,0.107612,0.110714,0.073284,0.083102,0.1,0.107724,0.0990559999999999,0.092482,0.097782,0.096,0.094446,0.0990559999999999,0.093482,0.0995279999999999,0.093482,0.099446,0.092482,0.098346,0.152352,0.154428,0.155476,0.1554,0.154776,0.152176,0.154428,0.152476,0.154428,0.1542,0.154428,0.155552,0.14528,0.150912,0.155546,0.155334,0.153378,0.14528,0.15038,0.146256,0.15038,0.154358,0.150912,0.157768,0.0860499999999999,0.105,0.10428,0.11384,0.092548,0.097234,0.102196,0.1047
2,0.0589,0.1131,0.1144,0.116357,0.0797689999999999,0.088851,0.1047,0.1147,0.106546,0.098319,0.1061029999999999,0.103819,0.1018,0.106892,0.100019,0.1077379999999999,0.0998,0.108046,0.098319,0.107146,0.156764,0.159092,0.1585639999999999,0.159028,0.159456,0.156764,0.159092,0.156992,0.159092,0.1594,0.159092,0.160728,0.158835,0.164401,0.166568,0.168134,0.166701,0.158835,0.164167,0.158203,0.164167,0.166734,0.164401,0.1696669999999999,0.090775,0.109231,0.11302,0.1152,0.0967,0.099951,0.1039,0.1072
3,0.0648,0.1149,0.1195,0.124,0.0835,0.092904,0.108664,0.117008,0.112092,0.103792,0.111264,0.1097279999999999,0.106892,0.112264,0.1059,0.1129479999999999,0.105,0.113092,0.103792,0.112264,0.161652,0.163,0.163552,0.162852,0.163052,0.161456,0.163,0.1612,0.163,0.164152,0.163,0.1641,0.1682,0.176256,0.176012,0.178212,0.1781,0.1682,0.176256,0.168456,0.175936,0.17408,0.176256,0.175668,0.0937,0.113436,0.11576,0.1166,0.099796,0.102968,0.105892,0.1098119999999999
4,0.06835,0.12199,0.122095,0.1251,0.086315,0.0959,0.1111849999999999,0.119185,0.117855,0.108,0.1165,0.113865,0.1112549999999999,0.117955,0.110255,0.11841,0.1089,0.1189,0.108,0.117855,0.16608,0.16794,0.1673,0.1671399999999999,0.16744,0.16588,0.16794,0.166,0.16794,0.1672799999999999,0.16794,0.1684,0.1732,0.1835,0.18279,0.185545,0.185845,0.17329,0.18339,0.173935,0.18319,0.179345,0.1835,0.182945,0.096,0.11628,0.1173,0.1192,0.10282,0.1055,0.10779,0.1133
5,0.0722,0.1245,0.124534,0.127228,0.0894,0.0983,0.114382,0.1205,0.1226,0.111546,0.1201,0.1175,0.1151,0.1226,0.1132,0.1228379999999999,0.112246,0.123046,0.111546,0.1222759999999999,0.1703,0.172784,0.1711,0.1712,0.172256,0.1703,0.172784,0.169696,0.172784,0.170328,0.172784,0.1717,0.178068,0.190202,0.1864,0.190034,0.191168,0.178034,0.1904,0.1786,0.189968,0.1846,0.190202,0.186834,0.0985,0.119254,0.1193,0.1208,0.1043,0.108002,0.112,0.1166
6,0.0752,0.1257,0.126046,0.129066,0.091761,0.100819,0.118379,0.122139,0.1264,0.114237,0.123,0.120637,0.118337,0.1266,0.1165,0.126837,0.115637,0.1266,0.114237,0.125737,0.174216,0.178348,0.174416,0.175016,0.177,0.174016,0.178348,0.173916,0.1782159999999999,0.174916,0.178348,0.174832,0.182523,0.195023,0.1908,0.195223,0.1956,0.182523,0.195623,0.183,0.1954229999999999,0.187669,0.195023,0.190423,0.100375,0.1208,0.12068,0.1222,0.106168,0.1096,0.1147,0.118838
7,0.0781,0.1268,0.1287,0.1332,0.0947,0.103236,0.120252,0.1251,0.130528,0.117156,0.1266,0.123228,0.120928,0.1306,0.119228,0.131156,0.1182,0.130756,0.117156,0.1293,0.176812,0.1816,0.177304,0.178604,0.180408,0.1767,0.1816,0.1767,0.1816,0.1773,0.1816,0.1776,0.1864,0.199212,0.1947,0.198212,0.1996,0.186312,0.1997,0.1866239999999999,0.199612,0.190512,0.199212,0.194612,0.1025,0.1217,0.1235,0.1266,0.108592,0.1117,0.117252,0.122224
8,0.0804,0.1283,0.1305019999999999,0.137484,0.098107,0.1061,0.1223459999999999,0.1283929999999999,0.133319,0.119519,0.1299189999999999,0.1257,0.1242,0.133838,0.122357,0.134119,0.120719,0.134371,0.119519,0.132219,0.1797919999999999,0.1848,0.1799,0.181892,0.183168,0.1796,0.1848,0.179692,0.184776,0.1789919999999999,0.1848,0.1796,0.1907,0.202601,0.197701,0.201801,0.202902,0.190501,0.203201,0.190401,0.2032,0.192901,0.202601,0.197501,0.104425,0.1228,0.1252,0.12902,0.110916,0.114106,0.120682,0.1237
9,0.0837,0.12998,0.13319,0.1419,0.1008,0.10807,0.12467,0.1311,0.1377,0.1226,0.13272,0.12931,0.1261,0.13771,0.1249,0.1382199999999999,0.1235,0.13791,0.1226,0.13552,0.183,0.188,0.18186,0.1843,0.1854,0.1828,0.18798,0.1831,0.18798,0.18188,0.188,0.1821,0.19359,0.206,0.2014,0.20559,0.2072,0.1935,0.2069,0.1935,0.20708,0.19579,0.206,0.2002,0.106,0.124,0.128,0.1304,0.1131,0.1167,0.12306,0.1251
