percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0484,0.0,0.0,0.0,0.07536,0.08312,0.09958,0.0,0.0862,0.0,0.0,0.0,0.0989599999999999,0.10608,0.11542,0.0474399999999998
1,0.0552,0.11056,0.0,0.0,0.0845,0.09144,0.11196,0.11098,0.0967399999999999,0.1324,0.0,0.0,0.1074799999999999,0.1137799999999999,0.1228,0.13088
2,0.06336,0.1184,0.11882,0.11692,0.0891,0.0986,0.11492,0.1174,0.10202,0.1362,0.13624,0.13664,0.11162,0.11882,0.1272,0.1334199999999999
3,0.06906,0.12588,0.1308,0.13216,0.0924,0.10316,0.1173,0.1213,0.10716,0.1386,0.1389,0.14016,0.11556,0.1226,0.1312,0.13696
4,0.0748,0.1307,0.1337,0.1347,0.0954,0.1068,0.1191,0.1264,0.1104,0.1399,0.1421,0.143,0.1199,0.1255,0.1348,0.1404
5,0.07944,0.13304,0.1356,0.13818,0.0982,0.11,0.1208,0.13038,0.11264,0.1416,0.1436,0.1443,0.12334,0.1283399999999999,0.1367,0.14174
6,0.08366,0.13518,0.13698,0.1408,0.1016,0.1122,0.12364,0.13238,0.1146799999999999,0.1428,0.1449,0.14528,0.1252,0.1308,0.1384,0.1432
7,0.0871,0.1378,0.1383,0.1427,0.1051,0.1143,0.1252,0.13462,0.11722,0.1439,0.146,0.1465,0.1267,0.13282,0.14062,0.1438
8,0.0896199999999999,0.1398599999999999,0.1408599999999999,0.1441599999999999,0.1074,0.11616,0.1273,0.13656,0.1192,0.1454,0.1467,0.1482,0.12866,0.1343,0.1427,0.1444
9,0.0928,0.1419,0.143,0.1456,0.1093,0.1188,0.1298,0.1392,0.1211,0.1467,0.1476,0.1521,0.1312,0.1357,0.1444,0.1452
10,0.09504,0.1431,0.1452,0.1466,0.11194,0.12128,0.13224,0.14214,0.12344,0.1486,0.15,0.1535,0.13264,0.1377,0.1459,0.146
11,0.0972,0.1441,0.1471,0.1488,0.1146,0.12368,0.13474,0.1435,0.12498,0.14968,0.151,0.1566,0.1342,0.1392,0.1473,0.14728
12,0.0991,0.1453,0.1493199999999999,0.1498,0.1165,0.12572,0.13752,0.1445199999999999,0.1266,0.15062,0.153,0.1577,0.1353,0.14112,0.1483199999999999,0.1483199999999999
13,0.10076,0.14686,0.1506,0.15066,0.11888,0.12782,0.1398,0.14566,0.1292,0.1522,0.1552,0.15876,0.13736,0.1424,0.1494,0.1493
14,0.1032,0.1486,0.1519,0.1531,0.1208,0.1295,0.1422,0.1464,0.131,0.1539,0.1582,0.1599,0.139,0.1437,0.1505,0.1502
15,0.10554,0.15008,0.1531,0.1557,0.1226,0.1313399999999999,0.1442,0.1481,0.13264,0.1559,0.15974,0.16124,0.1408,0.1451,0.1513,0.15144
16,0.10718,0.1513,0.15438,0.157,0.12388,0.13338,0.14596,0.1499,0.13398,0.1574,0.1608,0.163,0.1423,0.1462,0.1524,0.15318
17,0.1090199999999999,0.1523,0.15582,0.1577,0.126,0.1349199999999999,0.1476,0.15122,0.1361,0.1591,0.1618,0.1644199999999999,0.14372,0.1475,0.15342,0.1548199999999999
18,0.1117,0.154,0.1567,0.1588,0.12786,0.13656,0.14926,0.152,0.1377,0.1602,0.1631,0.1651,0.146,0.149,0.15436,0.15736
19,0.1134,0.1559,0.1575,0.16,0.1297,0.1387,0.1508,0.1532,0.1395,0.1617,0.1644,0.1662,0.1473,0.1503,0.1551,0.1592
20,0.1156399999999999,0.1575,0.1591,0.1613,0.13144,0.13994,0.15204,0.1545,0.1412,0.1634,0.16534,0.1668,0.1484,0.1512,0.1561,0.1603
21,0.1179,0.15848,0.16028,0.16288,0.1331,0.1428,0.1532,0.1555,0.1425,0.1647,0.1668,0.1671,0.1498,0.15238,0.1573,0.1617
22,0.1198,0.1594,0.1616,0.1645,0.13522,0.1447,0.1549,0.1563,0.14362,0.1658,0.1676,0.16772,0.15102,0.15342,0.15894,0.16332
23,0.1214,0.16046,0.1637,0.16636,0.1373,0.14686,0.15616,0.15772,0.1454,0.1675,0.16856,0.1685,0.1521,0.1545,0.1612,0.16436
24,0.1236,0.1624,0.1654,0.1689,0.14,0.1482,0.1581,0.1589,0.1469,0.1689,0.1695,0.1692,0.1532,0.1558,0.1622,0.1657
25,0.1253,0.16354,0.16698,0.17084,0.14236,0.1509,0.1593,0.1601,0.14818,0.17,0.1701,0.1702,0.1545,0.1571,0.1635,0.1672
26,0.12748,0.16468,0.16948,0.172,0.14448,0.15238,0.16038,0.1611,0.1494,0.1705,0.1707,0.1711,0.1557,0.1586,0.1654,0.1688
27,0.1294,0.168,0.1708,0.1731,0.14612,0.1545,0.1621,0.1622,0.1508,0.1715,0.1713,0.1716,0.1572,0.16,0.16672,0.1699
28,0.131,0.1702,0.173,0.1744,0.14836,0.1563,0.16296,0.16326,0.15236,0.1725,0.1721599999999999,0.1722,0.1585,0.161,0.1676,0.1709
29,0.133,0.1715,0.1763,0.1757,0.1498,0.1575,0.1647,0.1652,0.1539,0.1732,0.1734,0.1745,0.1602,0.163,0.1684,0.1717
30,0.1351,0.17264,0.1774,0.17844,0.1516,0.1589,0.16568,0.1668,0.1554,0.17394,0.1747,0.17604,0.1616,0.1646,0.1698,0.1728
31,0.1369,0.17438,0.17858,0.1809,0.1529,0.16,0.1671,0.1691,0.1573,0.17506,0.17648,0.17854,0.1629,0.1662,0.17098,0.1739
