percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.030137,0.1648,0.162679,0.0,0.037195,0.114816,0.142258,0.157137,0.027958,0.069937,0.067179,0.0,0.040695,0.047795,0.0558689999999999,0.0693
1,0.0555119999999999,0.168458,0.167516,0.165232,0.1082,0.126358,0.156,0.1667,0.034248,0.071658,0.0741,0.072,0.047,0.0542,0.065216,0.070858
2,0.087685,0.173237,0.172081,0.171337,0.119648,0.141633,0.166237,0.175874,0.042111,0.081558,0.083548,0.080937,0.0536,0.059148,0.0713,0.0736479999999999
3,0.097432,0.1974,0.202932,0.197128,0.1253,0.148916,0.172732,0.179732,0.049816,0.090296,0.0993,0.095748,0.0583,0.065432,0.075196,0.082516
4,0.1025949999999999,0.203975,0.2054,0.202295,0.131685,0.1538,0.17618,0.184685,0.052895,0.1000949999999999,0.102,0.1032,0.063495,0.070775,0.0791,0.088295
5,0.108374,0.206848,0.210448,0.210274,0.1398,0.158074,0.180018,0.191696,0.0602,0.107348,0.1053,0.1042,0.070496,0.076,0.082148,0.093474
6,0.113112,0.209653,0.211453,0.213453,0.144353,0.1626,0.184106,0.197153,0.065153,0.1083529999999999,0.106053,0.105506,0.073553,0.0789,0.0861,0.102483
7,0.117132,0.212632,0.2139,0.2156,0.149024,0.166164,0.189264,0.206832,0.068632,0.109132,0.1069,0.1071,0.076532,0.08156,0.095664,0.112932
8,0.1211439999999999,0.215211,0.216111,0.216422,0.154222,0.169211,0.191,0.2115,0.0733,0.1123219999999999,0.1109,0.109511,0.0807219999999999,0.0867,0.1001109999999999,0.1161
9,0.12717,0.2173,0.218,0.21769,0.1585899999999999,0.17376,0.1958899999999999,0.2138,0.07578,0.1146,0.113,0.113,0.0865,0.09247,0.1028,0.1174
10,0.131107,0.2202,0.2196,0.2189,0.163969,0.1798,0.201207,0.216369,0.0806,0.119769,0.1166,0.116138,0.092138,0.0955,0.1142629999999999,0.1183
11,0.134896,0.2218,0.220848,0.220848,0.168696,0.184748,0.205348,0.2194,0.084248,0.121248,0.1221,0.1221,0.0976,0.101464,0.124096,0.120548
12,0.1387,0.2231,0.2224,0.222027,0.171827,0.189427,0.208827,0.2208,0.092027,0.125627,0.1253969999999999,0.123808,0.100254,0.107681,0.1282,0.123408
13,0.142006,0.2243,0.2243,0.2236,0.175006,0.193312,0.2123,0.222312,0.103706,0.1287,0.129112,0.127606,0.1075,0.11246,0.131506,0.1276479999999999
14,0.1466849999999999,0.225485,0.2266,0.225185,0.1779,0.195985,0.2147,0.22367,0.1118899999999999,0.1378,0.1319199999999999,0.1293,0.1206249999999999,0.1246649999999999,0.1345,0.133595
15,0.150164,0.2267,0.2296639999999999,0.2282,0.1809639999999999,0.1979,0.2177,0.2251,0.121376,0.1396639999999999,0.137964,0.131764,0.1244639999999999,0.1400399999999999,0.1438,0.1512639999999998
16,0.152,0.2292,0.232743,0.2362,0.1844289999999999,0.1997,0.2205,0.226743,0.130086,0.21386,0.141229,0.134929,0.145959,0.1554,0.1492,0.158143
17,0.1544,0.2308,0.2349,0.2413,0.187522,0.201322,0.2234219999999999,0.2288,0.1461859999999999,0.219444,0.2288879999999999,0.2322439999999999,0.1640879999999999,0.17351,0.18241,0.2115659999999999
18,0.157601,0.2333,0.237105,0.2436,0.190002,0.203101,0.226,0.231202,0.157713,0.226,0.231001,0.234802,0.1770119999999999,0.179202,0.204611,0.219701
19,0.16216,0.23628,0.2408,0.24576,0.19228,0.20576,0.22968,0.2333,0.16446,0.22808,0.23298,0.23708,0.18472,0.18634,0.21138,0.22258
20,0.1666,0.2385,0.2432,0.248318,0.197218,0.209518,0.2312769999999999,0.2354,0.1691,0.231359,0.2357129999999999,0.2428,0.188736,0.1914769999999999,0.215195,0.2259
21,0.169038,0.240376,0.246276,0.251138,0.200552,0.2135,0.2338,0.2368,0.174114,0.233038,0.238942,0.2455,0.192038,0.197576,0.219976,0.227638
22,0.171917,0.243017,0.2492,0.253317,0.203317,0.2165,0.235717,0.238317,0.179268,0.236517,0.2414,0.2468,0.1966,0.203934,0.2252,0.229317
23,0.1763,0.245396,0.252392,0.2554,0.2065,0.219392,0.237396,0.240396,0.184592,0.239096,0.244884,0.2481,0.200976,0.2082,0.2272,0.230496
24,0.18,0.248175,0.254475,0.257075,0.2095,0.222925,0.2388,0.24375,0.188475,0.2413,0.247975,0.249875,0.20505,0.21105,0.22905,0.233475
25,0.181454,0.250262,0.2561,0.259854,0.212362,0.227654,0.241954,0.2457,0.192608,0.2452319999999999,0.252062,0.255854,0.208024,0.214854,0.230954,0.237362
26,0.1847,0.252033,0.2581,0.262133,0.2155,0.230533,0.244433,0.248433,0.1971,0.251566,0.2547,0.2592,0.210433,0.218599,0.232833,0.240033
27,0.1882,0.254924,0.2613,0.2642359999999999,0.2176,0.234,0.247,0.249712,0.200736,0.254512,0.256012,0.2647,0.212912,0.22476,0.2345,0.242812
28,0.1913,0.258691,0.2623,0.2673,0.2191,0.2374819999999999,0.249273,0.252491,0.203373,0.257791,0.2588,0.2696,0.215091,0.2277819999999999,0.2354,0.2453
29,0.19537,0.26492,0.2648,0.26947,0.2220799999999999,0.2407699999999999,0.2515,0.25575,0.20617,0.26097,0.26184,0.27204,0.2182,0.2312,0.237,0.2508699999999999
30,0.198198,0.2681,0.267249,0.271,0.2242,0.243649,0.2548,0.258149,0.208098,0.263149,0.264749,0.274,0.2204,0.2327,0.238647,0.2581
31,0.201212,0.2698,0.269,0.273528,0.226528,0.245956,0.2583,0.2603,0.2102,0.265956,0.269868,0.2763,0.2223,0.2347,0.240628,0.2642
32,0.206207,0.2718,0.270907,0.275014,0.229507,0.2489,0.2618,0.263614,0.213,0.268428,0.275028,0.2783,0.2254,0.236207,0.2428,0.2657
33,0.209286,0.2733859999999999,0.2738,0.2771,0.231758,0.251786,0.264072,0.266172,0.214486,0.270486,0.278286,0.2813,0.228486,0.238286,0.245086,0.267586
34,0.212165,0.275765,0.27669,0.2786,0.2342,0.2541299999999999,0.2669,0.2679,0.217025,0.2713,0.279995,0.285095,0.231695,0.2399,0.2486,0.269565
35,0.2158879999999999,0.2774439999999999,0.278744,0.2797,0.2379879999999999,0.255944,0.2686,0.2705,0.2198439999999999,0.2741,0.2827,0.2877,0.235344,0.2422879999999999,0.250544,0.271344
36,0.219046,0.2783,0.2821,0.2813,0.2417,0.2581,0.271315,0.276546,0.221323,0.277315,0.284323,0.290615,0.237,0.2445,0.253938,0.2733
37,0.2226,0.279902,0.284104,0.2841,0.245102,0.261102,0.274306,0.280406,0.2250079999999999,0.281004,0.285904,0.293602,0.2394,0.246102,0.257408,0.2754
38,0.2251,0.281562,0.2866,0.285681,0.2492,0.263462,0.276481,0.283481,0.227,0.2848,0.2885,0.2949,0.2415,0.248462,0.261781,0.276681
39,0.2289,0.28412,0.28856,0.2887,0.25256,0.26558,0.27866,0.2859,0.22896,0.28678,0.2914,0.29586,0.24576,0.25096,0.26558,0.27852
40,0.231939,0.2894,0.289939,0.2904,0.2565,0.267939,0.281451,0.287978,0.231539,0.289139,0.293839,0.2966,0.248239,0.253917,0.271139,0.2797
41,0.2352,0.291818,0.291,0.2928,0.259818,0.271318,0.2845359999999999,0.2903,0.2354,0.2901,0.296354,0.2972,0.2504,0.2562,0.2739359999999999,0.2814
42,0.2388,0.294097,0.2926,0.2947,0.263097,0.272794,0.2858,0.292797,0.2374969999999999,0.291497,0.300097,0.2981,0.253297,0.258697,0.2772,0.282794
43,0.241452,0.295652,0.294552,0.296452,0.266252,0.2747279999999999,0.287176,0.2969,0.241276,0.2933,0.301676,0.2989,0.2548,0.2598,0.280152,0.2853759999999999
44,0.24531,0.297355,0.2969,0.3006,0.26991,0.2778,0.2896,0.29891,0.2442,0.297155,0.3026,0.2998,0.25701,0.2616549999999999,0.283155,0.2877
45,0.2492,0.301068,0.298234,0.304334,0.273734,0.280734,0.292934,0.3003,0.2462,0.2984,0.304034,0.3014,0.2585,0.263502,0.289034,0.289768
46,0.251113,0.303213,0.3006259999999999,0.3061129999999999,0.2758,0.2831,0.295713,0.3021,0.2486129999999999,0.2995259999999999,0.304913,0.301913,0.260013,0.265913,0.2909,0.292826
47,0.253592,0.3046,0.302892,0.309092,0.2787,0.2861,0.298276,0.3034,0.252492,0.3021,0.3056,0.3031,0.2624,0.2682,0.2927,0.2960919999999999
48,0.256955,0.306,0.304971,0.310671,0.281271,0.2881,0.300742,0.305271,0.2557,0.3042,0.3063,0.304671,0.2658,0.271571,0.294971,0.2989
49,0.2612,0.30795,0.3085,0.3123,0.2839,0.29045,0.30305,0.3083,0.2578,0.3059,0.3068,0.30595,0.26775,0.27625,0.2971,0.3012
50,0.263429,0.3097,0.3113,0.3146,0.2869,0.293058,0.3056,0.310629,0.260229,0.307629,0.3078,0.3067,0.271529,0.280029,0.2994,0.3028
51,0.265708,0.311108,0.3149,0.317416,0.2899,0.2969,0.309432,0.312808,0.262924,0.311508,0.3083,0.3081239999999999,0.274608,0.285308,0.301,0.305108
52,0.2689,0.313361,0.3188,0.319487,0.292887,0.2991,0.312587,0.3162220000000001,0.2672,0.313861,0.3089,0.309587,0.277687,0.292948,0.302687,0.306987
53,0.273866,0.3169,0.322466,0.3223,0.295966,0.301866,0.315032,0.319866,0.270666,0.315966,0.310166,0.310966,0.280666,0.2984,0.306464,0.3095
54,0.277,0.320945,0.3245,0.32479,0.298145,0.304835,0.317135,0.324045,0.273245,0.317945,0.311745,0.313035,0.2835,0.3013,0.309145,0.311245
55,0.279948,0.322748,0.326772,0.327424,0.300848,0.307824,0.319224,0.3262,0.2763,0.320024,0.3128,0.314324,0.286724,0.30442,0.3135,0.314
56,0.2829,0.3254,0.3292,0.334906,0.3061,0.311112,0.3218150000000001,0.3278,0.278806,0.3209,0.313503,0.315703,0.291012,0.306703,0.3159060000000001,0.3152
57,0.2868639999999999,0.328982,0.3311,0.337982,0.3081,0.315,0.3242819999999999,0.329382,0.2842099999999999,0.3216819999999999,0.3149,0.3173,0.2954819999999999,0.309446,0.3185639999999999,0.3167
