percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.0795,0.152972,0.248608,0.291659,0.096995,0.099298,0.118744,0.138229,0.359955,0.411731,0.398031,0.400424,0.401031,0.360486,0.406031,0.364855,0.4116,0.378662,0.411731,0.390886,0.372353,0.415769,0.4011,0.403569,0.4061,0.373207,0.4135,0.373969,0.415769,0.382445,0.415769,0.39483,0.361152,0.411628,0.394684,0.3983279999999999,0.401528,0.365124,0.4102,0.3672399999999999,0.411628,0.377068,0.411628,0.3883399999999999,0.1075,0.165862,0.18788,0.200359,0.118759,0.131254,0.142939,0.154654
1,0.103836,0.250208,0.3091,0.311918,0.12749,0.128672,0.1825,0.220218,0.373586,0.417586,0.403524,0.405724,0.407862,0.374562,0.413462,0.376448,0.417262,0.391286,0.417586,0.398024,0.385238,0.422092,0.405492,0.408846,0.412092,0.385584,0.417338,0.386076,0.422092,0.395346,0.422092,0.399946,0.3778,0.417556,0.402,0.405312,0.407912,0.378712,0.416068,0.381656,0.417556,0.389392,0.417556,0.3973,0.134926,0.225854,0.215894,0.230852,0.1727,0.158834,0.180506,0.210034
2,0.120893,0.307071,0.316031,0.326754,0.1571399999999999,0.185116,0.221408,0.262654,0.385386,0.422879,0.409093,0.410893,0.413393,0.386293,0.418186,0.389386,0.4223,0.3983649999999999,0.422879,0.404623,0.391369,0.4265069999999999,0.409869,0.412469,0.416038,0.392138,0.4210689999999999,0.395269,0.425438,0.402207,0.4265069999999999,0.405269,0.38642,0.423184,0.408668,0.410084,0.414384,0.388456,0.4195,0.393188,0.422768,0.398352,0.423184,0.402868,0.186754,0.246416,0.265277,0.276278,0.192462,0.195862,0.2220079999999999,0.2417079999999999
3,0.139008,0.317936,0.326472,0.337472,0.18306,0.206372,0.256572,0.2907120000000001,0.394672,0.426248,0.412524,0.4156,0.4189,0.396468,0.423524,0.398524,0.4256,0.406024,0.426248,0.4082,0.400684,0.4291,0.415092,0.418384,0.4195,0.40186,0.425392,0.402792,0.428692,0.4083,0.4291,0.4108759999999999,0.398612,0.4274,0.412512,0.416012,0.4176,0.398724,0.424212,0.400312,0.4271359999999999,0.4057,0.4274,0.4082,0.208236,0.268224,0.283336,0.294552,0.22968,0.23986,0.255832,0.259108
4,0.147985,0.3237,0.333795,0.344395,0.200155,0.22449,0.278595,0.30789,0.40172,0.42961,0.416355,0.421355,0.4245549999999999,0.403395,0.4276,0.40622,0.429455,0.4116,0.42961,0.41251,0.4075149999999999,0.432,0.420915,0.423015,0.425205,0.407745,0.429515,0.408815,0.431515,0.4132,0.432,0.41706,0.40584,0.43172,0.41794,0.4209,0.4229,0.4057,0.42722,0.40702,0.43134,0.4104,0.43172,0.41318,0.2233,0.2824649999999999,0.2995,0.302,0.245595,0.2543,0.268985,0.2683
5,0.159162,0.330854,0.3385,0.346854,0.21227,0.240562,0.288308,0.318562,0.409972,0.43473,0.4219859999999999,0.4258,0.427686,0.409972,0.431158,0.411272,0.4336,0.4154,0.43473,0.419172,0.4126,0.435452,0.4249,0.427076,0.429776,0.413738,0.433738,0.416676,0.4352,0.4199759999999999,0.435452,0.421676,0.410668,0.4359,0.422436,0.42604,0.427604,0.4107,0.431368,0.411668,0.435168,0.4166,0.4359,0.419468,0.2361,0.303654,0.305254,0.306662,0.254708,0.261454,0.2732,0.2829399999999999
6,0.168352,0.3455,0.34813,0.354313,0.22093,0.2475,0.2949,0.326852,0.414134,0.438,0.4271,0.429217,0.4324,0.4147,0.435934,0.416934,0.437334,0.420368,0.438,0.424134,0.419622,0.441222,0.428461,0.4307,0.433444,0.420922,0.437861,0.4221,0.4402,0.425722,0.441222,0.426661,0.4153,0.4398,0.4270919999999999,0.429896,0.432884,0.4159,0.4356959999999999,0.417592,0.4388,0.4209,0.4398,0.4230959999999999,0.2451,0.317513,0.3118,0.3103,0.262639,0.275252,0.2867980000000003,0.319065
7,0.1782719999999999,0.3486,0.355544,0.360516,0.2281439999999999,0.256948,0.301772,0.331372,0.419196,0.442048,0.430048,0.433248,0.436148,0.419648,0.4386,0.420748,0.4408,0.425596,0.442048,0.4281,0.424868,0.4443,0.431884,0.4353,0.437784,0.424984,0.442384,0.427384,0.443984,0.4297,0.4443,0.430384,0.4193159999999999,0.4429,0.4321,0.434024,0.43652,0.420624,0.4404,0.4218,0.442448,0.4261,0.4429,0.427524,0.251972,0.326072,0.319772,0.326864,0.274572,0.284244,0.307516,0.329072
8,0.1855,0.351631,0.359593,0.366831,0.233262,0.268831,0.3076,0.339031,0.422579,0.445316,0.434,0.436779,0.439658,0.4229,0.442358,0.4265,0.444558,0.4287,0.445316,0.431137,0.4286419999999999,0.4483069999999999,0.436635,0.438814,0.4411,0.429314,0.4452069999999999,0.431221,0.447507,0.4341069999999999,0.4483069999999999,0.434014,0.4247559999999999,0.445804,0.4353,0.4378559999999999,0.44076,0.425456,0.443952,0.4262559999999999,0.445056,0.4325,0.445804,0.433112,0.258531,0.3306,0.333831,0.341486,0.2809,0.2911,0.315362,0.337531
9,0.19369,0.35539,0.36249,0.3739,0.24045,0.2746,0.3115,0.34909,0.4274,0.4485,0.43691,0.4397,0.44383,0.42751,0.446,0.42932,0.4473,0.4328,0.4485,0.434,0.43356,0.4512299999999999,0.44016,0.4419,0.4447299999999999,0.4343,0.44813,0.43553,0.44986,0.43743,0.4512299999999999,0.43773,0.42814,0.44954,0.4388,0.44176,0.4439,0.42956,0.44698,0.43206,0.44858,0.43648,0.44954,0.4370799999999999,0.2634,0.33567,0.3403899999999999,0.34429,0.28659,0.29679,0.3212899999999999,0.3403
