percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.038,0.077164,0.077528,0.0,0.051264,0.056968,0.0665,0.0752,0.090812,0.0926,0.0943529999999999,0.094165,0.0939,0.091159,0.0926,0.091159,0.0926,0.0923529999999999,0.0926,0.093206,0.11019,0.12179,0.1185,0.120295,0.1212,0.11019,0.12179,0.11116,0.12179,0.11509,0.12179,0.1145949999999999,0.1042999999999999,0.12666,0.1228,0.1258,0.12666,0.1042999999999999,0.12666,0.10538,0.12666,0.1104,0.12666,0.12016,0.051492,0.0684,0.0676,0.0,0.058084,0.0607,0.061028,0.0657
1,0.0428,0.080328,0.085328,0.090284,0.058228,0.064928,0.0735,0.078228,0.098518,0.098206,0.1014,0.101406,0.099866,0.098912,0.098206,0.099218,0.098206,0.09953,0.098206,0.100818,0.11715,0.1268,0.1242799999999999,0.12548,0.1260899999999999,0.11756,0.1268,0.1176,0.1268,0.1192,0.1268,0.12169,0.11438,0.13298,0.12788,0.12988,0.13272,0.1152,0.13298,0.11644,0.13298,0.1206,0.13298,0.12328,0.055828,0.069128,0.0711,0.073284,0.0612,0.064,0.065456,0.0689
2,0.047868,0.086,0.091092,0.092892,0.0618839999999999,0.0708,0.076584,0.0828,0.1032,0.104295,0.105536,0.106518,0.105918,0.103077,0.104295,0.1035,0.104295,0.103718,0.104295,0.106036,0.12047,0.1301,0.12737,0.128985,0.1303399999999999,0.120755,0.1301,0.1216,0.1301,0.1238099999999999,0.1301,0.12597,0.11978,0.1365,0.13124,0.1344,0.13604,0.11994,0.1365,0.1212,0.1365,0.12426,0.1365,0.1288399999999999,0.058376,0.070692,0.0724,0.076584,0.0637,0.065692,0.0691,0.0701
3,0.0525,0.088512,0.092956,0.0941,0.067124,0.074556,0.0795,0.085156,0.1066,0.10806,0.108412,0.109012,0.108948,0.1066,0.10806,0.1069,0.10806,0.107824,0.10806,0.1089,0.12508,0.13316,0.13078,0.132,0.13298,0.12528,0.13316,0.126,0.13316,0.127,0.13316,0.12916,0.12322,0.14036,0.13422,0.1381,0.13934,0.12332,0.14036,0.1259,0.14036,0.12852,0.14036,0.1324199999999999,0.06,0.072568,0.07586,0.077556,0.0656,0.0672,0.0707,0.0713
4,0.05662,0.09162,0.0947,0.0966,0.0735,0.0769,0.08184,0.0876,0.1089649999999999,0.1112649999999999,0.11063,0.1123,0.112165,0.1089649999999999,0.1112649999999999,0.109765,0.1112649999999999,0.11033,0.1112649999999999,0.110895,0.126975,0.136375,0.13355,0.13535,0.136675,0.127,0.136375,0.12815,0.136375,0.12935,0.136375,0.131925,0.1268,0.1427,0.1381,0.1406,0.1424,0.1274,0.1427,0.1293,0.1427,0.1326,0.1427,0.1354,0.0617,0.0749399999999999,0.07902,0.0787,0.06732,0.06962,0.0722,0.0727
5,0.060768,0.0943,0.0958,0.097984,0.0761,0.080368,0.086284,0.090336,0.111518,0.1135,0.113218,0.114454,0.113954,0.111654,0.1135,0.1123,0.1135,0.113318,0.1135,0.113836,0.12904,0.1382,0.13574,0.1372,0.13877,0.1289,0.1382,0.12997,0.1382,0.13154,0.1382,0.13411,0.13004,0.1449,0.1406,0.14268,0.1449,0.13052,0.1449,0.13188,0.1449,0.13658,0.1449,0.13818,0.0637,0.0787679999999999,0.0808,0.079284,0.0688,0.0709,0.0732,0.0749
6,0.063948,0.096,0.097348,0.0991,0.078848,0.0828,0.092048,0.0931,0.114055,0.1155419999999999,0.116371,0.117,0.116242,0.1143,0.1155419999999999,0.114371,0.1155419999999999,0.1161,0.1155419999999999,0.116271,0.1306,0.1404,0.137,0.1392,0.140465,0.1306,0.1404,0.131265,0.1404,0.133765,0.1404,0.136265,0.13338,0.14786,0.14248,0.14458,0.14752,0.13362,0.14786,0.1346,0.14786,0.13866,0.14786,0.14066,0.065548,0.0814,0.0816,0.081348,0.0701,0.0719,0.074648,0.076648
7,0.066312,0.0982,0.0986119999999999,0.1004,0.0813,0.085012,0.094912,0.096012,0.116596,0.117696,0.118696,0.1189,0.1185239999999999,0.1169,0.117696,0.116924,0.117696,0.118148,0.117696,0.118148,0.1325,0.1418,0.1388,0.1406,0.1413,0.13256,0.1418,0.13342,0.1418,0.13582,0.1418,0.13806,0.13568,0.1511,0.1449399999999999,0.14794,0.15018,0.13568,0.1511,0.1371,0.1511,0.14074,0.1511,0.14226,0.066712,0.0827,0.0822,0.0861,0.071,0.073212,0.0758,0.078612
8,0.068876,0.0996,0.099876,0.1017,0.083176,0.0881,0.096876,0.0983,0.1189079999999999,0.1191769999999999,0.1215,0.120877,0.121377,0.1191,0.1191769999999999,0.1189539999999999,0.1191769999999999,0.1206769999999999,0.1191769999999999,0.1208,0.1345,0.143,0.1402,0.1416,0.142755,0.1346099999999999,0.143,0.134855,0.143,0.13751,0.143,0.139355,0.138,0.15294,0.1477,0.1504,0.1521,0.13802,0.15294,0.1391,0.15294,0.142,0.15294,0.1446,0.067676,0.0839,0.0851519999999999,0.087676,0.0721,0.074476,0.0776,0.081
9,0.07158,0.1014,0.10218,0.1025,0.0848,0.0902,0.0983,0.10044,0.1207,0.12213,0.12323,0.12282,0.12296,0.12083,0.12213,0.1208,0.12213,0.12233,0.12213,0.12303,0.13595,0.14455,0.14145,0.1431,0.1438,0.13605,0.14455,0.1363,0.14455,0.13865,0.14455,0.1405,0.14,0.1554,0.1497,0.152,0.1542,0.1403,0.1554,0.1407,0.1554,0.1444,0.1554,0.1471,0.0686,0.085,0.0878,0.0891,0.0733,0.0756,0.07894,0.08204
10,0.0738,0.1021,0.1038,0.103204,0.0865,0.092304,0.0999,0.102104,0.122283,0.123683,0.1247829999999999,0.1247829999999999,0.1246,0.1223829999999999,0.123683,0.1223829999999999,0.123683,0.1241,0.123683,0.124649,0.137745,0.1456,0.1431,0.144645,0.14549,0.13789,0.1456,0.13819,0.1456,0.139745,0.1456,0.1412,0.1418599999999999,0.1572,0.1516,0.15386,0.1557,0.14198,0.1572,0.14288,0.1572,0.1472,0.1572,0.1492,0.0697,0.0858,0.0892,0.090008,0.0742,0.0764,0.080104,0.083504
11,0.0751,0.1032,0.105,0.1064,0.0878,0.0941,0.101168,0.1036,0.1241,0.126,0.126236,0.1266,0.126,0.1241,0.126,0.1241,0.126,0.125472,0.126,0.126172,0.1391399999999999,0.1469,0.1446,0.1458,0.1469,0.1392,0.1469,0.13934,0.1469,0.141,0.1469,0.14264,0.144,0.15916,0.15266,0.15566,0.1572599999999999,0.14426,0.15916,0.1453799999999999,0.15916,0.1487599999999999,0.15916,0.15102,0.0705679999999999,0.0868,0.0899679999999999,0.0925,0.075368,0.0774,0.0817,0.0851
12,0.077496,0.1047,0.1059959999999999,0.109,0.089764,0.095632,0.1025,0.1049,0.1258,0.1272889999999999,0.1275,0.1278,0.1272889999999999,0.1258,0.1272889999999999,0.125889,0.1272889999999999,0.127689,0.1272889999999999,0.127889,0.1403,0.148335,0.1457,0.147335,0.1482,0.1404,0.148335,0.1404,0.148335,0.142,0.148335,0.1438,0.14654,0.1609,0.1548,0.15748,0.15904,0.14668,0.1609,0.1474,0.1609,0.1506,0.1609,0.1525,0.0717,0.0891,0.0908,0.093732,0.076232,0.0785,0.0828,0.0871
13,0.079696,0.106,0.108496,0.1112,0.0918,0.096996,0.1038,0.105796,0.1277,0.1283,0.1299,0.1295,0.1283419999999999,0.127742,0.1283,0.127842,0.1283,0.129642,0.1283,0.1299,0.14123,0.14943,0.14673,0.1486,0.1494,0.14143,0.14943,0.14183,0.14943,0.14333,0.14943,0.1454,0.1482,0.1624,0.15622,0.15912,0.1609,0.1484,0.1624,0.14882,0.1624,0.152,0.1624,0.15422,0.072896,0.0897,0.092,0.0955,0.0771,0.079596,0.083992,0.088
14,0.0821,0.10896,0.11186,0.11256,0.0939,0.09856,0.1049,0.10716,0.1297,0.1296,0.1314,0.1307,0.129695,0.12969,0.1296,0.130195,0.1296,0.131595,0.1296,0.1318,0.1427,0.150825,0.1482,0.149625,0.1503,0.14285,0.150825,0.143,0.150825,0.144225,0.150825,0.1464,0.1495,0.1642,0.1576,0.1606,0.1624,0.1499,0.1642,0.1506,0.1642,0.1536,0.1642,0.1558,0.07376,0.09126,0.0934,0.09616,0.0778,0.0806,0.0853399999999999,0.08896
15,0.0837,0.1115,0.1129,0.113824,0.095548,0.100524,0.1063,0.1081,0.131548,0.130548,0.132948,0.132048,0.1308,0.1316,0.130548,0.1318,0.130548,0.1329,0.130548,0.132948,0.1438,0.152,0.14912,0.1503199999999999,0.15142,0.14384,0.152,0.1440199999999999,0.152,0.1462,0.152,0.14742,0.15136,0.16576,0.15946,0.1618,0.16388,0.1517,0.16576,0.1522,0.16576,0.1555,0.16576,0.1571,0.0747,0.092524,0.094924,0.097324,0.0789,0.081624,0.0885,0.0903
16,0.0853,0.113476,0.114488,0.1145,0.0973,0.102,0.107576,0.1094,0.133001,0.1318,0.1343,0.1334,0.132,0.133001,0.1318,0.133201,0.1318,0.134403,0.1318,0.134701,0.1458,0.153315,0.150215,0.1518,0.1526,0.1457,0.153315,0.145615,0.153315,0.14763,0.153315,0.149115,0.15236,0.1671,0.1606,0.16296,0.16536,0.15272,0.1671,0.15356,0.1671,0.15676,0.1671,0.15846,0.0754,0.0929,0.095988,0.0978,0.0797,0.0824,0.0908,0.0915
17,0.087152,0.1144,0.116,0.115,0.0985,0.1038,0.108952,0.110952,0.134008,0.1332,0.1357,0.1349,0.1336,0.1343,0.1332,0.134508,0.1332,0.136054,0.1332,0.1362,0.1469099999999999,0.1544,0.15101,0.1526,0.1538199999999999,0.14701,0.1544,0.14681,0.1544,0.14863,0.1544,0.1503,0.1540399999999999,0.1685,0.1615,0.16444,0.1667799999999999,0.1547,0.1685,0.1550399999999999,0.1685,0.1578,0.1685,0.1599,0.076152,0.093752,0.0967519999999999,0.0982,0.0804,0.0831519999999999,0.0916,0.0925
18,0.0882,0.1161,0.117016,0.1157,0.1001,0.1055,0.1107,0.1127,0.135121,0.134707,0.1368,0.1361,0.1351,0.1354,0.134707,0.1361,0.134707,0.136814,0.134707,0.137507,0.1483,0.1556,0.1522,0.1536,0.15461,0.1483,0.1556,0.1483,0.1556,0.1503,0.1556,0.1511,0.15522,0.1696,0.163,0.1654,0.1679199999999999,0.15572,0.1696,0.15592,0.1696,0.15934,0.1696,0.16164,0.077,0.095,0.0977,0.0987,0.0813,0.0841,0.0924,0.0933
19,0.0894,0.117,0.11826,0.1163,0.1016,0.1069,0.11188,0.11502,0.1367,0.1357,0.1375,0.1368,0.13616,0.1367,0.1357,0.13716,0.1357,0.13802,0.1357,0.1385,0.1497,0.1562,0.1533,0.1546,0.1558,0.15,0.1562,0.15,0.1562,0.1514,0.1562,0.1522,0.1566,0.1705,0.1643,0.1667,0.1691,0.1568,0.1705,0.1573,0.1705,0.1606,0.1705,0.1629,0.0779,0.09588,0.0985,0.0992,0.08208,0.085,0.0931,0.094
20,0.0916439999999999,0.1185,0.1199,0.1181759999999999,0.1027,0.1087,0.1139319999999999,0.117988,0.1381,0.136813,0.1388,0.137713,0.137413,0.138213,0.136813,0.138313,0.136813,0.139213,0.136813,0.140313,0.1508,0.1572,0.1543,0.1554,0.1565,0.151,0.1572,0.151,0.1572,0.1528,0.1572,0.1532849999999999,0.1583,0.1717,0.1654,0.16818,0.17028,0.1584,0.1717,0.15938,0.1717,0.16178,0.1717,0.1643,0.0791439999999999,0.0972319999999999,0.099044,0.0997,0.0827,0.0858,0.0938,0.0945439999999999
