percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.087382,0.19613,0.1985,0.207591,0.125282,0.142246,0.1716099999999999,0.1928389999999999,0.208876,0.2607,0.245176,0.2529,0.256852,0.211876,0.258928,0.216276,0.259876,0.22566,0.2607,0.2348,0.213952,0.267552,0.2516,0.2614,0.265476,0.2168,0.267552,0.220752,0.267552,0.2300559999999999,0.267552,0.2402,0.214252,0.272652,0.254776,0.2645,0.269152,0.217676,0.272652,0.2219,0.272652,0.232376,0.272652,0.243476,0.1346,0.184,0.188,0.1900919999999999,0.1484,0.158692,0.1704,0.18035
1,0.10092,0.20626,0.211766,0.2183,0.141764,0.159964,0.1844,0.201392,0.2174,0.268904,0.2526,0.2596,0.262452,0.220352,0.2654,0.2256,0.266904,0.2348,0.268904,0.244852,0.2208,0.275904,0.257552,0.2654,0.269152,0.222652,0.273352,0.226552,0.275656,0.2366,0.275904,0.247,0.221852,0.281756,0.2624,0.2711,0.2761,0.225708,0.280952,0.230052,0.281756,0.239156,0.281756,0.2507,0.143828,0.18876,0.1927,0.195884,0.158664,0.1661639999999999,0.178142,0.1878
2,0.120446,0.21628,0.219233,0.222873,0.1537299999999999,0.169446,0.1982,0.208547,0.2252,0.273928,0.2586279999999999,0.2642,0.2668,0.228028,0.2702279999999999,0.2335,0.2712279999999999,0.2423,0.273928,0.251456,0.227056,0.283984,0.2639,0.269428,0.273084,0.230784,0.2795,0.235312,0.2819279999999999,0.246112,0.283984,0.2552,0.230784,0.2904279999999999,0.268528,0.276,0.280528,0.233228,0.287056,0.237928,0.2897,0.249156,0.2904279999999999,0.258528,0.150692,0.1935,0.196536,0.1986,0.166792,0.1728,0.183713,0.1912
3,0.131428,0.22096,0.2248,0.2286639999999999,0.166228,0.178256,0.20698,0.213092,0.232304,0.2795,0.264704,0.2689,0.271208,0.235804,0.274404,0.2398,0.2759,0.2505,0.2795,0.258608,0.236204,0.290004,0.269104,0.274904,0.278804,0.2394,0.2834,0.243404,0.2854,0.2526,0.290004,0.2628,0.2362,0.295608,0.273204,0.280504,0.2851,0.240008,0.2911,0.2449,0.2937,0.2552,0.295608,0.266104,0.1583,0.1982,0.2009,0.204068,0.172,0.178328,0.1879,0.1951
4,0.13761,0.22725,0.229955,0.2352,0.1742,0.1845,0.2128999999999999,0.22019,0.2386,0.2844,0.269,0.2738,0.27606,0.24098,0.27908,0.24438,0.281,0.25708,0.2844,0.2649,0.2424,0.2942,0.27376,0.279,0.2825,0.2453,0.28758,0.24788,0.28958,0.26088,0.2942,0.26776,0.2416,0.30204,0.27768,0.2838,0.2879799999999999,0.24498,0.2940799999999999,0.2498,0.2973,0.2619,0.30256,0.27018,0.1651,0.20145,0.20466,0.20936,0.17692,0.18183,0.192755,0.1989
5,0.144768,0.2323,0.237266,0.241338,0.180192,0.193,0.21992,0.226288,0.243056,0.2888,0.2733,0.2775,0.2798,0.245012,0.283,0.2482,0.2856,0.2631,0.288756,0.2694,0.246956,0.299,0.2775,0.282456,0.286,0.249156,0.290656,0.2528,0.293056,0.265756,0.299,0.271956,0.2462,0.3084,0.281,0.286656,0.2912,0.2499,0.297456,0.254812,0.3013,0.2672,0.3084,0.2739,0.1702,0.2052,0.208672,0.215504,0.1826,0.186,0.197,0.2028
6,0.152922,0.2374,0.242077,0.245,0.187348,0.203348,0.2252,0.233343,0.2468,0.293,0.277132,0.280432,0.2829319999999999,0.2497,0.2865,0.253032,0.288996,0.2688,0.293,0.2728,0.2508,0.3040319999999999,0.2812,0.285532,0.2884,0.253128,0.293232,0.2576,0.2969,0.271232,0.303832,0.2761,0.250964,0.3125,0.2836,0.2895,0.2932,0.255,0.3007,0.258764,0.304864,0.2718,0.3125,0.2774,0.1746,0.20853,0.2138,0.219188,0.187,0.190574,0.2008,0.206
7,0.158812,0.24098,0.2468,0.249028,0.1933,0.2112,0.2286,0.238084,0.250808,0.297208,0.280208,0.284008,0.286608,0.2538,0.290308,0.2586,0.292308,0.2731,0.296908,0.2761,0.2544,0.308708,0.284,0.288416,0.291,0.257316,0.296408,0.262108,0.3007,0.274616,0.308708,0.278908,0.255216,0.3163,0.285608,0.291608,0.2953,0.258508,0.302808,0.2632,0.3079,0.2752,0.3164,0.2802,0.179256,0.2137,0.2174,0.221536,0.1897,0.195668,0.2045,0.2097
8,0.1653,0.2457,0.250899,0.2555,0.198738,0.2166,0.2323,0.244041,0.255284,0.3,0.283,0.2874,0.289768,0.2578,0.293568,0.2634,0.2958,0.276484,0.300184,0.279168,0.257984,0.3124,0.2859,0.2904,0.2935,0.2609,0.2995839999999999,0.2659,0.3038,0.2779,0.3122,0.282,0.259084,0.319384,0.288184,0.293684,0.297884,0.263,0.305784,0.2677839999999999,0.310984,0.279,0.3194,0.2834,0.1835,0.21867,0.2233079999999999,0.2235,0.1933,0.1996,0.209939,0.21365
9,0.1712,0.2492,0.2544,0.25881,0.20358,0.22124,0.2375,0.24838,0.25932,0.3034,0.28556,0.2902,0.2925,0.26256,0.2969,0.26706,0.29896,0.2791,0.30326,0.28246,0.2617,0.3146,0.2884,0.2931,0.2962,0.2643,0.3026,0.26926,0.30646,0.2815,0.31446,0.2846,0.2629,0.323,0.2903,0.29616,0.30026,0.2658,0.30806,0.2709,0.3141,0.28276,0.3228,0.286,0.18702,0.2221,0.2273,0.2253,0.1957,0.2036,0.21371,0.2177
