percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.09775,0.2449899999999999,0.246,0.25349,0.18289,0.20848,0.23394,0.24589,0.29139,0.288295,0.299745,0.295985,0.293085,0.294255,0.288295,0.2945899999999999,0.288295,0.29639,0.288295,0.295695,0.30754,0.302575,0.3138,0.31189,0.30565,0.308205,0.302575,0.3083,0.302575,0.304395,0.302575,0.3094449999999999,0.293948,0.2995,0.310058,0.310616,0.305103,0.2948,0.2995,0.295177,0.2995,0.302303,0.2995,0.308658,0.20226,0.2775,0.28882,0.2897,0.22729,0.23196,0.24764,0.27456
1,0.1336,0.2542,0.2611799999999999,0.27276,0.20178,0.21468,0.24458,0.2529,0.30617,0.2974,0.30949,0.30693,0.30329,0.30617,0.2974,0.30617,0.2974,0.30589,0.2974,0.3079,0.3185,0.31259,0.32108,0.31869,0.3160799999999999,0.31911,0.31259,0.31956,0.31259,0.3200099999999999,0.31259,0.3217,0.305774,0.3103599999999999,0.319364,0.319216,0.314158,0.30679,0.3103599999999999,0.30708,0.3103599999999999,0.310858,0.3103599999999999,0.318416,0.2165,0.29186,0.2923,0.3015799999999999,0.23756,0.24568,0.25958,0.28324
2,0.15117,0.2619,0.27315,0.27951,0.21386,0.2290499999999999,0.25182,0.25677,0.31417,0.307635,0.31701,0.3144,0.311625,0.31417,0.307635,0.313895,0.307635,0.31474,0.307635,0.31897,0.327085,0.317955,0.32741,0.32481,0.322185,0.327085,0.317955,0.327085,0.317955,0.329385,0.317955,0.3308,0.316209,0.318187,0.327487,0.3246739999999999,0.322648,0.3175179999999999,0.318187,0.316909,0.318187,0.320587,0.318187,0.325809,0.22508,0.30106,0.30355,0.3084,0.24667,0.2566,0.27509,0.29141
3,0.1667799999999999,0.27542,0.28326,0.29312,0.2247799999999999,0.2415999999999999,0.26046,0.26198,0.3227,0.3175,0.3237399999999999,0.32148,0.32108,0.32366,0.3175,0.32514,0.3175,0.3251,0.3175,0.325,0.33656,0.32526,0.333,0.3302,0.32798,0.3366,0.32526,0.33692,0.32526,0.3353399999999999,0.32526,0.3338799999999999,0.325648,0.324916,0.336216,0.331812,0.330116,0.325916,0.324916,0.326528,0.324916,0.326988,0.324916,0.3353959999999999,0.2358799999999999,0.3059,0.3093,0.31026,0.25706,0.2674,0.2883,0.29706
4,0.1813,0.2842,0.2986499999999999,0.30985,0.23275,0.25305,0.2651,0.27095,0.33005,0.32285,0.3304,0.329375,0.327325,0.3309,0.32285,0.332825,0.32285,0.330825,0.32285,0.3314,0.34135,0.329175,0.337625,0.3357,0.332875,0.341775,0.329175,0.3412,0.329175,0.3403,0.329175,0.33915,0.336005,0.33208,0.340645,0.338515,0.33556,0.3365,0.33208,0.336005,0.33208,0.335435,0.33208,0.34049,0.24485,0.30965,0.3125,0.31215,0.26325,0.2722,0.29295,0.30325
5,0.1908,0.3014,0.3054,0.31578,0.2378,0.2606,0.2713,0.28624,0.33657,0.32809,0.33631,0.33687,0.3339,0.33657,0.32809,0.33834,0.32809,0.33731,0.32809,0.33733,0.34627,0.33347,0.34077,0.3401,0.33797,0.3463,0.33347,0.34577,0.33347,0.3441,0.33347,0.34307,0.343174,0.337522,0.345396,0.3419,0.340348,0.3432739999999999,0.337522,0.3418739999999999,0.337522,0.34167,0.337522,0.344148,0.25314,0.3124,0.3155,0.3142,0.271,0.27804,0.29792,0.30872
6,0.2024,0.30973,0.31265,0.32092,0.24366,0.26603,0.27793,0.29223,0.34176,0.3343,0.344265,0.34239,0.3387,0.34256,0.3343,0.343595,0.3343,0.343365,0.3343,0.34326,0.35053,0.338165,0.34663,0.344325,0.34153,0.351055,0.338165,0.3501,0.338165,0.3486599999999999,0.338165,0.347595,0.348536,0.342,0.3498,0.3468,0.345006,0.348536,0.342,0.348524,0.342,0.348109,0.342,0.351003,0.25893,0.31643,0.3179,0.3171,0.27656,0.28513,0.30043,0.3151299999999999
7,0.20846,0.31302,0.32522,0.3293399999999999,0.25182,0.27152,0.28656,0.29712,0.3479,0.33848,0.34976,0.34786,0.3436,0.3479,0.33848,0.3485,0.33848,0.34946,0.33848,0.34806,0.35658,0.34244,0.3513799999999999,0.35046,0.34726,0.35586,0.34244,0.35514,0.34244,0.35258,0.34244,0.35208,0.355328,0.3456,0.3549,0.3512,0.3493,0.3552,0.3456,0.3544,0.3456,0.354496,0.3456,0.35586,0.26492,0.32028,0.3203,0.3218,0.28234,0.29024,0.3041,0.3185
8,0.2134,0.31733,0.3317,0.33235,0.2587299999999999,0.2779,0.29651,0.30461,0.351665,0.3444549999999999,0.353975,0.3521749999999999,0.3483,0.352755,0.3444549999999999,0.3529,0.3444549999999999,0.352855,0.3444549999999999,0.3514549999999999,0.3613,0.3470749999999999,0.3569,0.35395,0.35172,0.360965,0.3470749999999999,0.360265,0.3470749999999999,0.35691,0.3470749999999999,0.358165,0.3602829999999999,0.350605,0.3575,0.356322,0.353083,0.3600609999999999,0.350605,0.359344,0.350605,0.360661,0.350605,0.360022,0.2699,0.32317,0.32141,0.32701,0.28631,0.29511,0.30771,0.32341
9,0.2201,0.3242,0.3373,0.3353,0.2662,0.2822,0.3015,0.3154,0.35675,0.3498,0.3579,0.35705,0.35325,0.3581999999999999,0.3498,0.35855,0.3498,0.35875,0.3498,0.35735,0.36665,0.35215,0.36185,0.36095,0.35635,0.36655,0.35215,0.36555,0.35215,0.3641,0.35215,0.36285,0.36434,0.35629,0.36299,0.35989,0.3590399999999999,0.36379,0.35629,0.36379,0.35629,0.36524,0.35629,0.36467,0.2745,0.3281,0.3228,0.3296,0.2909,0.3001,0.3123,0.3279
10,0.2249,0.33094,0.3392,0.33849,0.27309,0.28657,0.30579,0.32298,0.36349,0.3548,0.363235,0.36088,0.35819,0.363645,0.3548,0.3642,0.3548,0.3638699999999999,0.3548,0.363615,0.37379,0.35778,0.36809,0.36499,0.36219,0.37239,0.35778,0.372135,0.35778,0.36939,0.35778,0.368545,0.369757,0.361338,0.368219,0.365057,0.3632709999999999,0.3696,0.361338,0.3696,0.361338,0.3707189999999999,0.361338,0.367919,0.2795,0.3306,0.32449,0.33099,0.29399,0.30449,0.32048,0.3312
11,0.23068,0.33908,0.34136,0.34,0.27966,0.29058,0.3125799999999999,0.3286799999999999,0.36794,0.3608,0.36778,0.36528,0.36428,0.36804,0.3608,0.36882,0.3608,0.3684599999999999,0.3608,0.36912,0.37812,0.36488,0.37232,0.36844,0.36828,0.37776,0.36488,0.37714,0.36488,0.37434,0.36488,0.37388,0.3758,0.366596,0.3722439999999999,0.370948,0.3702479999999999,0.3758,0.366596,0.375596,0.366596,0.374448,0.366596,0.373548,0.286,0.33258,0.33458,0.3337799999999999,0.298,0.30716,0.3279,0.33556
12,0.23907,0.3457199999999999,0.34467,0.34167,0.28874,0.29614,0.31888,0.33837,0.3717,0.365135,0.371635,0.36957,0.368335,0.3719,0.365135,0.3723,0.365135,0.372935,0.365135,0.372235,0.3836,0.368335,0.37674,0.37487,0.372905,0.38317,0.368335,0.38267,0.368335,0.380575,0.368335,0.378835,0.3787,0.371331,0.376754,0.375754,0.3745,0.3787,0.371331,0.3782,0.371331,0.378177,0.371331,0.378008,0.28927,0.33627,0.33727,0.3392799999999999,0.30275,0.3109,0.33304,0.3377
