percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.09351,0.23983,0.24633,0.2541299999999999,0.13653,0.16629,0.22066,0.23186,0.27226,0.298015,0.313175,0.30446,0.3013849999999999,0.27538,0.301095,0.27538,0.301095,0.31753,0.29986,0.322215,0.31582,0.358524,0.3777959999999999,0.378408,0.37432,0.32238,0.372616,0.328124,0.372108,0.339708,0.358524,0.366116,0.276029,0.356463,0.368797,0.378463,0.380685,0.289166,0.370651,0.292831,0.370651,0.328633,0.358465,0.367696,0.1174,0.22453,0.23156,0.2339,0.15676,0.18225,0.21222,0.22303
1,0.10812,0.24842,0.25766,0.2602,0.15466,0.18912,0.22788,0.2438799999999999,0.3181,0.31669,0.3632599999999999,0.35489,0.34088,0.32236,0.33416,0.32722,0.33416,0.33881,0.31984,0.3564,0.33736,0.372428,0.389816,0.397956,0.40306,0.3398,0.399932,0.346816,0.3948,0.360564,0.373164,0.375016,0.332362,0.383918,0.394964,0.403126,0.407966,0.334764,0.4073,0.338122,0.40333,0.357962,0.383918,0.377966,0.15996,0.23182,0.23448,0.23572,0.17936,0.19396,0.22088,0.2276
2,0.12683,0.25357,0.26189,0.26689,0.1757999999999999,0.1996,0.23809,0.2470899999999999,0.333445,0.346795,0.379845,0.37897,0.3768749999999999,0.336935,0.36919,0.341015,0.3672,0.34918,0.35019,0.364995,0.352484,0.384744,0.39884,0.409572,0.4137,0.354448,0.412948,0.35574,0.410348,0.370644,0.386648,0.385124,0.342491,0.400492,0.400996,0.4139919999999999,0.417196,0.346099,0.415599,0.351389,0.414699,0.370299,0.401065,0.3853,0.17035,0.23789,0.23847,0.23955,0.19537,0.20348,0.22718,0.23237
3,0.14212,0.2622,0.26564,0.26892,0.186,0.20836,0.2438199999999999,0.25264,0.34864,0.35822,0.38776,0.39258,0.39066,0.35022,0.3862,0.3528799999999999,0.38154,0.36466,0.35992,0.37618,0.361352,0.393224,0.411696,0.4157,0.420264,0.3627,0.4197,0.363452,0.417296,0.3832959999999999,0.39786,0.392828,0.353156,0.407364,0.413224,0.419,0.425132,0.356284,0.4255319999999999,0.3631959999999999,0.4237,0.3807,0.409152,0.396164,0.18228,0.24172,0.24162,0.2514,0.2065799999999999,0.21646,0.23268,0.2375
4,0.1543,0.2681,0.2692,0.27015,0.1977999999999999,0.2203999999999999,0.24875,0.25595,0.35795,0.36925,0.397175,0.400375,0.401425,0.36015,0.399925,0.361875,0.39505,0.375375,0.370375,0.382875,0.37046,0.40484,0.41824,0.4258,0.42814,0.37034,0.42518,0.37262,0.4224,0.3899,0.40912,0.40112,0.364225,0.4154299999999999,0.421265,0.428665,0.4314,0.36733,0.43009,0.3707,0.427295,0.38966,0.4200299999999999,0.40253,0.19715,0.2444,0.2522,0.2568,0.2165,0.2327,0.23695,0.2458
5,0.16584,0.271,0.2728799999999999,0.2715,0.20736,0.23102,0.2566799999999999,0.264,0.36669,0.37679,0.40419,0.40629,0.4097,0.36799,0.40847,0.37072,0.40308,0.38077,0.3819,0.3914,0.377988,0.410548,0.4235,0.4314,0.432596,0.379548,0.430248,0.382,0.427148,0.398096,0.414396,0.412496,0.370298,0.4214,0.427298,0.436196,0.437892,0.375494,0.435394,0.377792,0.432096,0.3958979999999999,0.4243,0.410098,0.21618,0.26132,0.2631799999999999,0.2776999999999999,0.22902,0.23984,0.24148,0.2501999999999999
6,0.17361,0.27602,0.2771,0.2746,0.21563,0.238,0.2622,0.2689,0.37352,0.3881,0.41021,0.41344,0.415105,0.3773,0.4134049999999999,0.379915,0.40893,0.3898049999999999,0.39112,0.40033,0.385056,0.4145,0.4273,0.435524,0.4364,0.388256,0.43538,0.389868,0.432156,0.404,0.419312,0.417156,0.379862,0.424631,0.431648,0.4401,0.442931,0.3818,0.440793,0.385555,0.437631,0.404955,0.427431,0.417217,0.22686,0.27311,0.28061,0.2872,0.24635,0.24864,0.24731,0.25946
7,0.18414,0.28178,0.2793,0.2762,0.22494,0.24704,0.26814,0.27998,0.38094,0.3949,0.41546,0.4208,0.42102,0.38482,0.41834,0.38546,0.41372,0.39472,0.3992,0.40664,0.390928,0.417264,0.432064,0.439428,0.4413,0.394656,0.438728,0.399128,0.434592,0.409264,0.424164,0.420864,0.385092,0.427464,0.437164,0.4437,0.446764,0.39032,0.444,0.394856,0.441564,0.4107,0.431764,0.424592,0.2385,0.28604,0.28936,0.2914,0.25864,0.25906,0.25962,0.2746
8,0.1907,0.28417,0.28167,0.2779,0.2297,0.25477,0.27174,0.2836,0.3873749999999999,0.39837,0.421575,0.425535,0.424535,0.3907,0.422635,0.3942049999999999,0.418305,0.39887,0.406205,0.413,0.399816,0.4212,0.4366,0.442472,0.4438,0.401772,0.4413,0.404772,0.4376,0.415916,0.427472,0.425244,0.394397,0.4315,0.440697,0.4467,0.449197,0.398085,0.4462,0.401297,0.444494,0.417767,0.435288,0.429097,0.24724,0.2903799999999999,0.29527,0.2932099999999999,0.2659,0.26574,0.2787199999999999,0.28357
9,0.1965,0.287,0.2857,0.296,0.2342,0.2601,0.2777,0.2886,0.39355,0.4029,0.42445,0.42885,0.4283,0.39605,0.42495,0.3997,0.42235,0.4049,0.40985,0.4175,0.40596,0.4253,0.4407,0.4447,0.44648,0.40866,0.4441,0.4106,0.44006,0.4222,0.4311,0.4309,0.3993,0.4338,0.4432,0.45,0.45093,0.40282,0.44826,0.40728,0.44653,0.4248,0.44053,0.43468,0.2562,0.2991,0.2997,0.2979,0.2737,0.2749,0.2939,0.2908
