percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.145915,0.3025919999999999,0.304006,0.31393,0.199338,0.234751,0.26399,0.286423,0.290942,0.360847,0.376321,0.381268,0.38232,0.307621,0.386531,0.317921,0.3893,0.347905,0.361442,0.3667,0.303,0.397331,0.3986,0.406526,0.410221,0.321926,0.4214,0.3352,0.429273,0.3656,0.398389,0.3863629999999999,0.309321,0.428726,0.4175419999999999,0.4298,0.438126,0.3324419999999999,0.4533419999999999,0.340763,0.461747,0.380342,0.428726,0.402368,0.204492,0.279146,0.286107,0.286248,0.238,0.244815,0.2632919999999999,0.264992
1,0.180314,0.311946,0.313124,0.3297,0.23963,0.258814,0.285446,0.308346,0.3059,0.379342,0.388484,0.395084,0.3977839999999999,0.321784,0.401584,0.334642,0.402942,0.358884,0.379742,0.377,0.319652,0.420568,0.408426,0.4188,0.4253099999999999,0.3362839999999999,0.437542,0.346752,0.44,0.375326,0.4208,0.395526,0.327526,0.455526,0.428142,0.44111,0.451384,0.3448,0.4687,0.356026,0.473784,0.390142,0.456078,0.4107099999999999,0.223392,0.2922,0.293642,0.2961,0.24773,0.2573,0.274746,0.284384
2,0.1969,0.321469,0.345708,0.362616,0.252069,0.273069,0.302038,0.318369,0.317352,0.392626,0.396763,0.4028259999999999,0.408026,0.331063,0.417126,0.343363,0.4159,0.3703889999999999,0.392389,0.386363,0.330304,0.439889,0.4190259999999999,0.427852,0.436378,0.347,0.4497259999999999,0.35583,0.450115,0.3851259999999999,0.439889,0.4069629999999999,0.336789,0.475827,0.437563,0.449363,0.459926,0.354752,0.4786,0.365489,0.4820629999999999,0.4011,0.478853,0.423226,0.237883,0.3013,0.309,0.325361,0.2572689999999999,0.266107,0.284759,0.2994
3,0.207592,0.330376,0.36266,0.372544,0.263168,0.286092,0.320092,0.325976,0.330184,0.401468,0.403684,0.4099839999999999,0.416052,0.344804,0.423268,0.350788,0.421684,0.377884,0.401584,0.395684,0.339984,0.4496,0.4252,0.4342,0.4425,0.3574839999999999,0.457684,0.367336,0.460584,0.393768,0.449552,0.414,0.346252,0.496936,0.444568,0.456468,0.466784,0.3651,0.484884,0.3751839999999999,0.4955839999999999,0.409468,0.4970839999999999,0.431068,0.2491,0.308268,0.3277279999999999,0.3323,0.2642839999999999,0.27352,0.292492,0.3077
4,0.222,0.3545149999999999,0.36896,0.38526,0.274815,0.29653,0.328905,0.3389149999999999,0.3408049999999999,0.4087,0.411305,0.41692,0.42301,0.35472,0.42991,0.360915,0.427705,0.388505,0.4087,0.4019,0.35181,0.459725,0.4325,0.4402,0.447715,0.3694,0.46181,0.375525,0.467215,0.404,0.45973,0.42061,0.3554049999999999,0.502905,0.45161,0.462505,0.4734049999999999,0.372415,0.490415,0.3852049999999999,0.500905,0.417025,0.5037050000000001,0.4386049999999999,0.2562149999999999,0.318905,0.33297,0.338435,0.2731,0.280515,0.299515,0.311415
5,0.236376,0.36089,0.382672,0.389932,0.2836,0.3059,0.3395,0.349752,0.348726,0.416,0.4192,0.4244259999999999,0.428052,0.363878,0.4341,0.371226,0.432852,0.397626,0.416852,0.4100519999999999,0.358126,0.4678259999999999,0.43913,0.448504,0.4548,0.376756,0.4654,0.386052,0.472,0.414978,0.4690519999999999,0.428552,0.3635259999999999,0.509852,0.459378,0.470352,0.480478,0.3816,0.4952,0.3942259999999999,0.505052,0.4266,0.5105259999999999,0.445826,0.2634,0.325138,0.3367,0.3405,0.2798,0.288252,0.306038,0.315538
6,0.242422,0.374683,0.390184,0.3985,0.292244,0.314522,0.3459,0.361861,0.353541,0.422641,0.4239,0.4298,0.4344,0.371747,0.438047,0.3803,0.438047,0.4034,0.424294,0.415835,0.366347,0.4766,0.4486,0.4564,0.462694,0.384247,0.469294,0.393747,0.4752,0.421894,0.4769,0.4367,0.371141,0.5163,0.466247,0.478494,0.4862,0.389841,0.501194,0.402994,0.5091,0.434447,0.518294,0.452176,0.268922,0.329622,0.339049,0.343309,0.286322,0.295322,0.309961,0.318522
7,0.250368,0.3835,0.399,0.402288,0.2992,0.3206839999999999,0.351552,0.3685839999999999,0.359604,0.427204,0.4304,0.435608,0.439436,0.376568,0.442368,0.387172,0.442068,0.409568,0.429368,0.422136,0.3722,0.480736,0.456136,0.4618,0.467872,0.389536,0.473668,0.400168,0.4788,0.426436,0.482368,0.4447359999999999,0.3776,0.521268,0.473768,0.4853,0.4931,0.396536,0.5047,0.4088,0.513168,0.440972,0.5240360000000001,0.4602,0.275036,0.337552,0.342,0.347688,0.2909,0.301384,0.315736,0.324
8,0.256107,0.390407,0.402054,0.406248,0.305014,0.3273069999999999,0.361414,0.373007,0.365589,0.431878,0.4365779999999999,0.4406,0.444089,0.3812,0.4469,0.391,0.445367,0.415589,0.433767,0.4277,0.3768,0.4848,0.461489,0.4689779999999999,0.474089,0.393789,0.479389,0.405989,0.4824,0.4312,0.486189,0.449189,0.381989,0.526989,0.4804779999999999,0.4898,0.4988,0.4017,0.509378,0.414789,0.5181,0.446956,0.530178,0.466078,0.279207,0.341207,0.3448,0.352,0.295907,0.306228,0.320407,0.3282069999999999
9,0.26414,0.3955,0.4053,0.41328,0.31443,0.33306,0.36813,0.3789,0.37122,0.4354,0.44021,0.44541,0.44891,0.3856,0.45063,0.39612,0.4498,0.4193,0.43731,0.4326,0.38112,0.4876,0.4654,0.4736,0.4797,0.39741,0.4838,0.41011,0.48611,0.4372,0.489,0.45321,0.38924,0.53221,0.48601,0.49531,0.5026,0.40631,0.5138,0.42001,0.5226,0.45341,0.53491,0.47181,0.28346,0.343,0.34757,0.35457,0.30073,0.31249,0.3242,0.33426
