percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.096031,0.1729,0.176831,0.180562,0.125148,0.138331,0.160531,0.1732,0.200252,0.21298,0.212852,0.213852,0.213476,0.200452,0.21298,0.202892,0.21298,0.208176,0.21298,0.2112,0.20404,0.2125,0.21228,0.2127,0.21306,0.20564,0.2125,0.20572,0.2125,0.20798,0.2125,0.21038,0.204632,0.210476,0.210576,0.211176,0.211304,0.2048,0.210476,0.205508,0.210476,0.206176,0.210476,0.209356,0.143179,0.1845,0.1853,0.187331,0.156231,0.162062,0.177031,0.182862
1,0.112862,0.1858,0.184226,0.1893,0.141586,0.162024,0.177248,0.1842,0.2126,0.2187039999999999,0.2198119999999999,0.219752,0.2193,0.21312,0.2187039999999999,0.2138,0.2187039999999999,0.214752,0.2187039999999999,0.217852,0.21582,0.21832,0.21866,0.21892,0.21862,0.21576,0.21832,0.21532,0.21832,0.2134,0.21832,0.21686,0.2175,0.217,0.218556,0.218252,0.217856,0.217604,0.217,0.217252,0.217,0.2124039999999999,0.217,0.2159,0.153,0.190386,0.188162,0.191824,0.1656719999999999,0.172224,0.1816,0.1876
2,0.122593,0.191486,0.1971,0.197,0.1608929999999999,0.170972,0.185686,0.1905,0.221328,0.225,0.226456,0.225356,0.2249,0.221924,0.225,0.2232,0.225,0.222428,0.225,0.224984,0.22784,0.2233399999999999,0.226,0.2248,0.22366,0.22742,0.2233399999999999,0.22594,0.2233399999999999,0.2228,0.2233399999999999,0.2252,0.226456,0.224028,0.2265,0.225328,0.224112,0.226112,0.224028,0.225756,0.224028,0.222484,0.224028,0.2239,0.1613,0.193286,0.195986,0.1965,0.174593,0.1797929999999999,0.185572,0.1907
3,0.132348,0.197492,0.200024,0.2003,0.168992,0.1788239999999999,0.190124,0.1944239999999999,0.2292,0.2352479999999999,0.237012,0.236916,0.2355479999999999,0.2299,0.2352479999999999,0.231312,0.2352479999999999,0.231328,0.2352479999999999,0.234708,0.23532,0.23812,0.2382,0.23822,0.23692,0.23474,0.23812,0.234,0.23812,0.23286,0.23812,0.23514,0.234208,0.2379359999999999,0.23712,0.2384119999999999,0.2379399999999999,0.2344,0.2379359999999999,0.234208,0.2379359999999999,0.2326119999999999,0.2379359999999999,0.2360159999999999,0.167624,0.1963,0.198624,0.1996,0.179272,0.185424,0.189424,0.1942
4,0.142855,0.202455,0.2033,0.206355,0.177665,0.185175,0.196155,0.1989,0.23476,0.2532,0.25112,0.2521799999999999,0.25328,0.236,0.2532,0.23696,0.2532,0.2422,0.2532,0.24828,0.2401,0.2554,0.2504,0.252,0.2541,0.2401,0.2554,0.2411,0.2554,0.244,0.2554,0.2476,0.24186,0.25788,0.25106,0.25338,0.25546,0.24244,0.25788,0.24348,0.25788,0.24448,0.25788,0.24822,0.1729,0.198055,0.201765,0.2026,0.183575,0.19061,0.193555,0.1968
5,0.150858,0.206886,0.2087,0.2116,0.1843,0.1927,0.203258,0.203544,0.240856,0.259856,0.258656,0.259668,0.259712,0.2417,0.259856,0.2439,0.259856,0.25108,0.259856,0.255456,0.2448,0.26342,0.26222,0.26398,0.26352,0.24488,0.26342,0.24598,0.26342,0.25188,0.26342,0.2581799999999999,0.247712,0.26946,0.264924,0.266736,0.268392,0.249724,0.26946,0.251456,0.26946,0.255612,0.26946,0.261168,0.178,0.2002,0.204386,0.2063,0.188986,0.194644,0.198886,0.1992
6,0.158417,0.2123,0.216051,0.226251,0.1903,0.197917,0.209717,0.208,0.246064,0.265432,0.264964,0.2657319999999999,0.265728,0.247824,0.265432,0.249932,0.265432,0.2584,0.265432,0.262164,0.25154,0.26954,0.2685,0.26956,0.2698,0.2507,0.26954,0.2533,0.26954,0.26056,0.26954,0.26486,0.254896,0.274164,0.271164,0.2728,0.273732,0.255764,0.274164,0.2572,0.274164,0.262496,0.274164,0.267332,0.182951,0.204434,0.2089,0.213517,0.1925,0.198817,0.203917,0.2017
7,0.164548,0.2248,0.23562,0.2391,0.194448,0.202148,0.2128,0.2173,0.252708,0.271316,0.269924,0.270408,0.271208,0.255024,0.271316,0.255216,0.271316,0.2643,0.271316,0.2678,0.25784,0.27462,0.27314,0.27404,0.27462,0.2585,0.27462,0.25994,0.27462,0.2669,0.27462,0.27094,0.261508,0.278208,0.276808,0.277408,0.2778,0.261316,0.278208,0.262308,0.278208,0.268808,0.278208,0.273208,0.188,0.2096,0.216348,0.2171,0.1975,0.2022,0.205996,0.203648
8,0.170479,0.2392949999999999,0.2447579999999999,0.2456,0.199579,0.207879,0.2170369999999999,0.2275,0.2576,0.276668,0.2743839999999999,0.276368,0.276784,0.259984,0.276668,0.262084,0.276668,0.267984,0.276668,0.273668,0.26424,0.27946,0.2775,0.27874,0.2798,0.2644,0.27946,0.26532,0.27946,0.27142,0.27946,0.27572,0.267084,0.282584,0.2804,0.281584,0.2824839999999999,0.266384,0.282584,0.267368,0.282584,0.274184,0.282584,0.2782,0.1925579999999999,0.2162,0.219237,0.220858,0.2023,0.205479,0.2081,0.2076579999999999
9,0.17681,0.24801,0.25051,0.25231,0.2059,0.21251,0.2241199999999999,0.23771,0.26286,0.28084,0.28236,0.28276,0.2831,0.2638,0.28084,0.26636,0.28084,0.27312,0.28084,0.2787,0.27,0.2843,0.2848,0.2853,0.2857,0.2711,0.2843,0.2709,0.2843,0.2766,0.2843,0.2812,0.27196,0.28586,0.28526,0.2859,0.28656,0.2719,0.28586,0.27252,0.28586,0.2773,0.28586,0.28206,0.19721,0.2253,0.2239,0.2278,0.20551,0.20863,0.21121,0.2195
