percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.097881,0.219937,0.216938,0.220499,0.14401,0.1801,0.2021379999999999,0.200944,0.201432,0.263332,0.2472,0.2536319999999999,0.256866,0.210798,0.263566,0.219666,0.266966,0.230898,0.263332,0.2376319999999999,0.206754,0.292077,0.255054,0.261631,0.265954,0.214939,0.2743,0.226477,0.280554,0.2378,0.292077,0.247254,0.204996,0.302366,0.262032,0.268066,0.2719,0.2151,0.2822,0.225632,0.287962,0.243198,0.301,0.254798,0.158762,0.203159,0.2052199999999999,0.2061,0.17911,0.1852579999999999,0.1956,0.197145
1,0.1236,0.231622,0.232238,0.231992,0.176424,0.199724,0.2198,0.233388,0.2216,0.274732,0.260064,0.263832,0.266428,0.227864,0.2698959999999999,0.234932,0.273532,0.251832,0.274732,0.25736,0.226116,0.2975,0.268454,0.272808,0.2758,0.231254,0.280054,0.241154,0.2841,0.255654,0.297154,0.2626,0.222932,0.311064,0.2717,0.277364,0.281032,0.2305,0.289,0.240532,0.295332,0.2597959999999999,0.3104,0.266632,0.171462,0.213274,0.2160399999999999,0.2181,0.189462,0.197424,0.20532,0.2125
2,0.137643,0.2459,0.245457,0.2457,0.188129,0.208143,0.232107,0.2424,0.233898,0.283,0.27,0.273596,0.275598,0.242598,0.277992,0.250894,0.278498,0.266496,0.283696,0.2675,0.239231,0.302262,0.274524,0.2782,0.280493,0.247462,0.2864,0.256562,0.290531,0.274031,0.3011,0.2737,0.2368,0.319598,0.279096,0.2832,0.286196,0.247894,0.2952,0.257496,0.302398,0.2753939999999999,0.3193,0.27669,0.181343,0.221011,0.22648,0.2273,0.196,0.204,0.21411,0.219547
3,0.149372,0.251348,0.251476,0.249696,0.196424,0.215648,0.238252,0.2477919999999999,0.244392,0.2884,0.2759,0.277664,0.2793,0.254828,0.2824,0.261764,0.2837,0.2786,0.2888,0.276,0.248608,0.307308,0.282308,0.284216,0.2857,0.258208,0.2907,0.265416,0.2961,0.28134,0.305832,0.281932,0.248364,0.324764,0.2891,0.293192,0.2949,0.258264,0.302264,0.26872,0.308292,0.284664,0.3244,0.2876,0.1882,0.2288,0.2323,0.2317,0.203024,0.209124,0.2186,0.222996
4,0.156805,0.2541,0.25659,0.2595,0.203115,0.2212,0.244,0.25302,0.25443,0.2947,0.28353,0.28552,0.28626,0.26356,0.2861,0.27259,0.28826,0.2876499999999999,0.29513,0.28313,0.25697,0.3116,0.29194,0.295985,0.29748,0.2694,0.2994,0.27734,0.301585,0.2884,0.310885,0.2881,0.25748,0.3317,0.29966,0.30346,0.30683,0.2702299999999999,0.31383,0.28103,0.3187,0.2919,0.33113,0.29483,0.194305,0.2337,0.2351,0.2349,0.2076,0.214105,0.22185,0.2263
5,0.163272,0.2578,0.261914,0.27,0.210486,0.225086,0.251514,0.258188,0.260192,0.299192,0.292176,0.293388,0.294292,0.27098,0.2954799999999999,0.281896,0.2959639999999999,0.2927,0.2994,0.2914719999999999,0.264362,0.3178,0.3011,0.3048,0.3064,0.276724,0.309324,0.2858,0.3117,0.2944,0.317486,0.2964,0.266,0.3376,0.307396,0.3112,0.3146919999999999,0.2782,0.3211,0.287696,0.325892,0.2975959999999999,0.3376,0.3023,0.1995,0.2355,0.23742,0.2387,0.2115,0.219286,0.22452,0.229994
6,0.169967,0.2641,0.2704,0.275686,0.2151,0.2308339999999999,0.2558,0.2618,0.266224,0.3023,0.301562,0.303562,0.304762,0.277,0.305962,0.288062,0.3051,0.297362,0.302586,0.299862,0.2706,0.33,0.3074,0.310939,0.3134,0.283,0.319339,0.291539,0.323239,0.3008,0.329517,0.303239,0.272024,0.343562,0.312862,0.3196,0.323462,0.283224,0.328162,0.292762,0.3332,0.303062,0.343562,0.3086,0.2037,0.238259,0.2403,0.2412,0.2157,0.2223669999999999,0.2278,0.2347
7,0.1782,0.269296,0.275452,0.280476,0.222,0.234548,0.258952,0.2652,0.2722279999999999,0.3057,0.306728,0.3091,0.309828,0.283284,0.3112,0.2919,0.310256,0.3021,0.3061,0.305428,0.276416,0.3358,0.312632,0.3179,0.319832,0.2871,0.326316,0.295116,0.330616,0.3048,0.3358,0.310516,0.277228,0.350512,0.318856,0.3243,0.3271,0.288,0.3349,0.2965279999999999,0.340756,0.306828,0.350828,0.313556,0.209,0.2407959999999999,0.2417,0.2429,0.220048,0.227144,0.23156,0.239
8,0.1853869999999999,0.2755,0.2807,0.285091,0.2267,0.238829,0.264442,0.268464,0.276794,0.3093,0.3115,0.3134,0.315,0.2872,0.3163,0.2961,0.3154,0.306294,0.3093,0.3091,0.280293,0.3402,0.318386,0.3224,0.3246,0.2905,0.329693,0.298893,0.3343,0.3083,0.3402,0.314593,0.2809,0.355494,0.3236,0.328294,0.330694,0.2929759999999999,0.337994,0.299994,0.3444,0.311094,0.3548,0.317094,0.2131,0.243,0.24438,0.2446,0.224529,0.231129,0.2363,0.2419
9,0.1912,0.2801,0.2858799999999999,0.2889,0.23192,0.2452,0.2689,0.27326,0.2811,0.313,0.31466,0.31816,0.3198,0.2907,0.32086,0.29896,0.3197,0.31,0.31378,0.31248,0.2842,0.3438,0.3216,0.3255,0.3282,0.295,0.3334,0.30277,0.33747,0.31257,0.3438,0.31787,0.2847,0.3588,0.3268,0.3319,0.3349,0.2968,0.34206,0.3041,0.34806,0.31586,0.35876,0.32166,0.21671,0.24537,0.2482,0.2539,0.22811,0.23461,0.2398,0.2444
10,0.1974,0.2889069999999999,0.2894089999999999,0.293089,0.2356,0.2514,0.2727,0.280428,0.2845519999999999,0.3161259999999999,0.3179,0.321926,0.3236,0.294226,0.3241,0.3025,0.3245,0.315026,0.3173,0.3159,0.2882,0.346647,0.3246,0.3289,0.331647,0.298447,0.335994,0.306947,0.339847,0.318094,0.3466,0.320847,0.2888259999999999,0.361826,0.3304,0.3356,0.3392,0.3002,0.346026,0.3097519999999999,0.3511,0.319926,0.3613,0.325752,0.220391,0.249507,0.25214,0.2599,0.2318909999999999,0.2374909999999999,0.24377,0.2472
11,0.203,0.2942,0.294328,0.2955879999999999,0.239444,0.2563,0.275356,0.2854,0.2887,0.320384,0.3208,0.325,0.326392,0.2969,0.327692,0.3067,0.327892,0.318892,0.3217,0.3195,0.2928,0.3495,0.3276,0.3319,0.3344,0.3024,0.339,0.311424,0.3422,0.3234,0.348924,0.325024,0.292684,0.3645,0.334692,0.339092,0.3428,0.303992,0.349592,0.314392,0.355,0.324884,0.363892,0.329592,0.2235,0.2522879999999999,0.2582399999999999,0.263,0.235172,0.2399,0.2478,0.2503
12,0.2079,0.298,0.2994,0.300087,0.2436,0.2599,0.279297,0.2891,0.2921,0.3243,0.324758,0.3285,0.3288,0.3009,0.330658,0.310616,0.3307,0.3231,0.325458,0.322958,0.2966009999999999,0.3514,0.3306,0.3351,0.3384009999999999,0.3063,0.3418009999999999,0.316,0.3444,0.3277009999999999,0.3512,0.328,0.297058,0.3668,0.338058,0.342758,0.345958,0.308758,0.352358,0.3182,0.3578,0.3288,0.3663,0.3337,0.2268,0.255,0.26116,0.2656,0.2385,0.2428529999999999,0.25161,0.2529
13,0.2126,0.3009,0.305,0.305172,0.248234,0.263834,0.282366,0.293972,0.2958,0.327724,0.3296,0.332124,0.333,0.304724,0.333524,0.3157,0.334048,0.3271,0.3287,0.3272,0.2998,0.353778,0.3338,0.3386,0.3414,0.3107,0.3442,0.319756,0.3466,0.331178,0.3531,0.332378,0.300524,0.3695,0.341424,0.345324,0.349,0.313748,0.3552,0.321024,0.359824,0.333,0.3687,0.338672,0.230134,0.2588,0.2655,0.2692,0.241034,0.2458,0.2555,0.2554
14,0.2175,0.30482,0.3085,0.3099,0.2521,0.268,0.2863,0.2984199999999999,0.29949,0.33038,0.33299,0.335,0.3355,0.30938,0.3358799999999999,0.31939,0.3369,0.3298,0.3318,0.33068,0.30321,0.355655,0.3386,0.3418,0.344555,0.3148,0.346655,0.323055,0.349,0.333955,0.355055,0.3362,0.30389,0.37179,0.3443,0.34829,0.3514899999999999,0.3176,0.3573,0.3248,0.3616,0.3366,0.371,0.3417,0.2332,0.262355,0.2707,0.2712,0.2439,0.2488149999999999,0.25765,0.2574
15,0.222696,0.308292,0.3123,0.3123,0.254696,0.274996,0.288404,0.3013,0.3026,0.3339,0.3361,0.3377,0.339,0.313612,0.3393,0.3228,0.339156,0.3329,0.334656,0.334656,0.3064,0.3576,0.3423,0.345,0.346732,0.3184,0.3499,0.3265,0.3516,0.337532,0.3571,0.339732,0.3085,0.3733,0.347156,0.350956,0.3541,0.3219,0.3598,0.3287,0.363856,0.34,0.3727,0.3443,0.236296,0.267692,0.2734,0.2743,0.246496,0.251896,0.26042,0.2607
16,0.2263,0.312,0.315523,0.315683,0.2589,0.2787,0.293,0.3064,0.305922,0.3363,0.338522,0.340422,0.341622,0.317144,0.3422,0.3262,0.3418,0.3355,0.336822,0.338744,0.310409,0.3595089999999999,0.3453,0.3477,0.349309,0.322,0.352109,0.3296,0.353409,0.3398089999999999,0.3591089999999999,0.3438,0.3122439999999999,0.3753,0.349922,0.3534,0.356,0.3252,0.361822,0.3317,0.3661,0.343022,0.3742,0.347522,0.2391,0.272529,0.27654,0.2782,0.249477,0.2541,0.2624,0.266133
17,0.2307159999999999,0.3155,0.3184,0.3207819999999999,0.263358,0.283458,0.297342,0.3098,0.3096,0.3382,0.3417,0.343088,0.344288,0.320688,0.3447,0.328888,0.344288,0.338,0.339288,0.3414,0.313786,0.3609,0.348,0.3502,0.3516,0.3256719999999999,0.3539,0.332686,0.355886,0.343172,0.360486,0.3472,0.315388,0.3771,0.3526,0.355676,0.358288,0.3279,0.3644,0.334788,0.3687,0.346176,0.3759,0.3509,0.241358,0.2762659999999999,0.27908,0.2838,0.252358,0.257158,0.2648,0.2706
18,0.235139,0.3192,0.3212,0.325481,0.266839,0.2878,0.3018,0.3127,0.3133,0.3411,0.3443,0.3461,0.3472,0.323908,0.3479,0.3314,0.347,0.340754,0.3416,0.3441,0.3173,0.3624,0.3502,0.3521,0.3539,0.328863,0.3564,0.335,0.3585629999999999,0.3459,0.362163,0.349863,0.318454,0.3789,0.3552,0.358054,0.3604,0.3313,0.366854,0.337554,0.371,0.349254,0.3777,0.353454,0.244339,0.282306,0.28368,0.2868,0.2555,0.2596,0.2675,0.2752
