percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.087738,0.1816,0.1921,0.197673,0.121182,0.1397,0.15974,0.169341,0.178148,0.234774,0.213774,0.223048,0.224048,0.178974,0.224774,0.179874,0.228948,0.188044,0.235,0.199422,0.179344,0.250296,0.219348,0.230596,0.232822,0.180022,0.2349,0.183148,0.2405,0.1920619999999999,0.250296,0.203992,0.1775,0.254848,0.223874,0.233974,0.237522,0.179036,0.2426,0.181974,0.2491,0.196222,0.254848,0.209518,0.132282,0.15483,0.159724,0.1608919999999999,0.141282,0.144364,0.147071,0.15465
1,0.100228,0.1956,0.2002439999999999,0.204146,0.133292,0.150064,0.17076,0.185798,0.18724,0.240048,0.225348,0.229996,0.230948,0.190184,0.233048,0.193448,0.2366,0.208948,0.240448,0.2179,0.189848,0.2545,0.229396,0.235548,0.235748,0.1909,0.2393,0.195744,0.2439,0.211,0.254448,0.221348,0.188148,0.259048,0.2322,0.239148,0.241548,0.1911399999999999,0.2465,0.1953,0.2524,0.211644,0.259,0.222296,0.140464,0.16626,0.164724,0.1681,0.1501,0.1525,0.160242,0.1595
2,0.113446,0.20009,0.206666,0.211346,0.143246,0.158646,0.1758,0.192347,0.1949439999999999,0.2448439999999999,0.231622,0.235822,0.236722,0.1987,0.2390219999999999,0.204222,0.240944,0.217522,0.245,0.224722,0.197822,0.257622,0.236122,0.2398,0.2407,0.200566,0.244766,0.206344,0.2489,0.2195,0.2572,0.2284,0.198288,0.263722,0.238066,0.243922,0.2458,0.201522,0.250444,0.205622,0.254722,0.220522,0.2638,0.230122,0.1466,0.1743,0.1780719999999999,0.179676,0.155546,0.161092,0.168713,0.17395
3,0.121028,0.2036,0.211544,0.215228,0.151228,0.163656,0.182,0.1981959999999999,0.2024,0.248896,0.236396,0.2392,0.241096,0.206196,0.242896,0.2107,0.244396,0.224296,0.248896,0.232396,0.204592,0.2618,0.2405,0.244492,0.2459,0.2078,0.2506,0.213196,0.2537,0.225996,0.2612,0.2344959999999999,0.2046919999999999,0.2676,0.243096,0.2471,0.248996,0.2091,0.254892,0.2135,0.2569,0.227796,0.2675,0.2374,0.1514,0.1814,0.184796,0.1849,0.1603,0.165428,0.174952,0.1776
4,0.12652,0.20655,0.2158,0.2179,0.157,0.16831,0.1886,0.2035,0.20781,0.2531,0.23967,0.24247,0.2448,0.21217,0.24694,0.21867,0.248,0.23117,0.2531,0.23677,0.2099,0.2647,0.24347,0.2471,0.2502,0.21447,0.2547,0.2202,0.2562,0.23307,0.2638,0.23957,0.2105,0.2702,0.2464,0.2494,0.2523,0.2146499999999999,0.2574,0.2201,0.25967,0.2348,0.27,0.24207,0.1557,0.18695,0.1883,0.18726,0.166,0.17012,0.1817,0.1829
5,0.1318919999999999,0.2127,0.2181,0.2201,0.1614,0.1731839999999999,0.1938,0.2066,0.213944,0.2557,0.2422,0.246044,0.2484,0.2175,0.2509,0.2234,0.252144,0.235988,0.2558,0.2398,0.215688,0.2665,0.2458,0.2492,0.2528,0.2204,0.256844,0.225244,0.2586,0.238244,0.266244,0.243488,0.216644,0.272,0.2486,0.2518,0.254244,0.2216,0.2597,0.2261,0.2625,0.241044,0.272,0.245944,0.1596,0.1911,0.190744,0.1887,0.169984,0.1753,0.186326,0.1894
6,0.1374,0.2172,0.220477,0.2248,0.166548,0.1774,0.19969,0.2128,0.217918,0.2585,0.245,0.2482,0.2507,0.222218,0.2544,0.227518,0.255618,0.242336,0.2588,0.2437,0.221018,0.2683,0.248218,0.2512,0.254636,0.224318,0.2586,0.2298,0.2606,0.244308,0.267936,0.246918,0.222,0.2735,0.2512,0.253918,0.2565,0.225418,0.261836,0.2313,0.265518,0.244936,0.2735,0.2487,0.1641,0.1942,0.193484,0.1915,0.1748,0.180548,0.1889,0.193
7,0.1426,0.22064,0.222676,0.2273,0.171356,0.181656,0.20506,0.216,0.2223919999999999,0.260692,0.247392,0.25,0.2526919999999999,0.225992,0.2576,0.2312,0.259384,0.2464,0.2609,0.2479,0.225484,0.2699,0.250592,0.2532,0.2564,0.2284,0.2607,0.2336,0.2628,0.249476,0.2698,0.2501,0.2254,0.2748,0.2533,0.255984,0.259,0.2302,0.264392,0.235592,0.2688919999999999,0.2498,0.2748,0.2513,0.1677,0.1962,0.1949,0.197636,0.1781,0.1848,0.1918,0.1959
8,0.147638,0.22327,0.227199,0.2292569999999999,0.175238,0.1848,0.2094,0.2193,0.2264,0.2623,0.250232,0.2522,0.2545,0.2298,0.260066,0.2344659999999999,0.2622,0.2509,0.262466,0.2507,0.229,0.271666,0.253,0.2557,0.2582,0.232766,0.2627,0.2377,0.2654,0.253266,0.2715,0.2533,0.2301659999999999,0.2763,0.2557,0.258566,0.2616,0.234,0.2667,0.240066,0.271466,0.2539,0.2762,0.2541,0.1709,0.19837,0.1989079999999999,0.2027,0.182038,0.1889,0.1948,0.1985
9,0.1523,0.2275,0.22981,0.2319,0.17884,0.1882,0.2127,0.2238,0.22994,0.2639,0.2535,0.2553,0.2568,0.23354,0.2613,0.23976,0.2642,0.2545,0.264,0.25374,0.2321,0.2734,0.25578,0.25844,0.2604,0.23648,0.26474,0.24304,0.2682,0.25714,0.27304,0.2559,0.23384,0.2783,0.2583,0.2612399999999999,0.26414,0.2386,0.26904,0.2447399999999999,0.27314,0.2584,0.2781,0.2571,0.17532,0.2014,0.20162,0.2042,0.18602,0.1917,0.19771,0.2013
