percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.040829,0.0671,0.067,0.069,0.053847,0.060647,0.0646,0.065344,0.0411469999999999,0.0563,0.0571,0.0577,0.046694,0.048247,0.051288,0.0538
1,0.045376,0.069,0.07086,0.08114,0.059494,0.0634,0.067686,0.0678759999999999,0.045382,0.0577,0.057662,0.057922,0.0492,0.05,0.053888,0.055346
2,0.050782,0.0715,0.08154,0.08556,0.0619409999999999,0.065141,0.068929,0.071166,0.047341,0.0583,0.0587,0.0588,0.051241,0.052441,0.0554,0.057638
3,0.0529,0.081604,0.0835,0.0871,0.0631,0.066952,0.071372,0.074088,0.0492639999999999,0.058908,0.0595,0.0596,0.0527,0.0539,0.056276,0.058492
4,0.0561,0.083805,0.0864,0.0881,0.065,0.0687,0.0728,0.07905,0.05047,0.0596,0.06,0.0603,0.0542,0.0553,0.0569,0.0589
5,0.0584,0.087112,0.0878,0.089,0.066964,0.0701,0.0745,0.082596,0.0522,0.0599,0.0605,0.060866,0.055282,0.057,0.057964,0.059438
6,0.061545,0.0878,0.0895,0.09132,0.0693,0.072258,0.077601,0.0843,0.053929,0.0603,0.061167,0.0614,0.056029,0.058529,0.059416,0.0597
7,0.0647,0.089608,0.09064,0.0928799999999999,0.071576,0.074552,0.079544,0.0876,0.0553,0.061016,0.0619,0.062188,0.0572,0.0597759999999999,0.0604,0.0604
8,0.067,0.0909,0.09162,0.0936,0.0736,0.076223,0.081674,0.0894,0.0563,0.0615,0.0626,0.067149,0.0587,0.0605,0.0612959999999999,0.0614
9,0.06844,0.0916,0.0955,0.0946,0.07597,0.07891,0.08446,0.09182,0.05727,0.0625,0.0635,0.06982,0.0603,0.06147,0.0621,0.0619
10,0.0698,0.092511,0.0965,0.09558,0.0775,0.0806,0.086619,0.092742,0.058217,0.0632,0.067482,0.078271,0.0619,0.0624,0.062684,0.0624
11,0.071864,0.0942,0.0971,0.098,0.0788639999999999,0.082964,0.088816,0.0935,0.0594639999999999,0.0643,0.075744,0.078732,0.0633639999999999,0.0631,0.0632,0.0631
12,0.0739,0.0964,0.0983,0.09978,0.0803,0.0842,0.091118,0.094,0.060511,0.0703,0.078612,0.0791,0.0644,0.063911,0.064,0.0639
13,0.075758,0.0981,0.1002,0.1002,0.0823,0.0867,0.094302,0.094932,0.061458,0.074428,0.0801,0.0802,0.0653,0.065158,0.0645,0.066022
14,0.0774,0.0996899999999999,0.1023,0.1007,0.085005,0.088605,0.0957,0.09663,0.0627,0.07723,0.081,0.083045,0.066405,0.066,0.06566,0.071045
15,0.0792,0.101732,0.1045799999999999,0.10126,0.0872,0.0899,0.0968,0.0979,0.064452,0.078132,0.0817,0.084676,0.067052,0.067,0.0673,0.0726
16,0.0805,0.105534,0.10576,0.1021,0.0887,0.0919,0.0981,0.099374,0.066199,0.08,0.082477,0.0864,0.0678,0.0686,0.0684,0.0749
17,0.0816,0.1081,0.1061,0.10344,0.089946,0.093346,0.099174,0.1027879999999999,0.0678,0.083136,0.085416,0.0874,0.0688,0.0709,0.0708,0.0759
18,0.083293,0.1093,0.10682,0.10538,0.091993,0.0942,0.1002,0.1046,0.0686,0.084838,0.086639,0.095159,0.07,0.072672,0.074536,0.0783
19,0.08484,0.11052,0.1095,0.109,0.09404,0.0967399999999999,0.1017,0.10882,0.0708,0.0855,0.08776,0.09748,0.0713,0.0739,0.0764799999999999,0.082
20,0.0861,0.1122,0.1107,0.1111,0.096148,0.098687,0.102809,0.1115,0.072387,0.087042,0.091101,0.0994,0.0728,0.075087,0.079624,0.0885
21,0.087568,0.1136,0.1121,0.11472,0.098168,0.1021019999999999,0.1057,0.1137,0.0733,0.089444,0.0938,0.1003,0.075334,0.0764,0.0817,0.0899
22,0.089762,0.114823,0.1136,0.1179,0.0999,0.1047,0.1078,0.115806,0.0745,0.090946,0.0985,0.1009,0.0768,0.077662,0.085012,0.0908
23,0.0914,0.116424,0.1178599999999999,0.1199,0.1015,0.105828,0.1101,0.1172,0.076,0.0919,0.1005,0.1014,0.0786,0.079628,0.0872119999999999,0.0918
24,0.093975,0.1182,0.12,0.127,0.103475,0.1076,0.1126,0.1214,0.0772,0.0944,0.1018,0.102325,0.0797,0.083075,0.089,0.0931
25,0.0967,0.1191,0.12268,0.1295,0.105244,0.109222,0.114818,0.1229,0.0784,0.0972,0.1025,0.103,0.081,0.0857,0.0912,0.0942
26,0.099069,0.1227,0.12492,0.1303,0.1068,0.110976,0.117666,0.1242,0.0795,0.099908,0.103,0.104047,0.082969,0.0867,0.0924,0.095321
27,0.102064,0.1245,0.12674,0.1311,0.108616,0.113116,0.120404,0.1253,0.081316,0.103456,0.1033,0.105808,0.084316,0.0884,0.0934,0.0964
28,0.1046,0.1256,0.12922,0.1316,0.1114,0.1154,0.1226939999999999,0.1264,0.0826,0.1043,0.1037,0.1073,0.0856,0.089563,0.0948,0.097
29,0.10735,0.1267,0.1315,0.132,0.11331,0.1171099999999999,0.12469,0.12716,0.0839,0.105,0.10453,0.108,0.08722,0.0902,0.0957,0.09939
30,0.1097,0.1281,0.1328,0.1325,0.1155,0.119857,0.127233,0.129,0.085257,0.1054,0.105611,0.1086,0.088557,0.0913,0.0963,0.102413
31,0.1115,0.1298,0.13362,0.1336,0.1176119999999999,0.1214,0.1289,0.130304,0.0863039999999999,0.1059,0.106792,0.109252,0.090308,0.0925039999999999,0.0969,0.104
32,0.113651,0.1311,0.1345,0.1343,0.1195,0.1228,0.1311,0.1311,0.087251,0.106366,0.107873,0.109513,0.092151,0.0937,0.098052,0.1052
33,0.115798,0.133068,0.13562,0.136,0.1213,0.1239,0.132762,0.132348,0.088898,0.1069,0.1094,0.1099,0.0939,0.0945,0.099096,0.1067
34,0.1181,0.1341699999999999,0.1361,0.1374,0.1233899999999999,0.125245,0.1343,0.13327,0.0899,0.1078,0.110235,0.1104,0.0948899999999999,0.0953,0.1002,0.1076
35,0.1195919999999999,0.136236,0.1365,0.13946,0.1244919999999999,0.126292,0.1355,0.134192,0.0916,0.109372,0.1109,0.1106,0.0957,0.0959,0.1013679999999999,0.108
36,0.121139,0.1379,0.13726,0.1406,0.1259,0.1282,0.1366,0.135014,0.0933389999999999,0.1105,0.1112,0.111,0.0967389999999999,0.096539,0.1026,0.1085
37,0.1229,0.1398,0.1386,0.14336,0.1274,0.129772,0.137634,0.1357,0.094386,0.111376,0.1118779999999999,0.1125,0.0977,0.097386,0.103272,0.1096
38,0.1245,0.1421,0.14042,0.1453,0.128933,0.132033,0.138477,0.137058,0.0956,0.1121,0.1125,0.113679,0.098433,0.098433,0.1049,0.1105
39,0.12598,0.1434,0.1434,0.1482,0.13018,0.134,0.13932,0.13928,0.0968,0.11298,0.1133,0.115,0.0994,0.09958,0.10626,0.1113
40,0.127427,0.144141,0.14678,0.1516199999999999,0.131627,0.135327,0.1401,0.140802,0.098,0.1137,0.1146,0.116301,0.1002,0.101627,0.109208,0.112743
41,0.129274,0.1451,0.1482,0.15372,0.133874,0.1362,0.141206,0.1417,0.099074,0.1147679999999999,0.1161,0.119062,0.1011,0.1032,0.1116,0.1143
42,0.130521,0.146,0.1494,0.1548,0.1354,0.1381,0.1417,0.1432,0.100221,0.1154,0.1172,0.1201,0.102,0.1057,0.1126919999999999,0.1152
43,0.1326,0.1475,0.15232,0.1559,0.137436,0.1393,0.1426,0.1449,0.102,0.1161,0.117964,0.122584,0.1036,0.1073,0.1134,0.115912
44,0.1338,0.14889,0.1535,0.157,0.1395,0.14146,0.1441,0.1458,0.103515,0.1171,0.119445,0.1246,0.10513,0.1099,0.1142,0.1167
45,0.135462,0.1505,0.1562,0.1586,0.142262,0.143186,0.1451,0.1471,0.1048,0.1177,0.120226,0.126518,0.1068,0.111624,0.1149,0.1172
46,0.1383,0.152747,0.1587799999999999,0.1598,0.1439,0.1447179999999999,0.1462839999999999,0.1485,0.105809,0.119194,0.1216,0.127667,0.1083,0.1127,0.116336,0.1176
47,0.140356,0.1544,0.15994,0.1613,0.146156,0.1479,0.1481,0.1494,0.1067,0.1202919999999999,0.124464,0.1282,0.1098,0.1138,0.1178119999999999,0.1186
48,0.142903,0.156149,0.1622,0.16324,0.147803,0.1508,0.1494069999999999,0.1505,0.1081,0.122698,0.1269829999999999,0.128789,0.1121,0.1153,0.119056,0.119627
49,0.14485,0.1598,0.1638,0.1641,0.1508499999999999,0.1529,0.1507,0.1515,0.10915,0.1245,0.1291,0.13015,0.11385,0.11695,0.1202,0.1209
50,0.1464,0.1620019999999999,0.1644,0.1648,0.153097,0.1555939999999999,0.1523,0.1543,0.110791,0.125802,0.131131,0.1322,0.1155,0.118797,0.1216,0.1214
51,0.148588,0.165508,0.16536,0.1666,0.156088,0.158444,0.1541,0.156488,0.1122,0.127,0.1326,0.1328,0.1171,0.1207,0.1226,0.121996
52,0.151537,0.1677,0.16754,0.16868,0.158091,0.161082,0.156079,0.160666,0.113991,0.1283119999999999,0.133393,0.133433,0.119191,0.122391,0.1232,0.123
53,0.154214,0.1700159999999999,0.16882,0.17022,0.160138,0.163138,0.1576219999999999,0.164688,0.116,0.1318,0.1336,0.134794,0.120038,0.123738,0.1242,0.125642
54,0.157685,0.1725,0.1707,0.1731,0.163785,0.1657,0.15963,0.1684,0.11757,0.13491,0.1341,0.136955,0.1215,0.125085,0.12572,0.129165
55,0.159832,0.174356,0.17338,0.17788,0.166632,0.1686,0.1613,0.1712,0.119296,0.137036,0.135436,0.138916,0.1244,0.127132,0.127564,0.131388
56,0.162479,0.1763,0.17436,0.18678,0.168079,0.1701,0.163651,0.173854,0.120779,0.1386,0.138317,0.145808,0.1265,0.1288,0.1291,0.1337
57,0.165,0.1775,0.177,0.1915,0.1704,0.172226,0.167994,0.176,0.1232,0.1402479999999999,0.140392,0.1515,0.128804,0.1299519999999999,0.130704,0.1354
58,0.166546,0.1784,0.1837,0.1948399999999999,0.1734,0.174073,0.1709369999999999,0.1778,0.125573,0.141318,0.1435789999999999,0.153298,0.130473,0.132,0.13308,0.1371
59,0.16922,0.18106,0.1879,0.1961,0.1752,0.17584,0.17418,0.17934,0.12724,0.1418,0.1461599999999999,0.1558,0.13304,0.134,0.1347799999999999,0.13868
60,0.171734,0.184061,0.19128,0.1983599999999999,0.1775,0.1778,0.1765229999999999,0.183736,0.130134,0.1435219999999999,0.1504,0.157,0.134767,0.135567,0.1363,0.1417
61,0.1738,0.1863,0.1955599999999999,0.19942,0.1791,0.179214,0.181266,0.187664,0.133014,0.145248,0.1525,0.1589,0.136314,0.1369,0.14,0.143878
62,0.1758829999999999,0.1886,0.198,0.2011399999999999,0.1811,0.1805,0.1857269999999999,0.189,0.135261,0.147078,0.1555,0.1629,0.138961,0.139461,0.1455,0.147198
63,0.179716,0.191364,0.19992,0.2034,0.1833239999999999,0.1832079999999999,0.188504,0.1908079999999999,0.1379239999999999,0.151128,0.1576,0.1672319999999999,0.1409,0.141808,0.149032,0.149
64,0.18141,0.1935,0.2015,0.2042,0.185455,0.1854,0.19249,0.19263,0.14041,0.153,0.1596,0.1715,0.142,0.143955,0.1513,0.151595
65,0.184804,0.1966,0.2026,0.20532,0.188902,0.187604,0.196338,0.193852,0.1423,0.1538,0.163138,0.1726,0.1432,0.145704,0.153904,0.153
66,0.187798,0.198501,0.20436,0.2069,0.190849,0.189949,0.199843,0.195574,0.1448,0.154934,0.170654,0.1733,0.145349,0.148949,0.1548,0.1542
67,0.1909,0.202636,0.2056,0.2109,0.1928959999999999,0.191696,0.202,0.198796,0.147488,0.157536,0.1732,0.175344,0.148492,0.150692,0.1566,0.155964
68,0.1943859999999999,0.2045759999999999,0.2075999999999999,0.2185399999999999,0.1947719999999999,0.1938,0.204,0.2007719999999999,0.1493,0.1604279999999999,0.1771,0.1772359999999999,0.149743,0.1527,0.1576719999999999,0.1585
69,0.1975599999999999,0.2094499999999999,0.2106,0.2214,0.1968,0.1962699999999999,0.2059099999999999,0.2032799999999999,0.15089,0.1687399999999999,0.1781,0.1790099999999999,0.15189,0.1545899999999999,0.1588,0.1628299999999999
70,0.2007369999999999,0.2141,0.21488,0.22646,0.1997369999999999,0.2,0.207806,0.2053239999999999,0.152137,0.1757419999999999,0.180251,0.1806,0.1547369999999999,0.156774,0.1603,0.1661329999999999
71,0.203784,0.216972,0.22326,0.23402,0.2023839999999999,0.2034679999999999,0.209296,0.2081,0.1557839999999999,0.180188,0.182332,0.1816,0.157,0.1604,0.161568,0.167756
72,0.2077619999999999,0.219746,0.2270599999999998,0.24306,0.204631,0.2067,0.2116,0.213406,0.1593,0.183192,0.1833259999999999,0.184153,0.159762,0.1632239999999999,0.1646119999999999,0.1688
73,0.211578,0.2215,0.23568,0.24788,0.207834,0.212178,0.2138,0.2165,0.1621,0.1845,0.184494,0.1863139999999999,0.161956,0.1654,0.1676679999999999,0.170902
74,0.214675,0.2232,0.2436,0.2506,0.211425,0.2147,0.216325,0.2236,0.164525,0.18655,0.185975,0.18845,0.164625,0.169125,0.1728,0.1727
75,0.2191,0.2296,0.25326,0.25256,0.215344,0.217216,0.218968,0.227472,0.167172,0.1875,0.187456,0.1903,0.168472,0.171372,0.175076,0.17824
76,0.223438,0.244,0.25606,0.25802,0.219038,0.221357,0.221333,0.230488,0.1704,0.1887,0.1888,0.1916,0.1718,0.1745,0.178988,0.187055
77,0.2262,0.249712,0.2581,0.2666,0.2239,0.224232,0.2258,0.2336,0.172966,0.19,0.190836,0.192458,0.175432,0.177732,0.181328,0.189488
78,0.229339,0.2543,0.2607,0.26894,0.229913,0.229226,0.227897,0.236728,0.175613,0.191458,0.192899,0.195038,0.179626,0.180926,0.183376,0.193334
79,0.2343,0.2575,0.2621,0.2713,0.23496,0.23246,0.23186,0.24114,0.17882,0.19436,0.19508,0.1978000000000001,0.18312,0.1853,0.1862,0.19754
80,0.2412490000000001,0.2639,0.2673800000000001,0.2734,0.2397420000000001,0.2372,0.2372150000000001,0.248582,0.181507,0.197586,0.197161,0.199541,0.187307,0.1891,0.188628,0.1988
81,0.246608,0.2685919999999999,0.27374,0.2751,0.244854,0.242154,0.242204,0.2543,0.185554,0.2006,0.2027259999999999,0.202102,0.1905239999999999,0.191708,0.1948079999999999,0.2001719999999999
82,0.252916,0.2716,0.2785199999999999,0.27758,0.249302,0.247903,0.2488069999999999,0.2614559999999999,0.191001,0.2026,0.204623,0.2076,0.1942,0.1939,0.199012,0.2037089999999999
83,0.260544,0.280068,0.2828,0.2849399999999999,0.2546,0.254548,0.257,0.271744,0.195296,0.2050679999999999,0.2065199999999999,0.216412,0.1989,0.197148,0.202588,0.2054319999999999
84,0.268045,0.2854399999999999,0.2856,0.3081,0.2628400000000001,0.260285,0.26864,0.27797,0.199395,0.20727,0.2116949999999999,0.2363699999999999,0.2021,0.202185,0.2059199999999999,0.206955
85,0.273984,0.290786,0.3013199999999998,0.3179199999999999,0.268888,0.266542,0.2723899999999999,0.286784,0.203684,0.210048,0.2281240000000001,0.250498,0.206568,0.210036,0.208468,0.209356
86,0.281967,0.2942349999999999,0.324,0.3671800000000001,0.274245,0.274567,0.284682,0.291714,0.209167,0.222214,0.249788,0.304942,0.213545,0.216045,0.214428,0.212302
87,0.290008,0.3136,0.3377600000000001,0.4193399999999998,0.280508,0.2842439999999999,0.293436,0.3041879999999999,0.2154439999999999,0.241732,0.262968,0.3361320000000001,0.2210359999999999,0.2193,0.218916,0.2173479999999999
88,0.295649,0.3485250000000002,0.3945600000000001,0.4612,0.290983,0.2916149999999999,0.302727,0.3112899999999999,0.2215659999999999,0.266,0.3229719999999999,0.365587,0.2283979999999999,0.2231149999999999,0.2244,0.239511
89,0.30356,0.35389,0.4429,0.4989,0.30162,0.30288,0.31547,0.3398799999999999,0.2365799999999999,0.2753799999999999,0.3570200000000003,0.40645,0.23656,0.23186,0.23046,0.2600500000000001
90,0.311054,0.4158520000000005,0.48562,0.50612,0.309216,0.314054,0.327352,0.357704,0.247285,0.339682,0.3892280000000002,0.4146,0.2446849999999999,0.24327,0.2576839999999999,0.278593
91,0.329568,0.45896,0.5351000000000004,0.515,0.32554,0.329512,0.340556,0.3752959999999999,0.262672,0.3758080000000009,0.434152,0.422824,0.2605,0.25194,0.274384,0.288616
92,0.349281,0.5141820000000005,0.5431400000000001,0.5272,0.339271,0.344268,0.3701959999999999,0.4334580000000004,0.2741,0.4136180000000001,0.445633,0.431892,0.269997,0.264039,0.292744,0.3504920000000003
93,0.3703079999999998,0.5808399999999998,0.5495999999999999,1.633099999999626,0.3666359999999999,0.3665,0.395084,0.4923399999999999,0.2970359999999999,0.4706119999999997,0.452028,0.4989279999999853,0.2827159999999998,0.2884159999999998,0.299936,0.4103719999999999
94,0.3892799999999998,0.5938299999999997,0.5594,3.279,0.3892849999999999,0.3855299999999997,0.4772699999999996,0.5629299999999998,0.3113249999999999,0.4877499999999999,0.4595899999999999,0.6173949999999999,0.2999899999999996,0.3055749999999995,0.37692,0.4626499999999997
95,0.4387279999999998,0.6012759999999999,3.5798,3.2792,0.4233439999999999,0.4411039999999998,0.5662079999999973,0.6465359999999999,0.3344479999999997,0.4949599999999999,0.6736,0.6178,0.3464839999999999,0.3702719999999986,0.4828079999999985,0.5272239999999998
96,0.4912080000000002,4.005896999999999,3.5801,3.2794,0.5086210000000002,0.6304430000000012,0.6730300000000001,0.675434,0.4085390000000003,0.7532,0.674057,0.6179,0.460318,0.5111520000000004,0.5553359999999999,0.551086
97,0.6051679999999996,4.0075,3.5808,3.2801,0.7028939999999997,0.7030859999999998,0.7528019999999987,4.634656,0.5144299999999999,0.753996,0.6743,0.618,0.530424,0.5521119999999997,0.6034559999999995,0.8708
98,0.7942710000000022,4.008299,3.58136,3.2805,0.7940710000000001,0.814806,5.699228,4.6368,0.6318400000000036,0.7542,0.6743,0.618,0.6987130000000004,0.6724600000000004,1.0702,0.8718
