percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.118794,0.0,0.0,0.0,0.158882,0.175046,0.203946,0.0,0.2772,0.3338,0.3423839999999999,0.343092,0.341684,0.282092,0.336568,0.2839,0.336192,0.312668,0.3338919999999999,0.340568,0.284092,0.3506,0.3513759999999999,0.3529759999999999,0.35326,0.288756,0.3506,0.290792,0.3506,0.3192919999999999,0.3506,0.349968,0.284296,0.359,0.3564759999999999,0.359168,0.359792,0.288868,0.359,0.293796,0.359,0.3228,0.359,0.354412,0.17478,0.0,0.0,0.0,0.1975019999999999,0.205928,0.214328,0.0
1,0.132752,0.0,0.0,0.0,0.172152,0.194576,0.22208,0.231176,0.283352,0.337768,0.347784,0.3476,0.3467,0.291104,0.3444,0.292368,0.342784,0.3187839999999999,0.337768,0.347784,0.291368,0.356368,0.358052,0.3590839999999999,0.3594,0.2974,0.356368,0.300184,0.356368,0.3282199999999999,0.356368,0.356552,0.293252,0.365468,0.364068,0.3650839999999999,0.364984,0.299768,0.365468,0.3038,0.365468,0.330152,0.365468,0.3614,0.1907,0.0,0.0,0.0,0.2088,0.2185639999999999,0.238676,0.235952
2,0.148892,0.2454,0.0,0.0,0.186164,0.2140319999999999,0.2381299999999999,0.245782,0.28998,0.344352,0.353328,0.352452,0.352404,0.296128,0.350628,0.2995,0.348952,0.330476,0.3439759999999999,0.3529,0.2974759999999999,0.361856,0.362928,0.362952,0.3630759999999999,0.302776,0.362352,0.305776,0.361856,0.334176,0.361856,0.36088,0.2991,0.370376,0.3669759999999999,0.369804,0.3704759999999999,0.3050759999999999,0.370376,0.308752,0.370376,0.3388279999999999,0.370376,0.3645,0.203264,0.2356839999999999,0.0,0.0,0.216682,0.2261,0.242282,0.240582
3,0.158676,0.255,0.25776,0.0,0.197108,0.2348039999999999,0.246204,0.261656,0.296512,0.349068,0.358472,0.358204,0.356568,0.302136,0.3548,0.3075,0.3527,0.3368,0.348968,0.357704,0.301376,0.368368,0.365368,0.366868,0.366504,0.306368,0.368568,0.311904,0.368368,0.3435,0.368368,0.362868,0.304004,0.3741,0.37,0.373068,0.375108,0.3097,0.374508,0.314804,0.3741,0.346568,0.3741,0.366968,0.211352,0.247528,0.245228,0.0,0.2252,0.231576,0.2444,0.244852
4,0.16417,0.26855,0.26548,0.2691,0.2085,0.24307,0.2565,0.2707,0.30194,0.3519,0.3618,0.3607,0.35946,0.30576,0.35926,0.31308,0.35682,0.34252,0.35222,0.36126,0.30608,0.37242,0.36884,0.3704,0.36946,0.30986,0.37256,0.31764,0.37242,0.34806,0.37242,0.3656,0.30826,0.37872,0.37266,0.3757,0.37746,0.315,0.37872,0.31932,0.37872,0.35316,0.37872,0.37094,0.21661,0.25057,0.25382,0.25057,0.23227,0.23822,0.24627,0.2495099999999999
5,0.1743199999999999,0.283292,0.286128,0.279084,0.222464,0.246492,0.2617279999999999,0.279812,0.3065,0.356252,0.364656,0.363852,0.362856,0.312104,0.362452,0.318808,0.3599,0.347464,0.356252,0.364656,0.3108599999999999,0.3758,0.371,0.3726,0.3736,0.316156,0.3752,0.322504,0.3758,0.3532079999999999,0.3758,0.369608,0.3123,0.380404,0.375852,0.3786,0.3792,0.318504,0.380552,0.324604,0.380404,0.360008,0.380404,0.373952,0.2220639999999999,0.254576,0.258064,0.260484,0.2365199999999999,0.244364,0.248628,0.253992
6,0.181632,0.288458,0.294158,0.298758,0.229716,0.254074,0.269358,0.283858,0.310744,0.3593,0.366944,0.3665,0.366332,0.317,0.3657,0.323988,0.362444,0.353,0.359344,0.367344,0.314888,0.377588,0.3734,0.374244,0.3762,0.321232,0.377144,0.327488,0.377644,0.358776,0.377588,0.3734,0.317144,0.3831,0.379188,0.380144,0.3808,0.32442,0.3831,0.329,0.3831,0.3662,0.3831,0.377788,0.225616,0.259616,0.26529,0.2696,0.241232,0.249574,0.250758,0.2599
7,0.186904,0.292356,0.2989,0.303004,0.240452,0.2594,0.2767,0.286908,0.3176,0.3615359999999999,0.368908,0.3703079999999999,0.371572,0.3227359999999999,0.3693,0.329036,0.365936,0.360136,0.3616,0.371,0.320708,0.378736,0.375272,0.376172,0.3782,0.326044,0.3787,0.332672,0.378736,0.368036,0.378736,0.3761359999999999,0.323344,0.3857,0.381536,0.3822,0.3831,0.32778,0.3857,0.335172,0.3857,0.373908,0.3857,0.381372,0.232104,0.265104,0.272604,0.2754,0.24596,0.252952,0.255956,0.2660079999999999
8,0.196092,0.298792,0.305438,0.3042,0.248246,0.266246,0.2857,0.290122,0.325056,0.364228,0.371828,0.3733,0.3736,0.327824,0.372428,0.334528,0.368884,0.3659,0.3643,0.373328,0.3266,0.3804,0.3778,0.3779,0.379856,0.330784,0.3804,0.337984,0.3804,0.3747,0.3804,0.379384,0.327528,0.3871,0.383828,0.3836279999999999,0.3853,0.3337279999999999,0.3871279999999999,0.3432,0.3871,0.3776,0.3871,0.385028,0.237646,0.270946,0.2758,0.276646,0.250492,0.257338,0.260138,0.273046
9,0.20174,0.30618,0.3101,0.30738,0.25304,0.27274,0.2936,0.2989799999999999,0.32904,0.3669,0.375,0.3749,0.3755,0.33272,0.37432,0.33912,0.37122,0.37124,0.36696,0.3763,0.33352,0.3816,0.37984,0.3802,0.38142,0.3365,0.3816,0.34276,0.382,0.3784,0.3816,0.3826,0.33252,0.3896,0.38594,0.38592,0.38704,0.34002,0.3896,0.3487,0.3896,0.38156,0.3896,0.38772,0.2407,0.27924,0.27814,0.2786,0.25494,0.26304,0.2656799999999999,0.277
