date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2009-06-09,0.8395,87,0.8562,92,0.8861,90,0.9108,90,0.9564,87,0.0,1,0.8861,90,0.9108,90
2009-06-08,0.8514,88,0.8773,92,0.9169,90,0.9198,91,0.9565,87,0.0,1,0.9169,91,0.9198,91
2009-06-05,0.8205,87,0.8947,92,0.8926,90,0.9155,90,0.9569,88,0.0,1,0.8926,90,0.9155,90
2009-06-04,0.9654,92,0.9008,92,0.8845,90,0.9118,90,0.9568,88,0.0,1,0.8845,90,0.9118,90
2009-06-03,0.9542,91,0.9049,93,0.8759,89,0.9176,91,0.962,88,0.0,1,0.8759,89,0.9176,90
2009-05-21,0.6004,72,0.7168,88,0.9367,91,0.9424,91,0.9671,89,0.0,1,0.9367,91,0.9424,91
2009-05-20,0.5989,71,0.7555,89,0.9221,90,0.9443,91,0.9687,89,0.0,1,0.9221,91,0.9443,91
2009-05-19,0.5906,70,0.7277,88,0.965,92,0.9394,91,0.9658,89,0.0,1,0.9246,91,0.9394,91
2009-05-18,0.6088,72,0.7652,90,0.9418,91,0.9391,91,0.9666,89,0.0,1,0.9251,91,0.9391,91
2009-05-15,0.4985,61,0.8175,91,0.9625,92,0.9684,92,0.9732,90,0.0,1,0.9321,91,0.9684,92
2009-05-14,0.5,61,0.8551,91,0.957,92,0.9612,92,0.9739,90,0.0,1,0.9325,91,0.9612,92
2009-05-13,0.6485,77,0.8611,92,1.0103,94,0.9844,92,0.9943,91,0.0,1,0.9585,93,0.9844,93
2009-05-12,0.8327,87,0.8995,92,0.9622,92,0.9566,92,0.9945,91,0.0,1,0.9342,91,0.9566,92
2009-05-11,0.8255,87,0.8591,92,0.9466,91,0.9616,92,1.0263,91,0.0,1,0.9181,91,0.9616,92
2009-05-08,0.7817,84,0.8382,91,0.8898,90,0.9492,92,1.0292,92,0.0,1,0.8958,90,0.9492,92
2009-05-07,0.8726,89,0.8584,92,0.8802,89,0.9131,90,1.0279,92,0.0,1,0.8802,90,0.9299,91
2009-05-06,0.9772,92,0.855,91,0.8895,90,0.8966,89,1.0297,92,0.0,1,0.8686,89,0.9116,90
2009-05-05,1.0953,95,0.8406,91,0.8679,89,0.8936,89,1.0586,92,0.0,1,0.861,89,0.9103,90
2009-05-04,1.0604,94,0.7364,88,0.8514,89,0.9035,90,1.0806,92,0.0,1,0.8514,89,0.8992,89
2009-05-01,1.0909,95,0.7366,88,0.904,90,0.9151,90,1.077,92,0.0,1,0.8864,90,0.9151,90
2009-04-30,1.6896,98,0.897,92,0.932,91,0.925,91,1.0776,92,0.0,1,0.8974,90,0.925,91
2009-04-29,1.6538,98,0.9581,94,0.8825,90,0.9296,91,1.0771,92,0.0,1,0.8791,90,0.9296,91
2009-04-28,1.6647,98,0.9243,93,0.9391,91,0.9492,92,1.0697,92,0.0,1,0.9146,90,0.9492,92
2009-04-27,1.5337,98,0.8812,92,0.9156,90,0.906,90,1.0645,92,0.0,1,0.8893,90,0.906,90
2009-04-24,1.3705,97,0.8888,92,0.8528,89,0.8935,89,1.0635,92,0.0,1,0.849,89,0.8935,89
