date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2006-05-26,0.744,80,0.3664,51,0.3874,,0.4162,,0.3889,12,0.0,1,0.3874,,0.4025,
2006-05-25,0.7216,78,0.387,55,0.3856,,0.4206,,0.3911,13,0.0,1,0.3856,,0.4096,
2006-05-24,0.694,77,0.3923,55,0.39,,0.4068,,0.3968,16,0.0,1,0.39,,0.4068,
2006-05-23,0.6651,74,0.3919,55,0.4151,,0.4292,,0.4005,17,0.0,1,0.3884,,0.4046,
2006-05-22,0.666,74,0.3623,50,0.3782,,0.3944,,0.3976,16,0.0,1,0.3782,,0.392,
2006-05-19,0.2099,15,0.2777,37,0.349,,0.3763,,0.3627,4,0.0,1,0.356,,0.3763,
2006-05-18,0.1255,9,0.2714,35,0.3615,,0.373,,0.3622,4,0.0,1,0.3648,,0.373,
2006-05-17,0.1287,9,0.2723,35,0.3594,,0.3715,,0.3618,4,0.0,1,0.369,,0.3715,
2006-05-16,0.1284,9,0.2452,30,0.3446,,0.3701,,0.3608,4,0.0,1,0.3482,,0.3701,
2006-05-15,0.1571,11,0.2389,30,0.3557,,0.3688,,0.3609,4,0.0,1,0.3511,,0.3688,
2006-05-12,0.2187,17,0.2488,31,0.3429,,0.3584,,0.3603,4,0.0,1,0.3491,,0.3584,
2006-05-11,0.3102,31,0.2689,34,0.3467,,0.3407,,0.36,3,0.0,1,0.3467,,0.3546,
2006-05-10,0.2751,25,0.2527,32,0.3378,,0.3383,,0.3637,5,0.0,1,0.3378,,0.3561,
2006-05-09,0.2959,28,0.2606,33,0.3374,,0.3371,,0.3666,7,0.0,1,0.3374,,0.3561,
2006-05-08,0.3031,30,0.2774,37,0.3198,,0.3285,,0.3663,6,0.0,1,0.3436,,0.3522,
2006-05-05,0.2766,26,0.2886,38,0.3155,,0.3284,,0.3669,7,0.0,1,0.3334,,0.3504,
2006-05-04,0.2809,26,0.2919,38,0.3177,,0.3287,,0.3681,8,0.0,1,0.3291,,0.3419,
2006-05-03,0.2727,25,0.2639,33,0.3258,,0.3281,,0.3687,8,0.0,1,0.3337,,0.3419,
2006-05-02,0.1951,14,0.2492,31,0.3183,,0.3532,,0.3667,7,0.0,1,0.3183,,0.3419,
2006-05-01,0.1753,12,0.2608,33,0.3556,,0.3012,,0.3667,7,0.0,1,0.3556,,0.3704,
2006-04-28,0.186,13,0.2665,34,0.3289,,0.3518,,0.3665,7,0.0,1,0.3518,,0.3668,
2006-04-27,0.1644,11,0.2422,30,0.3317,,0.344,,0.3659,6,0.0,1,0.3533,,0.3638,
2006-04-26,0.2591,22,0.2597,33,0.3365,,0.3425,,0.3661,6,0.0,1,0.3484,,0.3658,
2006-04-25,0.3171,33,0.2884,37,0.3369,,0.3481,,0.3682,8,0.0,1,0.3487,,0.3654,
