date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2015-04-29,0.5753,,0.5633,,0.6861,,0.6287,,0.8492,,0.6458,,0.6861,,0.6494,
2015-04-28,0.6247,,0.5619,,0.6806,,0.668,,0.8495,,0.6467,,0.6806,,0.6408,
2015-04-27,0.6432,,0.5876,,0.6332,,0.7316,,0.8493,,0.646,,0.6332,,0.6711,
2015-04-24,1.0704,,0.7303,,0.6075,,0.7352,,0.8518,,0.6451,,0.6075,,0.5845,
2015-04-23,1.1958,,0.778,,0.7568,,0.6242,,0.8512,,0.645,,0.659,,0.5663,
2015-04-22,0.9966,,0.6997,,0.6672,,0.6173,,0.8435,,0.6399,,0.6106,,0.6563,
2015-04-21,0.9986,,0.6922,,0.6221,,0.678,,0.8445,,0.6399,,0.6233,,0.6486,
2015-04-20,0.8965,,0.7024,,0.796,,0.6475,,0.8426,,0.6391,,0.5808,,0.6733,
2015-04-17,0.9095,,0.7096,,0.5526,,0.6084,,0.8418,,0.639,,0.5996,,0.5989,
2015-04-16,0.7823,,0.6727,,0.6902,,0.8349,,0.8422,,0.6389,,0.5387,,0.6836,
2015-04-15,0.5545,,0.4833,,0.5786,,0.8217,,0.8225,,0.6312,,0.5786,,0.7037,
2015-03-09,0.5372,,0.5446,,0.7606,,0.5694,,0.8192,,0.6467,,0.616,,0.5065,
2015-03-04,0.4432,,0.5167,,0.551,,0.5309,,0.8187,,0.6451,,0.551,,0.5309,
2015-03-03,0.4915,,0.4862,,0.5718,,0.5646,,0.8186,,0.6438,,0.5718,,0.5582,
2015-03-02,0.4828,,0.472,,0.5295,,0.8125,,0.819,,0.6433,,0.5295,,0.6218,
2014-10-30,0.3041,,0.3565,,0.5561,,0.5295,,0.39,,0.384,,0.5561,,0.5494,
2014-10-29,0.3336,,0.4069,,0.5934,,0.533,,0.3931,,0.3858,,0.5352,,0.5195,
2014-10-28,0.3408,,0.3757,,0.5538,,0.5254,,0.3929,,0.3837,,0.5538,,0.5254,
2014-10-27,0.3554,,0.4295,,0.6686,,0.4783,,0.3989,,0.3888,,0.6017,,0.472,
2014-10-24,0.3642,,0.4668,,0.5586,,0.541,,0.3948,,0.3886,,0.5274,,0.5165,
