date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2004-09-27,0.3944,57,0.3335,48,0.5152,,0.4957,,0.4757,66,0.0,1,0.5152,,0.4957,
2004-05-14,0.4362,63,0.4032,63,0.5356,,0.5407,,0.4639,62,0.0,1,0.5356,,0.5407,
2003-07-11,0.5644,76,0.0,1,0.6343,,0.6489,,0.5838,71,0.0,1,0.6343,,0.6489,
2003-01-15,0.8281,91,0.5277,79,0.807,,0.8314,,0.9133,86,0.0,1,0.807,,0.8314,
2003-01-14,0.8232,90,0.5341,80,0.7935,,0.8081,,0.9219,86,0.0,1,0.7935,,0.8081,
2003-01-13,0.8287,91,0.5382,80,0.8146,,0.8243,,0.9388,87,0.0,1,0.8146,,0.8243,
2003-01-10,0.8348,91,0.609,84,0.8152,,0.7973,,0.9415,88,0.0,1,0.8152,,0.7973,
2003-01-09,0.8342,91,0.0,1,0.8038,,0.7967,,0.9425,88,0.0,1,0.8038,,0.7967,
2003-01-08,0.8458,91,0.0,1,0.8066,,0.8144,,0.9406,88,0.0,1,0.8066,,0.8319,
2003-01-07,0.6102,78,0.0,1,0.8063,,0.7922,,0.9371,86,0.0,1,0.8063,,0.7922,
2003-01-06,0.4777,68,0.0,1,0.8031,,0.8296,,0.9322,86,0.0,1,0.8031,,0.8237,
2003-01-03,0.4568,65,0.0,1,0.8185,,0.8118,,0.9387,87,0.0,1,0.8185,,0.8118,
2003-01-02,0.455,65,0.0,1,0.8118,,0.8188,,0.939,87,0.0,1,0.8118,,0.8185,
2002-12-31,0.5117,72,0.0,1,0.8018,,0.8206,,0.9413,88,0.0,1,0.8018,,0.821,
2002-12-30,0.3969,57,0.0,1,0.7987,,0.8296,,0.9384,87,0.0,1,0.7987,,0.8052,
2002-12-27,0.4177,60,0.0,1,0.8664,,0.7764,,0.9385,87,0.0,1,0.8664,,0.7764,
2002-12-24,0.5874,77,0.6121,85,0.8114,,0.8257,,0.9378,87,0.0,1,0.8114,,0.8312,
2002-12-23,0.9164,93,0.7451,90,0.841,,0.831,,0.9379,87,0.0,1,0.8337,,0.8148,
2002-12-17,1.1262,97,0.8497,93,0.8289,,0.8241,,0.9473,89,0.0,1,0.8289,,0.8345,
2002-12-12,0.9569,94,0.8029,91,0.8156,,0.815,,0.9397,88,0.0,1,0.8156,,0.8212,
2002-12-11,0.9149,93,0.808,92,0.8512,,0.8364,,0.9413,88,0.0,1,0.8512,,0.8281,
2002-11-29,1.5014,99,0.0,1,0.7355,,0.8367,,0.943,88,0.0,1,0.7754,,0.8367,
2002-11-27,1.6312,99,1.1467,100,0.7821,,0.7895,,0.9431,89,0.0,1,0.8063,,0.7895,
2002-11-26,1.6787,99,1.245,100,0.8106,,0.7756,,0.9387,87,0.0,1,0.8085,,0.8095,
2002-11-25,1.5309,99,1.1967,100,0.7983,,0.8055,,0.9325,86,0.0,1,0.8081,,0.8055,
2002-11-22,1.5136,99,1.1598,100,0.7738,,0.8296,,0.9326,86,0.0,1,0.8029,,0.8296,
2002-11-21,1.1401,97,0.9918,98,0.9236,,0.7625,,0.8956,85,0.0,1,0.9236,,0.7995,
2002-11-20,1.0586,96,1.043,99,0.8136,,0.7885,,0.8859,85,0.0,1,0.8307,,0.8032,
2002-11-19,1.0854,96,0.9713,98,0.8333,,0.7905,,0.8725,85,0.0,1,0.8333,,0.8252,
2002-11-18,1.1495,97,0.9852,98,0.8625,,0.7802,,0.8717,85,0.0,1,0.8625,,0.8312,
2002-06-10,0.3056,40,0.6155,85,0.8307,,0.8026,,1.0273,95,0.0,1,0.8307,,0.8042,
2002-06-07,0.3305,45,0.6708,87,0.8062,,0.8352,,1.0429,96,0.0,1,0.8062,,0.8314,
2002-06-06,0.3296,45,0.5581,81,0.8648,,0.8049,,1.043,96,0.0,1,0.8648,,0.7874,
2002-06-05,0.3075,40,0.5193,78,0.7707,,0.7939,,1.0417,96,0.0,1,0.7707,,0.7924,
2002-06-04,0.213,20,0.0,1,0.8084,,0.8031,,1.0421,96,0.0,1,0.8084,,0.8122,
2002-06-03,0.2475,28,0.0,1,0.7865,,0.783,,1.0445,96,0.0,1,0.7865,,0.7676,
2002-05-29,0.3773,55,0.0,1,0.8325,,0.8175,,1.0473,96,0.0,1,0.8325,,0.7798,
2002-05-28,0.6058,78,0.0,1,0.7506,,0.8167,,1.0477,96,0.0,1,0.7506,,0.7999,
2002-05-24,0.6121,79,0.6973,88,0.76,,0.8158,,1.0754,98,0.0,1,0.76,,0.865,
2002-05-23,0.6353,81,0.8379,93,0.7845,,0.7896,,1.0781,99,0.0,1,0.784,,0.7777,
2002-05-22,0.9981,95,0.9047,95,0.8352,,0.7886,,1.077,99,0.0,1,0.8352,,0.8215,
2002-05-21,0.9971,95,0.8951,95,0.8371,,0.8156,,1.084,99,0.0,1,0.8371,,0.8389,
2002-05-20,1.0194,95,0.9354,96,0.7939,,0.8171,,1.098,100,0.0,1,0.7939,,0.7996,
2002-05-17,1.0058,95,0.9313,96,0.841,,0.7816,,1.0938,100,0.0,1,0.841,,0.7816,
2002-05-16,1.6554,99,1.11,99,0.836,,0.8249,,1.0982,100,0.0,1,0.836,,0.8249,
2002-05-15,1.7706,100,1.1294,100,0.8606,,0.8259,,1.0986,100,0.0,1,0.8606,,0.8259,
2002-05-14,1.7949,100,1.057,99,0.7994,,0.8258,,1.0981,100,0.0,1,0.7994,,0.8258,
2002-04-26,0.4216,61,0.6063,84,0.7855,,0.7644,,1.0593,98,0.0,1,0.7855,,0.7644,
2002-04-25,0.5266,73,0.574,82,0.7169,,0.7686,,1.0592,97,0.0,1,0.7169,,0.7686,
2002-04-18,0.8996,93,0.6782,88,0.7696,,0.7623,,1.0626,98,0.0,1,0.7194,,0.7623,
