date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2022-04-07,0.8606,77,0.8764,76,1.5722,,0.8911,,1.0047,66,0.8164,65,1.5722,,0.8911,
2022-04-06,0.8586,77,0.8173,71,0.9435,,0.9645,,1.0055,66,0.8125,65,0.8835,,0.8429,
2022-04-05,0.8531,76,0.7697,66,0.97,,0.8934,,1.0029,66,0.8078,64,1.6886,,0.8222,
2022-04-04,0.9784,82,0.816,71,0.874,,0.7246,,1.005,66,0.8081,64,1.1101,,0.8898,
2022-04-01,0.9715,82,0.8062,70,0.7307,,1.0466,,1.0071,66,0.809,64,0.7307,,1.0466,
2022-03-24,1.765,95,1.5009,94,1.3153,,0.9638,,0.9855,65,0.7919,63,1.3956,,1.3554,
2022-03-23,1.7727,95,1.5103,94,1.4397,,0.7845,,0.9864,65,0.7913,63,0.8473,,0.7933,
2022-03-22,1.7754,95,1.522,95,1.3962,,0.9661,,0.9846,65,0.7903,63,1.3663,,0.9099,
2022-03-21,1.8756,96,1.5205,95,1.6835,,0.8617,,0.9812,64,0.7855,63,1.6172,,0.8477,
2022-03-18,1.9213,96,1.5875,95,1.0021,,1.4407,,0.9758,64,0.7804,62,1.4052,,1.4407,
2022-03-17,1.9494,96,1.587,95,1.059,,1.1788,,0.9753,64,0.7745,62,0.9185,,1.1374,
2022-03-02,0.6633,64,0.7221,62,0.8903,,0.702,,0.8647,60,0.6636,48,0.8823,,0.702,
2022-03-01,0.6422,61,0.7227,62,0.9978,,1.0823,,0.8661,60,0.6637,48,1.7159,,1.0823,
2022-02-28,0.6395,61,0.6262,49,0.8493,,0.7276,,0.8614,60,0.6564,47,1.1393,,0.7926,
2022-02-25,0.6953,66,0.6003,46,0.8847,,1.3161,,0.8612,60,0.6581,48,0.8847,,0.8181,
2022-02-23,0.4949,41,0.5256,33,1.0612,,1.1176,,0.8614,60,0.6549,47,0.6201,,0.834,
2022-02-22,0.4718,38,0.5292,34,0.9009,,0.8862,,0.8582,60,0.6574,48,0.8793,,0.8862,
2022-02-18,0.5123,44,0.6438,52,0.9972,,0.848,,0.8575,60,0.6579,48,0.8898,,0.8445,
2022-02-17,0.5096,44,0.6433,52,1.037,,0.8533,,0.8561,59,0.657,47,2.01,,0.8528,
2022-02-16,0.6133,57,0.7351,63,1.0293,,0.8446,,0.8519,59,0.6551,47,0.8625,,0.8446,
2022-02-15,0.6519,62,0.7463,64,0.9882,,0.8259,,0.8513,59,0.6554,47,0.9882,,0.8259,
2022-02-14,0.717,67,0.7824,68,1.0531,,0.8005,,0.8523,59,0.6549,47,0.8965,,0.8005,
2022-02-11,0.716,67,0.7804,68,1.2186,,0.846,,0.8557,59,0.6552,47,1.024,,0.846,
2022-02-10,0.7049,67,0.8304,72,1.4664,,0.9813,,0.8532,59,0.6527,46,1.3205,,0.9813,
2022-02-09,0.7558,71,0.7497,64,1.105,,0.8127,,0.8547,59,0.65,45,0.8224,,0.8127,
2022-02-08,0.8739,77,0.7662,66,1.0039,,0.8606,,0.8548,59,0.6511,45,0.9307,,0.8606,
2022-01-24,0.5758,52,0.6865,57,1.5566,,0.8304,,0.8418,57,0.6348,42,0.9043,,0.8304,
2022-01-18,0.5251,46,0.6243,49,0.8532,,0.8914,,0.8369,57,0.6274,41,0.9286,,0.8914,
2022-01-13,0.4094,25,0.6035,47,1.0751,,0.8676,,0.8345,57,0.623,40,0.856,,0.8676,
2022-01-11,0.4673,37,0.6452,52,1.5361,,1.0767,,0.8333,56,0.622,40,0.8816,,1.0767,
2022-01-10,0.6049,57,0.6939,59,0.8295,,0.8829,,0.8344,57,0.6228,40,1.0513,,0.8829,
2022-01-07,0.7873,73,0.7375,63,1.5169,,0.8668,,0.8338,57,0.6221,40,0.8824,,0.8668,
2022-01-04,0.7347,69,0.6814,57,1.2207,,0.8694,,0.8317,56,0.6132,38,0.8629,,0.8694,
2022-01-03,0.4939,41,0.6055,47,0.8674,,0.8559,,0.826,56,0.6087,36,0.8674,,0.8559,
2021-12-29,0.3421,15,0.7016,60,1.2261,,0.9261,,0.816,55,0.6011,35,0.9839,,0.9261,
2021-12-22,1.0738,86,0.9741,82,1.3197,,0.9488,,0.8182,56,0.5997,34,0.9367,,0.9488,
2021-12-21,1.071,85,0.9712,82,0.9584,,0.8922,,0.8199,56,0.5998,34,0.9346,,0.8922,
2021-12-20,1.0389,84,0.9861,83,1.1385,,0.9684,,0.8344,57,0.6074,35,1.2235,,0.9684,
2021-12-17,1.0388,84,0.9765,82,0.9061,,0.9618,,0.8405,57,0.6028,35,0.9553,,0.9618,
2021-12-16,0.7114,67,0.8323,72,0.6575,,0.856,,0.8184,56,0.5867,28,0.8163,,0.939,
2021-12-15,0.5656,51,0.8845,76,1.4586,,0.8604,,0.811,55,0.5809,27,0.929,,0.933,
2021-12-14,2.8066,97,1.1445,89,0.9727,,0.8337,,0.8107,55,0.5786,27,0.8709,,0.9311,
2021-12-13,2.7344,97,1.142,89,1.1522,,0.8876,,0.8084,55,0.5769,26,0.9286,,0.8965,
2021-12-10,2.7595,97,1.1113,88,0.9299,,0.854,,0.808,55,0.5724,26,0.9149,,0.8211,
2021-12-09,2.6894,97,1.1046,87,0.9621,,0.8503,,0.8068,55,0.5693,25,1.0225,,0.877,
2021-12-08,2.6763,97,1.0374,85,1.5872,,0.8317,,0.8049,55,0.5607,22,1.0018,,0.8579,
2021-12-07,2.6665,97,1.0338,85,1.5902,,0.9629,,0.8034,54,0.556,20,1.0165,,0.8558,
2021-12-06,2.6828,97,0.9772,83,1.5782,,1.0382,,0.8015,54,0.5447,20,0.9899,,0.8141,
2021-12-03,0.5485,49,0.629,50,1.9057,,1.4092,,0.4744,6,0.5149,15,0.9698,,0.997,
2021-12-02,0.6089,57,0.6456,52,1.8283,,1.4133,,0.4738,6,0.5158,15,0.8972,,0.9743,
2021-12-01,0.6233,59,0.7527,64,1.2402,,1.2856,,0.4721,5,0.515,15,0.99,,0.9677,
2021-11-30,0.6229,59,0.7472,64,1.6659,,1.3746,,0.4692,5,0.5128,14,0.9794,,1.0322,
2021-11-29,0.5938,55,0.7476,64,1.7737,,1.1208,,0.4684,5,0.5116,13,1.0376,,0.9507,
2021-11-26,0.5111,44,0.703,60,1.7053,,1.2954,,0.4612,4,0.5079,11,1.0237,,0.8902,
2021-11-24,0.5492,49,0.6774,57,1.1403,,1.0695,,0.4647,4,0.5052,9,0.9215,,0.8788,
2021-11-23,0.5769,53,0.6667,55,1.463,,1.3445,,0.4695,5,0.5093,12,0.8853,,1.0424,
2021-11-22,0.4829,39,0.6539,53,1.4555,,1.1692,,0.4675,5,0.5094,12,1.1131,,0.9495,
2021-11-19,0.475,38,0.5095,28,1.25,,1.0597,,0.4608,3,0.5011,6,0.8927,,0.976,
2021-11-18,0.4341,31,0.4871,25,1.3846,,1.244,,0.4603,3,0.4993,6,1.1164,,1.1251,
2021-11-17,0.413,26,0.4619,18,1.303,,1.02,,0.462,4,0.5024,7,0.8952,,1.02,
2021-11-16,0.4245,28,0.4767,22,1.19,,0.9632,,0.467,5,0.503,7,0.9945,,0.9632,
2021-11-15,0.4292,30,0.497,26,1.2374,,0.9157,,0.463,4,0.499,5,1.071,,0.9157,
2021-11-12,0.3744,19,0.5093,28,1.2224,,0.9823,,0.4623,4,0.4987,5,0.9207,,0.9823,
2021-11-11,0.4288,30,0.5091,28,1.227,,0.9993,,0.4615,4,0.4975,5,1.118,,0.8992,
2021-11-10,0.385,21,0.5128,30,1.1989,,1.0423,,0.4604,3,0.499,5,0.9544,,1.0423,
2021-11-09,0.4577,35,0.517,31,1.2302,,0.8916,,0.4595,3,0.4986,5,0.8734,,0.8916,
2021-11-08,0.4616,36,0.5188,31,1.0153,,0.9661,,0.4612,4,0.4992,6,1.015,,0.9661,
2021-11-05,0.4597,36,0.5013,27,1.1423,,1.1772,,0.4613,4,0.499,5,0.8963,,0.8878,
2021-11-04,0.3727,19,0.4274,12,1.0762,,1.0753,,0.4567,3,0.4953,5,0.9147,,0.8964,
2021-11-03,0.3728,19,0.5117,28,1.085,,1.0377,,0.4618,4,0.4985,5,0.9068,,1.017,
2021-11-02,0.4392,33,0.5658,40,1.0465,,0.9637,,0.4613,4,0.4986,5,0.9008,,0.8975,
2021-11-01,0.4215,28,0.5794,42,1.0556,,0.8769,,0.4609,3,0.4983,5,0.9019,,0.9171,
2021-10-29,0.4221,28,0.58,42,1.027,,0.9283,,0.458,3,0.4991,6,1.0308,,0.8712,
2021-10-28,0.4196,27,0.5808,42,0.86,,0.954,,0.4602,3,0.5,6,0.9107,,0.9816,
2021-10-27,0.4261,28,0.5806,42,0.9109,,1.1313,,0.4644,4,0.5044,9,0.9311,,0.8876,
2021-10-26,0.5785,53,0.6389,51,1.2513,,0.8391,,0.4648,5,0.5042,9,0.9258,,0.8973,
2021-10-25,0.5887,54,0.5823,43,1.0262,,1.0022,,0.4708,5,0.5038,8,0.8854,,0.912,
2021-10-22,0.6372,61,0.5415,36,1.0049,,0.9849,,0.4654,5,0.4996,6,0.9045,,0.8981,
2021-10-21,0.6305,60,0.5282,34,0.8425,,0.893,,0.4659,5,0.4987,5,0.9602,,0.8974,
2021-10-20,0.6212,59,0.5135,30,1.0134,,0.9004,,0.4652,5,0.4998,6,0.9315,,0.9129,
2021-10-19,0.6481,62,0.5345,35,0.9797,,0.8656,,0.4734,6,0.5077,11,0.8913,,0.832,
2021-10-18,0.6445,61,0.5102,28,1.0557,,0.8597,,0.473,6,0.5072,11,0.8538,,0.8129,
2021-10-15,0.5946,55,0.4547,16,0.9742,,0.986,,0.4627,4,0.504,8,0.8238,,0.9039,
2021-10-14,0.5955,56,0.4971,26,0.8776,,0.8474,,0.4635,4,0.5035,8,0.8757,,0.8271,
2021-10-13,0.4843,40,0.4687,20,0.9861,,0.8635,,0.4558,3,0.5028,7,0.9131,,0.864,
2021-10-12,0.4807,39,0.4601,18,0.7083,,0.9479,,0.4747,6,0.5077,11,0.8314,,0.8903,
2021-10-11,0.52,45,0.4757,22,0.9418,,0.7653,,0.4762,6,0.509,12,0.9558,,0.9068,
2021-10-08,0.5201,45,0.4831,24,0.6445,,0.8674,,0.4806,7,0.51,13,0.9906,,0.8265,
2021-10-07,0.5194,45,0.4954,26,0.943,,0.9923,,0.4814,7,0.5117,14,0.7664,,0.8329,
2021-10-06,0.3503,17,0.4559,17,0.9579,,0.8391,,0.4754,6,0.5105,13,0.92,,0.8967,
2021-10-05,0.3065,11,0.3876,6,0.9695,,0.8696,,0.481,7,0.5084,12,0.852,,0.8459,
2021-10-04,0.2845,9,0.4013,8,0.9036,,0.8758,,0.4802,6,0.5079,11,0.8109,,0.8457,
2021-10-01,0.27,8,0.4071,9,0.6512,,0.8364,,0.4808,7,0.5085,12,0.8155,,0.8531,
2021-09-30,0.2472,5,0.381,5,0.879,,0.8408,,0.4797,6,0.5083,12,0.9566,,0.8079,
2021-09-29,0.2149,3,0.3564,3,0.8687,,0.854,,0.4832,7,0.5082,11,0.8758,,0.8693,
2021-09-28,0.2329,4,0.3861,6,0.892,,0.8922,,0.4871,7,0.5105,13,0.892,,0.8776,
2021-09-27,0.3425,16,0.4774,23,1.3461,,0.8554,,0.4874,7,0.5109,13,1.3461,,0.8948,
2021-09-24,0.3405,15,0.4783,23,0.6969,,0.8285,,0.4934,10,0.5144,15,0.8983,,0.8535,
2021-09-23,0.3058,11,0.4575,17,0.8024,,0.7118,,0.4992,13,0.5161,15,0.8448,,0.8928,
2021-09-22,0.3096,11,0.4487,16,0.8495,,0.8506,,0.5104,18,0.5188,16,0.8704,,0.8729,
2021-09-21,0.2674,7,0.4626,19,0.8427,,0.7354,,0.5179,18,0.5259,18,0.8593,,1.3726,
2021-09-20,0.4476,34,0.4934,26,0.8048,,0.8018,,0.5379,19,0.5357,20,0.8873,,0.9325,
2021-09-17,0.5175,45,0.4868,25,0.8833,,0.7672,,0.5772,22,0.5504,20,0.8947,,0.907,
2021-09-16,0.4205,27,0.436,14,1.3471,,0.8519,,0.5722,21,0.5476,20,0.8809,,0.8638,
2021-09-15,0.4696,37,0.4463,16,0.8211,,0.8892,,0.5843,25,0.5548,20,0.8337,,0.8892,
2021-09-14,0.4664,37,0.442,15,0.8941,,0.8488,,0.5894,28,0.5591,21,0.8352,,0.8488,
