date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2021-07-07,0.5928,,0.412,,0.52,,0.7515,,0.411,,0.3568,,0.5368,,0.6973,
2021-07-06,0.5799,,0.4056,,0.7149,,0.6893,,0.4109,,0.3562,,0.5499,,0.6562,
2021-07-02,0.5737,,0.3898,,0.8291,,0.7023,,0.4096,,0.3553,,0.5329,,0.6228,
2021-07-01,0.5065,,0.356,,0.7342,,0.585,,0.4066,,0.3533,,0.7091,,0.4687,
2021-06-30,0.3559,,0.2726,,0.5626,,0.7698,,0.3968,,0.3492,,0.524,,0.5142,
2021-06-29,0.3489,,0.2557,,0.7192,,0.8432,,0.3967,,0.3491,,0.5131,,0.5672,
2021-06-28,0.2117,,0.1803,,0.7729,,0.7122,,0.3927,,0.3465,,0.4958,,1.1267,
2021-06-25,0.0461,,0.0664,,0.722,,1.0957,,0.3895,,0.3446,,0.722,,1.1073,
2021-06-24,0.0212,,0.0288,,0.5978,,0.6858,,0.3894,,0.3445,,0.5585,,0.5013,
2021-06-23,0.0175,,0.0258,,0.5697,,0.6809,,0.3901,,0.3448,,0.5534,,0.4965,
2021-06-22,0.0179,,0.027,,0.6031,,0.72,,0.3918,,0.3459,,0.5589,,0.4323,
2021-06-21,0.0201,,0.0361,,0.6599,,0.5956,,0.392,,0.346,,0.5582,,0.4799,
2021-06-18,0.0218,,0.0455,,0.6478,,0.6321,,0.392,,0.3461,,0.5618,,0.4284,
2021-06-17,0.0248,,0.0547,,0.5477,,0.6212,,0.392,,0.3462,,0.5598,,0.5421,
2021-06-16,0.0339,,0.0577,,0.5856,,0.6061,,0.392,,0.3462,,0.4794,,0.515,
2021-06-15,0.0288,,0.0571,,0.5887,,0.6114,,0.392,,0.3462,,0.4261,,0.4381,
2021-06-14,0.0218,,0.0561,,0.5925,,0.5755,,0.392,,0.3462,,0.5435,,0.5123,
2021-06-11,0.0201,,0.0562,,0.5663,,0.5635,,0.392,,0.3462,,0.4148,,0.4071,
2021-06-10,0.0218,,0.0508,,0.544,,0.6472,,0.392,,0.3462,,0.4148,,0.3857,
2021-06-09,0.0232,,0.0444,,0.5772,,0.5757,,0.392,,0.3462,,0.6372,,0.5757,
2021-06-08,0.0232,,0.0408,,0.5032,,0.2926,,0.392,,0.3461,,0.5205,,0.4523,
2021-06-07,0.0125,,0.0373,,0.2437,,0.5352,,0.392,,0.3461,,0.3869,,0.5783,
2021-06-04,0.0125,,0.0374,,0.0925,,0.659,,0.392,,0.3461,,0.481,,0.6051,
2021-06-03,0.0155,,0.0374,,0.2692,,0.4883,,0.392,,0.3462,,0.4321,,0.6201,
2021-06-02,0.0181,,0.0365,,0.4147,,0.5216,,0.392,,0.3462,,0.4645,,0.5216,
2021-06-01,0.0181,,0.0374,,0.2863,,0.5678,,0.3921,,0.3465,,0.3843,,0.5678,
2021-05-28,0.0181,,0.0352,,0.3595,,1.0028,,0.3921,,0.3465,,0.3655,,1.0028,
2021-05-27,0.0181,,0.0251,,0.307,,0.9489,,0.3921,,0.3464,,0.3881,,0.5707,
2021-05-26,0.0152,,0.0268,,0.2598,,0.9775,,0.3921,,0.3464,,0.4678,,0.5206,
2021-05-25,0.0152,,0.0285,,0.3269,,0.6198,,0.3921,,0.3464,,0.3912,,0.6198,
2021-05-21,0.0092,,0.036,,0.3037,,0.6647,,0.3921,,0.3465,,0.49,,0.6647,
2021-05-20,0.011,,0.0388,,0.2856,,0.5813,,0.3921,,0.3465,,0.4486,,0.5813,
2021-05-18,0.0156,,0.0522,,0.4485,,1.0347,,0.3921,,0.3465,,0.4485,,1.0347,
2021-04-29,0.0238,,0.0708,,0.3161,,0.5801,,0.3925,,0.3465,,0.649,,0.5801,
2021-04-27,0.0324,,0.0944,,0.1194,,0.1201,,0.3926,,0.3463,,0.5682,,0.4539,
2021-04-26,0.0331,,0.0958,,0.117,,0.1178,,0.3926,,0.3463,,0.6224,,0.1309,
2021-04-23,0.067,,0.1212,,0.6939,,0.959,,0.3926,,0.3463,,0.6939,,0.959,
2021-04-22,0.0711,,0.1199,,0.5392,,0.9387,,0.3926,,0.3462,,0.5392,,0.9387,
2021-04-20,0.0645,,0.1169,,0.7144,,0.9364,,0.3926,,0.3462,,0.7144,,0.9364,
2021-04-19,0.071,,0.0924,,0.4089,,0.9498,,0.3927,,0.3457,,0.4089,,0.9498,
2021-04-16,0.0703,,0.0933,,0.2672,,0.9033,,0.3928,,0.3456,,0.54,,0.9033,
2021-04-15,0.0694,,0.0951,,0.1767,,0.0989,,0.3928,,0.3456,,0.522,,0.1491,
2021-04-14,0.0299,,0.0697,,0.556,,1.0673,,0.3925,,0.3451,,0.6164,,1.0673,
2021-04-12,0.0346,,0.1047,,0.3652,,0.9189,,0.3925,,0.3451,,0.6635,,0.9189,
2021-04-09,0.0347,,0.1098,,0.3558,,0.3073,,0.3925,,0.345,,0.6426,,0.9484,
2021-04-07,0.0634,,0.1463,,0.5545,,0.3402,,0.3925,,0.3449,,0.5114,,0.924,
2021-04-05,0.1017,,0.159,,0.1743,,0.4411,,0.3925,,0.3448,,0.4739,,0.4411,
2021-04-01,0.1017,,0.1624,,0.643,,0.1436,,0.3924,,0.3446,,0.643,,0.1436,
2021-03-30,0.1097,,0.1653,,0.2251,,0.1588,,0.3928,,0.3445,,0.5148,,0.1588,
2021-03-29,0.1123,,0.1699,,0.2821,,0.3344,,0.3927,,0.3444,,0.5482,,0.3344,
2021-03-25,0.1669,,0.1636,,0.214,,1.1888,,0.3925,,0.3436,,0.5995,,0.8729,
2021-03-24,0.2366,,0.1997,,0.235,,0.2119,,0.3927,,0.3438,,0.6345,,1.0017,
