date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2014-10-07,0.5568,,0.8365,,0.7651,,0.7174,,0.49,,0.5241,,0.7651,,0.7174,
2014-10-06,0.5201,,0.8302,,0.839,,0.7037,,0.482,,0.5198,,0.839,,0.7037,
2014-10-02,0.7213,,0.7899,,0.7439,,0.6582,,0.4828,,0.5039,,0.7439,,0.6582,
2014-09-24,1.1632,,0.982,,0.7684,,0.7154,,0.4643,,0.4915,,0.5973,,0.7154,
2014-09-05,0.371,,0.4412,,0.6213,,0.5492,,0.4054,,0.4616,,0.5819,,0.449,
2014-09-02,0.3553,,0.4572,,0.4972,,0.49,,0.4198,,0.466,,0.4972,,0.5079,
2014-08-26,0.3782,,0.3734,,0.6468,,0.6707,,0.4367,,0.4643,,0.6468,,0.5564,
2014-08-25,0.3754,,0.3808,,0.5467,,0.7322,,0.4422,,0.4661,,0.5467,,0.5589,
2014-08-20,0.4489,,0.373,,0.5884,,0.5477,,0.4474,,0.4685,,0.5884,,0.5035,
2014-08-15,0.5657,,0.513,,0.5159,,0.5808,,0.4457,,0.4735,,0.5159,,0.569,
2014-08-12,0.6368,,0.6073,,0.6168,,0.6282,,0.4457,,0.4796,,0.5854,,0.5198,
2014-08-11,0.6125,,0.5828,,0.5381,,0.7563,,0.4417,,0.4777,,0.5405,,0.5601,
2014-08-08,0.5467,,0.5834,,0.4829,,0.7657,,0.4407,,0.477,,0.5089,,0.5876,
2014-08-07,0.4869,,0.5358,,0.6396,,0.4718,,0.4404,,0.4768,,0.6381,,0.4994,
2014-08-06,0.4168,,0.4716,,0.6326,,0.515,,0.4343,,0.4747,,0.6022,,0.5282,
2014-08-05,0.4071,,0.4564,,0.55,,0.5751,,0.4356,,0.4747,,0.5775,,0.5076,
2014-08-04,0.2645,,0.3571,,0.5987,,0.541,,0.4282,,0.4709,,0.5604,,0.5646,
