date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2009-12-04,0.1517,26,0.0,1,0.231,26,0.2684,33,0.2214,28,0.0,1,0.2332,48,0.2791,22
2009-12-03,0.1541,26,0.0,1,0.2302,26,0.2674,32,0.2215,28,0.0,1,0.2326,48,0.2785,21
2009-12-02,0.17,33,0.0,1,0.2293,25,0.2665,31,0.2216,28,0.0,1,0.2321,47,0.2778,21
2009-12-01,0.1698,33,0.0,1,0.2285,25,0.2655,30,0.2218,28,0.0,1,0.2316,47,0.2773,20
2009-11-30,0.2189,51,0.0,1,0.2276,24,0.2646,28,0.222,28,0.0,1,0.231,47,0.2768,19
2009-11-27,0.1985,44,0.0,1,0.2441,36,0.2463,14,0.222,28,0.0,1,0.2445,55,0.2632,8
2009-11-25,0.1748,34,0.0,1,0.2276,24,0.2482,16,0.2196,28,0.0,1,0.2348,49,0.2659,10
2009-11-24,0.2221,52,0.0,1,0.231,26,0.2464,14,0.2197,28,0.0,1,0.24,52,0.2655,10
2009-11-23,0.2238,53,0.0,1,0.2372,31,0.262,26,0.22,28,0.0,1,0.2362,49,0.2763,19
2009-11-20,0.2085,47,0.0,1,0.2528,45,0.272,36,0.2204,28,0.0,1,0.2528,61,0.272,16
2009-11-19,0.2301,56,0.0,1,0.2465,39,0.2769,39,0.2206,28,0.0,1,0.2563,63,0.2769,19
2009-11-18,0.1826,38,0.0,1,0.2526,45,0.2307,5,0.2222,28,0.0,1,0.2526,60,0.2658,10
2009-11-17,0.1912,41,0.0,1,0.2525,45,0.2334,7,0.2233,30,0.0,1,0.2525,60,0.2633,8
2009-11-16,0.1603,28,0.0,1,0.2504,42,0.2344,7,0.2251,30,0.0,1,0.2504,59,0.2704,14
2009-11-13,0.1546,27,0.0,1,0.2464,38,0.2288,4,0.2238,30,0.0,1,0.2464,56,0.2684,13
2009-11-12,0.1563,28,0.0,1,0.2529,45,0.2427,12,0.2239,30,0.0,1,0.2529,61,0.2568,3
2009-11-11,0.1684,32,0.0,1,0.2498,42,0.2377,9,0.2269,31,0.0,1,0.2498,57,0.2698,14
2009-11-10,0.1621,30,0.0,1,0.2427,34,0.2637,28,0.2288,32,0.0,1,0.2569,63,0.2637,8
2009-11-09,0.4616,90,0.0,1,0.2431,35,0.2442,13,0.2283,31,0.0,1,0.2431,54,0.2795,22
2009-11-06,0.4646,90,0.0,1,0.2499,42,0.281,41,0.2272,31,0.0,1,0.2582,64,0.281,23
2009-11-05,0.4603,90,0.0,1,0.2478,40,0.2525,18,0.2271,31,0.0,1,0.2607,65,0.2829,24
2009-11-04,0.4392,88,0.0,1,0.2542,46,0.253,19,0.2262,31,0.0,1,0.2846,77,0.2694,14
2009-11-03,0.4465,89,0.0,1,0.2556,47,0.2751,37,0.2268,31,0.0,1,0.2649,68,0.287,26
2009-11-02,0.4478,89,0.0,1,0.2524,45,0.2652,30,0.2271,31,0.0,1,0.251,60,0.282,24
2009-10-30,0.4852,91,0.0,1,0.2419,34,0.2352,8,0.2323,32,0.0,1,0.2585,64,0.2692,13
2009-10-29,0.2446,61,0.0,1,0.2478,40,0.263,27,0.2119,26,0.0,1,0.2522,60,0.28,23
2009-10-28,0.2547,64,0.0,1,0.2496,42,0.3115,64,0.211,25,0.0,1,0.2496,57,0.2645,9
2009-10-27,0.2526,64,0.0,1,0.2365,30,0.269,34,0.2115,25,0.0,1,0.2442,54,0.2759,18
2009-10-26,0.2523,63,0.0,1,0.2317,26,0.2554,21,0.3,60,0.0,1,0.2452,55,0.2721,16
2009-10-23,0.2419,60,0.0,1,0.2396,32,0.2498,16,0.301,60,0.0,1,0.2396,51,0.2545,2
2009-10-22,0.2693,68,0.0,1,0.2206,21,0.2445,13,0.3021,61,0.0,1,0.2152,36,0.2606,6
2009-10-21,0.2056,46,0.0,1,0.2353,28,0.2708,35,0.301,60,0.0,1,0.2353,49,0.2547,2
2009-10-20,0.1943,42,0.0,1,0.236,30,0.2574,23,0.3013,60,0.0,1,0.236,49,0.2574,4
2009-10-19,0.1276,16,0.0,1,0.2302,26,0.259,24,0.2996,60,0.0,1,0.2303,46,0.2642,9
2009-10-16,0.1299,17,0.0,1,0.2356,28,0.2543,20,0.3,60,0.0,1,0.2374,50,0.271,15
