date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2018-04-24,0.3012,,0.366,,0.6991,,0.5961,,0.4646,,0.4162,,0.3485,,0.5961,
2018-04-16,0.4649,,0.4023,,1.4969,,0.5983,,0.4634,,0.4125,,1.4969,,0.5983,
2018-04-12,0.4593,,0.4746,,0.3221,,0.6113,,0.4638,,0.4118,,0.3221,,0.6113,
2018-04-05,0.4725,,0.4262,,0.3877,,0.4144,,0.4523,,0.4067,,0.3594,,0.5104,
2018-04-04,0.3697,,0.3782,,0.3872,,0.4395,,0.4483,,0.4022,,0.3735,,0.5269,
2018-04-03,0.354,,0.3672,,0.4505,,0.4422,,0.4482,,0.4011,,0.3848,,0.5304,
2018-04-02,0.3092,,0.3578,,0.4747,,0.4621,,0.4465,,0.4002,,0.3926,,0.5429,
2018-03-29,0.2681,,0.3397,,0.3905,,0.4204,,0.4423,,0.3992,,0.3651,,0.5182,
2018-03-28,0.2634,,0.3587,,0.4228,,0.4102,,0.4437,,0.4074,,0.377,,0.5262,
2018-03-27,0.4524,,0.4092,,0.4207,,0.4153,,0.4445,,0.4098,,0.3745,,0.5192,
2018-03-26,0.4551,,0.4002,,0.4004,,0.4047,,0.4435,,0.4097,,0.3658,,0.5135,
2018-03-23,0.467,,0.3842,,0.3806,,0.361,,0.4435,,0.4082,,0.3673,,0.5017,
2018-03-22,0.4682,,0.3711,,0.3648,,0.3767,,0.4437,,0.4082,,0.3675,,0.4999,
2018-03-21,0.4523,,0.3555,,0.3651,,0.3659,,0.444,,0.4075,,0.3585,,0.501,
2018-03-20,0.461,,0.3529,,0.4298,,0.3771,,0.4425,,0.4067,,0.3646,,0.5178,
2018-03-19,0.4738,,0.3372,,0.4104,,0.3761,,0.4426,,0.406,,0.3763,,0.4922,
2018-03-16,0.2848,,0.2916,,0.3407,,0.3671,,0.4338,,0.4029,,0.3446,,0.4761,
2018-03-15,0.2928,,0.3248,,0.3658,,0.4021,,0.4342,,0.4024,,0.3555,,0.4993,
2018-03-14,0.2656,,0.3057,,0.3798,,0.4035,,0.4332,,0.4017,,0.3649,,0.4701,
2018-03-13,0.2663,,0.3263,,0.378,,0.4299,,0.4332,,0.4017,,0.3584,,0.4731,
2018-03-12,0.3,,0.3427,,0.3726,,0.3608,,0.4335,,0.4022,,0.3621,,0.4756,
2018-03-09,0.2417,,0.3378,,0.3802,,0.3806,,0.4316,,0.4015,,0.3664,,0.4825,
2018-03-08,0.3332,,0.4149,,0.3819,,0.3884,,0.4313,,0.4015,,0.3712,,0.4888,
2018-03-07,0.3455,,0.4075,,0.411,,0.4206,,0.4307,,0.4003,,0.3846,,0.5046,
2018-03-06,0.344,,0.3891,,0.4053,,0.467,,0.43,,0.3984,,0.3766,,0.4909,
2018-03-05,0.7732,,0.5174,,0.4198,,0.455,,0.4301,,0.3987,,0.3832,,0.4848,
2018-03-02,0.7814,,0.6319,,0.4399,,0.4397,,0.4304,,0.3979,,0.392,,0.4982,
2018-03-01,0.7552,,0.6266,,0.4061,,0.4235,,0.4294,,0.397,,0.3791,,0.4796,
2018-02-28,0.8244,,0.6529,,0.4224,,0.4149,,0.4292,,0.397,,0.3778,,0.4893,
2018-02-27,0.7341,,0.6113,,0.4226,,0.4079,,0.4229,,0.3933,,0.3794,,0.4651,
2018-02-26,0.7467,,0.6285,,0.4236,,0.4089,,0.423,,0.3927,,0.381,,0.475,
2018-02-23,0.7368,,0.6384,,0.3963,,0.405,,0.4228,,0.3923,,0.3731,,0.4792,
2018-02-22,0.3869,,0.5449,,0.4525,,0.3137,,0.3965,,0.3837,,0.3911,,0.4756,
2018-02-21,0.3796,,0.4172,,0.5331,,0.4574,,0.3946,,0.3729,,0.4094,,0.5254,
