date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2007-07-13,0.1787,28,0.208,46,0.3059,,0.2996,,0.2644,51,0.0,1,0.2625,,0.2996,
2007-07-12,0.1787,28,0.0,1,0.2991,,0.3026,,0.2644,51,0.0,1,0.2571,,0.3026,
2007-07-11,0.2331,52,0.0,1,0.3013,,0.2931,,0.2652,53,0.0,1,0.2536,,0.2931,
2007-07-10,0.2208,47,0.0,1,0.38,,0.2877,,0.2663,53,0.0,1,0.2534,,0.2877,
2007-07-09,0.2377,54,0.0,1,0.3037,,0.293,,0.2669,54,0.0,1,0.2517,,0.293,
2007-07-06,0.2239,49,0.0,1,0.3505,,0.3743,,0.265,52,0.0,1,0.2423,,0.2875,
2007-07-02,0.2694,66,0.2459,63,0.2856,,0.2946,,0.268,54,0.0,1,0.2415,,0.2946,
2007-06-29,0.2824,70,0.2455,62,0.2946,,0.2866,,0.2696,55,0.0,1,0.2507,,0.2866,
2007-06-28,0.2862,71,0.2397,60,0.3523,,0.2922,,0.2696,55,0.0,1,0.2484,,0.2922,
2007-06-26,0.2511,60,0.216,50,0.3481,,0.288,,0.2693,55,0.0,1,0.2485,,0.288,
2007-06-25,0.1372,13,0.2085,47,0.2825,,0.2933,,0.268,54,0.0,1,0.2458,,0.2933,
2007-04-26,0.3127,77,0.2117,48,0.2582,,0.2794,,0.263,50,0.0,1,0.2582,,0.2794,
2007-04-02,0.1148,8,0.1691,28,0.2754,,0.2916,,0.2813,63,0.0,1,0.2789,,0.2916,
2007-03-30,0.1151,8,0.1731,31,0.2942,,0.2935,,0.2821,63,0.0,1,0.2787,,0.2935,
2007-02-21,0.5105,97,0.0,1,0.2788,,0.2947,,0.2968,72,0.0,1,0.2788,,0.2947,
2007-02-20,0.5164,97,0.0,1,0.2771,,0.2951,,0.2968,72,0.0,1,0.2771,,0.2951,
2007-02-15,0.5324,97,0.2546,66,0.2777,,0.2907,,0.3015,75,0.0,1,0.2777,,0.2907,
2007-02-14,0.5253,97,0.2471,63,0.2834,,0.2938,,0.3017,75,0.0,1,0.2834,,0.2938,
2007-01-08,0.1858,32,0.0,1,0.2978,,0.3,,0.3001,74,0.0,1,0.2866,,0.3,
2007-01-05,0.1425,16,0.0,1,0.2978,,0.3029,,0.2997,74,0.0,1,0.2869,,0.3029,
2007-01-04,0.124,10,0.0,1,0.3002,,0.2979,,0.2982,73,0.0,1,0.2835,,0.2979,
2007-01-03,0.1259,10,0.0,1,0.2963,,0.3037,,0.2987,74,0.0,1,0.2829,,0.3037,
2006-12-29,0.1048,7,0.0,1,0.3107,,0.2974,,0.307,77,0.0,1,0.2879,,0.2974,
2006-12-22,0.2404,55,0.1929,40,0.3062,,0.2965,,0.3079,77,0.0,1,0.2854,,0.2965,
2006-12-19,0.2426,56,0.2139,49,0.2792,,0.3281,,0.3194,84,0.0,1,0.2852,,0.3281,
2006-12-15,0.1641,24,0.2103,48,0.2907,,0.331,,0.3155,83,0.0,1,0.2907,,0.331,
2006-12-14,0.1588,22,0.2242,54,0.2884,,0.3332,,0.3156,83,0.0,1,0.2884,,0.3332,
2006-12-13,0.1644,24,0.2392,59,0.2844,,0.3352,,0.3155,83,0.0,1,0.2844,,0.3352,
2006-12-12,0.2424,56,0.2422,61,0.2893,,0.3419,,0.3138,81,0.0,1,0.2893,,0.3419,
2006-12-11,0.2847,70,0.2766,75,0.2943,,0.3382,,0.3138,81,0.0,1,0.2943,,0.3382,
2006-12-08,0.2854,71,0.2849,78,0.2908,,0.3373,,0.314,81,0.0,1,0.2908,,0.3373,
2006-12-07,0.2931,73,0.2881,79,0.2871,,0.3382,,0.3151,83,0.0,1,0.2871,,0.3382,
2006-12-06,0.2888,72,0.2968,82,0.2918,,0.3379,,0.315,83,0.0,1,0.2918,,0.3379,
2006-12-05,0.3869,91,0.3256,88,0.2902,,0.3376,,0.3159,84,0.0,1,0.2902,,0.3376,
2006-12-04,0.3961,92,0.3189,86,0.2906,,0.3374,,0.3157,83,0.0,1,0.2906,,0.3374,
2006-11-30,0.2794,69,0.0,1,0.2969,,0.3422,,0.3114,79,0.0,1,0.2969,,0.3325,
2006-11-29,0.2787,69,0.0,1,0.2938,,0.3528,,0.3114,79,0.0,1,0.2938,,0.3427,
2006-11-28,0.2454,57,0.0,1,0.2993,,0.3361,,0.3109,79,0.0,1,0.2993,,0.3381,
2006-11-27,0.2425,56,0.0,1,0.3014,,0.3403,,0.3109,79,0.0,1,0.3014,,0.3409,
2006-11-24,0.1468,17,0.0,1,0.2968,,0.3375,,0.3062,77,0.0,1,0.2968,,0.3375,
2006-11-22,0.1432,16,0.2413,61,0.2892,,0.3391,,0.306,77,0.0,1,0.2892,,0.3391,
2006-11-21,0.1274,10,0.236,57,0.2881,,0.3366,,0.3059,77,0.0,1,0.2881,,0.3366,
2006-11-20,0.1546,20,0.2402,60,0.2907,,0.3399,,0.3114,79,0.0,1,0.2907,,0.3399,
2006-11-17,0.1414,15,0.2233,54,0.2897,,0.3379,,0.3135,81,0.0,1,0.2897,,0.3379,
2006-11-16,0.0939,6,0.244,62,0.2852,,0.3317,,0.3127,80,0.0,1,0.2869,,0.3317,
2006-11-15,0.0928,6,0.2434,61,0.2873,,0.3363,,0.3127,80,0.0,1,0.2917,,0.3363,
2006-11-14,0.2786,69,0.2912,81,0.2902,,0.3365,,0.3127,80,0.0,1,0.2915,,0.3365,
2006-11-13,0.3671,89,0.2811,77,0.2892,,0.3354,,0.3125,80,0.0,1,0.2896,,0.3354,
2006-11-10,0.366,89,0.3038,84,0.2855,,0.3352,,0.3144,82,0.0,1,0.2853,,0.3352,
2006-11-09,0.3649,89,0.2978,82,0.2826,,0.3547,,0.3149,82,0.0,1,0.2826,,0.337,
2006-11-08,0.3739,90,0.296,82,0.2955,,0.3356,,0.315,83,0.0,1,0.289,,0.3356,
2006-11-07,0.3719,90,0.2911,80,0.2938,,0.3433,,0.3149,82,0.0,1,0.2938,,0.3302,
2006-11-06,0.4171,93,0.3026,83,0.2898,,0.3431,,0.316,84,0.0,1,0.2898,,0.3307,
2006-11-02,0.3378,83,0.3218,87,0.2867,,0.3445,,0.3084,78,0.0,1,0.2867,,0.3298,
2006-11-01,0.3975,92,0.319,87,0.2904,,0.3394,,0.3084,78,0.0,1,0.2904,,0.3328,
2006-10-31,0.4336,93,0.329,88,0.28,,0.3416,,0.309,78,0.0,1,0.28,,0.3312,
2006-10-30,0.4357,93,0.3331,89,0.284,,0.342,,0.3087,78,0.0,1,0.284,,0.3292,
2006-10-27,0.4446,94,0.3258,88,0.2869,,0.3426,,0.3087,78,0.0,1,0.2869,,0.3301,
2006-10-26,0.4393,93,0.3215,87,0.2907,,0.345,,0.3061,77,0.0,1,0.2837,,0.3315,
2006-10-25,0.3241,81,0.296,82,0.4334,,0.3275,,0.2973,73,0.0,1,0.2932,,0.3275,
2006-10-24,0.324,80,0.2705,72,0.3329,,0.3316,,0.2972,73,0.0,1,0.2778,,0.3316,
2006-10-23,0.3052,76,0.2516,65,0.2883,,0.3262,,0.2968,72,0.0,1,0.2765,,0.3262,
2006-10-20,0.3522,86,0.2579,67,0.2968,,0.3415,,0.2955,72,0.0,1,0.2841,,0.3248,
2006-10-19,0.3506,85,0.2465,63,0.2888,,0.3257,,0.2954,72,0.0,1,0.2788,,0.3257,
2006-10-18,0.2736,67,0.2507,65,0.2852,,0.3224,,0.2938,71,0.0,1,0.2797,,0.3224,
2006-10-17,0.2809,69,0.2559,67,0.2874,,0.321,,0.2934,70,0.0,1,0.277,,0.321,
2006-10-16,0.288,71,0.2193,52,0.2936,,0.3388,,0.2913,69,0.0,1,0.2823,,0.3278,
2006-10-13,0.2933,73,0.2123,49,0.2905,,0.3447,,0.2913,69,0.0,1,0.2834,,0.3259,
2006-10-12,0.3541,86,0.2856,78,0.29,,0.3435,,0.2913,69,0.0,1,0.2807,,0.3302,
2006-10-10,0.3381,83,0.3346,89,0.2856,,0.3455,,0.2862,65,0.0,1,0.2856,,0.3273,
2006-10-05,0.3911,92,0.3527,91,0.2809,,0.3442,,0.286,65,0.0,1,0.2809,,0.3307,
2006-10-03,0.2777,68,0.2937,81,0.3048,,0.3361,,0.2792,62,0.0,1,0.2904,,0.3361,
2006-10-02,0.2212,47,0.242,61,0.303,,0.349,,0.2786,62,0.0,1,0.2954,,0.3374,
2006-09-29,0.234,53,0.2613,68,0.288,,0.3352,,0.2773,62,0.0,1,0.2744,,0.3352,
2006-09-28,0.2326,52,0.2224,54,0.2896,,0.3273,,0.2743,59,0.0,1,0.2813,,0.3273,
2006-09-25,0.2926,73,0.2571,67,0.2911,,0.3241,,0.2769,62,0.0,1,0.2821,,0.3241,
2006-09-22,0.293,73,0.2684,71,0.2858,,0.326,,0.2769,62,0.0,1,0.28,,0.326,
2006-09-21,0.2979,74,0.2805,76,0.3315,,0.324,,0.2767,62,0.0,1,0.2785,,0.324,
2006-09-20,0.3135,77,0.2733,74,0.2738,,0.3328,,0.2753,61,0.0,1,0.2738,,0.3214,
2006-09-19,0.3482,85,0.3111,85,0.3416,,0.327,,0.2749,60,0.0,1,0.2813,,0.327,
2006-09-18,0.3564,87,0.3152,86,0.3493,,0.3322,,0.2742,59,0.0,1,0.2818,,0.3322,
2006-09-13,0.3152,78,0.3014,83,0.3397,,0.3439,,0.2716,57,0.0,1,0.2891,,0.3352,
2006-09-07,0.1871,33,0.2189,51,0.2865,,0.3289,,0.2635,51,0.0,1,0.2865,,0.3289,
2006-09-06,0.2427,56,0.2679,71,0.283,,0.329,,0.2634,50,0.0,1,0.283,,0.329,
2006-09-05,0.2063,40,0.2765,75,0.278,,0.3271,,0.2633,50,0.0,1,0.278,,0.3271,
2006-09-01,0.3097,77,0.2891,80,0.2851,,0.3314,,0.2645,52,0.0,1,0.2851,,0.3314,
2006-08-31,0.3251,81,0.2962,82,0.2856,,0.3319,,0.2643,51,0.0,1,0.2856,,0.3319,
2006-07-18,0.3206,80,0.2671,71,0.2801,,0.3488,,0.2144,6,0.0,1,0.2801,,0.3488,
2006-07-17,0.3149,78,0.2456,62,0.2749,,0.3397,,0.2878,67,0.0,1,0.2749,,0.3397,
2006-05-17,0.1999,38,0.2016,44,0.2755,,0.2805,,0.2652,53,0.0,1,0.2679,,0.2829,
2006-05-02,0.1762,28,0.2833,77,0.2459,,0.2647,,0.2635,51,0.0,1,0.2459,,0.2647,
2006-04-28,0.1669,25,0.2783,75,0.2407,,0.2641,,0.2651,52,0.0,1,0.2407,,0.2641,
2006-04-27,0.1587,22,0.2708,72,0.2477,,0.2624,,0.2644,51,0.0,1,0.2477,,0.2624,
2006-04-26,0.1959,36,0.1752,32,0.2627,,0.2653,,0.2653,53,0.0,1,0.2627,,0.2653,
2006-04-25,0.1622,23,0.1518,25,0.2568,,0.2611,,0.2648,52,0.0,1,0.2568,,0.2611,
2006-04-24,0.1565,21,0.0,1,0.2547,,0.2622,,0.2651,52,0.0,1,0.2547,,0.2622,
2006-04-21,0.1569,21,0.0,1,0.2481,,0.2679,,0.2661,53,0.0,1,0.2481,,0.2679,
2006-04-20,0.1828,31,0.0,1,0.2498,,0.2686,,0.2672,54,0.0,1,0.2498,,0.2686,
2006-04-19,0.1785,28,0.0,1,0.2497,,0.2671,,0.2772,62,0.0,1,0.2497,,0.2671,
2006-04-18,0.1841,32,0.0,1,0.255,,0.2656,,0.2959,72,0.0,1,0.255,,0.2656,
2006-04-17,0.1691,26,0.0,1,0.2453,,0.2613,,0.295,72,0.0,1,0.2453,,0.2613,
2006-04-13,0.2119,43,0.1954,41,0.2429,,0.2592,,0.2961,72,0.0,1,0.2429,,0.2592,
2006-04-12,0.2154,45,0.1956,41,0.2446,,0.261,,0.2979,73,0.0,1,0.2446,,0.261,
2006-04-11,0.1512,19,0.2036,45,0.2422,,0.2644,,0.2971,73,0.0,1,0.2422,,0.2644,
2006-04-10,0.1321,12,0.2069,46,0.2513,,0.2618,,0.2998,74,0.0,1,0.2513,,0.2618,
2006-04-07,0.2215,48,0.2167,50,0.2427,,0.2624,,0.3002,74,0.0,1,0.2427,,0.2624,
2006-04-06,0.2172,45,0.201,43,0.2507,,0.2594,,0.2994,74,0.0,1,0.2418,,0.2594,
2006-02-27,0.0792,5,0.0,1,0.2526,,0.2653,,0.3129,80,0.0,1,0.2526,,0.2653,
2006-02-24,0.0754,4,0.0,1,0.2531,,0.2664,,0.3134,81,0.0,1,0.2531,,0.2664,
2006-02-21,0.0929,6,0.0,1,0.2729,,0.2845,,0.3147,82,0.0,1,0.2729,,0.2845,
2006-02-17,0.1506,19,0.1777,33,0.2697,,0.2737,,0.3158,83,0.0,1,0.2697,,0.2737,
2006-02-16,0.1646,24,0.1824,35,0.2745,,0.285,,0.3157,83,0.0,1,0.2745,,0.285,
2006-02-15,0.1645,24,0.1818,34,0.2724,,0.284,,0.3159,84,0.0,1,0.2724,,0.284,
2006-02-14,0.1708,26,0.1839,36,0.2707,,0.2877,,0.316,84,0.0,1,0.2707,,0.2877,
2006-02-13,0.1566,21,0.1864,37,0.2782,,0.2834,,0.3321,88,0.0,1,0.2782,,0.2834,
2006-02-10,0.161,23,0.1918,39,0.2701,,0.2895,,0.3327,88,0.0,1,0.2701,,0.2895,
2006-02-09,0.166,25,0.2027,45,0.2681,,0.2858,,0.3345,88,0.0,1,0.2681,,0.2858,
2006-02-08,0.1332,12,0.1793,33,0.2821,,0.2972,,0.3335,88,0.0,1,0.2821,,0.2972,
2006-02-07,0.2131,44,0.21,47,0.2813,,0.296,,0.3333,88,0.0,1,0.2813,,0.296,
2006-02-06,0.2122,43,0.2164,50,0.2824,,0.2911,,0.3343,88,0.0,1,0.2824,,0.2911,
2006-02-03,0.2715,66,0.3338,89,0.2834,,0.2931,,0.3378,89,0.0,1,0.2834,,0.2931,
2006-02-02,0.9066,100,0.4593,98,0.2928,,0.2946,,0.3376,89,0.0,1,0.2826,,0.2946,
2006-02-01,0.8965,100,0.4551,97,0.2972,,0.2894,,0.338,89,0.0,1,0.28,,0.2894,
2006-01-31,0.8954,100,0.4513,97,0.2995,,0.2903,,0.3379,89,0.0,1,0.2774,,0.2903,
2006-01-30,0.9176,100,0.4501,97,0.3051,,0.2921,,0.3376,89,0.0,1,0.2867,,0.2921,
2006-01-26,0.8701,100,0.4444,97,0.2869,,0.2977,,0.3351,88,0.0,1,0.278,,0.2977,
2006-01-17,0.2106,42,0.0,1,0.3013,,0.308,,0.2686,55,0.0,1,0.294,,0.308,
2006-01-06,0.1911,34,0.0,1,0.294,,0.3224,,0.268,54,0.0,1,0.294,,0.3043,
2006-01-03,0.1081,8,0.0,1,0.2915,,0.3012,,0.2667,54,0.0,1,0.2915,,0.3035,
2005-12-30,0.1552,21,0.0,1,0.2906,,0.3075,,0.2674,54,0.0,1,0.2906,,0.3021,
2005-12-29,0.1455,17,0.0,1,0.2875,,0.2954,,0.2677,54,0.0,1,0.2875,,0.2957,
2005-12-28,0.1691,26,0.0,1,0.293,,0.2903,,0.2682,55,0.0,1,0.293,,0.2949,
2005-12-27,0.173,27,0.0,1,0.2853,,0.2926,,0.2709,56,0.0,1,0.2853,,0.2976,
