date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2017-02-21,0.5736,,0.6913,,2.1305,,1.7629,,0.5525,,0.6155,,1.3252,,1.4051,
2017-02-17,0.4788,,0.5266,,1.7451,,1.6918,,0.5471,,0.6064,,1.3136,,1.3318,
2017-02-16,0.5682,,0.6048,,1.8102,,1.9636,,0.5473,,0.6054,,1.2795,,1.3182,
2017-02-15,0.8289,,0.725,,1.6194,,1.3906,,0.5475,,0.6061,,1.2292,,1.3906,
2017-02-14,0.8559,,0.9213,,1.6762,,1.3125,,0.5512,,0.6131,,1.169,,1.2767,
2017-02-13,0.8386,,0.9012,,1.4978,,1.2677,,0.5516,,0.6152,,1.0806,,1.2677,
2017-02-10,0.7618,,0.8709,,1.2656,,1.5109,,0.5577,,0.6201,,0.9538,,1.1803,
2017-02-09,0.7808,,0.857,,1.3007,,1.3453,,0.5588,,0.6214,,1.2388,,1.1197,
2017-02-08,0.8296,,0.8471,,1.2456,,1.1818,,0.559,,0.6203,,0.9407,,1.2567,
2017-02-07,0.8319,,0.8135,,0.9827,,1.2592,,0.5563,,0.6149,,1.0494,,1.2592,
2017-02-06,0.4844,,0.7033,,1.5196,,1.0655,,0.5403,,0.6084,,1.3085,,1.0655,
2017-02-03,0.2054,,0.4108,,1.2855,,1.0725,,0.5361,,0.5926,,1.1138,,1.0725,
2017-02-02,0.2538,,0.3817,,0.9849,,1.1534,,0.5343,,0.5944,,1.0302,,1.1209,
2017-02-01,0.2963,,0.3627,,1.0632,,1.0984,,0.537,,0.5958,,1.0876,,1.0984,
2017-01-31,0.2979,,0.3952,,1.0907,,1.0757,,0.5368,,0.5959,,1.0774,,1.0757,
2017-01-30,0.4153,,0.4183,,0.847,,1.1619,,0.5349,,0.5978,,0.9304,,1.1619,
2017-01-27,0.37,,0.3734,,0.9145,,1.1965,,0.5403,,0.5975,,1.179,,1.1965,
2017-01-26,0.4491,,0.4263,,0.999,,1.1046,,0.5388,,0.5978,,1.1001,,1.08,
2017-01-25,0.5569,,0.5059,,0.8972,,1.1687,,0.5394,,0.598,,0.9947,,1.1842,
2017-01-24,0.556,,0.5107,,1.0063,,1.0597,,0.5998,,0.6018,,0.8842,,1.3893,
2017-01-23,0.5571,,0.516,,0.9842,,1.1148,,0.6005,,0.6019,,0.7802,,1.1148,
2017-01-20,0.5645,,0.5441,,0.9724,,0.9874,,0.6002,,0.6011,,0.8494,,1.1758,
2017-01-19,0.4605,,0.5225,,1.0918,,1.336,,0.6029,,0.6039,,1.128,,1.336,
2017-01-18,0.4784,,0.5235,,1.3306,,1.0731,,0.6045,,0.6068,,0.994,,1.0731,
2017-01-17,0.508,,0.5155,,1.0955,,0.8793,,0.6051,,0.6109,,0.8926,,1.0841,
2017-01-13,0.4362,,0.4767,,0.8293,,0.9381,,0.6032,,0.6093,,0.9718,,1.1206,
2017-01-12,0.4361,,0.4719,,1.0019,,0.9425,,0.6043,,0.6101,,0.9198,,1.048,
2017-01-11,0.2848,,0.4588,,0.8771,,1.1551,,0.6023,,0.6113,,0.8763,,1.1591,
2017-01-10,0.2848,,0.3939,,0.9424,,1.207,,0.6035,,0.6099,,0.8876,,1.1258,
2017-01-09,0.2833,,0.3969,,0.7702,,0.9882,,0.6036,,0.6126,,1.0181,,1.1557,
2017-01-06,0.3289,,0.3805,,1.0101,,1.1307,,0.6067,,0.6145,,1.0037,,1.0274,
2017-01-05,0.4245,,0.3756,,0.8351,,1.1399,,0.6043,,0.6138,,0.9544,,1.1464,
2017-01-04,0.4123,,0.3794,,0.9872,,1.1083,,0.6002,,0.6126,,0.8893,,0.8612,
2017-01-03,0.6071,,0.4652,,0.9554,,0.909,,0.6117,,0.6184,,1.039,,0.909,
2016-12-30,0.6539,,0.5072,,0.6518,,0.8954,,0.6114,,0.6197,,0.9223,,0.8954,
2016-12-29,0.6588,,0.5483,,0.9653,,0.9608,,0.6123,,0.621,,0.9751,,1.1488,
2016-12-28,0.6919,,0.5569,,0.9233,,1.0555,,0.6242,,0.6284,,0.9965,,1.0944,
2016-12-27,0.7273,,0.5867,,0.9567,,1.1353,,0.6284,,0.6293,,0.9893,,1.1353,
2016-12-23,0.6611,,0.6039,,0.8161,,1.1977,,0.6343,,0.6347,,0.8161,,1.0568,
2016-12-22,0.5898,,0.5746,,1.259,,1.1058,,0.6317,,0.6329,,1.0576,,1.1681,
2016-12-21,0.5491,,0.5854,,1.05,,1.0709,,0.6279,,0.6298,,1.066,,1.0709,
2016-12-20,0.5297,,0.564,,0.9809,,1.0976,,0.6273,,0.629,,1.0502,,1.0976,
2016-12-19,0.5439,,0.5658,,0.8399,,1.1212,,0.6275,,0.6293,,1.0086,,1.1212,
2016-12-16,0.4859,,0.6081,,0.916,,1.2334,,0.6263,,0.6291,,0.9716,,0.9673,
2016-12-15,0.3671,,0.6035,,1.0421,,1.2591,,0.623,,0.6297,,1.0908,,1.031,
2016-12-14,0.3714,,0.576,,0.894,,1.2386,,0.6228,,0.6323,,1.3197,,1.1492,
2016-12-13,0.3694,,0.5855,,1.0446,,1.198,,0.6233,,0.6345,,1.1006,,1.1497,
2016-12-12,0.3927,,0.6065,,0.7124,,1.1036,,0.6222,,0.6323,,1.0229,,1.1036,
2016-12-09,0.4853,,0.7162,,1.3046,,1.0976,,0.6228,,0.6332,,0.8573,,1.0797,
2016-12-07,0.6024,,0.7101,,0.684,,1.1215,,0.6219,,0.6326,,1.0543,,1.1839,
2016-12-06,0.5855,,0.6816,,0.9651,,1.0989,,0.6942,,0.6781,,0.9298,,1.2242,
2016-12-05,0.5719,,0.673,,0.9551,,1.1372,,0.6941,,0.6835,,1.0684,,1.1071,
2016-12-02,0.5824,,0.6622,,0.9313,,1.2037,,0.7009,,0.6867,,0.7615,,1.4127,
2016-12-01,0.3806,,0.5771,,1.2616,,1.0783,,0.7241,,0.7043,,1.0999,,1.0715,
2016-11-30,0.3447,,0.4644,,1.0271,,1.2188,,0.7225,,0.7081,,1.0146,,1.1313,
2016-11-29,0.3155,,0.3587,,1.0071,,1.2189,,0.8077,,0.7332,,0.9824,,1.2189,
2016-11-28,0.1762,,0.3279,,0.5948,,1.3261,,0.8058,,0.7324,,0.9285,,1.4441,
2016-11-25,0.2253,,0.3918,,0.6116,,1.1285,,0.8066,,0.7353,,0.9763,,1.3165,
2016-11-23,0.2752,,0.475,,0.69,,0.9396,,0.807,,0.7357,,0.9016,,1.2346,
2016-11-22,0.2755,,0.614,,0.7178,,0.8657,,0.8085,,0.7369,,0.8706,,1.0483,
2016-11-21,0.3697,,0.6633,,0.5278,,0.5803,,0.8146,,0.7417,,0.8731,,1.2413,
2016-11-18,0.3914,,0.687,,0.9058,,1.2094,,0.817,,0.7419,,0.9058,,1.2294,
2016-11-17,0.4928,,0.7884,,0.9913,,1.3627,,0.8164,,0.7435,,0.9913,,1.3627,
2016-11-15,0.4577,,0.8181,,1.0364,,1.9825,,0.8171,,0.7462,,1.0436,,1.1812,
2016-11-14,0.4919,,0.7768,,0.9769,,1.2135,,0.8176,,0.7454,,0.9769,,1.2135,
2016-11-11,0.5092,,0.6749,,1.194,,1.2593,,0.8195,,0.7416,,1.194,,1.2593,
2016-11-10,0.5352,,0.6704,,0.8527,,1.3346,,0.8158,,0.7399,,0.8527,,1.3346,
2016-11-09,0.5011,,0.9593,,0.7734,,1.6055,,0.816,,0.7399,,1.1072,,1.6055,
2016-11-07,0.3508,,0.941,,1.1008,,1.3918,,0.8125,,0.7512,,1.1315,,1.3918,
2016-11-04,0.3451,,0.9231,,1.1394,,1.2644,,0.8133,,0.7551,,1.106,,1.2644,
2016-11-03,0.5177,,0.9882,,0.9441,,1.8405,,0.8173,,0.7596,,1.3855,,1.8405,
2016-11-02,0.5046,,0.9872,,1.1882,,1.2571,,0.8492,,0.7858,,1.0854,,1.2571,
2016-11-01,0.5112,,0.9559,,0.8902,,1.5903,,0.8829,,0.8162,,0.8902,,1.5903,
2016-10-31,0.5118,,0.6098,,1.4096,,1.1502,,0.9021,,0.8073,,1.3782,,1.1502,
2016-10-28,0.4484,,0.5231,,1.2932,,1.5251,,0.8999,,0.8075,,1.192,,1.5251,
2016-10-27,0.3663,,0.4855,,1.1884,,1.3687,,0.9175,,0.812,,1.3193,,1.3687,
2016-10-26,0.3335,,0.4514,,1.2434,,1.3307,,0.9219,,0.814,,1.2434,,1.3307,
2016-10-25,0.193,,0.2604,,1.1437,,1.1933,,0.9202,,0.8153,,1.2955,,1.1933,
2016-10-24,0.173,,0.2759,,1.1665,,1.1491,,0.9369,,0.8257,,1.0384,,1.1491,
2016-10-21,0.3127,,0.3077,,0.8843,,1.3217,,0.937,,0.8267,,1.2405,,1.3217,
2016-10-20,0.3895,,0.3359,,0.8728,,1.2577,,0.9373,,0.8283,,1.0644,,1.2577,
2016-10-19,0.3769,,0.3304,,1.3522,,1.5658,,0.9369,,0.8309,,1.2382,,1.5658,
2016-10-18,0.421,,0.3469,,0.9128,,1.2681,,0.9369,,0.8379,,1.153,,1.2681,
2016-10-17,0.4785,,0.3795,,0.9894,,1.2668,,0.9373,,0.8432,,1.2079,,1.2668,
2016-10-14,0.475,,0.3939,,1.3657,,1.3808,,0.9518,,0.8581,,1.1738,,1.3808,
2016-10-13,0.5145,,0.3978,,1.1436,,1.3333,,1.0309,,0.9032,,1.231,,1.3333,
2016-10-12,0.4718,,0.3809,,1.0033,,1.3187,,1.0504,,0.9309,,1.1849,,1.3187,
2016-10-11,0.5167,,0.4356,,1.1811,,1.3953,,1.0665,,0.9522,,0.9768,,1.3953,
2016-10-10,0.6896,,0.4999,,1.178,,1.2672,,1.0724,,0.9585,,1.0001,,1.2672,
2016-10-07,0.6841,,0.5104,,0.9728,,1.2911,,1.0767,,0.9797,,1.0714,,1.2911,
2016-10-06,0.6568,,0.5191,,1.2012,,1.3505,,1.0991,,0.9877,,1.0023,,1.3505,
2016-10-05,0.7112,,0.5496,,1.2068,,1.3124,,1.1019,,0.9884,,0.9108,,1.3124,
2016-10-04,0.7517,,0.5637,,1.2298,,1.3151,,1.1014,,0.9913,,1.0075,,1.3151,
2016-10-03,0.7529,,0.563,,1.073,,1.0981,,1.1032,,0.9922,,1.0488,,1.1565,
2016-09-30,0.7339,,0.5715,,0.9023,,1.4401,,1.1016,,0.9934,,0.9023,,1.4401,
2016-09-29,0.7496,,0.5768,,0.9142,,1.2742,,1.1127,,0.9983,,1.205,,1.2742,
2016-09-28,0.7469,,0.567,,1.0943,,1.3102,,1.1127,,0.9986,,1.0435,,1.3102,
2016-09-27,0.6735,,0.5971,,1.1839,,1.3268,,1.1116,,0.999,,1.1598,,1.3268,
2016-09-26,0.6652,,0.5712,,1.0038,,1.1913,,1.1135,,1.0062,,1.1763,,1.1913,
2016-09-23,0.6214,,0.5428,,0.7408,,1.2727,,1.1504,,1.02,,1.0699,,1.2727,
2016-09-22,0.6135,,0.5793,,1.2076,,1.1781,,1.1709,,1.0403,,1.1316,,1.1781,
2016-09-21,0.5977,,0.5646,,0.8775,,1.3899,,1.1795,,1.0459,,0.8951,,1.2782,
2016-09-20,0.3152,,0.5134,,1.0471,,1.2198,,1.1866,,1.0509,,1.0103,,1.2198,
2016-09-19,0.4837,,0.597,,0.7596,,1.3008,,1.1922,,1.0588,,1.0862,,1.3008,
2016-09-16,0.4853,,0.5482,,0.9971,,0.9625,,1.1918,,1.0581,,0.7672,,1.2183,
2016-09-15,0.5391,,0.5466,,1.1188,,1.3757,,1.1922,,1.0586,,1.0299,,1.3757,
2016-09-14,0.5221,,0.5703,,1.3216,,1.2879,,1.1944,,1.0587,,1.0753,,1.2879,
2016-09-13,0.6597,,0.6246,,1.057,,1.0432,,1.1943,,1.0591,,0.9839,,1.0432,
2016-09-12,0.6108,,0.649,,1.0149,,0.9288,,1.2008,,1.0988,,0.8951,,1.3778,
2016-09-09,0.6407,,0.6528,,1.0342,,0.908,,1.2014,,1.1003,,1.1534,,1.2175,
2016-09-08,0.7303,,0.777,,0.861,,1.1223,,1.1979,,1.0982,,1.2744,,1.1596,
2016-09-07,0.8263,,0.8184,,0.8485,,1.086,,1.2021,,1.1004,,1.1763,,1.3406,
2016-09-06,0.8449,,0.8258,,0.9326,,1.1737,,1.2015,,1.1006,,0.8529,,1.218,
2016-09-02,0.8425,,0.8095,,0.9815,,1.1402,,1.2017,,1.1003,,1.1178,,1.3701,
2016-09-01,0.8082,,0.7463,,1.0099,,1.11,,1.1996,,1.1013,,1.0515,,1.196,
2016-08-31,0.8123,,0.7022,,0.8562,,1.5038,,1.2099,,1.1083,,1.053,,1.5038,
2016-08-30,0.8064,,0.6965,,0.6746,,0.9804,,1.2088,,1.1091,,1.25,,0.9804,
2016-08-29,0.3506,,0.4749,,0.9698,,1.3681,,1.2032,,1.1073,,0.8942,,1.1149,
2016-08-26,0.2492,,0.5624,,0.7767,,1.2488,,1.2033,,1.1071,,0.5867,,1.2488,
2016-08-25,0.5193,,0.6293,,0.7766,,1.3503,,1.2016,,1.1076,,1.0521,,1.3503,
2016-08-24,0.7325,,0.7527,,0.8743,,1.1425,,1.2096,,1.1107,,1.1259,,1.1425,
2016-08-23,0.7562,,0.7784,,0.9111,,0.9923,,1.2162,,1.1141,,1.0849,,0.9923,
2016-08-22,0.684,,0.7617,,0.8789,,1.3757,,0.0,,0.0,,0.8936,,1.3757,
2016-08-18,0.6497,,0.7587,,0.8706,,1.3249,,1.2613,,1.1326,,0.8706,,1.3249,
2016-08-17,0.466,,0.6405,,1.174,,1.424,,1.2653,,1.134,,0.8036,,1.424,
2016-08-11,0.4053,,0.4824,,1.012,,0.853,,1.2606,,1.1332,,0.8445,,0.853,
2016-08-10,0.4989,,0.5363,,1.2442,,1.1178,,1.2787,,1.1709,,0.8717,,1.1178,
