date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2009-09-23,0.4719,64,0.6175,82,0.7848,,0.7199,,0.5521,56,0.0,1,0.7848,,0.778,
2009-09-22,0.4429,57,0.5998,81,0.7504,,0.7756,,0.5526,56,0.0,1,0.7504,,0.7756,
2009-06-29,0.9101,93,0.7689,90,0.8931,,0.94,,0.7372,78,0.0,1,0.8931,,0.94,
2009-04-30,0.7407,88,0.8492,91,0.9991,,1.0307,,0.8123,85,0.0,1,1.0612,,1.0649,
2008-09-26,0.5436,73,0.4973,72,0.8852,,0.9716,,0.6343,68,0.0,1,0.8852,,1.4094,
2008-09-16,0.2724,27,0.4571,68,0.8884,,0.9697,,0.6286,66,0.0,1,0.8884,,0.9554,
2008-09-04,0.3462,40,0.0,1,0.9225,,0.907,,0.6475,69,0.0,1,0.8767,,0.8706,
2008-08-26,0.2728,27,0.4247,63,0.8906,,0.9562,,1.0798,98,0.0,1,0.8906,,0.9218,
2008-08-25,0.2749,28,0.4239,63,0.897,,0.9826,,1.0803,99,0.0,1,0.897,,0.9399,
2008-08-22,0.2639,25,0.3915,55,0.835,,0.9595,,1.0805,99,0.0,1,0.835,,0.9324,
2008-08-21,0.2637,25,0.3896,54,0.8228,,0.9735,,1.0818,99,0.0,1,0.8228,,0.9761,
2008-08-20,0.2232,17,0.3807,51,0.8233,,0.9618,,1.0815,99,0.0,1,0.8233,,0.9696,
2008-08-19,0.2134,16,0.3543,45,0.8421,,0.9749,,1.0821,99,0.0,1,0.8421,,0.9329,
2008-08-15,0.2126,16,0.2802,31,0.8323,,0.9838,,1.0837,99,0.0,1,0.8323,,0.9518,
2008-08-14,0.2168,16,0.255,28,0.8241,,0.9671,,1.0848,99,0.0,1,0.8241,,0.9711,
2008-08-11,0.199,14,0.408,59,0.8428,,0.9568,,1.0864,100,0.0,1,0.8428,,0.9432,
2008-08-08,0.1803,10,0.5357,76,0.8183,,0.9971,,1.0868,100,0.0,1,0.8183,,0.9702,
2008-08-06,0.3765,47,0.6059,81,0.8143,,1.0027,,1.0863,100,0.0,1,0.8143,,0.9509,
2008-08-05,0.6965,84,0.7724,90,0.8145,,0.9344,,1.088,100,0.0,1,0.8145,,0.899,
2008-07-31,1.0969,96,1.2034,98,0.8517,,0.8955,,1.088,100,0.0,1,0.8517,,0.8955,
2008-07-30,1.1666,97,1.2166,98,0.8464,,0.8697,,1.0875,100,0.0,1,0.8464,,0.8697,
2008-07-28,1.1479,97,1.2037,98,0.8353,,0.8374,,1.0867,100,0.0,1,0.8353,,0.8374,
2008-07-15,0.6072,79,0.9112,92,0.9657,,0.9631,,1.057,97,0.0,1,0.9657,,0.9631,
2008-07-10,0.5763,76,0.0,1,0.9688,,1.0259,,1.0572,97,0.0,1,0.9688,,1.0259,
2008-05-21,0.5241,71,0.5881,80,0.9233,,0.8784,,1.0251,94,0.0,1,0.9233,,0.8791,
2008-04-22,1.3606,98,1.0489,94,0.7976,,0.8175,,0.9985,92,0.0,1,0.7976,,0.7605,
2008-04-16,0.4809,65,0.5179,74,0.7342,,0.8453,,0.9542,91,0.0,1,0.7342,,0.7767,
2008-04-14,0.4829,65,0.5317,76,0.8845,,0.7729,,0.9548,92,0.0,1,0.8845,,0.7729,
2008-04-11,0.4356,57,0.5214,75,0.6831,,0.8312,,0.9542,91,0.0,1,0.6831,,0.8312,
2008-04-10,0.402,51,0.545,77,0.7343,,0.8751,,0.9536,91,0.0,1,0.7343,,0.9215,
2008-04-04,0.3846,48,0.642,84,0.9742,,0.9846,,0.9506,91,0.0,1,0.9742,,0.9846,
2008-03-10,0.6027,79,0.5199,75,0.6144,,0.5994,,0.379,19,0.0,1,0.6144,,0.6109,
2008-03-07,0.4197,55,0.4126,60,0.5312,,0.6517,,0.3534,14,0.0,1,0.5312,,0.6517,
2008-03-06,0.4132,53,0.4172,61,0.5465,,0.7146,,0.3545,14,0.0,1,0.5465,,0.7146,
2008-02-29,0.4313,56,0.5074,73,0.5022,,0.6969,,0.352,13,0.0,1,0.5169,,0.6969,
2008-02-22,0.4441,59,0.0,1,0.535,,0.663,,0.3434,12,0.0,1,0.5351,,0.663,
2008-02-14,0.4051,52,0.4247,63,0.5607,,0.548,,0.343,12,0.0,1,0.5607,,0.6219,
2008-02-12,0.4118,53,0.4031,57,0.5434,,0.7168,,0.3355,10,0.0,1,0.5313,,0.7168,
2008-02-11,0.4387,57,0.4065,59,0.5558,,0.5831,,0.3372,10,0.0,1,0.5229,,0.5831,
2008-02-08,0.4338,56,0.4395,66,0.5661,,0.6707,,0.3364,10,0.0,1,0.5048,,0.6707,
2008-02-05,0.4567,61,0.4155,61,0.5548,,0.7109,,0.3448,13,0.0,1,0.5031,,0.7109,
2008-02-04,0.2388,20,0.4167,61,0.5209,,0.5352,,0.3356,10,0.0,1,0.6382,,0.5179,
2008-02-01,0.4369,57,0.4336,64,0.6533,,0.5389,,0.336,10,0.0,1,0.6533,,0.5459,
2008-01-30,0.4556,61,0.5121,74,0.5445,,0.5143,,0.36,15,0.0,1,0.4932,,0.5044,
2008-01-23,0.5338,72,0.0,1,0.5238,,0.5302,,0.3561,14,0.0,1,0.5238,,0.5213,
2008-01-18,0.5968,78,0.5548,78,0.5133,,0.5187,,0.3555,14,0.0,1,0.5133,,0.3828,
2008-01-17,0.3926,49,0.4571,68,0.5151,,0.5075,,0.3375,10,0.0,1,0.4576,,0.4878,
2008-01-16,0.4005,50,0.4479,67,0.5189,,0.515,,0.3408,12,0.0,1,0.3794,,0.4091,
2008-01-15,0.4007,50,0.4439,66,0.5188,,0.5019,,0.3408,12,0.0,1,0.4651,,0.5019,
2008-01-14,0.3819,47,0.37,48,0.4915,,0.4873,,0.3472,13,0.0,1,0.3911,,0.4135,
2008-01-11,0.3137,34,0.3351,41,0.5247,,0.5206,,0.3447,13,0.0,1,0.4222,,0.4684,
2008-01-10,0.1962,13,0.2776,31,0.492,,0.5172,,0.3392,11,0.0,1,0.46,,0.5062,
2008-01-09,0.1707,8,0.0,1,0.5083,,0.5264,,0.3389,11,0.0,1,0.5509,,0.5903,
2008-01-08,0.1818,10,0.0,1,0.4875,,0.5074,,0.3389,11,0.0,1,0.5098,,0.5613,
2008-01-07,0.1537,7,0.0,1,0.5306,,0.517,,0.3385,11,0.0,1,0.4576,,0.4917,
2008-01-04,0.3225,35,0.0,1,0.5126,,0.5094,,0.3384,11,0.0,1,0.4765,,0.5166,
2008-01-03,0.3301,37,0.0,1,0.4989,,0.5124,,0.3376,11,0.0,1,0.47,,0.5124,
2008-01-02,0.3331,37,0.0,1,0.5032,,0.5251,,0.3376,11,0.0,1,0.4417,,0.5251,
2007-12-31,0.3226,35,0.0,1,0.5028,,0.5115,,0.3394,11,0.0,1,0.4866,,0.5115,
2007-12-28,0.346,40,0.0,1,0.4851,,0.505,,0.3403,12,0.0,1,0.4713,,0.505,
2007-12-27,0.36,43,0.0,1,0.5016,,0.5099,,0.3403,12,0.0,1,0.4643,,0.5099,
2007-12-26,0.2568,24,0.0,1,0.4749,,0.5041,,0.3323,9,0.0,1,0.442,,0.4919,
2007-12-14,0.2533,23,0.3373,42,0.4793,,0.505,,0.3166,6,0.0,1,0.4412,,0.5111,
