date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2023-07-26,0.3946,,0.7243,,1.2264,,0.9985,,0.7795,,0.9395,,1.2264,,0.9985,
2023-07-25,0.7564,,0.8496,,1.3954,,1.0056,,0.8298,,0.956,,1.3954,,1.0056,
2023-07-24,0.9466,,0.9042,,1.1186,,1.047,,0.8289,,0.9549,,1.1186,,1.047,
2023-07-21,0.951,,0.9442,,1.2166,,1.2517,,0.829,,0.9535,,1.2166,,1.2517,
2023-07-20,0.8114,,0.9193,,1.3557,,1.1309,,0.8234,,0.9499,,1.3557,,1.1309,
2023-07-19,0.6744,,0.9083,,1.2031,,1.0436,,0.8209,,0.949,,1.2031,,1.0436,
2023-07-18,0.887,,0.9151,,1.1853,,1.19,,0.8318,,0.9515,,1.1853,,1.19,
2023-07-17,0.8602,,0.8789,,1.1784,,1.1888,,0.8462,,0.9601,,1.1784,,1.1888,
2023-07-14,0.8046,,0.8027,,0.9172,,1.1219,,0.8621,,0.9633,,0.9172,,1.1219,
2023-07-13,0.8324,,0.7342,,1.1311,,1.1743,,0.9055,,0.9829,,1.1311,,1.1743,
2023-06-30,0.8092,,0.7704,,1.3381,,1.1238,,0.9293,,0.9982,,1.3381,,1.1238,
2023-06-23,0.2832,,0.4703,,1.1465,,1.0891,,0.9328,,1.012,,1.1465,,1.0891,
2023-06-22,0.2797,,0.4785,,1.3239,,1.0898,,0.9408,,1.0151,,1.3239,,1.0898,
2023-06-21,0.3248,,0.5051,,1.2884,,1.1013,,0.9406,,1.0154,,1.2884,,1.1013,
2023-06-20,0.3197,,0.513,,1.2362,,0.9524,,0.9422,,1.015,,1.2362,,0.9524,
2023-06-16,0.3302,,0.4776,,1.339,,0.971,,0.9425,,1.014,,1.339,,0.971,
2023-06-15,0.3704,,0.5307,,1.0882,,1.0198,,0.9421,,1.0149,,1.0882,,1.0198,
2023-06-14,0.3687,,0.5596,,1.1282,,0.993,,0.9434,,1.0151,,1.1282,,0.993,
2023-06-13,0.5328,,0.6356,,1.1374,,1.1503,,0.9435,,1.0137,,1.1374,,1.1503,
2023-06-12,0.5176,,0.6576,,1.0799,,1.1696,,0.9433,,1.0139,,1.0799,,1.1696,
2023-06-09,0.5571,,0.6809,,1.2659,,0.9889,,0.9451,,1.014,,1.2659,,0.9889,
2023-06-08,0.5582,,0.8743,,0.9551,,0.9939,,0.9451,,1.0136,,0.9551,,0.9939,
2023-06-07,0.5561,,0.9231,,0.989,,1.1177,,0.9449,,1.0138,,0.989,,1.1177,
2023-06-06,0.454,,0.9159,,1.0434,,1.0163,,0.9433,,1.0125,,1.0434,,1.0163,
2023-06-05,0.6731,,0.9784,,1.1244,,1.0512,,0.9429,,1.0123,,1.1244,,1.0512,
2023-06-02,0.5708,,0.9327,,0.9439,,0.9704,,0.9398,,1.0092,,0.9439,,0.9704,
2023-06-01,0.5785,,0.9712,,0.9389,,0.9817,,0.9398,,1.0086,,0.9389,,0.9817,
2023-05-31,0.4859,,1.0318,,1.3487,,1.2556,,0.9385,,1.0074,,1.3487,,1.2556,
2023-05-30,0.4928,,0.8598,,1.1688,,1.2542,,0.9391,,0.9983,,1.1688,,1.2542,
2023-05-26,0.4542,,0.7907,,1.2012,,1.0506,,0.9396,,0.9953,,1.2012,,1.0506,
2023-05-25,0.4538,,0.7687,,1.1729,,0.9027,,0.94,,0.9944,,1.1729,,0.9027,
2023-05-24,0.273,,0.7225,,1.1419,,1.1316,,0.9332,,0.9901,,1.1419,,1.1316,
2023-05-23,0.2876,,0.6952,,1.2253,,1.152,,0.9326,,0.9885,,1.2253,,1.152,
2023-05-22,0.28,,0.6715,,1.1185,,1.1417,,0.9326,,0.9857,,1.1185,,1.1417,
2023-05-19,0.4793,,0.6424,,1.2011,,1.1486,,0.9326,,0.9811,,1.2011,,1.1486,
2023-05-18,0.5547,,0.6331,,1.0708,,1.1421,,0.9327,,0.9821,,1.0708,,1.1421,
2023-05-17,0.6085,,0.6592,,1.1917,,1.1454,,0.9333,,0.9824,,1.1917,,1.1454,
2023-05-16,0.6596,,0.6506,,1.1258,,1.0343,,0.9357,,0.983,,1.1258,,1.0343,
2023-05-15,0.6306,,0.5821,,1.1704,,1.0813,,0.9342,,0.9823,,1.1704,,1.0813,
2023-05-12,0.6518,,0.6224,,1.2092,,0.9167,,0.9344,,0.9828,,1.2092,,0.9167,
2023-05-11,0.6672,,0.5747,,1.2532,,0.9827,,0.9355,,0.985,,1.2532,,0.9827,
2023-05-10,0.3799,,0.4811,,1.1001,,1.055,,0.9296,,0.9821,,1.1001,,1.055,
2023-05-09,0.4044,,0.7208,,1.1855,,1.016,,0.929,,0.9828,,1.1855,,1.016,
2023-05-08,0.3858,,0.7668,,1.1669,,1.3098,,0.9292,,0.9826,,1.1669,,1.3098,
2023-05-05,0.3473,,0.7714,,1.2351,,1.2059,,0.929,,0.9829,,1.2351,,1.2059,
2023-05-04,0.3249,,0.7914,,1.2711,,1.1888,,0.9291,,0.9833,,1.2711,,1.1888,
2023-05-03,0.3749,,0.7882,,1.1822,,1.219,,0.9285,,0.9826,,1.1822,,1.219,
2023-05-02,0.2458,,0.8657,,1.1456,,1.2139,,0.9276,,0.9831,,1.1456,,1.2139,
2023-05-01,0.4669,,0.9273,,1.1475,,0.9567,,0.9275,,0.9825,,1.1475,,0.9567,
2023-04-28,0.485,,0.7687,,1.1383,,1.1767,,0.9276,,0.9756,,1.1383,,1.1767,
2023-04-27,0.5296,,0.9067,,1.2041,,1.2053,,0.9335,,0.9786,,1.2041,,1.2053,
2023-04-26,0.7349,,0.9362,,1.129,,1.1843,,0.9332,,0.9788,,1.129,,1.1843,
2023-04-25,0.8666,,0.9448,,1.2661,,0.9357,,0.9333,,0.9792,,1.2661,,0.9357,
2023-04-24,0.8463,,0.9523,,1.2404,,1.0852,,0.9309,,0.9786,,1.2404,,1.0852,
2023-04-21,0.9328,,0.9727,,1.2728,,1.1354,,0.9305,,0.9762,,1.2728,,1.1354,
2023-04-20,0.7313,,0.9005,,1.3224,,1.0992,,0.9318,,0.9786,,1.3224,,1.0992,
2023-04-19,0.841,,0.959,,1.1545,,1.0531,,0.9321,,0.9813,,1.1545,,1.0531,
2023-04-18,0.6472,,0.7749,,0.9513,,1.0745,,0.9274,,0.975,,0.9513,,1.0745,
2023-04-17,0.6362,,0.7539,,0.9676,,1.195,,0.9251,,0.975,,0.9676,,1.195,
2023-04-14,0.7122,,0.7673,,1.0715,,1.1034,,0.9267,,0.9777,,1.0715,,1.1034,
2023-04-13,0.7703,,0.7624,,1.0712,,1.1798,,0.9269,,0.9804,,1.0712,,1.1798,
2023-04-12,0.712,,0.7147,,0.9883,,1.1489,,0.924,,0.978,,0.9883,,1.1489,
2023-04-11,0.7676,,0.7723,,1.0641,,1.0795,,0.9242,,0.9799,,1.0641,,1.0795,
2023-04-10,0.542,,0.6873,,0.9845,,0.8336,,0.9175,,0.9816,,0.9845,,0.8336,
2023-04-06,0.5174,,0.6943,,1.1232,,0.9343,,0.9162,,0.983,,1.1232,,0.9343,
2023-04-05,0.4878,,0.6841,,1.2037,,1.0741,,0.9212,,0.9867,,1.2037,,1.0741,
2023-04-04,0.5871,,0.6505,,0.908,,1.0851,,0.9202,,0.986,,0.908,,1.0851,
2023-04-03,0.5788,,0.6326,,0.9392,,1.125,,0.9236,,0.9894,,0.9392,,1.125,
2023-03-31,0.5926,,0.5799,,0.8763,,0.9823,,0.9244,,0.9872,,0.8763,,0.9823,
2023-03-30,0.5298,,0.5985,,0.9264,,1.0457,,0.9215,,0.9846,,0.9264,,1.0457,
2023-03-29,0.7622,,0.7279,,1.1589,,1.0804,,0.9217,,0.9848,,1.1589,,1.0804,
2023-03-28,0.8297,,0.8844,,0.9926,,1.0177,,0.9226,,0.9921,,0.9926,,1.0177,
2023-03-27,0.8711,,0.9148,,0.9872,,1.0426,,0.9253,,1.0,,0.9872,,1.0426,
2023-03-24,0.9143,,0.9805,,0.9589,,1.0866,,0.921,,1.0015,,0.9589,,1.0866,
2023-03-23,1.0178,,0.9842,,1.1579,,1.0613,,0.9269,,1.0159,,1.1579,,1.0613,
2023-03-22,1.0399,,1.0243,,1.1019,,0.9974,,0.9268,,1.023,,1.1019,,0.9974,
2023-03-21,1.0747,,0.9725,,1.1638,,1.2023,,0.9391,,1.0249,,1.1638,,1.2023,
2023-03-20,0.981,,1.0088,,1.0164,,1.093,,0.9335,,1.0204,,1.0164,,1.093,
