date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-02,0.2027,,0.183,,0.2451,,0.2741,,0.3031,,0.4118,,0.2905,,0.2754,,0.3026,,0.3299,
2025-05-30,0.2135,,0.1908,,0.2339,,0.2699,,0.3059,,0.4115,,0.2901,,0.2261,,0.27,,0.3139,
2025-05-29,0.2112,,0.1819,,,,,,0.3392,,0.4121,,0.2904,,,,,,0.309,
2025-05-28,0.2137,,0.1724,,0.2416,,0.2704,,0.2991,,0.4121,,0.2899,,0.2416,,0.277,,0.3125,
2025-05-27,0.2045,,0.1708,,0.2238,,0.2709,,0.3179,,0.412,,0.2902,,0.2241,,0.2741,,0.3241,
2025-05-23,0.1442,,0.1749,,,,,,0.3509,,0.4105,,0.2901,,,,,,0.3356,
2025-05-22,0.1525,,0.1628,,0.2393,,0.2752,,0.3111,,0.4122,,0.2903,,0.23,,0.2788,,0.3275,
2025-05-21,0.2138,,0.1722,,,,,,0.3391,,0.4117,,0.2902,,,,,,0.3391,
2025-05-20,0.2936,,0.1563,,,,,,0.3548,,0.413,,0.2908,,,,,,0.3548,
2025-05-19,0.3016,,0.158,,,,,,0.3267,,0.413,,0.2909,,,,,,0.3267,
2025-05-16,0.2856,,0.1547,,,,,,0.3477,,0.4151,,0.2911,,,,,,0.3477,
2025-05-15,0.2841,,0.1598,,,,,,0.3568,,0.4152,,0.2915,,,,,,0.3568,
2025-05-14,0.2902,,0.1602,,,,,,0.3425,,0.4151,,0.2912,,,,,,0.3425,
2025-05-13,0.2978,,0.171,,0.2133,,0.2629,,0.3124,,0.415,,0.2913,,0.2133,,0.2629,,0.3124,
2025-05-12,0.2937,,0.156,,,,,,0.354,,0.4134,,0.2911,,,,,,0.354,
2025-05-09,0.208,,0.1573,,0.2663,,0.3185,,0.3707,,0.4084,,0.2909,,0.2663,,0.3185,,0.3707,
2025-05-08,0.2149,,0.1849,,,,,,0.3755,,0.4098,,0.291,,,,,,0.3755,
2025-05-07,0.2122,,0.1842,,,,,,0.3648,,0.4116,,0.291,,,,,,0.3648,
2025-05-06,0.2138,,0.1885,,,,,,0.3541,,0.4139,,0.2912,,,,,,0.3541,
2025-05-05,0.1873,,0.1918,,,,,,0.3489,,0.4138,,0.2911,,,,,,0.3489,
2025-05-02,0.2695,,0.2188,,,,,,0.3462,,0.4139,,0.2907,,,,,,0.3462,
2025-05-01,0.3026,,0.2286,,0.3103,,0.3384,,0.3664,,0.4152,,0.2914,,0.3103,,0.3384,,0.3664,
2025-04-30,0.3011,,0.233,,,,,,0.3866,,0.4137,,0.2912,,,,,,0.3866,
2025-04-29,0.3888,,0.2363,,,,,,0.3717,,0.4145,,0.2905,,,,,,0.3717,
2025-04-28,0.411,,0.2359,,,,,,0.3744,,0.4144,,0.2906,,,,,,0.3744,
2025-04-25,0.4788,,0.2549,,,,,,0.3833,,0.4147,,0.2903,,,,,,0.3833,
2025-04-24,0.4767,,0.2484,,,,,,0.4315,,0.4143,,0.2899,,,,,,0.383,
2025-04-23,0.3922,,0.25,,,,,,0.3863,,0.4098,,0.289,,,,,,0.3783,
2025-04-22,0.297,,0.2512,,0.4167,,,,,,0.0,,0.2884,,0.4167,,,,,
2025-04-21,0.357,,0.3015,,0.3671,,,,,,0.0,,0.0,,0.3433,,,,,
2025-04-17,0.9021,,0.5553,,,,,,,,0.0,,0.0,,,,,,,
2025-04-16,0.905,,0.6204,,,,,,,,0.0,,0.0,,,,,,,
2025-04-15,0.8701,,0.7261,,,,,,,,0.0,,0.0,,,,,,,
2025-04-14,0.9937,,0.7458,,,,,,,,0.0,,0.0,,,,,,,
2025-04-11,1.1044,,0.7433,,,,,,0.4431,,0.0,,0.0,,,,,,0.4431,
2025-04-10,1.106,,0.7503,,0.4501,,,,,,0.0,,0.0,,0.4501,,,,,
2025-04-09,1.0679,,0.7331,,,,,,,,0.0,,0.0,,,,,,,
