date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2009-12-08,0.2316,52,0.0,1,0.3332,,0.3857,,0.3503,72,0.0,1,0.3332,,0.3796,
2009-12-07,0.2678,60,0.0,1,0.3443,,0.3731,,0.3474,71,0.0,1,0.3273,,0.3731,
2009-12-04,0.2764,62,0.0,1,0.3325,,0.379,,0.3475,71,0.0,1,0.3155,,0.379,
2009-12-03,0.273,61,0.0,1,0.3369,,0.3796,,0.3475,71,0.0,1,0.3238,,0.3735,
2009-12-02,0.3064,67,0.0,1,0.3371,,0.3727,,0.3477,72,0.0,1,0.3302,,0.3727,
2009-12-01,0.3239,70,0.0,1,0.3344,,0.3732,,0.3476,71,0.0,1,0.3191,,0.3732,
2009-11-30,0.3253,70,0.0,1,0.3256,,0.3917,,0.3479,72,0.0,1,0.3153,,0.3884,
2009-11-27,0.3224,69,0.0,1,0.345,,0.3777,,0.3479,72,0.0,1,0.3293,,0.372,
2009-11-25,0.2418,54,0.0,1,0.3196,,0.3696,,0.3542,72,0.0,1,0.3146,,0.3696,
2009-11-24,0.2561,57,0.0,1,0.3281,,0.3702,,0.3556,72,0.0,1,0.3164,,0.3702,
2009-11-23,0.2706,61,0.0,1,0.3318,,0.3676,,0.3557,72,0.0,1,0.3145,,0.3676,
2009-11-20,0.2607,59,0.0,1,0.3386,,0.3854,,0.3549,72,0.0,1,0.3386,,0.3854,
2009-11-19,0.2512,57,0.0,1,0.3352,,0.3901,,0.3536,72,0.0,1,0.3352,,0.3901,
2009-11-16,0.23,52,0.0,1,0.3353,,0.3814,,0.3547,72,0.0,1,0.3353,,0.3814,
2009-11-13,0.2563,57,0.0,1,0.333,,0.3876,,0.3543,72,0.0,1,0.333,,0.3876,
2009-11-12,0.2607,59,0.0,1,0.3442,,0.3883,,0.3539,72,0.0,1,0.3442,,0.3883,
2009-11-11,0.2839,63,0.0,1,0.336,,0.3781,,0.3528,72,0.0,1,0.336,,0.3781,
2009-11-10,0.2812,63,0.0,1,0.3369,,0.3912,,0.3595,73,0.0,1,0.3369,,0.3912,
2009-11-09,0.4498,83,0.0,1,0.3433,,0.3857,,0.3612,73,0.0,1,0.3433,,0.3857,
2009-10-29,0.4756,85,0.0,1,0.3309,,0.3864,,0.388,74,0.0,1,0.3309,,0.3864,
2009-10-26,0.278,62,0.0,1,0.3584,,0.381,,0.3796,73,0.0,1,0.3584,,0.381,
2009-10-23,0.2545,57,0.0,1,0.3382,,0.3864,,0.3783,73,0.0,1,0.3382,,0.3864,
2009-10-22,0.3087,68,0.0,1,0.3301,,0.385,,0.3824,74,0.0,1,0.3301,,0.385,
2009-10-21,0.2782,62,0.0,1,0.3533,,0.3775,,0.3813,74,0.0,1,0.3533,,0.3775,
2009-10-20,0.2765,62,0.0,1,0.3397,,0.3824,,0.3882,74,0.0,1,0.3397,,0.3824,
2009-10-19,0.2624,60,0.0,1,0.3319,,0.3869,,0.3884,74,0.0,1,0.3319,,0.3869,
2009-10-15,0.247,56,0.0,1,0.3294,,0.3862,,0.3888,74,0.0,1,0.3294,,0.3862,
2009-10-14,0.2561,57,0.0,1,0.3299,,0.3876,,0.3889,74,0.0,1,0.3299,,0.3876,
2009-10-05,0.4311,81,0.0,1,0.3377,,0.4155,,0.4278,78,0.0,1,0.338,,0.4155,
2009-10-02,0.3661,75,0.0,1,0.3604,,0.4265,,0.4275,78,0.0,1,0.3604,,0.4265,
2009-09-09,0.3576,74,0.0,1,0.3287,,0.4216,,0.5335,85,0.0,1,0.3287,,0.4241,
2009-09-03,0.3015,66,0.0,1,0.347,,0.4447,,0.539,86,0.0,1,0.3423,,0.4447,
2009-09-02,0.3261,70,0.0,1,0.383,,0.4428,,0.5648,88,0.0,1,0.359,,0.4428,
2009-09-01,0.3606,75,0.0,1,0.387,,0.4066,,0.5663,88,0.0,1,0.3612,,0.4066,
2009-08-28,0.2703,61,0.0,1,0.3479,,0.3749,,0.5796,88,0.0,1,0.3479,,0.3905,
2009-08-11,0.2131,46,0.0,1,0.3579,,0.4164,,0.6525,91,0.0,1,0.3579,,0.4164,
2009-07-23,0.4444,82,0.0,1,0.3766,,0.4634,,0.6754,92,0.0,1,0.3766,,0.4634,
2009-07-10,0.3949,78,0.0,1,0.5261,,0.6,,0.7205,92,0.0,1,0.5261,,0.6,
2009-07-08,0.4015,78,0.0,1,0.5036,,0.6337,,0.7231,93,0.0,1,0.5036,,0.6337,
2009-07-06,0.423,80,0.0,1,0.4889,,0.6443,,0.7265,93,0.0,1,0.4889,,0.6443,
2009-06-26,0.371,76,0.0,1,0.5011,,0.6654,,0.7242,93,0.0,1,0.4905,,0.6654,
2009-06-25,0.3812,77,0.0,1,0.4839,,0.6664,,0.7244,93,0.0,1,0.4839,,0.6664,
2009-06-24,0.4124,79,0.0,1,0.5338,,0.6383,,0.7236,93,0.0,1,0.5338,,0.6383,
2009-06-23,0.4531,83,0.0,1,0.5252,,0.6612,,0.7227,93,0.0,1,0.5252,,0.6612,
2009-06-22,0.4549,83,0.0,1,0.5333,,0.6513,,0.7225,93,0.0,1,0.5333,,0.6513,
2009-06-19,0.4302,81,0.0,1,0.5247,,0.6697,,0.7207,92,0.0,1,0.5157,,0.6697,
2009-06-18,0.3695,76,0.0,1,0.5269,,0.7044,,0.7199,92,0.0,1,0.5269,,0.7044,
2009-06-17,0.3749,76,0.0,1,0.5287,,0.6866,,0.7206,92,0.0,1,0.5287,,0.6866,
2009-06-16,0.3754,76,0.0,1,0.5876,,0.6651,,0.7206,92,0.0,1,0.5876,,0.6651,
2009-06-15,0.3461,73,0.0,1,0.5248,,0.6475,,0.7291,93,0.0,1,0.5196,,0.6475,
2009-06-12,0.1713,33,0.0,1,0.487,,0.6638,,0.7265,93,0.0,1,0.4846,,0.6638,
2009-06-11,0.4039,79,0.0,1,0.5175,,0.6485,,0.7264,93,0.0,1,0.5128,,0.6485,
2009-06-10,0.4309,81,0.0,1,0.4952,,0.6464,,0.7261,93,0.0,1,0.5234,,0.6464,
2009-06-09,0.4307,81,0.0,1,0.4803,,0.6686,,0.7293,94,0.0,1,0.5116,,0.6686,
2009-06-08,0.4267,80,0.0,1,0.5166,,0.6812,,0.7292,93,0.0,1,0.5166,,0.6812,
2009-06-05,0.4323,81,0.0,1,0.5258,,0.659,,0.7319,94,0.0,1,0.5215,,0.659,
