date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2021-01-04,0.2626,50,0.2919,52,0.5796,89,0.5629,95,0.508,83,0.4065,82,0.5708,95,0.5033,92
2020-12-31,0.2702,53,0.3084,56,0.5019,82,0.4875,86,0.5084,83,0.4072,83,0.565,95,0.4982,91
2020-12-30,0.2018,30,0.3484,68,0.6859,94,0.4562,83,0.5056,82,0.4066,83,0.53,92,0.483,89
2020-12-29,0.2463,44,0.3754,76,0.5706,88,0.4359,80,0.5056,82,0.4063,82,0.525,91,0.4854,89
2020-12-28,0.3755,75,0.4147,83,0.5654,88,0.3395,54,0.5055,82,0.4065,82,0.5361,92,0.4812,88
2020-12-24,0.4219,79,0.4176,83,0.6764,93,0.4394,81,0.5091,83,0.4093,83,0.5064,89,0.4649,85
2020-12-23,0.4238,79,0.4316,86,0.699,95,0.4359,80,0.5088,83,0.41,84,0.5328,92,0.473,86
2020-12-22,0.4619,82,0.4315,86,0.635,91,0.4548,82,0.5098,83,0.4104,84,0.5051,88,0.469,85
2020-12-21,0.4904,86,0.4274,85,0.4352,74,0.455,82,0.5101,83,0.4104,84,0.4753,85,0.4743,86
2020-12-18,0.4801,84,0.3934,79,0.4288,72,0.4212,77,0.5089,83,0.4083,83,0.536,92,0.4849,89
2020-12-17,0.4647,83,0.364,72,0.4685,77,0.4286,78,0.515,84,0.4097,84,0.4846,86,0.4688,85
2020-12-16,0.4101,77,0.328,63,0.57,88,0.4558,82,0.5077,83,0.4066,83,0.5774,96,0.5023,92
2020-12-15,0.5032,87,0.3655,73,0.4848,79,0.457,83,0.5066,83,0.4069,83,0.4799,85,0.4862,90
2020-12-14,0.4835,85,0.378,76,0.4974,81,0.48,85,0.5061,83,0.4078,83,0.4849,86,0.4863,90
2020-12-11,0.4949,86,0.3954,80,0.5393,85,0.4973,88,0.5057,82,0.4084,83,0.5553,94,0.4746,86
2020-12-10,0.5097,87,0.4067,81,0.798,97,0.4762,84,0.5074,83,0.4089,83,0.5438,93,0.4789,87
2020-12-09,0.5554,89,0.468,89,0.8789,98,0.4694,84,0.513,84,0.4094,83,0.5705,95,0.4809,88
2020-12-08,0.5483,89,0.4744,89,0.7164,95,0.419,77,0.5173,84,0.4178,85,0.5647,95,0.4783,87
2020-12-07,0.4846,85,0.451,87,0.6358,91,0.4938,87,0.5116,84,0.4251,86,0.5305,92,0.4813,88
2020-12-04,0.3515,71,0.4112,82,0.7645,96,0.4946,87,0.5284,84,0.425,86,0.5538,94,0.4815,88
2020-12-03,0.3559,71,0.3927,79,0.7252,95,0.4964,88,0.5291,84,0.4247,86,0.5576,94,0.4846,89
2020-12-02,0.3783,75,0.3863,78,0.8059,97,0.4813,85,0.5292,85,0.4239,86,0.5644,95,0.4816,88
2020-12-01,0.2941,60,0.3115,57,0.7021,95,0.5177,91,0.5275,84,0.4233,85,0.5501,93,0.4771,87
2020-11-30,0.2941,60,0.3115,57,0.6176,90,0.5302,92,0.5275,84,0.4233,85,0.5181,90,0.471,86
2020-11-29,0.2667,51,0.3243,62,0.7242,95,0.497,88,0.528,84,0.4229,85,0.5144,90,0.4658,85
2020-11-28,0.2667,51,0.3243,62,0.7067,95,0.485,86,0.528,84,0.4229,85,0.5132,90,0.4648,85
2020-11-27,0.2704,53,0.3341,65,0.6905,94,0.4739,84,0.5279,84,0.423,85,0.5121,90,0.4638,84
2020-11-26,0.2704,53,0.3341,65,0.6815,94,0.4399,81,0.5279,84,0.423,85,0.5167,90,0.4679,85
2020-11-25,0.3141,65,0.3343,65,0.6671,93,0.4308,79,0.5317,85,0.4242,86,0.5156,90,0.467,85
2020-11-24,0.3388,69,0.3371,66,0.6868,94,0.4242,78,0.5347,85,0.4251,86,0.5292,91,0.4683,85
2020-11-23,0.3577,72,0.3359,65,0.6309,91,0.4599,83,0.5338,85,0.4254,86,0.4908,87,0.4766,87
2020-11-20,0.2776,56,0.3434,67,0.6951,94,0.4448,81,0.5347,85,0.4269,87,0.4802,85,0.4688,85
2020-11-19,0.3638,73,0.3568,70,0.6692,93,0.5073,89,0.5401,85,0.427,87,0.4587,83,0.4861,90
2020-11-18,0.5787,91,0.5957,94,0.4356,74,0.3372,52,0.5435,85,0.4262,87,0.5575,94,0.4699,86
2020-11-17,0.5787,91,0.5957,94,0.4889,80,0.4334,79,0.5435,85,0.4262,87,0.5506,93,0.4976,91
2020-11-16,0.5951,92,0.5976,94,0.9779,99,0.3602,63,0.5439,86,0.4259,87,0.614,99,0.4148,82
2020-11-15,0.5687,90,0.6091,95,0.5697,88,0.515,90,0.5426,85,0.4255,86,0.4681,84,0.4662,85
2020-11-14,0.5687,90,0.6091,95,0.5343,84,0.4817,85,0.5426,85,0.4255,86,0.4666,84,0.4647,85
2020-11-13,0.5687,90,0.6091,95,0.8045,97,0.3473,57,0.5426,85,0.4255,86,0.5369,92,0.4244,82
