date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2008-04-22,0.4403,73,0.3518,72,0.3806,,0.4491,,0.4536,80,0.0,1,0.3806,,0.4491,
2008-04-16,0.4286,72,0.4145,81,0.3817,,0.423,,0.4537,80,0.0,1,0.3983,,0.423,
2008-04-15,0.4242,71,0.3926,78,0.3953,,0.4341,,0.4511,80,0.0,1,0.3953,,0.4341,
2008-04-14,0.4026,68,0.3869,76,0.3928,,0.4086,,0.4491,79,0.0,1,0.3928,,0.4086,
2008-04-11,0.2858,46,0.3355,68,0.4241,,0.4482,,0.4449,78,0.0,1,0.4241,,0.407,
2008-04-10,0.2123,27,0.3263,67,0.4026,,0.402,,0.4434,77,0.0,1,0.4026,,0.402,
2008-04-09,0.2127,27,0.3471,71,0.4061,,0.4145,,0.4473,78,0.0,1,0.4061,,0.4145,
2008-04-08,0.2247,31,0.399,79,0.4073,,0.4121,,0.4476,79,0.0,1,0.4073,,0.4121,
2008-04-04,0.3113,51,0.4006,79,0.3902,,0.4537,,0.4461,78,0.0,1,0.3902,,0.3975,
2008-04-03,0.3082,50,0.3953,78,0.3845,,0.3976,,0.4467,78,0.0,1,0.3845,,0.3976,
2008-04-02,0.3203,53,0.4093,80,0.3903,,0.4404,,0.4477,79,0.0,1,0.3903,,0.4071,
2008-04-01,0.3832,66,0.3976,79,0.3949,,0.4375,,0.4474,79,0.0,1,0.3949,,0.4043,
2008-03-26,0.8874,93,0.0,1,0.3781,,0.4482,,0.4491,79,0.0,1,0.3781,,0.4179,
2008-03-25,0.901,93,0.0,1,0.3923,,0.4497,,0.4494,79,0.0,1,0.3923,,0.3994,
2008-01-07,0.4052,68,0.0,1,0.344,,0.3993,,0.4174,74,0.0,1,0.344,,0.3993,
2008-01-04,0.296,48,0.0,1,0.3592,,0.3895,,0.4166,74,0.0,1,0.3592,,0.3895,
2007-12-28,0.3027,49,0.0,1,0.3605,,0.3637,,0.4082,74,0.0,1,0.3605,,0.3664,
2007-12-27,0.3052,49,0.0,1,0.341,,0.3733,,0.4094,74,0.0,1,0.341,,0.3661,
2007-12-26,0.2891,47,0.0,1,0.3307,,0.3898,,0.4079,73,0.0,1,0.3307,,0.3898,
2007-12-24,0.3928,67,0.271,52,0.3405,,0.3833,,0.4078,73,0.0,1,0.3404,,0.3833,
2007-12-14,0.2958,48,0.2678,50,0.3474,,0.3733,,0.404,73,0.0,1,0.3474,,0.3733,
2006-08-23,0.1773,16,0.2291,39,0.2964,,0.3185,,0.3459,53,0.0,1,0.2964,,0.3185,
2006-02-23,0.1098,4,0.0,1,0.2905,,0.3139,,0.2625,14,0.0,1,0.2905,,0.3139,
2005-12-07,0.2194,28,0.2499,45,0.2824,,0.32,,0.3056,33,0.0,1,0.2824,,0.32,
2005-11-29,0.3277,55,0.0,1,0.2868,,0.3138,,0.3054,32,0.0,1,0.2868,,0.3138,
2005-01-03,0.1915,21,0.0,1,0.3557,,0.3991,,0.3841,67,0.0,1,0.3557,,0.3991,
2004-12-31,0.1389,9,0.0,1,0.3482,,0.404,,0.383,66,0.0,1,0.3482,,0.404,
2004-12-30,0.1337,7,0.0,1,0.3569,,0.405,,0.3835,67,0.0,1,0.3569,,0.405,
2004-12-29,0.1476,10,0.0,1,0.3981,,0.4252,,0.3842,67,0.0,1,0.3813,,0.4252,
2004-12-28,0.1682,15,0.0,1,0.4162,,0.4322,,0.3842,67,0.0,1,0.4005,,0.4336,
2004-12-27,0.1557,12,0.0,1,0.4076,,0.4369,,0.3836,67,0.0,1,0.4076,,0.4353,
2004-12-23,0.1879,20,0.1351,21,0.4042,,0.4371,,0.3849,67,0.0,1,0.4042,,0.4362,
2004-12-22,0.2172,28,0.1642,23,0.3979,,0.4454,,0.3849,67,0.0,1,0.3979,,0.4486,
2004-12-21,0.2172,28,0.1743,25,0.38,,0.4705,,0.3857,68,0.0,1,0.38,,0.46,
2002-08-08,0.4736,77,0.3925,77,0.3551,,0.4149,,0.3839,67,0.0,1,0.3551,,0.4149,
2002-05-23,0.137,8,0.2531,46,0.2935,,0.3043,,0.2907,24,0.0,1,0.3059,,0.3173,
2002-04-10,0.2211,30,0.2238,38,0.2869,,0.316,,0.3396,48,0.0,1,0.2869,,0.316,
