date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2015-04-10,0.5004,57,0.5354,74,0.4907,,0.6348,,0.5571,45,0.4871,67,0.5581,,0.6249,
2015-04-09,0.4206,43,0.501,72,0.6115,,0.5624,,0.5503,43,0.483,67,0.5905,,0.5919,
2015-04-08,0.2293,17,0.3716,61,0.4796,,0.7129,,0.5418,41,0.474,67,0.5303,,0.6638,
2015-04-07,0.3647,35,0.3996,63,0.6884,,0.6053,,0.5399,40,0.4736,67,0.6167,,0.6431,
2015-04-06,0.3664,35,0.4415,66,0.5498,,0.662,,0.5403,41,0.4741,67,0.5911,,0.64,
2015-04-02,0.4339,45,0.4589,68,0.5669,,0.5533,,0.541,41,0.4735,67,0.574,,0.5685,
2015-04-01,0.48,53,0.501,72,0.6108,,0.5767,,0.5412,41,0.4735,67,0.6032,,0.6341,
2015-03-31,0.6578,77,0.5437,75,0.5454,,0.6797,,0.541,41,0.4733,67,0.5685,,0.6455,
2015-03-30,0.7014,81,0.5745,78,0.5647,,0.6075,,0.5409,41,0.4713,67,0.6093,,0.6104,
2015-03-27,1.1965,95,0.8421,95,0.7773,,0.6065,,0.5402,40,0.4691,66,0.6387,,0.6065,
2015-03-26,1.5344,98,0.9541,97,0.5477,,0.448,,0.5359,39,0.4674,66,0.5958,,0.6328,
2015-03-25,1.5356,98,0.9688,97,0.6123,,0.5712,,0.536,39,0.4661,65,0.598,,0.6099,
2015-03-24,1.6715,99,1.0125,98,0.5608,,0.5976,,0.5335,39,0.4642,65,0.5418,,0.6219,
2015-03-23,1.6551,99,0.9973,98,0.7229,,0.6091,,0.5321,38,0.4627,64,0.5877,,0.6106,
2015-03-20,1.6115,99,0.9881,98,0.6816,,0.5175,,0.5197,36,0.4598,63,0.5997,,0.5619,
2015-03-19,1.5602,98,0.9653,97,0.4642,,0.6606,,0.5117,33,0.4561,62,0.5319,,0.6232,
2015-03-17,0.8327,87,0.6476,84,0.6307,,0.4191,,0.4071,23,0.4138,59,0.4542,,0.4169,
2015-03-16,0.6516,77,0.6129,81,0.4311,,0.4819,,0.3929,22,0.4091,59,0.4143,,0.4577,
2015-03-13,0.5254,62,0.5194,73,0.5352,,0.4671,,0.38,21,0.4006,57,0.402,,0.4649,
2015-03-12,0.5237,61,0.5119,73,0.5389,,0.3735,,0.3797,21,0.3998,57,0.4288,,0.4325,
2015-03-11,0.5214,61,0.4925,71,0.5577,,0.414,,0.3795,21,0.3982,57,0.432,,0.4387,
2015-03-10,0.5483,65,0.5002,72,0.4983,,0.4343,,0.3794,21,0.3965,57,0.4246,,0.4543,
2015-03-09,0.6456,76,0.662,85,0.4519,,0.4468,,0.3746,21,0.3936,57,0.4015,,0.4598,
2015-03-06,0.7729,85,0.8266,94,0.4634,,0.4032,,0.3637,20,0.3884,57,0.3906,,0.4109,
2015-03-05,0.9228,92,0.92,96,0.4785,,0.4509,,0.3638,20,0.3866,57,0.3392,,0.4524,
2015-03-04,0.9464,92,0.9143,96,0.3729,,0.4181,,0.3627,20,0.3855,57,0.3583,,0.4523,
2015-03-03,0.942,92,0.9263,97,0.4337,,0.4208,,0.3627,20,0.3853,57,0.3602,,0.4415,
2015-03-02,0.9312,92,0.9235,96,0.4508,,0.385,,0.3626,20,0.3843,57,0.3828,,0.4101,
2015-02-27,0.95,92,0.908,96,0.5242,,0.4343,,0.3581,19,0.3823,57,0.3854,,0.4343,
2015-02-26,0.7556,85,0.7764,92,0.5296,,0.3672,,0.3461,19,0.3636,57,0.4479,,0.4216,
2015-02-25,0.6067,72,0.5211,73,0.285,,0.5784,,0.3182,19,0.3365,56,0.3927,,0.4637,
2015-02-24,0.1977,12,0.3074,53,0.4023,,0.3591,,0.2819,19,0.3206,55,0.3704,,0.4076,
2015-02-23,0.1874,10,0.3541,59,0.3574,,0.6046,,0.2819,19,0.3204,55,0.3574,,0.4678,
2015-02-20,0.1952,11,0.336,57,0.3331,,0.4455,,0.2821,19,0.3184,55,0.3832,,0.4592,
2015-02-19,0.1902,11,0.3483,57,0.3486,,0.4477,,0.2821,19,0.3175,55,0.3932,,0.4384,
2015-02-18,0.1857,10,0.3681,60,0.3301,,0.6376,,0.2818,19,0.3174,55,0.3301,,0.5209,
2015-02-17,0.1818,10,0.3639,60,0.3441,,0.5383,,0.2801,19,0.315,55,0.3441,,0.5383,
2015-02-13,0.1831,10,0.3623,59,0.2567,,0.4606,,0.2786,18,0.3146,55,0.3596,,0.5239,
2015-02-12,0.2755,24,0.3679,60,0.259,,0.4471,,0.2777,18,0.3136,55,0.3395,,0.516,
2015-02-11,0.2399,19,0.3255,56,0.592,,0.3963,,0.2758,18,0.3106,54,0.3855,,0.4842,
2015-02-10,0.2415,19,0.3233,56,0.5038,,0.3569,,0.2758,18,0.3097,54,0.4076,,0.4709,
2015-02-09,0.2327,18,0.2985,52,0.3573,,0.3429,,0.2756,18,0.3083,53,0.4215,,0.4549,
2015-02-06,0.3408,32,0.325,56,0.3771,,0.3786,,0.2754,18,0.308,53,0.3771,,0.502,
2015-02-05,0.3872,38,0.3177,55,0.3431,,0.353,,0.2757,18,0.3062,52,0.4105,,0.4912,
2015-02-04,0.3676,35,0.3459,57,0.3756,,0.3168,,0.2747,18,0.3062,52,0.4457,,0.4563,
2015-02-03,0.4215,43,0.387,62,0.3162,,0.4709,,0.2727,18,0.3048,52,0.3982,,0.4732,
