date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2018-01-12,1.8212,98,2.8501,100,1.7789,,1.5708,,1.9335,93,1.5685,96,1.4348,,1.5756,
2018-01-11,2.0107,98,2.8776,100,2.0574,,2.5701,,1.9304,93,1.5651,95,1.4119,,1.7345,
2018-01-10,2.2634,98,2.986,100,2.3805,,2.6806,,1.9294,93,1.5599,95,1.4765,,1.8622,
2018-01-09,2.2814,98,2.9554,100,1.8271,,2.5017,,1.9273,93,1.5556,94,2.0341,,1.5405,
2018-01-08,2.2536,98,2.8893,100,2.3031,,2.0115,,1.9282,93,1.5493,94,1.8794,,2.0703,
2018-01-05,2.1793,98,2.8932,100,2.4154,,2.0457,,1.9271,92,1.5356,94,1.8957,,1.5646,
2017-12-19,6.4453,100,3.9799,100,2.95,,3.5185,,1.7128,92,1.3154,92,3.75,,2.5163,
2017-02-06,0.5737,47,0.4914,19,0.69,,0.9708,,0.5919,15,0.6454,20,0.7564,,0.7456,
2017-02-02,0.4619,31,0.505,21,0.8255,,0.9729,,0.5886,15,0.6436,19,0.8255,,0.7985,
2017-02-01,0.5903,49,0.5069,21,0.7884,,0.8652,,0.5868,14,0.6421,19,0.7884,,0.7626,
2017-01-31,0.6441,57,0.5062,21,0.7604,,0.7561,,0.5859,14,0.641,18,0.7604,,0.8049,
2017-01-30,0.5937,49,0.5051,21,0.5632,,1.3302,,0.5847,14,0.641,18,0.5632,,0.8328,
2017-01-27,0.5275,40,0.5113,21,0.6983,,0.8391,,0.5806,14,0.6415,19,0.6983,,0.765,
2017-01-26,0.5579,45,0.4943,19,0.7232,,0.8606,,0.5798,13,0.6406,18,0.7232,,0.7821,
2017-01-25,0.5644,46,0.5199,23,0.5985,,0.7093,,0.5797,13,0.6407,18,0.5985,,1.0565,
2017-01-23,0.6201,54,0.6567,47,1.0078,,1.2147,,0.5729,13,0.6368,16,1.0078,,0.7245,
2017-01-20,0.5549,44,0.6491,46,0.6437,,0.7051,,0.5703,13,0.637,16,0.6437,,0.7706,
2017-01-19,0.541,42,0.6795,52,0.7313,,1.0361,,0.572,13,0.6377,17,0.7313,,0.7682,
2017-01-18,0.5666,46,0.6647,50,0.6715,,1.0095,,0.5722,13,0.6359,15,0.6715,,0.8469,
2017-01-17,0.5261,40,0.6705,51,0.8702,,0.6214,,0.5696,12,0.6359,15,0.8702,,0.6214,
2017-01-13,0.5293,40,0.6403,45,0.7233,,0.9753,,0.5699,12,0.6345,15,0.7233,,0.7094,
2017-01-12,0.4993,36,0.5486,28,0.8725,,0.7831,,0.5654,12,0.6288,13,0.8725,,0.7831,
2017-01-11,0.3059,11,0.5251,24,0.7519,,0.8695,,0.5607,11,0.625,11,0.7519,,0.7871,
2017-01-10,0.3296,13,0.6304,43,0.6408,,0.8457,,0.5611,11,0.6251,11,0.6408,,0.7575,
2017-01-09,0.386,21,0.6623,49,0.7166,,0.8943,,0.5611,11,0.6225,10,0.7166,,0.8998,
2017-01-06,0.3371,14,0.6902,54,0.745,,1.1229,,0.5607,11,0.6218,10,0.7574,,0.9107,
2017-01-05,0.4408,28,0.7761,66,0.8229,,0.8026,,0.56,11,0.6213,10,0.8229,,0.7271,
2017-01-04,0.5521,44,0.8228,70,0.7606,,0.8386,,0.5616,11,0.6228,11,0.7606,,0.7442,
2017-01-03,0.6603,59,0.8249,70,0.811,,0.7317,,0.5587,11,0.6227,10,0.811,,0.7386,
2016-12-30,0.6507,57,0.7714,65,0.6718,,0.8387,,0.558,11,0.6203,10,0.6718,,0.8448,
2016-12-28,0.6463,57,0.705,57,0.757,,0.8089,,0.5659,12,0.6283,13,0.757,,0.7359,
2016-12-27,0.6808,62,0.7094,57,0.7939,,0.9884,,0.566,12,0.6258,11,0.7939,,0.6372,
2016-12-22,0.6077,51,0.7002,56,0.8177,,0.8782,,0.5573,10,0.6167,10,0.9804,,0.6612,
2016-12-21,0.6117,52,0.7066,57,0.7021,,0.9258,,0.5517,9,0.6189,10,0.7007,,0.8266,
