date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2021-07-23,0.795,,0.8207,,0.8997,,1.0298,,1.3197,,1.0838,,0.8097,,0.9802,
2021-07-22,0.8432,,0.8117,,1.0955,,1.1771,,1.3174,,1.0846,,0.8127,,0.9166,
2021-07-21,0.8499,,0.7792,,1.0957,,1.1841,,1.3264,,1.1318,,0.8195,,0.9259,
2021-07-20,0.9318,,0.7358,,1.0237,,1.1747,,1.3642,,1.146,,0.8258,,0.9585,
2021-07-19,0.6982,,0.6384,,1.0395,,1.1326,,1.3586,,1.1434,,0.8443,,0.9564,
2021-07-16,0.6964,,0.6402,,0.9528,,0.9897,,1.358,,1.1421,,0.9079,,0.9768,
2021-07-15,0.6999,,0.663,,0.9515,,0.9798,,1.3585,,1.1421,,0.9161,,0.9986,
2021-07-14,0.6924,,0.6429,,0.9484,,0.9977,,1.3596,,1.1617,,0.9558,,1.0312,
2021-07-13,0.5204,,0.6112,,0.8599,,1.0097,,1.3546,,1.1755,,0.93,,1.002,
2021-07-12,0.5276,,0.657,,1.0928,,1.1729,,1.3733,,1.1833,,0.9108,,1.0262,
2021-07-09,0.7386,,0.7521,,0.9004,,0.9313,,1.3749,,1.1925,,0.8858,,0.9794,
2021-07-08,0.7198,,0.7522,,0.8507,,0.8698,,1.4273,,1.2256,,0.9178,,0.9958,
2021-07-07,0.8591,,0.7156,,0.789,,0.8324,,1.4267,,1.2236,,0.8739,,0.99,
2021-07-06,0.8239,,0.6645,,0.7747,,0.8482,,1.4256,,1.2216,,0.9298,,1.0218,
2021-07-02,0.8031,,0.6612,,0.7579,,0.7701,,1.4249,,1.2205,,0.9561,,0.9847,
2021-07-01,0.8207,,0.6842,,0.7962,,0.8626,,1.4241,,1.2196,,0.9383,,0.989,
2021-06-30,0.6978,,0.6396,,0.889,,0.9642,,1.4226,,1.2175,,0.888,,1.0365,
2021-06-29,0.6191,,0.4947,,0.6995,,0.7646,,1.4178,,1.2131,,0.9419,,1.0754,
2021-06-28,0.5731,,0.4791,,0.7761,,0.851,,1.417,,1.2126,,0.9014,,1.0601,
2021-06-25,0.4909,,0.4691,,0.637,,0.7093,,1.4143,,1.2118,,0.9176,,1.0029,
2021-06-24,0.5924,,0.5523,,0.6355,,0.7038,,1.4143,,1.2115,,0.9432,,1.0783,
2021-06-23,0.7539,,0.5602,,0.7172,,0.8199,,1.4141,,1.2105,,0.8695,,1.025,
2021-06-22,0.6531,,0.5215,,0.6852,,0.7532,,1.4115,,1.2088,,0.8816,,1.0419,
2021-06-21,0.6195,,0.5062,,0.7028,,0.7959,,1.4114,,1.2081,,0.8744,,1.0642,
2021-06-18,0.6431,,0.5546,,0.6911,,0.7382,,1.4109,,1.2076,,0.895,,1.0697,
2021-06-17,0.6436,,0.5709,,0.7595,,0.8375,,1.4108,,1.2073,,0.8688,,1.0301,
2021-06-16,0.6572,,0.7017,,0.8008,,0.9233,,1.4103,,1.2068,,0.8486,,1.034,
2021-06-15,0.8608,,0.6999,,0.745,,0.8326,,1.4082,,1.2044,,0.8772,,1.0464,
