date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2017-07-28,0.2431,24,0.4275,64,0.467,46,0.5472,67,0.5744,80,0.5167,83,0.4588,44,0.5332,65
2017-07-27,0.2315,21,0.432,65,0.5222,64,0.4872,48,0.5743,80,0.5172,84,0.4995,60,0.478,43
2017-07-26,0.2174,18,0.3718,51,0.5111,61,0.5903,77,0.5741,80,0.5138,82,0.4944,57,0.5172,60
2017-07-25,0.1421,7,0.2885,26,0.543,70,0.5287,62,0.5725,80,0.5106,80,0.4604,44,0.507,56
2017-07-24,0.122,5,0.2805,24,0.5316,67,0.519,59,0.5723,80,0.5106,80,0.5046,62,0.5072,56
2017-07-21,0.25,25,0.296,28,0.5372,69,0.5548,68,0.5735,80,0.5105,80,0.4736,50,0.4834,46
2017-07-20,0.2742,32,0.3814,53,0.5356,68,0.4605,40,0.5745,80,0.5102,80,0.4469,41,0.4945,51
2017-07-19,0.4408,64,0.4353,65,0.489,54,0.5255,61,0.5748,80,0.511,80,0.4692,48,0.4862,47
2017-07-18,0.449,65,0.4429,67,0.5071,60,0.5109,57,0.5751,80,0.511,80,0.4802,53,0.4973,52
2017-07-17,0.4944,72,0.456,70,0.4925,56,0.558,69,0.5759,81,0.5108,80,0.479,53,0.4747,41
2017-07-14,0.4795,70,0.446,68,0.4918,56,0.5495,67,0.5755,81,0.5112,80,0.479,53,0.535,65
2017-07-13,0.4914,71,0.4519,69,0.5332,68,0.5982,78,0.5757,81,0.5115,80,0.4012,33,0.5187,61
2017-07-12,0.474,69,0.4503,69,0.5187,63,0.5296,62,0.5772,81,0.5123,81,0.5187,66,0.5007,53
2017-07-11,0.4367,63,0.372,51,0.4914,56,0.5272,61,0.5766,81,0.5086,79,0.4816,54,0.5153,60
2017-07-10,0.3148,41,0.3014,31,0.518,63,0.5473,67,0.5709,80,0.5067,78,0.4945,57,0.5001,53
2017-07-07,0.2986,37,0.3724,51,0.4632,45,0.5367,64,0.5708,80,0.5066,78,0.4359,38,0.5361,66
2017-07-06,0.2897,36,0.3484,44,0.485,53,0.5453,66,0.5685,79,0.5052,77,0.4999,60,0.5126,59
2017-07-05,0.307,39,0.3888,55,0.4323,35,0.7309,92,0.5688,79,0.5062,77,0.4323,37,0.5508,69
2017-07-03,0.3117,40,0.3977,57,0.4342,36,0.5454,66,0.5688,79,0.5069,78,0.4365,38,0.5532,70
2017-06-30,0.3902,56,0.439,66,0.4852,53,0.5453,66,0.5685,79,0.5073,78,0.4956,57,0.5194,61
2017-06-29,0.5011,72,0.4788,74,0.487,54,0.5593,69,0.6032,83,0.5166,83,0.4706,49,0.499,53
2017-06-28,0.4923,71,0.479,74,0.5167,63,0.5735,73,0.6093,84,0.5188,84,0.4775,52,0.5014,54
2017-06-27,0.4923,71,0.4372,66,0.5826,77,0.4945,51,0.6091,84,0.5157,83,0.5333,69,0.4741,41
2017-06-26,0.4534,66,0.4471,68,0.4806,51,0.5602,69,0.6075,84,0.516,83,0.497,59,0.5098,57
2017-06-23,0.4398,64,0.4576,70,0.493,56,0.5787,75,0.6073,84,0.5152,83,0.4167,34,0.5155,60
2017-06-22,0.5586,78,0.5979,85,0.451,40,0.5603,69,0.6075,84,0.5161,83,0.4631,45,0.5299,64
2017-06-21,0.786,89,0.6728,90,0.4833,52,0.5641,71,0.6051,84,0.5157,83,0.4831,54,0.5589,71
2017-06-20,0.7822,89,0.7172,92,0.5499,71,0.5386,64,0.6026,83,0.5134,82,0.4788,52,0.5408,67
2017-06-19,0.8049,90,0.7305,92,0.5432,70,0.5847,76,0.6056,84,0.5174,84,0.5432,71,0.5847,74
2017-06-16,0.8048,90,0.7369,93,0.4956,57,0.4709,43,0.6075,84,0.5185,84,0.4956,57,0.4949,51
2017-06-14,0.8046,90,0.716,92,0.5122,62,0.5802,75,0.6086,84,0.5224,85,0.5122,64,0.5802,73
2017-06-13,0.6739,85,0.5958,85,0.4301,34,0.5706,72,0.6022,83,0.5147,82,0.4301,37,0.5706,72
2017-06-12,0.3374,45,0.4739,73,0.5809,77,0.4627,41,0.5879,82,0.5085,79,0.5809,77,0.4627,38
2017-06-09,0.2367,23,0.3673,50,0.4824,52,0.582,75,0.5851,82,0.5027,76,0.4881,56,0.5077,57
2017-06-08,0.1856,13,0.3716,51,0.5092,61,0.4816,46,0.5842,82,0.5031,76,0.5092,63,0.4816,45
2017-06-07,0.21,17,0.3559,47,0.5149,62,0.5694,72,0.5854,82,0.503,76,0.5149,65,0.5694,72
2017-06-06,0.2059,16,0.3872,55,0.4964,57,0.4995,53,0.5893,82,0.5061,77,0.486,55,0.4722,40
2017-06-05,0.2647,28,0.3673,50,0.5224,65,0.5763,74,0.592,82,0.5071,78,0.5224,66,0.5763,73
2017-06-02,0.3239,43,0.443,67,0.5335,68,0.4852,48,0.592,82,0.5073,78,0.5076,63,0.4758,42
2017-05-31,0.762,88,0.5739,83,0.5346,68,0.5186,59,0.5956,83,0.5076,78,0.5034,61,0.5186,61
2017-05-26,0.7482,88,0.6123,86,0.4558,42,0.5316,62,0.6097,84,0.5179,84,0.4558,43,0.5316,65
2017-05-25,0.7615,88,0.6313,88,0.5326,68,0.5533,68,0.6131,85,0.5195,84,0.5114,64,0.5109,57
2017-05-24,0.7908,89,0.7386,93,0.5659,74,0.5193,59,0.612,84,0.5193,84,0.5306,68,0.5193,61
2017-05-23,0.7869,89,0.6952,91,0.394,28,0.5922,77,0.6112,84,0.5175,84,0.4397,39,0.5336,65
2017-05-22,0.9118,92,0.8646,96,0.337,14,0.5445,66,0.5993,83,0.5157,83,0.3848,30,0.5445,68
2017-05-19,0.8941,92,0.7994,95,0.4503,40,0.5107,57,0.596,83,0.5108,80,0.4746,51,0.5153,60
2017-05-18,0.9448,93,0.8048,95,0.4941,57,0.522,60,0.5961,83,0.5108,80,0.4961,59,0.536,66
2017-05-17,0.954,94,0.7631,93,0.5035,59,0.5404,65,0.5959,83,0.5104,80,0.4598,44,0.5184,61
2017-05-16,1.0057,95,0.7355,93,0.5843,78,0.5264,61,0.5951,83,0.5085,79,0.5654,74,0.4612,37
2017-05-15,0.9876,94,0.6278,87,0.5088,61,0.5123,57,0.5922,82,0.5033,76,0.4884,56,0.4924,50
2017-05-12,0.9731,94,0.6281,87,0.6145,82,0.4713,43,0.6006,83,0.5063,77,0.5212,66,0.465,38
2017-05-11,0.3808,54,0.3193,37,0.5325,68,0.4536,37,0.5665,79,0.4939,73,0.5022,61,0.4812,45
2017-05-10,0.271,31,0.3021,31,0.4639,45,0.6018,79,0.5688,79,0.4966,74,0.4639,46,0.5013,54
2017-05-09,0.4799,70,0.4,57,0.4667,46,0.7658,94,0.576,81,0.4981,74,0.451,42,0.4656,38
2017-05-08,0.4709,68,0.4039,59,0.4567,42,0.7321,92,0.5758,81,0.4981,74,0.4849,54,0.5216,62
2017-05-05,0.4372,64,0.3965,57,0.6756,89,0.4839,47,0.5757,81,0.4982,74,0.5107,64,0.49,49
2017-05-04,0.426,62,0.401,59,0.4902,55,0.615,81,0.5743,80,0.4984,74,0.4897,56,0.5434,68
2017-05-03,0.6937,86,0.4929,76,0.4574,42,0.6467,85,0.5752,80,0.5128,81,0.4459,40,0.5459,69
2017-05-02,0.6883,86,0.4985,76,0.432,35,0.6249,82,0.5803,81,0.5135,82,0.4887,56,0.5153,60
2017-05-01,0.6985,86,0.5148,78,0.479,50,0.5458,66,0.5887,82,0.5181,84,0.5135,65,0.4904,49
2017-04-28,0.589,81,0.4275,64,0.4731,49,0.3595,16,0.5817,81,0.5133,82,0.476,51,0.486,47
2017-04-27,0.5902,81,0.4275,64,0.546,70,0.4741,44,0.5825,81,0.5135,82,0.502,61,0.4807,44
2017-04-26,0.6172,82,0.4473,68,0.5056,60,0.6004,78,0.5821,81,0.5134,82,0.4724,50,0.4983,52
2017-04-25,0.6086,82,0.4557,70,0.4017,28,0.5741,73,0.5818,81,0.513,81,0.4201,34,0.5412,67
2017-04-24,0.3013,38,0.3475,44,0.5018,59,0.4664,42,0.5707,80,0.5082,79,0.4903,56,0.4662,38
2017-04-21,0.3008,38,0.326,38,0.4964,57,0.5097,57,0.5706,80,0.5075,78,0.5087,63,0.4962,52
2017-04-20,0.2851,35,0.3242,38,0.4614,44,0.515,57,0.5706,80,0.5069,78,0.4428,40,0.5133,59
2017-04-19,0.4555,66,0.4219,63,0.4965,57,0.5081,56,0.5696,79,0.5062,77,0.4811,53,0.504,55
2017-04-18,0.8823,91,0.57,83,0.5105,61,0.486,48,0.5697,79,0.5065,78,0.5105,64,0.468,39
2017-04-17,0.932,93,0.6116,86,0.4804,51,0.5036,55,0.5698,79,0.506,77,0.4552,43,0.5064,55
2017-04-13,0.932,93,0.6477,89,0.4871,54,0.5114,57,0.57,80,0.5048,77,0.4919,57,0.4903,49
2017-04-12,0.93,93,0.6667,89,0.4812,51,0.4991,53,0.5696,79,0.5051,77,0.4789,52,0.5006,53
2017-04-11,0.944,93,0.6802,90,0.5338,68,0.4855,48,0.5694,79,0.5073,78,0.5087,63,0.4677,39
2017-04-10,0.9357,93,0.6902,90,0.4175,31,0.6245,82,0.5599,78,0.503,76,0.4166,34,0.5315,65
2017-04-07,0.6529,84,0.602,85,0.5428,70,0.4368,33,0.5411,75,0.4958,73,0.5319,69,0.4202,30
2017-04-06,0.527,75,0.5533,81,0.466,46,0.59,77,0.5422,75,0.4955,73,0.466,47,0.5222,62
2017-04-05,0.5621,79,0.5789,83,0.4144,31,0.5798,75,0.5424,75,0.4959,74,0.4438,40,0.5316,65
2017-04-04,0.5621,79,0.5537,81,0.6219,83,0.4623,40,0.5424,75,0.4923,72,0.5032,61,0.4674,39
2017-04-03,0.6835,85,0.5621,82,0.4938,57,0.5853,76,0.5433,76,0.4913,72,0.4731,50,0.485,46
2017-03-31,0.9283,93,0.6752,90,0.5729,75,0.4447,35,0.5407,75,0.4905,72,0.4915,57,0.466,38
2017-03-30,0.8429,90,0.6043,86,0.4881,54,0.4862,48,0.5344,73,0.4856,71,0.4684,48,0.4582,37
2017-03-29,0.8408,90,0.59,84,0.496,57,0.4539,37,0.5352,73,0.4836,70,0.4573,43,0.4826,45
2017-03-28,0.8521,91,0.5881,84,0.5234,65,0.4539,37,0.5442,76,0.4869,71,0.5279,67,0.483,45
2017-03-27,0.8442,90,0.6165,86,0.47,47,0.5987,78,0.5427,76,0.4858,71,0.4315,37,0.5084,57
2017-03-24,0.8558,91,0.5992,85,0.5798,76,0.4557,38,0.5429,76,0.4841,70,0.5141,65,0.4865,47
2017-03-23,0.7884,89,0.5839,84,0.3837,26,0.5894,77,0.5351,73,0.4828,70,0.4217,35,0.539,67
2017-03-22,0.4049,59,0.426,63,0.4726,48,0.4416,34,0.5122,69,0.4721,67,0.47,49,0.4886,48
2017-03-21,0.4716,69,0.4414,66,0.4591,43,0.4597,40,0.5124,69,0.4717,67,0.469,48,0.4968,52
2017-03-20,0.7259,87,0.5292,79,0.4911,55,0.4712,43,0.5124,69,0.4706,67,0.4911,57,0.4712,40
2017-03-13,0.7165,87,0.6173,87,0.4584,43,0.4561,38,0.5131,69,0.4739,68,0.4584,44,0.4769,43
2017-03-10,0.5536,78,0.5869,84,0.5964,79,0.4296,31,0.5082,67,0.4722,67,0.5647,74,0.4296,31
2017-03-09,0.404,59,0.5314,79,0.3872,27,0.5838,76,0.4945,62,0.4668,65,0.3872,31,0.5606,71
2017-03-08,0.3802,54,0.4967,76,0.5237,65,0.4979,53,0.4943,61,0.4638,64,0.4598,44,0.4875,48
2017-03-07,0.3914,56,0.4791,74,0.4678,47,0.544,66,0.4927,61,0.4632,63,0.4678,48,0.4954,51
2017-03-06,0.4183,61,0.4635,71,0.4665,46,0.5249,61,0.4922,61,0.4622,63,0.4665,47,0.4853,47
2017-03-03,0.1824,12,0.2848,25,0.5112,61,0.4903,50,0.4817,56,0.4544,59,0.4843,54,0.4808,44
2017-03-02,0.2011,15,0.283,25,0.4588,43,0.5476,67,0.4805,56,0.4548,60,0.4659,47,0.4924,50
2017-03-01,0.1924,14,0.2716,21,0.5431,70,0.4579,39,0.4801,56,0.4551,60,0.51,64,0.4479,34
2017-02-28,0.2801,33,0.2492,15,0.4309,35,0.4926,51,0.4787,55,0.4538,59,0.4513,42,0.4926,50
2017-02-27,0.2763,33,0.2109,6,0.4585,43,0.524,60,0.4789,55,0.4531,59,0.5077,63,0.4909,49
2017-02-24,0.2762,32,0.2151,7,0.3785,25,0.4878,49,0.4791,55,0.4537,59,0.4249,35,0.4878,48
2017-02-23,0.2908,36,0.2568,16,0.5855,78,0.4487,36,0.4793,55,0.4545,59,0.4805,53,0.4441,33
2017-02-22,0.3717,52,0.315,35,0.4639,45,0.5092,56,0.4793,55,0.4547,60,0.463,45,0.5092,57
2017-02-21,0.3862,55,0.4316,65,0.4965,57,0.4641,41,0.479,55,0.4542,59,0.487,55,0.4732,41
2017-02-17,0.3913,56,0.4593,70,0.4695,47,0.4678,43,0.4793,55,0.4549,60,0.4705,49,0.4457,33
2017-02-16,0.3197,42,0.5073,77,0.558,72,0.4518,37,0.4756,53,0.4551,60,0.4634,45,0.4835,46
