date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2025-01-14,0.3656,28,0.5186,53,0.4512,28,0.493,38,0.3831,15,0.3605,13,0.3444,2,0.3683,2
2025-01-13,0.3801,32,0.4967,48,0.4224,22,0.3978,17,0.3865,17,0.3611,13,0.3638,5,0.3895,3
2025-01-10,0.3673,28,0.3679,26,0.4033,18,0.3724,11,0.3864,17,0.3542,10,0.3475,3,0.3674,2
2025-01-08,0.2989,16,0.3205,13,0.3092,2,0.3453,7,0.3845,16,0.3531,10,0.3442,2,0.3667,2
2025-01-07,0.2945,15,0.3125,11,0.2895,1,0.3149,2,0.3843,16,0.3527,9,0.3541,4,0.3572,1
2025-01-06,0.2899,14,0.2815,5,0.3655,12,0.3211,3,0.3848,16,0.3518,9,0.3381,2,0.3635,1
2025-01-03,0.2164,5,0.2396,1,0.2623,1,0.3113,2,0.3831,15,0.3504,9,0.3308,1,0.3593,1
2025-01-02,0.217,5,0.2452,2,0.3253,3,0.2849,1,0.3835,16,0.3508,9,0.3418,2,0.3607,1
2024-12-31,0.3584,27,0.3059,10,0.2799,1,0.3113,2,0.3831,15,0.3504,9,0.347,3,0.3619,1
2024-12-30,0.3591,27,0.3236,14,0.3328,5,0.3296,4,0.3837,16,0.3508,9,0.3296,1,0.3596,1
2024-12-27,0.2645,10,0.3405,19,0.3218,3,0.3253,3,0.3813,15,0.3519,9,0.3354,1,0.3631,1
2024-12-26,0.2965,15,0.3577,23,0.3196,3,0.3426,7,0.3852,17,0.3533,10,0.3404,2,0.3568,1
2024-12-24,0.3023,16,0.3551,22,0.319,3,0.308,2,0.3918,19,0.3547,10,0.339,2,0.3532,1
2024-12-23,0.2957,15,0.3547,22,0.3332,5,0.3274,4,0.4,22,0.357,11,0.3461,3,0.3589,1
2024-12-20,0.2838,13,0.3561,23,0.4113,20,0.3042,1,0.4051,24,0.3598,12,0.3682,5,0.3776,3
2024-12-19,0.2578,9,0.3165,12,0.298,1,0.2971,1,0.4007,22,0.3571,11,0.3528,3,0.3771,2
2024-12-18,0.2601,9,0.2964,8,0.3433,7,0.3406,6,0.4002,22,0.3558,11,0.3469,3,0.3738,2
2024-12-17,0.2499,8,0.3222,14,0.3163,2,0.3891,15,0.4015,23,0.3551,10,0.3461,3,0.3632,1
2024-12-16,0.3947,35,0.406,33,0.29,1,0.3538,9,0.3982,21,0.354,10,0.3378,1,0.3595,1
2024-12-13,0.4018,36,0.4063,33,0.3034,1,0.2859,1,0.3983,21,0.3551,10,0.3359,1,0.3608,1
2024-12-12,0.4139,38,0.4284,37,0.3024,1,0.3275,4,0.3982,21,0.3554,10,0.334,1,0.3764,2
2024-12-11,0.398,35,0.4184,35,0.3439,7,0.2928,1,0.399,22,0.3551,10,0.3444,2,0.3554,1
2024-12-10,0.3664,28,0.4199,36,0.334,5,0.266,1,0.3996,22,0.3549,10,0.3527,3,0.3674,2
