date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2021-03-01,0.356,69,0.2783,85,0.5226,93,0.534,93,0.5199,87,0.2368,76,0.5226,97,0.534,95
2021-02-09,0.3493,68,0.1641,46,0.7788,99,0.7711,99,0.5054,86,0.2272,74,0.4918,96,0.4148,83
2021-02-08,0.6672,94,0.215,70,0.2398,26,0.2234,12,0.5052,86,0.2269,74,0.2398,28,0.2234,4
2021-02-05,0.6724,95,0.3138,90,0.1999,9,0.2356,17,0.5053,86,0.2272,74,0.1999,8,0.2356,6
2021-02-04,0.6662,94,0.3185,90,0.7496,99,0.7642,99,0.5064,86,0.2282,74,0.7496,100,0.2276,5
2021-02-01,0.7375,96,0.3611,94,0.612,96,0.7624,99,0.4986,85,0.2273,74,0.612,99,0.3759,73
2021-01-26,0.6939,95,0.2936,88,0.8637,99,0.8442,99,0.4891,84,0.2207,73,0.8637,100,0.8442,100
2021-01-22,0.7508,96,0.2989,88,0.6111,96,0.6148,96,0.4862,84,0.2196,72,0.2768,46,0.326,47
2021-01-20,0.4582,83,0.2526,81,0.3988,81,0.2696,34,0.4754,83,0.2157,70,0.3988,86,0.2696,16
2021-01-15,0.4119,78,0.2434,78,0.6186,97,0.6931,98,0.4659,82,0.213,69,0.292,53,0.397,79
2021-01-13,0.3919,75,0.2626,82,0.6197,97,0.6151,96,0.4609,81,0.2115,68,0.3452,76,0.5537,96
2021-01-12,0.501,87,0.2848,87,0.672,98,0.4784,89,0.4589,81,0.2106,68,0.3228,68,0.3758,72
2021-01-08,0.4678,84,0.2812,86,0.7439,99,0.679,98,0.4554,81,0.2103,67,0.274,45,0.3476,61
2021-01-07,0.4847,86,0.2646,83,0.2622,38,0.7667,99,0.4547,81,0.2096,67,0.2622,39,0.3115,38
2021-01-06,0.5207,88,0.2627,82,0.3047,61,0.3242,62,0.4547,81,0.2096,67,0.2886,52,0.3242,46
2021-01-05,0.5171,88,0.2327,75,0.6393,97,0.3704,73,0.4546,81,0.2076,65,0.3337,72,0.3704,70
2021-01-04,0.4232,79,0.2165,71,0.4353,86,0.3105,56,0.4524,80,0.2086,66,0.3143,64,0.2215,3
2020-12-31,0.3478,67,0.1717,51,0.4785,90,0.4421,84,0.4493,80,0.2065,65,0.4006,86,0.4474,89
2020-12-30,0.3495,68,0.1697,50,0.4419,87,0.4148,81,0.4544,81,0.207,65,0.4214,88,0.4576,90
2020-12-29,0.3615,70,0.1621,44,0.3729,77,0.3647,72,0.4542,81,0.2063,65,0.3946,85,0.4376,87
2020-12-28,0.2517,40,0.1485,34,0.3491,72,0.3477,68,0.4547,81,0.2053,64,0.3784,83,0.4411,88
2020-12-24,0.2313,33,0.1625,45,0.3453,71,0.3534,70,0.4532,81,0.2053,64,0.3815,83,0.448,89
2020-12-23,0.3091,57,0.1826,57,0.3755,77,0.3368,66,0.4529,81,0.2056,64,0.3832,83,0.4269,85
2020-12-22,0.3829,73,0.1905,61,0.3776,78,0.4206,82,0.4528,81,0.2057,64,0.3814,83,0.4119,82
2020-12-21,0.3844,73,0.1985,64,0.3412,71,0.3261,62,0.454,81,0.2058,64,0.3816,83,0.4377,87
2020-12-18,0.3558,69,0.2553,81,0.3415,71,0.3317,64,0.4545,81,0.2075,65,0.3657,80,0.4261,85
2020-12-17,0.4389,81,0.2561,81,0.4047,82,0.3816,75,0.4524,80,0.208,66,0.3944,85,0.4288,85
2020-12-16,0.4923,86,0.2548,81,0.4506,87,0.3952,78,0.4524,80,0.2079,66,0.3457,76,0.4097,82
2020-12-15,0.5109,88,0.2428,78,0.4137,83,0.3705,73,0.4527,80,0.2075,65,0.3752,82,0.4161,83
2020-12-14,0.5054,87,0.2354,76,0.3844,79,0.467,88,0.4516,80,0.2082,66,0.3666,80,0.43,86
2020-12-11,0.362,70,0.2489,80,0.3564,74,0.3151,57,0.4477,80,0.208,66,0.3842,83,0.4143,83
2020-12-10,0.4668,84,0.2746,85,0.4532,88,0.3339,65,0.4479,80,0.2074,65,0.354,78,0.3909,78
2020-12-09,0.4348,80,0.3026,89,0.3445,71,0.3295,63,0.4502,80,0.2053,64,0.3264,69,0.3622,68
2020-12-08,1.2445,99,0.442,97,0.366,76,0.3304,64,0.4463,80,0.2069,65,0.3325,72,0.3783,74
2020-12-07,1.2553,99,0.4385,97,0.3469,72,0.3091,56,0.4434,79,0.2078,66,0.3587,79,0.3924,78
2020-12-04,1.3044,100,0.4453,97,0.2934,55,0.2314,15,0.4472,80,0.2095,67,0.3373,73,0.3985,79
2020-12-03,1.3304,100,0.4421,97,0.3568,74,0.3375,66,0.4466,80,0.2094,67,0.363,79,0.4137,83
2020-12-02,1.4035,100,0.4411,97,0.4198,84,0.3289,63,0.4452,79,0.2088,66,0.374,82,0.4259,85
