date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2018-04-02,0.3479,45,0.7826,93,1.4333,100,1.7057,100,0.5645,74,0.7102,90,1.179,99,1.2056,99
2018-03-29,0.2672,27,0.717,90,1.3513,100,1.3147,99,0.5798,76,0.7242,91,1.1518,99,1.2425,100
2018-03-28,0.2831,31,0.7438,92,1.4826,100,1.3841,100,0.5819,77,0.7246,91,1.2535,100,1.1017,98
2018-03-27,0.3979,55,0.6773,88,1.3437,99,1.2981,99,0.5829,77,0.7226,91,1.0662,98,1.1127,98
2018-03-26,0.4599,65,0.5988,83,1.4882,100,1.1152,96,0.5851,77,0.7205,91,1.0819,98,1.1152,98
2018-03-23,0.4877,70,0.6072,84,1.2165,98,1.2742,99,0.5817,77,0.7188,91,1.0259,97,1.0973,98
2018-03-22,0.462,66,0.5789,82,1.2652,99,1.1711,98,0.5805,76,0.7169,90,1.0561,98,1.0543,97
2018-03-21,0.4856,70,0.5444,78,1.2845,99,1.1529,97,0.5805,76,0.7156,90,1.0807,98,1.0578,97
2018-03-20,0.4854,70,0.5532,79,1.2081,98,1.1333,96,0.5827,77,0.7172,90,1.0265,97,1.0738,97
2018-03-19,0.268,27,0.5279,76,1.052,94,1.0703,95,0.5758,76,0.7156,90,0.9957,97,1.007,96
2018-03-16,0.3784,51,0.6219,85,1.0562,95,1.0762,95,0.5755,76,0.7198,91,1.03,97,1.0376,97
2018-03-15,0.4056,56,0.6223,85,1.1237,97,1.1018,95,0.587,78,0.726,92,0.9711,96,1.0886,97
2018-03-14,0.4721,68,0.6166,85,1.0935,96,1.1122,96,0.5894,79,0.7242,91,1.0115,97,1.0161,96
2018-03-13,0.4929,71,0.7763,93,1.0537,94,1.1974,98,0.5895,79,0.7244,91,0.9955,97,1.0635,97
2018-03-12,0.4874,70,0.7897,93,1.0982,96,1.1276,96,0.5891,78,0.7245,91,1.0549,98,1.0394,97
2018-03-09,0.7685,91,0.9083,96,1.4853,100,1.2853,99,0.5904,79,0.7245,91,1.0036,97,1.0337,96
2018-03-08,0.7659,91,0.9439,96,1.0626,95,1.1453,97,0.5893,79,0.7253,91,1.0134,97,1.0599,97
2018-03-07,0.7446,90,0.9334,96,1.1075,96,1.0256,93,0.5883,78,0.7211,91,0.9716,96,1.0356,96
2018-03-06,0.6745,87,0.9974,98,1.0012,93,1.1572,97,0.5914,79,0.7229,91,0.9782,96,1.0393,97
2018-03-05,0.7204,90,1.0145,98,1.0626,95,1.1036,95,0.5886,78,0.7229,91,0.9866,96,1.018,96
2018-03-02,0.8882,94,0.9503,96,1.2641,99,1.1881,98,0.5877,78,0.7192,91,1.0285,97,1.0909,97
2018-03-01,0.9575,96,0.9641,97,1.024,94,1.4002,100,0.5959,80,0.7221,91,0.924,95,1.0959,98
2018-02-28,0.6077,83,0.8905,95,1.0284,94,1.2082,98,0.5748,75,0.7176,90,0.9533,96,1.1032,98
2018-02-27,0.5682,79,0.876,95,1.0799,95,1.1074,96,0.5753,76,0.7157,90,0.9695,96,1.0572,97
2018-02-26,0.7069,89,0.9208,96,1.0064,93,1.1337,97,0.5777,76,0.7141,90,0.9365,95,0.9615,95
2018-02-23,0.5235,75,0.867,95,1.1122,96,0.9835,92,0.5807,77,0.7152,90,0.9568,96,0.9698,95
2018-02-22,0.6237,84,0.8737,95,1.044,94,0.9972,92,0.5806,77,0.712,90,0.9117,94,0.942,94
