date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2019-10-21,0.4595,,0.3521,,0.7477,,0.6873,,0.6622,,0.425,,0.5801,,0.5612,
2019-10-18,0.4906,,0.3617,,0.6854,,0.6789,,0.6621,,0.4257,,0.5846,,0.578,
2019-10-17,0.1687,,0.3254,,0.637,,0.6965,,0.6588,,0.4243,,0.5556,,0.5557,
2019-10-16,0.3655,,0.3706,,0.5509,,0.6411,,0.659,,0.425,,0.52,,0.5282,
2019-10-15,0.3587,,0.3651,,0.5181,,0.5907,,0.6576,,0.424,,0.5373,,0.5387,
2019-10-14,0.3529,,0.3483,,0.7289,,0.6138,,0.6563,,0.4225,,0.5376,,0.5782,
2019-10-11,0.3499,,0.3861,,0.6485,,0.7474,,0.6563,,0.4242,,0.5046,,0.5871,
2019-10-10,0.4375,,0.4088,,0.5458,,0.6388,,0.6548,,0.4233,,0.5561,,0.6835,
2019-10-09,0.4574,,0.4893,,0.7913,,0.6091,,0.6535,,0.425,,0.5812,,0.5973,
2019-10-08,0.4671,,0.5102,,0.6205,,0.9577,,0.6528,,0.4257,,0.5464,,0.6971,
2019-10-07,0.4159,,0.4954,,0.7078,,0.7121,,0.6525,,0.4246,,0.7078,,0.5935,
2019-10-04,0.3902,,0.495,,0.5719,,0.6576,,0.651,,0.4234,,0.5872,,0.5112,
2019-10-03,0.3856,,0.5124,,0.7376,,0.6024,,0.6502,,0.4246,,0.7416,,0.6024,
2019-10-02,0.3675,,0.4932,,0.6378,,0.5616,,0.649,,0.4228,,0.5508,,0.5886,
2019-10-01,0.3348,,0.501,,0.6435,,0.5405,,0.649,,0.4208,,0.5726,,0.5579,
2019-09-30,0.2459,,0.4287,,0.6256,,0.7309,,0.6477,,0.4155,,0.5183,,0.5764,
2019-09-27,0.178,,0.4088,,0.5099,,0.5005,,0.6459,,0.4139,,0.5183,,0.5258,
2019-09-26,0.2055,,0.4142,,0.6819,,0.4989,,0.6459,,0.4124,,0.5592,,0.5042,
2019-09-25,0.3429,,0.4248,,0.5188,,0.5688,,0.6459,,0.4116,,0.6774,,0.5629,
2019-09-24,0.307,,0.3971,,0.5774,,0.5078,,0.6453,,0.4099,,0.6939,,0.5112,
2019-09-23,0.295,,0.3893,,0.6569,,0.4592,,0.6452,,0.4096,,0.5038,,0.4592,
2019-09-20,0.3336,,0.3647,,0.4991,,0.6568,,0.645,,0.4071,,0.5475,,0.6568,
2019-09-19,0.3406,,0.3462,,0.5262,,0.547,,0.6451,,0.4064,,0.6239,,0.547,
2019-09-18,0.4151,,0.3843,,0.5532,,0.5538,,0.645,,0.4058,,0.4902,,0.5538,
2019-09-17,0.4635,,0.3755,,0.5333,,0.6293,,0.6468,,0.4048,,0.5333,,0.6022,
2019-09-16,0.2858,,0.3602,,0.6194,,0.5447,,0.645,,0.4035,,0.6194,,0.5566,
2019-09-13,0.3392,,0.3998,,0.5096,,0.5759,,0.6454,,0.4037,,0.5448,,0.627,
2019-09-12,0.3703,,0.3963,,0.5645,,0.6006,,0.6451,,0.4061,,0.4828,,0.4902,
2019-09-11,0.4543,,0.3759,,0.5559,,0.6912,,0.6455,,0.4051,,0.5559,,0.5074,
2019-09-10,0.4648,,0.3897,,0.5093,,0.6678,,0.647,,0.406,,0.5093,,0.5189,
2019-09-09,0.4465,,0.3604,,0.5308,,0.5685,,0.6446,,0.4034,,0.4852,,0.5685,
2019-09-06,0.4071,,0.3942,,0.7436,,0.4824,,0.6415,,0.4022,,0.4628,,0.4824,
2019-09-05,0.496,,0.4214,,0.6634,,0.5163,,0.6417,,0.4018,,0.4509,,0.5163,
2019-09-04,0.3925,,0.4274,,0.5501,,0.5514,,0.6358,,0.4001,,0.5301,,0.5514,
2019-09-03,0.4132,,0.4366,,0.6101,,0.605,,0.6357,,0.3998,,0.5105,,0.4431,
2019-08-30,0.4627,,0.5306,,0.748,,0.4031,,0.6354,,0.3995,,0.5288,,0.5163,
2019-08-29,0.4613,,0.5226,,0.8059,,0.5887,,0.6374,,0.3999,,0.4707,,0.5192,
2019-08-28,0.4624,,0.516,,0.7796,,0.5983,,0.6366,,0.3998,,0.4873,,0.4704,
2019-08-27,0.4511,,0.4798,,0.826,,0.6069,,0.6415,,0.4086,,0.5043,,0.5879,
2019-08-26,0.3653,,0.4533,,0.5709,,0.5684,,0.641,,0.4075,,0.5062,,0.4991,
2019-08-23,0.3304,,0.4485,,0.6904,,0.5688,,0.6381,,0.4048,,0.5006,,0.5172,
