date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2023-01-19,0.2264,,0.244,,0.3221,,0.3266,,0.4546,,0.333,,0.3269,,0.3298,
2023-01-18,0.2497,,0.252,,0.3643,,0.3587,,0.4545,,0.3327,,0.335,,0.3283,
2023-01-17,0.2646,,0.2734,,0.3398,,0.4811,,0.4546,,0.3328,,0.3398,,0.3511,
2023-01-13,0.3423,,0.2538,,0.2925,,0.2909,,0.4563,,0.3333,,0.376,,0.3594,
2023-01-12,0.3393,,0.2465,,0.3427,,0.388,,0.459,,0.3328,,0.3553,,0.2321,
2023-01-11,0.3324,,0.2338,,0.2394,,0.3873,,0.4579,,0.3327,,0.3622,,0.3353,
2023-01-10,0.3762,,0.248,,0.4631,,0.3476,,0.458,,0.333,,0.2306,,0.3032,
2023-01-09,0.4803,,0.3172,,0.356,,0.3463,,0.4583,,0.3342,,0.423,,0.4009,
2023-01-06,0.5101,,0.3211,,0.3549,,0.4606,,0.456,,0.3358,,0.4226,,0.4368,
2023-01-05,0.4857,,0.2921,,0.4133,,0.2435,,0.4544,,0.3354,,0.3918,,0.4231,
2023-01-04,0.4851,,0.3067,,0.4469,,0.3059,,0.4548,,0.3359,,0.4189,,0.4307,
2023-01-03,0.4957,,0.3352,,0.5606,,0.3434,,0.4543,,0.3368,,0.5337,,0.4328,
2022-12-30,0.5222,,0.344,,0.5632,,0.5375,,0.4573,,0.3376,,0.4468,,0.3407,
2022-12-29,0.4328,,0.3439,,0.3675,,0.3785,,0.453,,0.3378,,0.4457,,0.4642,
2022-12-28,0.3205,,0.3071,,0.6321,,0.3223,,0.4476,,0.3356,,0.5187,,0.407,
2022-12-27,0.3218,,0.2911,,0.3715,,0.3715,,0.4473,,0.3357,,0.3802,,0.4173,
2022-12-23,0.3625,,0.2955,,0.4787,,0.439,,0.4475,,0.3365,,0.5752,,0.5613,
2022-12-22,0.3622,,0.2908,,0.4253,,0.4257,,0.4468,,0.336,,0.4253,,0.4257,
2022-12-21,0.3751,,0.2921,,0.4292,,0.4525,,0.4471,,0.3351,,0.4292,,0.4283,
2022-12-20,0.3025,,0.2895,,0.4704,,0.4188,,0.4441,,0.335,,0.4602,,0.3834,
