date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2007-08-02,0.2318,13,0.3196,31,0.5363,,0.4904,,0.4264,18,0.0,1,0.54,,0.4904,
2007-07-20,0.5331,68,0.3558,37,0.504,,0.5038,,0.4247,17,0.0,1,0.504,,0.5038,
2007-06-20,0.4538,56,0.3611,38,0.4838,,0.5232,,0.4214,17,0.0,1,0.4838,,0.5232,
2007-04-17,0.6324,77,0.4864,60,0.5119,,0.5281,,0.4089,14,0.0,1,0.5119,,0.5452,
2007-03-29,0.3379,34,0.2679,24,0.4734,,0.5075,,0.4934,25,0.0,1,0.4734,,0.5075,
2007-03-28,0.3632,40,0.3002,28,0.4821,,0.5105,,0.4935,25,0.0,1,0.4821,,0.5105,
2007-03-27,0.4269,51,0.3163,31,0.4927,,0.4958,,0.4934,25,0.0,1,0.4927,,0.4958,
2007-03-22,0.6059,75,0.4445,53,0.4885,,0.4923,,0.4944,26,0.0,1,0.4885,,0.4923,
2007-03-19,0.7136,84,0.4672,57,0.4844,,0.4988,,0.4929,25,0.0,1,0.4844,,0.4988,
2007-01-19,0.1785,6,0.0,1,0.5316,,0.5709,,0.7139,82,0.0,1,0.5316,,0.5436,
2007-01-18,0.1841,6,0.0,1,0.5403,,0.5719,,0.7152,82,0.0,1,0.5403,,0.5448,
2007-01-16,0.2006,8,0.0,1,0.5357,,0.5715,,0.7169,82,0.0,1,0.5357,,0.539,
2007-01-12,0.3107,28,0.3361,34,0.5538,,0.5646,,0.7269,83,0.0,1,0.53,,0.549,
2007-01-08,0.293,24,0.0,1,0.5432,,0.554,,0.7325,84,0.0,1,0.5432,,0.5472,
2007-01-05,0.2892,24,0.0,1,0.5307,,0.5603,,0.7327,84,0.0,1,0.5307,,0.548,
2007-01-04,0.2765,21,0.0,1,0.5417,,0.5646,,0.7323,84,0.0,1,0.5417,,0.5618,
2006-12-28,0.2512,17,0.0,1,0.5417,,0.5604,,0.7343,85,0.0,1,0.5417,,0.5446,
2006-12-27,0.3305,32,0.0,1,0.5403,,0.569,,0.735,85,0.0,1,0.5403,,0.5519,
2006-12-26,0.4233,50,0.0,1,0.5426,,0.5676,,0.7351,86,0.0,1,0.5386,,0.5573,
2006-12-22,0.4928,62,0.4174,48,0.5484,,0.5514,,0.7358,86,0.0,1,0.544,,0.5582,
2006-12-21,0.492,62,0.3953,45,0.5431,,0.552,,0.7357,86,0.0,1,0.5483,,0.5602,
2006-12-19,0.4931,63,0.3834,42,0.5522,,0.5585,,0.7385,86,0.0,1,0.5502,,0.5536,
2006-12-15,0.3535,37,0.2859,26,0.5629,,0.56,,0.7345,85,0.0,1,0.5629,,0.56,
2006-12-14,0.3565,38,0.2598,24,0.545,,0.5708,,0.7362,86,0.0,1,0.545,,0.5708,
2006-12-11,0.2883,23,0.2643,24,0.5605,,0.5681,,0.734,85,0.0,1,0.5605,,0.5681,
2006-12-08,0.2915,24,0.2712,25,0.5593,,0.5716,,0.7342,85,0.0,1,0.5593,,0.5716,
2006-12-07,0.2855,23,0.2699,24,0.564,,0.5586,,0.7348,85,0.0,1,0.564,,0.5586,
2006-12-06,0.2815,22,0.321,32,0.5572,,0.5706,,0.7352,86,0.0,1,0.5572,,0.5706,
2006-12-05,0.2707,20,0.3189,31,0.5548,,0.5702,,0.7351,86,0.0,1,0.5548,,0.5702,
2006-12-04,0.3307,32,0.3091,30,0.5511,,0.5709,,0.738,86,0.0,1,0.5511,,0.5709,
2006-12-01,0.2018,8,0.0,1,0.5579,,0.5751,,0.7362,86,0.0,1,0.5579,,0.5751,
2006-11-30,0.1914,7,0.0,1,0.5721,,0.5466,,0.7394,87,0.0,1,0.5721,,0.5466,
2006-11-29,0.2101,10,0.0,1,0.5514,,0.5554,,0.739,87,0.0,1,0.5514,,0.5554,
2006-11-28,0.2084,9,0.0,1,0.5402,,0.5726,,0.7394,87,0.0,1,0.5402,,0.5726,
2006-11-27,0.2159,10,0.0,1,0.5585,,0.5595,,0.7395,87,0.0,1,0.5585,,0.5595,
2006-11-24,0.2412,15,0.0,1,0.5855,,0.5385,,0.7395,87,0.0,1,0.5855,,0.5385,
2006-11-22,0.1794,6,0.2733,25,0.5408,,0.5531,,0.7401,87,0.0,1,0.5516,,0.5531,
2006-11-21,0.1777,5,0.3007,28,0.5393,,0.5592,,0.7409,87,0.0,1,0.5456,,0.5592,
2006-11-20,0.1687,5,0.3059,28,0.5409,,0.5499,,0.7416,88,0.0,1,0.5497,,0.5499,
2006-11-17,0.2155,10,0.3084,28,0.5312,,0.5586,,0.7418,88,0.0,1,0.5524,,0.5586,
2006-11-16,0.1872,7,0.3322,33,0.5479,,0.5573,,0.7415,88,0.0,1,0.5651,,0.5573,
2006-11-15,0.1858,6,0.3259,32,0.5674,,0.5652,,0.7414,87,0.0,1,0.5724,,0.5652,
2006-11-14,0.1912,7,0.294,27,0.5452,,0.5876,,0.7413,87,0.0,1,0.5409,,0.5876,
2006-11-13,0.2188,11,0.2902,27,0.5426,,0.5624,,0.7414,87,0.0,1,0.5619,,0.5624,
2006-11-10,0.1981,8,0.3041,28,0.5317,,0.5722,,0.7413,87,0.0,1,0.5571,,0.5722,
2006-11-09,0.3685,41,0.3876,43,0.5393,,0.5763,,0.7413,87,0.0,1,0.5514,,0.5763,
2006-11-08,0.4452,55,0.4315,51,0.5744,,0.5732,,0.7405,87,0.0,1,0.5715,,0.5732,
2006-11-07,0.5835,73,0.476,57,0.5558,,0.5637,,0.7408,87,0.0,1,0.5613,,0.5637,
2006-11-06,0.5858,73,0.4825,59,0.5455,,0.5665,,0.7408,87,0.0,1,0.5638,,0.5665,
2006-11-03,0.6147,76,0.4965,61,0.55,,0.5704,,0.7415,88,0.0,1,0.5667,,0.5704,
2006-11-02,1.5522,97,0.6527,79,0.5498,,0.5698,,0.7422,88,0.0,1,0.5668,,0.5698,
2006-11-01,1.5474,97,0.6597,79,0.5888,,0.5658,,0.7434,88,0.0,1,0.5793,,0.5672,
2006-10-31,1.4791,97,0.6136,76,0.551,,0.5805,,0.7467,89,0.0,1,0.5542,,0.5805,
2006-10-30,1.4957,97,0.5819,72,0.5629,,0.5815,,0.7457,89,0.0,1,0.579,,0.5918,
2006-10-27,1.3811,96,0.519,63,0.5767,,0.5863,,0.7435,88,0.0,1,0.5785,,0.5863,
2006-10-26,1.3875,96,0.5134,63,0.5612,,0.6167,,0.7462,89,0.0,1,0.5716,,0.6167,
2006-10-24,0.0748,1,0.2704,24,0.6873,,0.5961,,0.6656,75,0.0,1,0.6544,,0.5961,
2006-10-23,0.0888,1,0.1973,21,0.6352,,0.6155,,0.6677,75,0.0,1,0.6086,,0.6155,
2006-10-20,0.1028,1,0.1868,21,0.5994,,0.6061,,0.669,76,0.0,1,0.5994,,0.6061,
2006-10-19,0.1074,1,0.1879,21,0.5916,,0.6057,,0.6695,76,0.0,1,0.5916,,0.6057,
2006-10-18,0.1522,3,0.221,22,0.6124,,0.5983,,0.6697,76,0.0,1,0.6124,,0.5983,
2006-10-17,0.156,3,0.2265,22,0.5872,,0.6092,,0.6708,76,0.0,1,0.5872,,0.6092,
2006-10-16,0.1593,4,0.2353,22,0.6582,,0.5848,,0.6706,76,0.0,1,0.6251,,0.5848,
2006-10-13,0.155,3,0.2264,22,0.6145,,0.5882,,0.6707,76,0.0,1,0.6033,,0.5882,
2006-10-12,0.2556,18,0.3009,28,0.5771,,0.6042,,0.6709,76,0.0,1,0.5771,,0.6042,
2006-10-11,0.3581,39,0.3388,34,0.5878,,0.6026,,0.671,76,0.0,1,0.5878,,0.6026,
2006-10-10,0.3547,38,0.3481,36,0.5868,,0.6097,,0.6714,76,0.0,1,0.5868,,0.6097,
2006-10-09,0.3481,36,0.3622,38,0.5777,,0.6086,,0.6727,76,0.0,1,0.5777,,0.6086,
2006-10-06,0.3505,37,0.3615,38,0.6063,,0.592,,0.6758,77,0.0,1,0.6063,,0.592,
2006-10-05,0.3496,37,0.3601,38,0.5878,,0.5989,,0.6762,77,0.0,1,0.5878,,0.5989,
2006-10-04,0.3518,37,0.3664,39,0.5681,,0.6328,,0.6762,77,0.0,1,0.5681,,0.6328,
2006-10-03,0.3086,28,0.3574,37,0.6235,,0.5968,,0.6734,76,0.0,1,0.6235,,0.5833,
2006-10-02,0.3035,27,0.3893,43,0.6058,,0.6076,,0.6756,77,0.0,1,0.5942,,0.6076,
2006-09-29,0.3288,32,0.4097,46,0.6062,,0.5951,,0.6777,77,0.0,1,0.6137,,0.5951,
2006-09-28,0.3147,28,0.3945,44,0.6102,,0.5965,,0.6778,77,0.0,1,0.6102,,0.603,
2006-09-27,0.3349,33,0.4529,55,0.5769,,0.6189,,0.6778,77,0.0,1,0.5769,,0.612,
2006-09-26,0.4005,47,0.495,61,0.5997,,0.6016,,0.6778,77,0.0,1,0.6011,,0.6065,
2006-09-25,0.3997,47,0.4887,60,0.5731,,0.6414,,0.6794,78,0.0,1,0.5731,,0.625,
2006-09-22,0.3413,35,0.4552,55,0.6165,,0.5813,,0.6778,77,0.0,1,0.6165,,0.5831,
2006-09-21,0.2962,25,0.4197,49,0.6027,,0.5946,,0.6767,77,0.0,1,0.6035,,0.5946,
2006-09-20,0.3863,44,0.452,54,0.5884,,0.5923,,0.6763,77,0.0,1,0.58,,0.5923,
2006-09-19,0.3829,44,0.4494,54,0.5633,,0.6022,,0.6763,77,0.0,1,0.5705,,0.6022,
2006-09-18,0.2941,25,0.3935,44,0.5343,,0.6211,,0.6835,78,0.0,1,0.556,,0.6211,
2006-08-21,0.4691,59,0.5206,64,0.6619,,0.5689,,0.5076,28,0.0,1,0.5764,,0.5689,
2006-08-18,1.2285,95,0.7651,86,0.5899,,0.5835,,0.5081,30,0.0,1,0.5529,,0.5835,
2006-08-17,1.1875,94,0.7576,85,0.5839,,0.5691,,0.5116,30,0.0,1,0.5591,,0.5691,
2006-08-16,1.1804,94,0.7634,86,0.5282,,0.5557,,0.514,31,0.0,1,0.5282,,0.5557,
2006-08-15,1.1611,94,0.7688,86,0.5509,,0.5457,,0.5146,31,0.0,1,0.5509,,0.5457,
2006-08-14,1.1294,94,0.8002,87,0.5213,,0.5802,,0.5137,31,0.0,1,0.5213,,0.5567,
2006-08-03,0.5412,69,0.4697,57,0.5273,,0.5429,,0.4522,21,0.0,1,0.5273,,0.5352,
2006-08-02,0.7508,85,0.5993,75,0.5455,,0.546,,0.456,21,0.0,1,0.5212,,0.5457,
2006-07-31,0.6922,82,0.554,69,0.5591,,0.5262,,0.4498,20,0.0,1,0.544,,0.519,
2006-07-28,0.671,81,0.5657,70,0.5457,,0.5388,,0.4485,20,0.0,1,0.5103,,0.5278,
2006-07-27,0.6874,82,0.5759,71,0.5295,,0.5354,,0.4539,21,0.0,1,0.5115,,0.5205,
2006-07-26,0.6328,78,0.523,64,0.5343,,0.5067,,0.4526,21,0.0,1,0.5327,,0.5089,
2006-07-25,0.6362,78,0.5244,64,0.5262,,0.5182,,0.4537,21,0.0,1,0.5263,,0.5133,
2006-07-21,0.3818,43,0.3766,41,0.5264,,0.5232,,0.5348,42,0.0,1,0.5252,,0.5232,
2006-07-19,0.4137,49,0.4209,49,0.53,,0.5371,,0.5324,41,0.0,1,0.5034,,0.5166,
2006-07-18,0.3565,38,0.4142,47,0.5207,,0.5296,,0.5297,39,0.0,1,0.4942,,0.5296,
2006-07-17,0.3225,30,0.4116,46,0.5241,,0.5377,,0.5293,39,0.0,1,0.503,,0.5377,
2006-07-14,0.3492,36,0.402,45,0.5247,,0.5318,,0.5293,39,0.0,1,0.5141,,0.5318,
2006-07-13,0.3595,39,0.4024,45,0.5322,,0.5116,,0.5288,39,0.0,1,0.5345,,0.5116,
2006-07-12,0.3686,41,0.0,1,0.537,,0.5083,,0.53,40,0.0,1,0.5296,,0.5083,
2006-07-11,0.359,39,0.0,1,0.5181,,0.5452,,0.5285,39,0.0,1,0.4859,,0.5215,
2006-07-10,0.3799,43,0.0,1,0.5133,,0.538,,0.526,37,0.0,1,0.5018,,0.5224,
2006-07-07,0.4152,49,0.0,1,0.5251,,0.5229,,0.5249,36,0.0,1,0.5233,,0.5161,
2006-07-06,0.3766,43,0.0,1,0.501,,0.5353,,0.5238,35,0.0,1,0.4937,,0.5358,
2006-07-05,0.3817,43,0.0,1,0.5307,,0.5152,,0.5236,35,0.0,1,0.5209,,0.5078,
2006-07-03,0.3423,35,0.4143,47,0.5053,,0.5191,,0.5239,35,0.0,1,0.4883,,0.505,
2006-06-30,0.4334,52,0.4284,50,0.5116,,0.5271,,0.5239,35,0.0,1,0.5016,,0.5041,
2006-06-29,0.4003,47,0.3875,43,0.5247,,0.5181,,0.5285,39,0.0,1,0.4811,,0.5312,
2006-06-28,0.3261,31,0.3618,38,0.5545,,0.5055,,0.5298,39,0.0,1,0.5069,,0.5055,
2006-06-26,0.3487,36,0.32,31,0.5582,,0.5388,,0.5326,41,0.0,1,0.4946,,0.5388,
2006-06-23,0.2013,8,0.2883,26,0.5441,,0.5136,,0.5304,40,0.0,1,0.5226,,0.5136,
2006-06-22,0.4234,50,0.3356,34,0.5661,,0.5134,,0.5303,40,0.0,1,0.5126,,0.5134,
2006-06-21,0.3967,46,0.3353,34,0.5807,,0.5113,,0.531,40,0.0,1,0.5178,,0.5113,
2006-06-20,0.4769,60,0.3827,42,0.5243,,0.5362,,0.5305,40,0.0,1,0.5103,,0.5184,
2006-06-19,0.4716,60,0.4005,45,0.5373,,0.5386,,0.5298,39,0.0,1,0.529,,0.5151,
2006-06-16,0.4605,57,0.4265,50,0.5332,,0.5229,,0.5286,39,0.0,1,0.5332,,0.5229,
2006-06-15,0.4517,56,0.4746,57,0.5353,,0.5163,,0.5278,38,0.0,1,0.5353,,0.5163,
2006-06-14,0.444,54,0.4986,62,0.5156,,0.5278,,0.5277,38,0.0,1,0.5156,,0.5278,
2006-06-13,0.2783,22,0.5452,68,0.513,,0.5613,,0.5237,35,0.0,1,0.513,,0.5345,
2006-06-12,0.2658,19,0.5487,68,0.5348,,0.5488,,0.5259,37,0.0,1,0.5348,,0.5342,
2006-06-09,0.2947,25,0.5247,65,0.5321,,0.5307,,0.5211,34,0.0,1,0.5321,,0.5307,
2006-06-08,0.3101,28,0.5163,63,0.5313,,0.5396,,0.521,34,0.0,1,0.519,,0.5396,
2006-06-07,0.3086,28,0.4849,60,0.5435,,0.5243,,0.5206,34,0.0,1,0.5227,,0.5243,
2006-06-06,0.3169,28,0.0,1,0.5199,,0.5448,,0.5209,34,0.0,1,0.513,,0.5448,
2006-06-05,0.3345,33,0.0,1,0.5699,,0.5085,,0.5263,37,0.0,1,0.5269,,0.5085,
2006-06-02,0.2659,20,0.0,1,0.5196,,0.5139,,0.5276,38,0.0,1,0.5105,,0.5139,
2006-06-01,0.266,20,0.0,1,0.5051,,0.5308,,0.5272,38,0.0,1,0.5051,,0.5213,
2006-05-31,0.2102,10,0.0,1,0.5326,,0.5266,,0.5263,37,0.0,1,0.5074,,0.5266,
2006-05-30,0.1304,2,0.0,1,0.5088,,0.5165,,0.5249,36,0.0,1,0.5088,,0.5153,
2006-05-26,0.1127,1,0.383,42,0.4988,,0.5354,,0.5247,36,0.0,1,0.4988,,0.5226,
2006-05-25,0.1243,2,0.3881,43,0.4859,,0.5408,,0.5247,36,0.0,1,0.4859,,0.5309,
2006-05-24,0.1775,5,0.3964,45,0.51,,0.5197,,0.5248,36,0.0,1,0.51,,0.5148,
2006-05-23,0.2948,25,0.4612,56,0.5136,,0.5397,,0.5246,36,0.0,1,0.5136,,0.5121,
2006-05-22,0.347,36,0.4672,57,0.5111,,0.5369,,0.5249,36,0.0,1,0.5074,,0.5236,
2006-05-19,0.5085,65,0.5143,63,0.5143,,0.5159,,0.5249,36,0.0,1,0.5143,,0.5206,
2006-05-18,0.5271,67,0.5425,67,0.519,,0.5241,,0.525,36,0.0,1,0.519,,0.5119,
2006-05-17,0.5985,74,0.4967,61,0.5388,,0.5185,,0.5246,36,0.0,1,0.518,,0.5185,
2006-05-16,0.6171,76,0.5741,71,0.5216,,0.5295,,0.5246,36,0.0,1,0.5007,,0.5295,
2006-05-15,0.5452,69,0.5702,71,0.5346,,0.5232,,0.5236,35,0.0,1,0.5165,,0.5232,
2006-05-12,0.5727,72,0.6345,77,0.5134,,0.5373,,0.5211,34,0.0,1,0.5134,,0.5126,
2006-05-11,0.5783,72,1.0496,95,0.5163,,0.531,,0.5217,34,0.0,1,0.5051,,0.5223,
2006-05-10,0.5268,67,1.0732,95,0.5127,,0.5227,,0.5166,32,0.0,1,0.5023,,0.5151,
2006-05-09,0.5609,71,1.0558,95,0.493,,0.5048,,0.5124,31,0.0,1,0.5003,,0.5035,
2006-05-08,0.4565,57,1.0466,95,0.5072,,0.5051,,0.5102,30,0.0,1,0.5108,,0.5013,
2006-05-05,0.4879,62,1.0118,94,0.4958,,0.504,,0.5051,28,0.0,1,0.4827,,0.5012,
2006-05-04,0.49,62,1.0087,94,0.4918,,0.5222,,0.5051,28,0.0,1,0.4697,,0.5187,
2006-05-03,0.3913,45,0.9367,93,0.4991,,0.5031,,0.4998,27,0.0,1,0.5056,,0.5097,
2006-05-02,0.3049,27,0.4154,48,0.6118,,0.8132,,0.497,27,0.0,1,0.5221,,0.5384,
2006-05-01,0.1759,5,0.2471,23,0.7866,,0.7874,,0.496,26,0.0,1,0.534,,0.5169,
2006-04-28,0.2394,15,0.2677,24,0.5491,,0.6825,,0.4997,27,0.0,1,0.5022,,0.5236,
2006-04-27,0.2971,26,0.3186,31,0.5708,,0.6849,,0.5041,28,0.0,1,0.5255,,0.5276,
2006-04-26,0.3631,40,0.3122,30,0.5116,,0.5952,,0.5037,27,0.0,1,0.5249,,0.5216,
2006-04-25,0.4013,47,0.337,34,0.5057,,0.5787,,0.5042,28,0.0,1,0.5132,,0.5185,
2006-04-24,0.3825,44,0.0,1,0.5135,,0.5478,,0.53,40,0.0,1,0.5095,,0.515,
2006-04-21,0.3825,44,0.0,1,0.4889,,0.5455,,0.5302,40,0.0,1,0.5009,,0.5226,
2006-04-20,0.4419,54,0.0,1,0.4903,,0.5014,,0.5305,40,0.0,1,0.5072,,0.5129,
2006-04-19,0.5159,66,0.0,1,0.4998,,0.4977,,0.5287,39,0.0,1,0.4923,,0.501,
2006-04-18,0.4945,63,0.0,1,0.506,,0.5119,,0.5358,42,0.0,1,0.4816,,0.5017,
2006-04-17,0.4281,51,0.0,1,0.4955,,0.5032,,0.5359,42,0.0,1,0.4736,,0.4953,
2006-04-13,0.4532,56,0.3255,32,0.4792,,0.5099,,0.5366,43,0.0,1,0.4688,,0.4895,
2006-04-12,0.4531,56,0.3269,33,0.4844,,0.5192,,0.5369,43,0.0,1,0.477,,0.4992,
2006-04-11,0.3594,39,0.2997,28,0.5117,,0.5147,,0.5354,42,0.0,1,0.4794,,0.4965,
2006-04-10,0.2337,14,0.3302,33,0.5035,,0.5119,,0.5309,40,0.0,1,0.4696,,0.4993,
2006-04-07,0.2172,11,0.3888,43,0.5459,,0.4706,,0.5311,40,0.0,1,0.489,,0.4777,
2006-04-06,0.4451,54,0.4568,55,0.4975,,0.4852,,0.5307,40,0.0,1,0.4754,,0.4853,
2006-04-05,0.4398,53,0.4599,55,0.4899,,0.5146,,0.5296,39,0.0,1,0.465,,0.495,
2006-04-04,0.5596,71,0.5003,62,0.511,,0.4934,,0.5289,39,0.0,1,0.4853,,0.4811,
2006-04-03,0.5677,71,0.5137,63,0.5312,,0.4772,,0.5289,39,0.0,1,0.4947,,0.4827,
2006-03-31,0.5553,70,0.5261,65,0.4894,,0.5222,,0.5323,41,0.0,1,0.4565,,0.4951,
