date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2023-02-22,0.0152,1,0.0182,1,0.0574,1,0.0779,2,0.7943,89,0.5384,66,0.0574,2,0.0779,1
2023-02-17,0.0172,1,0.0192,1,0.0458,1,0.0799,2,0.7956,89,0.5411,67,0.1092,2,0.0799,1
2023-02-16,0.0173,2,0.0189,1,0.0402,1,0.0841,2,0.8038,90,0.5425,67,0.0442,1,0.0754,1
2023-02-14,0.0118,1,0.0201,1,0.1194,2,0.1331,2,0.8053,90,0.5437,68,0.1194,3,0.0809,2
2023-02-13,0.012,1,0.0233,1,0.167,3,0.1286,2,0.8083,90,0.5447,68,0.167,3,0.088,2
2023-02-09,0.0137,1,0.0248,1,0.0557,1,0.0558,1,0.8092,90,0.5464,69,0.0557,2,0.0815,2
2023-02-08,0.0124,1,0.0255,1,0.0371,1,0.1493,3,0.8107,90,0.5475,69,0.0945,2,0.0838,2
2023-02-07,0.0139,1,0.0283,1,0.1021,2,0.0793,2,0.8146,91,0.5511,70,0.1021,2,0.0826,2
2023-02-06,0.0157,1,0.0276,1,0.0821,2,0.2244,3,0.8166,91,0.5523,71,0.1945,3,0.2244,3
2023-02-03,0.0173,2,0.0313,2,0.1405,2,0.1408,2,0.8194,91,0.5535,71,0.101,2,0.0736,1
2023-02-02,0.0194,2,0.0332,2,0.1012,2,0.1351,2,0.8196,91,0.5556,72,0.1114,3,0.0777,1
2023-02-01,0.0194,2,0.0364,2,0.1827,3,0.0815,2,0.8198,91,0.5574,72,0.2287,3,0.0815,2
2023-01-31,0.0473,2,0.0361,2,0.0479,1,0.0633,1,0.8198,91,0.5582,72,0.1467,3,0.0723,1
2023-01-30,0.0473,2,0.0376,2,0.0625,1,0.0654,1,0.8307,93,0.564,74,0.0503,1,0.0707,1
2023-01-27,0.0493,3,0.036,2,0.0757,2,0.0757,1,0.8318,93,0.5678,75,0.0757,2,0.0757,1
2023-01-26,0.0498,3,0.0381,2,0.066,1,0.0701,1,0.832,93,0.571,76,0.2302,3,0.0738,1
2023-01-25,0.0487,2,0.0371,2,0.0464,1,0.0733,1,0.832,93,0.5723,76,0.0464,1,0.0733,1
2023-01-24,0.0487,2,0.0353,2,0.0679,1,0.0744,1,0.832,93,0.5748,77,0.0679,2,0.0804,1
2023-01-20,0.0212,2,0.0404,2,0.1043,2,0.2208,3,0.8403,93,0.5781,78,0.037,1,0.0763,1
2023-01-19,0.0185,2,0.0405,2,0.116,2,0.1879,3,0.8408,93,0.5792,79,0.0439,1,0.0894,2
2023-01-18,0.0168,1,0.046,3,0.0771,2,0.253,3,0.8438,94,0.5843,79,0.0382,1,0.0743,1
2023-01-17,0.0111,1,0.0471,3,0.0644,1,0.0677,1,0.8443,94,0.5859,79,0.0374,1,0.0755,1
2023-01-13,0.0331,2,0.0512,3,0.0484,1,0.1409,2,0.8578,94,0.5929,80,0.0232,1,0.0754,1
2023-01-12,0.0335,2,0.0511,3,0.0778,2,0.0836,2,0.8589,94,0.5949,80,0.0527,2,0.0788,1
2023-01-11,0.0566,3,0.064,3,0.0927,2,0.1815,3,0.8589,94,0.5961,80,0.0387,1,0.1025,3
2023-01-10,0.0565,3,0.0644,3,0.1515,3,0.0612,1,0.8616,95,0.5975,80,0.0524,2,0.097,3
2023-01-09,0.0658,3,0.0675,3,0.1624,3,0.0516,1,0.8626,95,0.5996,81,0.0378,1,0.0714,1
2023-01-06,0.066,3,0.0651,3,0.1625,3,0.0443,1,0.8626,95,0.6034,81,0.0285,1,0.1075,3
2023-01-05,0.0659,3,0.0654,3,0.0415,1,0.1577,3,0.8655,95,0.6087,81,0.0264,1,0.11,3
2023-01-04,0.058,3,0.0619,3,0.1589,3,0.0514,1,0.8668,95,0.61,81,0.0543,2,0.0935,2
2023-01-03,0.0595,3,0.0607,3,0.1037,2,0.0585,1,0.8677,96,0.6121,81,0.0556,2,0.0847,2
2022-12-30,0.0384,2,0.0416,2,0.0452,1,0.05,1,0.8719,96,0.615,82,0.0318,1,0.0803,1
2022-12-29,0.0376,2,0.0395,2,0.0927,2,0.0483,1,0.8737,96,0.6184,82,0.1098,2,0.0976,3
2022-12-28,0.0258,2,0.0313,2,0.0627,1,0.0774,2,0.8791,97,0.6259,83,0.0501,1,0.0848,2
2022-12-27,0.023,2,0.0282,1,0.0669,1,0.0616,1,0.8808,98,0.6279,84,0.0575,2,0.0888,2
2022-12-23,0.0185,2,0.0224,1,0.1127,2,0.1225,2,0.8839,98,0.631,84,0.0664,2,0.092,2
2022-12-22,0.0195,2,0.0239,1,0.0637,1,0.059,1,0.8839,98,0.6324,84,0.0671,2,0.1222,3
2022-12-21,0.0168,1,0.0283,1,0.0696,1,0.1084,2,0.8883,98,0.6359,85,0.068,2,0.0911,2
2022-12-20,1.4193,98,0.0306,2,0.1545,3,0.1484,3,0.89,99,0.6386,85,0.0548,2,0.0944,3
2022-12-19,1.453,98,0.1313,3,0.0745,2,0.13,2,0.8968,99,0.6407,86,0.0544,2,0.0895,2
2022-12-16,1.436,98,0.2638,9,0.0953,2,0.0916,2,0.9056,99,0.6456,86,0.0393,1,0.0966,3
2022-12-15,1.4358,98,0.2975,13,0.0787,2,0.0771,1,0.906,99,0.6494,87,0.0433,1,0.0895,2
2022-12-14,1.469,98,0.332,21,0.071,2,0.0785,2,0.9062,99,0.6513,87,0.0424,1,0.0848,2
2022-12-13,1.5093,98,0.4419,50,0.081,2,0.0943,2,0.9086,99,0.6548,89,0.0492,1,0.0871,2
2022-12-12,1.5061,98,0.4815,57,0.0877,2,0.148,3,0.9154,99,0.6566,89,0.0494,1,0.0913,2
2022-12-09,0.4146,49,0.5069,62,1.0886,99,1.0934,98,0.8525,94,0.6591,90,0.4473,22,0.4752,35
2022-12-08,0.4159,49,0.5488,69,0.9831,97,1.0,96,0.8532,94,0.6613,90,0.4255,13,0.4596,25
2022-12-07,0.341,35,0.512,63,1.0809,99,1.0936,98,0.8609,95,0.6632,91,0.422,12,0.4613,26
