date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2002-08-19,0.2431,32,0.0,1,0.3547,,0.3659,,0.3294,38,0.0,1,0.3547,,0.3641,
2002-08-16,0.3785,65,0.0,1,0.3678,,0.3589,,0.3289,38,0.0,1,0.3678,,0.3622,
2002-08-15,0.3942,69,0.0,1,0.3624,,0.3639,,0.0,1,0.0,1,0.3624,,0.3627,
2002-08-14,0.4022,70,0.0,1,0.378,,0.3653,,0.0,1,0.0,1,0.378,,0.3598,
2002-08-08,0.5612,87,0.0,1,0.3736,,0.3592,,0.0,1,0.0,1,0.3736,,0.3586,
2002-07-31,0.2737,40,0.0,1,0.3697,,0.368,,0.0,1,0.0,1,0.3697,,0.3568,
2002-07-30,0.3187,52,0.0,1,0.3801,,0.363,,0.0,1,0.0,1,0.3801,,0.3552,
2002-07-29,0.3212,53,0.0,1,0.3735,,0.3575,,0.0,1,0.0,1,0.3735,,0.3505,
2002-07-26,0.3613,61,0.0,1,0.3802,,0.3569,,0.0,1,0.0,1,0.3802,,0.3571,
2002-07-25,0.3491,57,0.0,1,0.3826,,0.3579,,0.0,1,0.0,1,0.3826,,0.3503,
2002-07-24,0.3731,64,0.0,1,0.3752,,0.3601,,0.0,1,0.0,1,0.3752,,0.357,
2002-07-19,0.5284,84,0.0,1,0.3793,,0.3602,,0.0,1,0.0,1,0.3793,,0.3541,
2002-07-17,0.6053,89,0.0,1,0.3755,,0.3552,,0.0,1,0.0,1,0.3755,,0.3609,
2002-07-16,0.6055,89,0.0,1,0.3835,,0.3581,,0.0,1,0.0,1,0.3835,,0.3557,
2002-07-11,0.4027,71,0.0,1,0.3695,,0.3566,,0.0,1,0.0,1,0.3695,,0.3622,
2002-07-09,0.3891,67,0.0,1,0.3799,,0.3454,,0.0,1,0.0,1,0.3799,,0.3578,
2002-07-03,0.5073,83,0.0,1,0.3756,,0.3533,,0.0,1,0.0,1,0.3756,,0.3576,
2002-07-02,0.513,83,0.0,1,0.3771,,0.3508,,0.0,1,0.0,1,0.3771,,0.3508,
2002-05-02,0.1261,7,0.0,1,0.2944,,0.2993,,0.0,1,0.0,1,0.2861,,0.2778,
2002-04-29,0.1761,18,0.0,1,0.2921,,0.2972,,0.0,1,0.0,1,0.2856,,0.2768,
2002-04-15,0.1593,14,0.0,1,0.2912,,0.3118,,0.0,1,0.0,1,0.2791,,0.2841,
2002-03-18,0.2797,42,0.0,1,0.2763,,0.309,,0.0,1,0.0,1,0.2754,,0.2894,
