date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2007-11-21,0.3264,78,0.0,1,0.1571,,0.3629,54,0.2637,57,0.0,1,0.0828,,0.4432,73
2005-08-30,0.125,21,0.0,1,0.2957,,0.3618,53,0.1491,14,0.0,1,0.2957,,0.3618,45
2005-08-25,0.086,6,0.0,1,0.3046,,0.3592,50,0.1476,11,0.0,1,0.3046,,0.3592,42
2005-08-24,0.0662,2,0.0,1,0.2937,,0.3579,48,0.1472,10,0.0,1,0.2937,,0.3579,41
2005-08-23,0.1042,11,0.0,1,0.2938,,0.3541,44,0.1472,10,0.0,1,0.2938,,0.3541,38
2005-08-22,0.163,38,0.0,1,0.2911,,0.3517,41,0.1476,11,0.0,1,0.2911,,0.3517,36
2005-08-18,0.1935,51,0.0,1,0.2827,,0.3477,37,0.1512,16,0.0,1,0.2827,,0.3477,31
2005-08-17,0.1895,49,0.0,1,0.2897,,0.3477,37,0.1516,16,0.0,1,0.2897,,0.3477,31
2005-08-16,0.1885,49,0.0,1,0.2834,,0.3548,45,0.1521,17,0.0,1,0.2834,,0.3548,39
2005-08-15,0.1943,51,0.0,1,0.281,,0.3543,44,0.1528,19,0.0,1,0.281,,0.3543,38
2005-08-11,0.1004,10,0.0,1,0.317,,0.3478,37,0.1512,16,0.0,1,0.317,,0.3478,31
2005-08-10,0.0688,2,0.0,1,0.295,,0.3438,30,0.151,15,0.0,1,0.295,,0.3438,25
2005-08-09,0.0509,1,0.0,1,0.2919,,0.3435,28,0.1518,16,0.0,1,0.2919,,0.3435,24
2005-08-08,0.1297,22,0.0,1,0.2933,,0.3598,51,0.1531,19,0.0,1,0.2933,,0.3598,43
2005-08-05,0.13,22,0.0,1,0.2849,,0.3445,32,0.1538,21,0.0,1,0.2849,,0.3445,27
2004-08-23,0.9265,98,0.0,1,0.1875,,0.3622,53,0.3231,74,0.0,1,0.1375,,0.4006,62
2004-08-19,0.9535,98,0.0,1,0.1794,,0.4056,67,0.3235,74,0.0,1,0.1794,,0.4056,64
2004-08-17,0.9389,98,0.0,1,0.1794,,0.4019,67,0.3232,74,0.0,1,0.1794,,0.4019,63
2004-08-04,0.1472,30,0.0,1,0.1637,,0.3822,63,0.24,50,0.0,1,0.1637,,0.3681,49
2004-08-03,0.0839,5,0.0,1,0.1555,,0.3893,65,0.2384,49,0.0,1,0.1555,,0.3722,51
2004-08-02,0.043,1,0.0,1,0.1613,,0.387,64,0.2396,50,0.0,1,0.1613,,0.3775,54
2004-07-30,0.0289,1,0.0,1,0.1476,,0.3958,66,0.2395,49,0.0,1,0.1476,,0.3838,57
2004-07-29,0.1142,17,0.0,1,0.1546,,0.3855,63,0.2397,50,0.0,1,0.1546,,0.3678,49
2004-07-27,0.1185,18,0.0,1,0.1584,,0.3856,64,0.244,51,0.0,1,0.1584,,0.3678,49
2004-07-26,0.1178,18,0.0,1,0.1563,,0.3877,64,0.2441,52,0.0,1,0.1563,,0.3756,53
2004-07-20,0.4626,91,0.0,1,0.1582,,0.3488,38,0.2427,51,0.0,1,0.1582,,0.3628,45
2004-07-09,0.4226,88,0.0,1,0.2375,,0.2573,3,0.2193,47,0.0,1,0.2375,,0.2484,3
2004-07-08,0.4344,88,0.0,1,0.2404,,0.2493,3,0.2196,47,0.0,1,0.2404,,0.2486,3
2004-07-07,0.4504,90,0.0,1,0.2209,,0.249,3,0.2201,47,0.0,1,0.2209,,0.2478,3
2004-07-06,0.4392,89,0.0,1,0.2202,,0.2298,2,0.2174,47,0.0,1,0.2202,,0.2339,2
2004-02-11,0.1659,40,0.0,1,0.28,,0.2793,8,0.3483,84,0.0,1,0.28,,0.2739,6
2004-01-05,0.1051,12,0.0,1,0.3025,,0.2843,9,0.3532,87,0.0,1,0.3025,,0.2967,8
2003-12-11,1.1756,99,0.0,1,0.2868,,0.2835,9,0.3624,88,0.0,1,0.2927,,0.295,8
2003-12-10,0.121,19,0.0,1,0.348,,0.3478,37,0.2405,50,0.0,1,0.348,,0.3478,31
2003-12-09,0.118,18,0.0,1,0.3552,,0.3439,30,0.2405,50,0.0,1,0.3552,,0.3439,25
2003-12-08,0.108,13,0.0,1,0.35,,0.3447,32,0.24,50,0.0,1,0.35,,0.3447,27
2003-12-05,0.1134,16,0.0,1,0.349,,0.3445,32,0.2469,53,0.0,1,0.349,,0.3445,27
2003-12-04,0.1132,16,0.0,1,0.3458,,0.3431,28,0.2469,53,0.0,1,0.3458,,0.3431,24
2003-12-03,0.1021,11,0.0,1,0.3446,,0.3449,32,0.2473,53,0.0,1,0.3446,,0.3449,28
2003-12-02,0.0811,5,0.0,1,0.3395,,0.3421,27,0.2475,53,0.0,1,0.3395,,0.3421,23
2003-12-01,0.0873,7,0.0,1,0.3435,,0.3438,30,0.2483,53,0.0,1,0.3435,,0.3438,25
2003-11-28,0.214,57,0.0,1,0.3526,,0.3414,26,0.2513,54,0.0,1,0.3526,,0.3414,21
2003-11-26,0.3031,75,0.0,1,0.3434,,0.3371,21,0.2513,54,0.0,1,0.3434,,0.3371,17
2003-11-25,0.3122,76,0.0,1,0.3185,,0.3108,10,0.2528,54,0.0,1,0.3185,,0.3108,10
2003-11-24,0.3158,77,0.0,1,0.3338,,0.32,12,0.253,55,0.0,1,0.3338,,0.32,11
2003-11-21,0.3359,80,0.0,1,0.3547,,0.3186,11,0.2529,54,0.0,1,0.3547,,0.3186,11
2003-11-20,0.3293,79,0.0,1,0.3626,,0.3157,11,0.2529,54,0.0,1,0.3626,,0.3157,10
2003-11-19,0.3408,80,0.0,1,0.3626,,0.3371,21,0.2529,54,0.0,1,0.3626,,0.3371,17
2003-11-18,0.1591,36,0.0,1,0.3509,,0.3069,10,0.2479,53,0.0,1,0.3509,,0.3069,9
2003-11-17,0.1499,31,0.0,1,0.3253,,0.3194,12,0.2442,52,0.0,1,0.3253,,0.3194,11
2003-11-14,0.2438,64,0.0,1,0.3476,,0.3327,16,0.2438,51,0.0,1,0.3476,,0.3327,13
2003-11-13,0.2662,69,0.0,1,0.3332,,0.3093,10,0.2435,51,0.0,1,0.3332,,0.3093,10
2003-11-12,0.26,68,0.0,1,0.3148,,0.3206,12,0.2429,51,0.0,1,0.3255,,0.3206,11
2003-11-11,0.2529,67,0.0,1,0.3228,,0.3054,10,0.2433,51,0.0,1,0.3374,,0.3054,9
2003-11-10,0.2521,66,0.0,1,0.3298,,0.3074,10,0.2425,51,0.0,1,0.3341,,0.3074,9
2003-11-07,0.278,72,0.0,1,0.3268,,0.3031,10,0.2417,50,0.0,1,0.3352,,0.3031,9
