date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2015-06-17,0.346,,0.3908,,0.2457,,0.3974,,0.4892,,0.5114,,0.3504,,0.3974,
2015-06-12,0.2523,,0.4133,,0.7295,,0.3893,,0.4861,,0.5167,,0.4876,,0.4229,
2015-05-14,0.5149,,0.4615,,0.3145,,1.1033,,0.5021,,0.5332,,0.387,,0.4591,
2015-04-09,0.4295,,0.4582,,0.5512,,0.5525,,0.4863,,0.5511,,0.4501,,0.3782,
2015-04-02,0.2682,,0.4747,,0.5053,,0.5069,,0.4828,,0.5501,,0.4778,,0.3335,
2015-03-30,0.6419,,0.5532,,0.6997,,0.478,,0.4886,,0.5514,,0.4737,,0.4777,
2014-09-11,0.2415,,0.3003,,0.5243,,0.3807,,0.3503,,0.3445,,0.4094,,0.4094,
2014-07-17,0.409,,0.3315,,0.4683,,0.5252,,0.3328,,0.3281,,0.2657,,0.3828,
2014-07-15,0.342,,0.2651,,0.444,,0.5014,,0.332,,0.3253,,0.2882,,0.3867,
2014-07-09,0.1486,,0.2129,,0.6073,,0.6648,,0.3279,,0.3241,,0.2998,,0.4348,
2014-07-08,0.1575,,0.2387,,0.8668,,0.5789,,0.3281,,0.3244,,0.3289,,0.3289,
2014-05-13,0.7818,,0.6686,,0.4058,,0.5173,,0.336,,0.3398,,0.4058,,0.5173,
2014-05-09,0.2206,,0.2792,,0.466,,0.6089,,0.2835,,0.3105,,0.4125,,0.6089,
2014-05-07,0.2027,,0.2731,,0.3421,,0.5992,,0.2886,,0.3119,,0.3349,,0.5992,
2014-05-06,0.2776,,0.3022,,0.4484,,0.5995,,0.2894,,0.3124,,0.4255,,0.5995,
2014-05-05,0.2773,,0.2891,,0.3139,,0.6079,,0.2892,,0.3124,,0.3139,,0.6079,
2014-05-02,0.2981,,0.2458,,0.4987,,0.6221,,0.2903,,0.3113,,0.4423,,0.6221,
2014-04-30,0.3005,,0.2423,,0.3095,,0.6048,,0.2904,,0.3113,,0.317,,0.6048,
2014-04-29,0.3388,,0.2548,,0.4999,,0.5945,,0.2913,,0.3116,,0.4253,,0.5945,
2014-02-13,0.2272,,0.2126,,0.4931,,0.6263,,0.3299,,0.3476,,0.4931,,0.6263,
2014-02-12,0.251,,0.2205,,0.3437,,0.6594,,0.3301,,0.3485,,0.3437,,0.6594,
2014-02-11,0.318,,0.2843,,0.5265,,0.6385,,0.3301,,0.3487,,0.5265,,0.6385,
2014-02-10,0.3192,,0.3249,,0.5503,,0.5819,,0.3301,,0.3483,,0.3386,,0.5819,
2014-02-05,0.219,,0.3552,,0.3477,,0.6424,,0.3264,,0.3499,,0.3635,,0.6424,
2014-02-04,0.219,,0.37,,0.5311,,0.6427,,0.3272,,0.3503,,0.4626,,0.6427,
2014-02-03,0.2834,,0.3844,,0.5479,,0.6437,,0.3288,,0.3512,,0.4564,,0.6437,
2014-01-29,0.2809,,0.304,,0.5212,,0.634,,0.3262,,0.3516,,0.5212,,0.634,
2014-01-24,0.3696,,0.2545,,0.7037,,0.5719,,0.3315,,0.3691,,0.5226,,0.5719,
2014-01-22,0.2977,,0.2413,,0.6165,,0.6456,,0.3569,,0.3801,,0.4869,,0.6456,
2013-12-17,0.2793,,0.305,,0.3947,,0.6708,,0.3897,,0.4011,,0.3947,,0.6708,
2013-12-16,0.1664,,0.2637,,0.5175,,0.6134,,0.3869,,0.4001,,0.5175,,0.6134,
2013-12-12,0.1372,,0.2383,,0.6161,,0.6118,,0.3858,,0.399,,0.5483,,0.6118,
2013-12-11,0.2395,,0.2856,,0.5432,,0.5432,,0.3858,,0.3983,,0.4557,,0.5432,
2013-12-10,0.2375,,0.3542,,0.4879,,0.6024,,0.3863,,0.3989,,0.4943,,0.6024,
2013-12-09,0.28,,0.3988,,0.5528,,0.5835,,0.3864,,0.3988,,0.4723,,0.5835,
2013-12-06,0.3082,,0.3977,,0.569,,0.6061,,0.3872,,0.3987,,0.569,,0.6061,
2013-12-05,0.3082,,0.4119,,0.6033,,0.6062,,0.3876,,0.3989,,0.6033,,0.6062,
2013-12-04,0.3077,,0.4317,,0.5425,,0.6107,,0.3891,,0.399,,0.4309,,0.6107,
2013-12-03,0.3541,,0.4529,,0.662,,0.5614,,0.3898,,0.3995,,0.662,,0.5614,
2013-12-02,0.2928,,0.4504,,0.5127,,0.6003,,0.387,,0.3975,,0.4377,,0.6003,
2013-11-29,0.296,,0.4186,,0.5116,,0.6329,,0.3883,,0.395,,0.3909,,0.6329,
2013-11-27,0.2855,,0.4246,,0.4307,,0.5966,,0.3854,,0.3932,,0.3926,,0.5966,
2013-11-26,0.386,,0.4757,,0.4239,,0.6087,,0.3863,,0.3937,,0.3855,,0.6087,
2013-11-25,0.6764,,0.525,,0.5294,,0.5865,,0.3885,,0.3975,,0.5097,,0.5865,
2013-11-21,0.6547,,0.5094,,0.4453,,0.567,,0.3868,,0.398,,0.5758,,0.567,
2013-11-20,0.6628,,0.4914,,0.574,,0.5364,,0.3867,,0.3958,,0.5157,,0.5364,
2013-11-13,0.3648,,0.3377,,0.3661,,0.5589,,0.3658,,0.3847,,0.3661,,0.5589,
2013-11-08,0.3617,,0.2963,,0.4152,,0.5428,,0.3646,,0.3828,,0.4152,,0.5428,
2013-11-07,0.3518,,0.2874,,0.5747,,0.5674,,0.3664,,0.3831,,0.3666,,0.5674,
2013-11-05,0.2187,,0.2572,,0.5109,,0.5771,,0.3628,,0.3826,,0.4935,,0.5771,
2013-10-31,0.2378,,0.238,,0.5316,,0.5564,,0.3598,,0.3812,,0.4918,,0.5564,
2013-10-30,0.3255,,0.2628,,0.4881,,0.5648,,0.3611,,0.3809,,0.4687,,0.5648,
2013-10-29,0.3094,,0.2662,,0.5889,,0.5835,,0.3608,,0.3808,,0.5167,,0.5835,
2013-10-28,0.3356,,0.2675,,0.6079,,0.5471,,0.3623,,0.3809,,0.5161,,0.5471,
2013-10-25,0.3348,,0.2677,,0.5122,,0.5339,,0.364,,0.3817,,0.5293,,0.5339,
2013-10-23,0.2843,,0.2652,,0.6048,,0.5502,,0.3641,,0.3815,,0.4981,,0.5502,
2013-10-21,0.366,,0.301,,0.6194,,0.5763,,0.36,,0.3802,,0.6194,,0.5763,
2013-10-17,0.3571,,0.2822,,0.5225,,0.5744,,0.3594,,0.3795,,0.5225,,0.5744,
2013-10-15,0.3635,,0.2948,,0.486,,0.5665,,0.3681,,0.3822,,0.486,,0.5665,
2013-10-10,0.2028,,0.2609,,0.4601,,0.6116,,0.3631,,0.3807,,0.4601,,0.6116,
