date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2019-11-11,1.297,99,1.6421,100,4.9659,100,1.857,100,1.3049,100,1.1454,100,1.6571,100,1.4016,100
2019-11-08,1.2525,99,1.5623,100,3.303,100,1.6548,100,1.3046,100,1.136,100,1.5608,100,1.4931,100
2019-11-07,1.2297,99,1.5109,100,3.8764,100,1.9199,100,1.3009,100,1.1392,100,1.5562,100,1.2887,100
2019-11-06,1.2245,99,1.0319,99,2.8607,100,1.6224,100,1.3001,100,1.1061,100,1.582,100,1.3552,100
2019-11-05,0.6444,93,0.8332,97,1.3347,99,2.2446,100,1.286,100,1.1035,100,1.3,100,1.2225,100
2019-11-04,0.5663,90,0.8201,97,2.8728,100,2.2923,100,1.2883,100,1.1048,100,1.2171,99,1.2304,100
2019-11-01,0.3556,75,0.8043,97,2.6842,100,1.5216,100,1.2871,100,1.1061,100,1.4887,100,1.2641,100
2019-10-31,0.4153,81,0.8252,97,2.2987,100,1.6407,100,1.2874,100,1.1067,100,1.4002,100,1.2634,100
2019-10-30,0.3604,76,0.7216,96,0.8838,96,1.7161,100,1.287,100,1.1085,100,1.3107,100,1.2285,100
2019-10-29,0.3061,67,0.6853,95,1.1167,98,1.2271,99,1.294,100,1.1129,100,1.3224,100,1.2483,100
2019-10-28,0.3052,67,0.5574,93,1.193,98,1.3034,99,1.2939,100,1.1099,100,1.3634,100,1.2021,99
2019-10-25,0.3786,77,0.5626,93,1.3619,99,1.5683,100,1.2951,100,1.1118,100,1.2826,100,1.2112,100
2019-10-24,0.3887,78,0.5683,94,1.8425,100,1.4752,100,1.2971,100,1.1133,100,1.3347,100,1.2095,100
2019-10-23,0.4562,84,0.5921,94,1.6896,100,1.7983,100,1.2995,100,1.1161,100,1.2721,100,1.2739,100
2019-10-22,0.6122,91,0.6415,95,1.5125,100,1.2005,98,1.2991,100,1.1154,100,1.3163,100,1.1983,99
2019-10-21,0.563,89,0.6376,95,1.6758,100,1.2092,98,1.307,100,1.1186,100,1.1375,99,1.2652,100
2019-10-18,0.5615,89,0.6826,95,1.5477,100,1.2915,99,1.3158,100,1.1251,100,1.0618,98,1.2288,100
2019-10-17,0.6269,92,0.7291,96,1.4102,99,1.23,99,1.3235,100,1.129,100,1.1889,99,1.2331,100
2019-10-16,0.5926,91,0.7968,97,1.3782,99,1.5406,100,1.324,100,1.1297,100,1.2549,100,1.2167,100
2019-10-15,0.9671,98,0.9408,99,1.293,99,1.4888,100,1.3238,100,1.1288,100,1.1954,99,1.298,100
2019-10-14,0.9331,97,0.9292,98,1.496,99,1.4393,100,1.3222,100,1.1281,100,1.1902,99,1.45,100
2019-10-11,0.7993,96,0.8765,98,1.5792,100,1.3651,99,1.3191,100,1.1245,100,1.1276,99,1.2184,100
2019-10-10,0.7961,96,0.8884,98,1.5117,100,1.5783,100,1.3248,100,1.127,100,1.224,100,1.2168,100
2019-10-09,0.8922,97,0.9483,99,1.6055,100,1.6271,100,1.3294,100,1.1274,100,1.2446,100,1.2158,100
2019-10-08,0.8296,96,0.926,98,1.5881,100,1.4893,100,1.3279,100,1.1296,100,1.0228,98,1.1849,99
2019-10-07,0.8445,96,0.8761,98,1.2636,98,1.7279,100,1.3282,100,1.1267,100,1.1292,99,1.1834,99
2019-10-04,0.3666,76,0.7394,96,1.434,99,1.6638,100,1.3168,100,1.1221,100,1.2815,100,1.1708,99
2019-10-03,0.5979,91,0.8424,97,1.4102,99,1.4425,100,1.3211,100,1.1249,100,1.3177,100,1.1656,99
2019-10-02,0.5801,90,0.8986,98,1.6632,100,2.1747,100,1.3211,100,1.1234,100,1.1572,99,1.2177,100
2019-10-01,0.4914,86,0.9161,98,1.363,99,1.4944,100,1.3226,100,1.1259,100,1.1467,99,1.2199,100
2019-09-30,0.5757,90,0.9083,98,1.1456,98,1.5751,100,1.3225,100,1.1225,100,1.1484,99,1.1679,99
2019-09-27,0.7704,95,0.9453,99,1.3222,99,1.4711,100,1.3288,100,1.126,100,1.1476,99,1.1906,99
2019-09-26,0.7723,95,0.9939,99,1.1432,98,1.3725,99,1.3304,100,1.1266,100,1.1654,99,1.1218,99
2019-09-25,0.8605,96,1.0233,99,1.3946,99,1.3859,99,1.3324,100,1.1277,100,1.1993,99,1.1077,99
2019-09-24,0.8762,97,1.1883,100,1.1892,98,1.5061,100,1.3276,100,1.1238,100,1.1185,99,1.1282,99
2019-09-23,1.162,98,1.3605,100,1.1159,98,1.1909,98,1.327,100,1.1201,100,1.0523,98,1.1787,99
2019-09-20,1.1519,98,1.4339,100,1.1263,98,1.0972,98,1.327,100,1.118,100,1.1622,99,1.0974,98
2019-09-19,1.946,100,1.6229,100,1.1758,98,1.1862,98,1.3265,100,1.1148,100,1.0711,98,1.0975,98
2019-09-18,2.7645,100,2.0404,100,1.2036,98,1.1196,98,1.3255,100,1.1143,100,1.1026,98,1.2076,99
2019-09-17,2.7519,100,2.012,100,1.2656,98,1.1698,98,1.3267,100,1.1118,100,1.1011,98,1.1218,99
2019-09-16,2.6802,100,2.0316,100,1.116,98,1.1085,98,1.3238,100,1.1099,100,1.0736,98,1.0985,98
2019-09-13,2.5384,100,1.9012,100,1.2474,98,1.2467,99,1.3171,100,1.0961,100,1.0888,98,1.08,98
2019-09-12,2.0792,100,1.7614,100,1.0544,97,0.947,97,1.3015,100,1.0815,100,1.1069,98,1.0207,98
2019-09-11,1.9849,100,1.6853,100,1.0557,97,1.0187,97,1.299,100,1.074,100,0.9673,98,1.0381,98
2019-09-10,1.9285,100,1.4619,100,1.1618,98,1.0801,97,1.262,99,1.0544,99,1.1075,99,1.0756,98
2019-09-09,0.9107,97,0.7221,96,1.0059,97,1.0492,97,1.1817,99,1.0113,99,1.0636,98,1.2249,100
2019-09-06,0.9693,98,0.8205,97,1.0784,97,1.161,98,1.1809,99,1.0123,99,1.0099,98,1.1653,99
2019-09-05,1.0485,98,0.7952,97,1.033,97,1.2558,99,1.1741,99,1.0068,99,1.0408,98,1.1088,99
2019-09-04,1.0496,98,0.8006,97,1.2828,98,1.1729,98,1.174,99,1.0064,99,1.1141,99,1.2385,100
2019-09-03,0.904,97,0.8519,98,1.576,100,1.1229,98,1.1677,99,1.0064,99,1.1777,99,1.1229,99
2019-08-30,1.2364,99,1.055,99,1.1068,98,1.0674,97,1.1674,99,1.0058,99,1.177,99,1.1395,99
2019-08-29,1.3301,99,1.0771,99,1.1035,97,1.218,99,1.1718,99,1.0088,99,1.1443,99,1.1032,99
2019-08-28,1.3595,99,1.1556,100,0.993,97,1.3802,99,1.1723,99,1.0089,99,1.0323,98,1.1236,99
2019-08-27,1.3674,99,1.1513,100,0.9807,97,0.8008,95,1.1726,99,1.008,99,1.2392,100,1.0732,98
2019-08-26,1.0687,98,1.1294,100,1.066,97,1.1179,98,1.1664,99,1.0042,99,1.0467,98,1.1338,99
2019-08-23,2.0585,100,1.5813,100,1.3647,99,1.2864,99,1.1671,99,1.0037,99,1.0612,98,1.1752,99
2019-08-22,2.0255,100,1.5535,100,1.2816,98,1.2385,99,1.1798,99,1.005,99,1.0678,98,1.1549,99
2019-08-21,1.9152,100,1.4388,100,0.9545,96,1.244,99,1.1657,99,0.9937,99,1.1191,99,1.0961,98
2019-08-20,1.8623,100,1.4825,100,0.9505,96,1.1752,98,1.1577,99,0.991,99,1.1636,99,1.1752,99
2019-08-19,1.7124,100,1.4725,100,1.2909,99,1.2658,99,1.148,99,0.9865,99,1.1904,99,1.3417,100
2019-08-16,1.6049,100,1.5375,100,1.4369,99,1.2839,99,1.1399,99,0.9832,99,1.3346,100,1.3417,100
2019-08-15,2.1424,100,1.7292,100,2.1372,100,1.3449,99,1.1336,99,0.9803,99,1.2701,100,1.3449,100
2019-08-14,3.124,100,1.5551,100,1.2294,98,1.1882,98,1.0878,99,0.9433,99,1.2092,99,1.1882,99
2019-08-13,3.1708,100,1.5938,100,1.2219,98,1.2797,99,1.0871,99,0.9412,99,1.1749,99,1.1354,99
2019-08-12,3.2518,100,1.6116,100,1.287,99,1.1898,98,1.0863,99,0.9393,99,1.1251,99,1.1223,99
