date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2024-09-03,0.2586,26,0.1713,5,0.3113,25,0.2301,7,0.3654,41,0.293,28,0.1217,1,0.2301,1
2024-08-30,0.203,14,0.1471,2,0.4213,57,0.2474,9,0.3635,41,0.2936,28,0.3846,57,0.4652,60
2024-08-29,0.2071,15,0.1622,4,0.7523,95,0.2948,18,0.3651,41,0.2958,31,0.3731,56,0.4082,47
2024-08-28,0.2461,24,0.1793,7,0.8174,97,0.3005,19,0.3655,41,0.2969,31,0.3351,43,0.402,46
2024-08-27,0.2419,23,0.1793,7,0.2699,15,0.2667,13,0.3767,44,0.3006,32,0.3542,51,0.3342,22
2024-08-26,0.2436,23,0.1792,7,0.4098,53,0.3731,40,0.3767,44,0.3037,32,0.4139,65,0.4032,46
2024-08-23,0.2499,25,0.1766,6,0.3079,24,0.2511,10,0.3934,49,0.3092,34,0.3637,54,0.4174,49
2024-08-22,0.1589,7,0.163,4,0.2412,9,0.4115,50,0.3916,48,0.3089,34,0.3426,46,0.4115,48
2024-08-21,0.159,7,0.164,4,0.3296,30,0.2287,7,0.3915,48,0.3093,34,0.4204,66,0.3315,22
2024-08-20,0.166,8,0.1502,2,0.2561,12,0.2627,12,0.393,49,0.31,34,0.1807,1,0.3592,31
2024-08-19,0.1403,4,0.1374,1,0.5935,87,0.3166,23,0.393,49,0.3117,35,0.2989,26,0.3099,14
2024-08-16,0.1626,7,0.1452,2,0.2009,3,0.2992,19,0.3976,50,0.3155,36,0.22,3,0.3057,12
2024-08-15,0.1569,6,0.1811,7,0.333,31,0.3206,25,0.4002,51,0.3166,37,0.235,7,0.2847,8
2024-08-13,0.2354,21,0.2062,11,0.2548,12,0.3821,42,0.4023,52,0.3178,38,0.214,2,0.3821,40
2024-08-12,0.3209,41,0.2434,20,0.2217,6,0.4114,50,0.4021,52,0.3187,39,0.2377,7,0.4114,48
2024-08-09,0.3424,46,0.3049,37,0.2476,11,0.2762,14,0.4039,53,0.3203,39,0.2135,2,0.2762,6
2024-08-07,0.3755,54,0.3095,38,0.3452,35,0.257,11,0.4052,54,0.3221,40,0.2797,20,0.257,4
2024-08-05,0.3796,55,0.3109,39,0.8582,98,0.3303,27,0.4104,56,0.3253,42,0.2403,8,0.3303,21
2024-08-02,0.4224,64,0.3255,43,0.3027,22,0.293,17,0.4075,55,0.3259,42,0.1709,1,0.4443,56
2024-08-01,0.3712,53,0.316,40,0.5549,83,0.5517,79,0.4031,53,0.3253,42,0.2349,6,0.4737,61
2024-07-31,0.2894,34,0.2654,26,0.2961,20,0.3717,39,0.4009,52,0.3228,40,0.2695,17,0.3448,25
2024-07-30,0.273,30,0.2624,25,0.3381,33,0.2872,16,0.4013,52,0.3244,41,0.2294,5,0.3493,27
2024-07-29,0.2782,31,0.2565,23,0.2123,5,0.3144,23,0.4037,53,0.325,41,0.2346,6,0.3946,44
