date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-02,1.6432,,2.3141,,,,,,,,0.0,,0.0,,,,,,,
2025-05-30,2.7277,,2.5625,,,,,,,,0.0,,0.0,,,,,,,
2025-05-29,3.5055,,2.5793,,,,,,,,0.0,,0.0,,,,,,,
2025-05-28,3.567,,2.6499,,,,,,,,0.0,,0.0,,,,,,,
2025-05-27,3.583,,2.7627,,,,,,,,0.0,,0.0,,,,,,,
2025-05-23,3.7534,,2.9424,,,,,,,,0.0,,0.0,,,,,,,
2025-05-22,4.0328,,3.0646,,,,,,,,0.0,,0.0,,,,,,,
2025-05-21,3.9355,,3.011,,,,,,,,0.0,,0.0,,,,,,,
2025-05-20,3.6514,,2.8398,,,,,,,,0.0,,0.0,,,,,,,
2025-05-19,3.1908,,2.8242,,,,,,,,0.0,,0.0,,,,,,,
2025-05-16,3.1335,,2.8019,,,,,,,,0.0,,0.0,,,,,,,
2025-05-15,3.4188,,2.904,,,,,,,,0.0,,0.0,,,,,,,
2025-05-14,3.3534,,2.8526,,,,,,,,0.0,,0.0,,,,,,,
2025-05-13,2.8123,,2.5419,,,,,,,,0.0,,0.0,,,,,,,
2025-05-12,2.5687,,2.8366,,,,,,,,0.0,,0.0,,,,,,,
2025-05-09,3.313,,3.7707,,,,,,,,0.0,,0.0,,,,,,,
2025-05-08,2.9645,,3.492,,,,,,,,0.0,,0.0,,,,,,,
2025-05-07,3.6257,,4.0071,,,,,,,,0.0,,0.0,,,,,,,
2025-05-06,4.6685,,4.3686,,,,,,,,0.0,,0.0,,,,,,,
2025-05-05,5.1192,,4.8034,,,,,,,,0.0,,0.0,,,,,,,
2025-05-02,5.5875,,4.9767,,,,,,,,0.0,,0.0,,,,,,,
