date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2015-06-23,1.962,,2.1672,,1.5829,,1.7054,,1.4361,,1.3672,,1.5829,,1.9846,
2015-06-01,2.5225,,2.2663,,1.3633,,1.6353,,1.305,,1.2257,,1.523,,1.5392,
2015-05-21,2.03,,1.725,,1.6705,,1.5146,,1.1832,,1.1063,,1.3998,,1.3598,
2015-05-20,2.0992,,1.7959,,1.2837,,1.7934,,1.1826,,1.1044,,1.1989,,1.5708,
2015-05-19,2.0578,,1.8006,,1.5479,,1.3129,,1.1802,,1.101,,1.4604,,1.3742,
2015-05-18,2.0625,,1.7908,,1.7495,,1.3561,,1.1798,,1.0862,,1.3599,,1.3931,
2015-05-15,4.1259,,3.4823,,0.9639,,1.5807,,1.1518,,1.0681,,1.0727,,1.4509,
2015-05-14,4.0627,,3.4802,,1.1244,,1.8919,,1.1514,,1.0617,,1.1877,,1.5359,
2015-05-13,3.4172,,3.3724,,1.2547,,1.2869,,1.0998,,1.0375,,1.2547,,1.346,
2015-05-12,3.7255,,3.3706,,1.1538,,1.5346,,1.0968,,1.032,,1.1314,,1.3361,
2015-05-11,3.9092,,3.3709,,1.2823,,1.3786,,1.0899,,1.0245,,1.1363,,1.2514,
2015-05-08,4.0117,,3.3963,,1.5095,,1.1288,,1.0903,,1.0204,,1.1352,,1.3135,
2015-05-07,4.014,,3.4116,,1.1798,,1.5118,,1.0889,,1.0071,,1.1099,,1.5118,
2015-05-06,1.8247,,1.6462,,2.2118,,0.9887,,0.6369,,0.6894,,1.2237,,1.1193,
2015-05-05,1.6895,,1.5821,,1.0139,,1.4062,,0.6477,,0.6913,,0.9224,,1.0929,
2015-05-04,1.75,,1.5943,,0.7998,,1.7193,,0.652,,0.6856,,0.904,,1.1205,
2015-05-01,1.5288,,1.5334,,1.0382,,1.1819,,0.6358,,0.6802,,1.0554,,1.1642,
2015-04-30,1.3706,,1.4296,,0.7925,,1.37,,0.6265,,0.6664,,1.0815,,1.2805,
2015-04-29,1.1965,,1.3049,,1.2733,,1.0081,,0.619,,0.6515,,1.1864,,1.0967,
2015-04-28,1.29,,1.0428,,1.6769,,0.8898,,0.6161,,0.6233,,1.2158,,1.1887,
2015-04-27,0.5972,,0.6621,,1.0416,,0.9012,,0.5399,,0.5914,,0.9295,,1.0081,
2015-04-24,0.6282,,0.6827,,0.9732,,0.9486,,0.5381,,0.5911,,0.8672,,1.0211,
2015-04-23,0.6447,,0.608,,0.7882,,0.9068,,0.5246,,0.5802,,0.8701,,0.9977,
2015-04-22,0.6454,,0.61,,0.6652,,1.0287,,0.5254,,0.5811,,0.8365,,0.9907,
2015-04-21,0.6622,,0.6465,,0.8551,,0.9739,,0.5288,,0.5837,,0.8608,,0.9879,
2015-04-20,0.662,,0.6569,,0.8219,,0.8939,,0.5306,,0.5868,,0.825,,1.0055,
2015-04-17,0.7217,,0.6756,,0.9124,,0.8493,,0.5295,,0.5872,,0.8985,,1.0396,
2015-04-16,0.7116,,0.6759,,1.0705,,0.7575,,0.5293,,0.5906,,0.9304,,1.0487,
2015-04-15,0.6509,,0.6408,,0.6038,,0.9642,,0.5262,,0.5954,,0.8015,,0.989,
2015-04-14,0.4041,,0.599,,1.0317,,0.9853,,0.5199,,0.5943,,0.8819,,0.9858,
2015-04-13,0.412,,0.5964,,1.0128,,0.8828,,0.519,,0.5992,,0.8205,,1.0003,
2015-04-10,0.54,,0.5967,,0.8726,,1.0138,,0.5207,,0.5972,,0.8744,,1.0337,
2015-04-09,0.5329,,0.6084,,1.0247,,0.6975,,0.5306,,0.6059,,0.8985,,1.0229,
2015-04-08,0.5002,,0.6259,,0.8786,,1.3041,,0.5261,,0.6036,,0.8815,,1.0544,
2015-04-07,0.5073,,0.5972,,0.8984,,1.0047,,0.5269,,0.6032,,0.8676,,1.0492,
2015-04-06,0.6796,,0.763,,1.0084,,0.8098,,0.5284,,0.6035,,0.896,,1.0452,
2015-04-02,0.6159,,0.7417,,0.8391,,0.8665,,0.5238,,0.6002,,0.8653,,1.0479,
2015-04-01,0.6745,,0.7597,,0.7174,,1.2448,,0.5243,,0.5995,,0.8239,,1.059,
2015-03-31,0.6655,,0.7492,,0.8643,,0.8387,,0.5211,,0.5972,,0.8501,,1.0564,
2015-03-30,0.6643,,0.7556,,0.7427,,1.1696,,0.5321,,0.5995,,0.8283,,1.0528,
2015-03-27,0.5339,,0.7369,,0.7692,,0.9501,,0.529,,0.5958,,0.8803,,1.0705,
2015-03-26,0.6788,,0.765,,0.929,,0.8628,,0.5379,,0.601,,0.9077,,1.1053,
2015-03-25,0.6947,,0.6288,,0.8996,,0.8037,,0.5322,,0.5924,,1.0091,,1.0885,
2015-03-24,0.7054,,0.6154,,0.9902,,0.797,,0.5446,,0.5951,,0.9785,,1.078,
2015-03-23,0.7019,,0.6201,,1.0715,,0.7707,,0.5411,,0.5932,,0.9341,,1.0525,
2015-03-20,0.6949,,0.8945,,0.7585,,0.6525,,0.5331,,0.591,,0.916,,1.0383,
2015-03-19,0.7136,,0.8861,,0.8871,,0.6094,,0.5401,,0.5922,,0.9099,,0.9987,
2015-03-18,0.6606,,0.8569,,0.4546,,1.076,,0.5345,,0.5902,,0.7864,,1.0489,
2015-03-17,0.5178,,0.8237,,0.6725,,0.8373,,0.5293,,0.5884,,0.869,,1.0265,
2015-03-16,0.4285,,0.8093,,0.7991,,0.7239,,0.5278,,0.5865,,0.922,,1.0264,
2015-03-13,0.4157,,0.8001,,0.7478,,0.6842,,0.5252,,0.5856,,0.897,,0.9953,
2015-03-12,0.4298,,0.8271,,0.6227,,0.8687,,0.5218,,0.584,,0.882,,0.9953,
2015-03-11,0.3343,,0.4784,,0.7742,,0.7046,,0.5137,,0.5616,,0.8699,,0.9536,
2015-03-10,0.3839,,0.4769,,1.2557,,0.5538,,0.5137,,0.561,,0.8699,,0.9603,
2015-03-09,0.3871,,0.5078,,1.0721,,0.7473,,0.5137,,0.5623,,0.8643,,0.9442,
2015-03-06,0.379,,0.5324,,0.8468,,0.7311,,0.5137,,0.5627,,0.86,,0.9661,
2015-03-05,0.3797,,0.5293,,1.0135,,0.8002,,0.5135,,0.5632,,0.8457,,0.9798,
2015-03-04,0.3796,,0.5254,,0.8655,,0.6766,,0.518,,0.5635,,0.8546,,0.9195,
2015-03-03,0.2999,,0.4211,,1.0666,,0.6304,,0.5149,,0.5594,,0.838,,0.8939,
2015-03-02,0.2168,,0.4113,,0.8075,,0.9167,,0.512,,0.5586,,0.7595,,0.9197,
2015-02-27,0.225,,0.3932,,0.8177,,0.8267,,0.511,,0.5583,,0.8179,,0.9078,
2015-02-26,0.2532,,0.3821,,0.8741,,0.7168,,0.5114,,0.5566,,0.8453,,0.9376,
2015-02-25,0.2719,,0.3692,,0.8761,,0.7081,,0.511,,0.5555,,0.8361,,0.926,
2015-02-24,0.2588,,0.4095,,0.907,,0.743,,0.511,,0.5549,,0.7876,,0.8211,
2015-02-23,0.2215,,0.3999,,0.8823,,0.7234,,0.5107,,0.5543,,0.8202,,0.9328,
2015-02-20,0.2356,,0.4198,,0.8401,,0.7165,,0.5113,,0.5559,,0.7624,,0.8868,
2015-02-19,0.2183,,0.4189,,0.6326,,0.7677,,0.5112,,0.5557,,0.7675,,0.8992,
2015-02-18,0.4216,,0.5423,,0.629,,0.8397,,0.5106,,0.5564,,0.744,,0.8794,
2015-02-17,0.436,,0.5201,,0.78,,0.7505,,0.5106,,0.5551,,0.7889,,0.9109,
2015-02-13,0.473,,0.5882,,0.8295,,0.6957,,0.51,,0.5549,,0.8018,,0.8841,
2015-02-12,0.4894,,0.6191,,0.938,,0.6617,,0.512,,0.5553,,0.7654,,0.8863,
2015-02-11,0.5908,,0.6812,,0.8592,,0.7119,,0.5125,,0.5563,,0.7792,,0.893,
2015-02-10,0.5937,,0.6874,,0.8288,,0.7678,,0.5123,,0.5555,,0.798,,0.8789,
2015-02-09,0.7723,,0.7653,,0.6044,,0.9691,,0.5128,,0.5552,,0.7146,,0.9355,
2015-02-06,0.6416,,0.7123,,0.8524,,0.5731,,0.5066,,0.5507,,0.9113,,0.9085,
2015-02-05,0.6673,,0.7283,,0.6851,,0.6575,,0.5075,,0.5542,,0.7786,,0.9893,
2015-02-04,0.678,,0.6749,,0.4913,,0.552,,0.507,,0.5511,,0.7409,,0.9827,
2015-02-03,0.6702,,0.6714,,0.5671,,0.8388,,0.5061,,0.5484,,0.5563,,0.7527,
2015-02-02,0.6849,,0.6646,,0.9495,,0.5425,,0.4991,,0.5447,,0.9096,,0.9664,
2015-01-30,0.6946,,0.6752,,0.7606,,0.5945,,0.4988,,0.5436,,0.9021,,0.9834,
2015-01-29,0.6455,,0.5939,,0.6954,,0.5784,,0.4902,,0.5379,,0.5881,,0.6851,
2015-01-28,0.6756,,0.5695,,0.7491,,0.4991,,0.491,,0.5382,,0.655,,0.7735,
