date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2019-01-10,0.3516,68,0.3028,55,0.2978,,0.3773,,0.3347,35,0.3215,41,0.3221,,0.355,
2019-01-09,0.3562,68,0.3057,56,0.4767,,0.4159,,0.3354,35,0.3217,41,0.2758,,0.3392,
2019-01-08,0.3359,64,0.2881,48,0.4485,,0.4821,,0.3645,47,0.3258,45,0.3155,,0.3496,
2019-01-07,0.3231,61,0.3069,57,0.3004,,0.4552,,0.3634,47,0.3253,44,0.2933,,0.3613,
2019-01-04,0.47,85,0.3776,80,0.4453,,0.4575,,0.3635,47,0.3254,44,0.2773,,0.3685,
2019-01-03,0.5219,89,0.3765,80,0.3489,,0.4199,,0.3594,46,0.3242,43,0.361,,0.365,
2019-01-02,0.5621,91,0.4053,85,0.3067,,0.3701,,0.3578,46,0.3237,43,0.3059,,0.3701,
2018-12-31,0.5692,92,0.408,85,0.3406,,0.392,,0.3577,46,0.323,42,0.295,,0.392,
2018-12-28,0.5857,93,0.4368,88,0.3187,,0.3724,,0.3578,46,0.3225,42,0.3151,,0.3724,
2018-12-27,0.5765,92,0.437,88,0.2777,,0.41,,0.3578,46,0.3218,42,0.2777,,0.4035,
2018-12-20,0.3594,69,0.362,78,0.3998,,0.4174,,0.3376,37,0.3133,39,0.374,,0.4068,
2018-12-18,0.3548,68,0.3375,69,0.5115,,0.3283,,0.334,35,0.3097,37,0.325,,0.3283,
2018-12-17,0.4655,85,0.4603,89,0.3354,,0.3354,,0.3332,34,0.3088,37,0.3354,,0.3264,
2018-12-14,0.4537,84,0.4701,89,0.3548,,0.3784,,0.3327,34,0.307,36,0.3347,,0.3678,
2018-12-13,0.642,94,0.5321,93,0.3255,,0.3335,,0.334,35,0.3073,36,0.3255,,0.305,
2018-12-12,0.6107,93,0.5272,93,0.3242,,0.331,,0.3315,34,0.3061,36,0.314,,0.3301,
2018-12-11,0.5686,92,0.5132,92,0.3591,,0.5878,,0.3304,33,0.308,36,0.3296,,0.3433,
2018-12-10,0.5621,91,0.5009,91,0.348,,0.667,,0.3302,33,0.3071,36,0.348,,0.417,
2018-12-07,0.5655,92,0.502,92,0.4925,,0.5645,,0.3325,34,0.3068,36,0.3922,,0.3845,
2018-12-06,0.4683,85,0.3775,80,0.4747,,0.4626,,0.3263,33,0.2966,33,0.3344,,0.4626,
2018-12-04,0.4565,84,0.3395,70,0.7522,,0.393,,0.3304,33,0.2958,32,0.3127,,0.393,
2018-12-03,0.1649,16,0.2365,22,0.3257,,0.3602,,0.3156,30,0.2899,30,0.3231,,0.3351,
2018-11-30,0.1839,20,0.2346,21,0.2913,,0.3754,,0.3162,30,0.2895,28,0.2913,,0.3499,
2018-11-29,0.2295,34,0.2418,24,0.3137,,0.3359,,0.3162,30,0.2896,28,0.2991,,0.3382,
2018-11-28,0.3083,57,0.2536,31,0.3015,,0.4034,,0.3163,30,0.2892,28,0.2911,,0.3641,
2018-11-27,0.3026,56,0.2426,25,0.3097,,0.311,,0.3156,30,0.2885,28,0.3097,,0.3369,
2018-11-26,0.3364,64,0.2713,40,0.3124,,0.4136,,0.3156,30,0.2883,28,0.2843,,0.3407,
2018-11-23,0.4159,80,0.3324,68,0.315,,0.3122,,0.3168,30,0.2887,28,0.315,,0.332,
2018-11-21,0.4182,80,0.3262,65,0.2996,,0.3244,,0.3185,31,0.2887,28,0.2931,,0.3364,
2018-11-20,0.4292,81,0.3324,68,0.3184,,0.3671,,0.3177,30,0.2889,28,0.3184,,0.3389,
2018-11-14,0.3852,75,0.3127,59,0.5084,,0.3077,,0.3185,31,0.2875,28,0.3454,,0.3077,
2018-11-13,0.3014,55,0.2537,31,0.5136,,0.2745,,0.3139,28,0.2838,28,0.2971,,0.3429,
2018-11-12,0.2979,54,0.2751,42,0.4209,,0.3197,,0.3136,28,0.2837,28,0.3334,,0.3108,
2018-11-09,0.1885,21,0.2562,33,0.2853,,0.3307,,0.3097,28,0.2824,27,0.2853,,0.3307,
2018-11-08,0.2208,32,0.2596,35,0.2974,,0.3333,,0.3099,28,0.2824,27,0.2974,,0.3333,
2018-11-07,0.1905,22,0.2616,36,0.3128,,0.4264,,0.3102,28,0.2823,27,0.2997,,0.3777,
2018-11-06,0.2461,40,0.3121,59,0.3447,,0.3397,,0.3081,28,0.2809,27,0.3447,,0.3558,
2018-11-01,0.3953,76,0.3525,75,0.3288,,0.3202,,0.3098,28,0.2802,27,0.3071,,0.3383,
2018-10-29,0.3809,74,0.3678,79,0.5098,,0.3264,,0.3124,28,0.2825,27,0.3322,,0.3317,
2018-10-26,0.3937,76,0.3143,60,0.3275,,0.4055,,0.3423,38,0.2858,28,0.3275,,0.3641,
2018-10-25,0.3982,77,0.3027,55,0.3332,,0.5099,,0.3453,39,0.2964,33,0.3332,,0.3962,
2018-10-24,0.4726,85,0.3301,67,0.348,,0.3065,,0.3452,39,0.2983,34,0.3599,,0.3295,
2018-10-23,0.3702,71,0.2966,53,0.6697,,0.3605,,0.338,37,0.2955,32,0.3413,,0.3811,
2018-10-22,0.3842,74,0.3204,63,0.2754,,0.3277,,0.3405,38,0.2962,33,0.2754,,0.3277,
2018-10-19,0.347,66,0.3144,60,0.2991,,0.3214,,0.3385,37,0.2964,33,0.2991,,0.3264,
2018-10-18,0.386,75,0.3302,67,0.2961,,0.3239,,0.3392,38,0.2968,33,0.2961,,0.3251,
2018-10-17,0.3618,70,0.322,64,0.283,,0.336,,0.3368,36,0.2988,34,0.283,,0.3324,
