date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2007-01-23,0.1441,42,0.0,1,0.1482,,0.1659,,0.2292,66,0.0,1,0.112,,0.1555,
2006-11-03,0.1076,20,0.0,1,0.115,,0.1554,,0.2742,81,0.0,1,0.1126,,0.1554,
2006-08-18,0.1365,37,0.0,1,0.2318,,0.2625,,0.2157,52,0.0,1,0.1631,,0.2625,
2006-08-17,0.1323,35,0.0,1,0.2137,,0.2606,,0.2173,54,0.0,1,0.1643,,0.2606,
2006-08-16,0.1295,33,0.0,1,0.2108,,0.2726,,0.2561,76,0.0,1,0.1722,,0.2726,
2006-08-15,0.1351,37,0.0,1,0.2326,,0.2968,,0.2562,76,0.0,1,0.182,,0.2968,
2006-08-14,0.1041,17,0.0,1,0.2437,,0.309,,0.2582,77,0.0,1,0.1797,,0.309,
2006-08-11,0.1058,19,0.0,1,0.2406,,0.3139,,0.2589,77,0.0,1,0.1807,,0.3139,
2006-08-10,0.0733,5,0.0,1,0.2316,,0.3172,,0.2582,77,0.0,1,0.1794,,0.3172,
2006-08-09,0.0726,4,0.0,1,0.2374,,0.3159,,0.2582,77,0.0,1,0.182,,0.3159,
2006-08-08,0.0719,4,0.0,1,0.2409,,0.3158,,0.259,77,0.0,1,0.1795,,0.3158,
2006-08-07,0.2323,74,0.0,1,0.2426,,0.3152,,0.259,77,0.0,1,0.1808,,0.3152,
2006-08-04,0.2834,82,0.0,1,0.2674,,0.3157,,0.2593,78,0.0,1,0.176,,0.3157,
2006-08-03,0.2797,82,0.0,1,0.2655,,0.3169,,0.2599,78,0.0,1,0.1786,,0.3169,
2006-08-02,0.2834,82,0.0,1,0.27,,0.3154,,0.2612,78,0.0,1,0.1814,,0.3154,
2006-08-01,0.2734,81,0.0,1,0.2687,,0.3144,,0.2613,78,0.0,1,0.1815,,0.3144,
2006-07-31,0.3068,86,0.0,1,0.2894,,0.3097,,0.2622,78,0.0,1,0.1894,,0.3097,
2006-07-27,0.2934,83,0.0,1,0.2786,,0.2951,,0.2611,78,0.0,1,0.2505,,0.2951,
2006-07-26,0.242,76,0.0,1,0.2502,,0.2845,,0.2568,76,0.0,1,0.2502,,0.2987,
2006-07-25,0.2269,73,0.0,1,0.2536,,0.298,,0.255,76,0.0,1,0.2536,,0.3078,
2006-07-07,0.549,97,0.0,1,0.2804,,0.2874,,0.2593,78,0.0,1,0.2804,,0.2874,
2006-07-05,0.5423,97,0.0,1,0.2864,,0.3011,,0.2589,77,0.0,1,0.2864,,0.3011,
2006-06-30,0.5331,97,0.0,1,0.2816,,0.2952,,0.2572,76,0.0,1,0.2816,,0.2952,
2006-06-21,0.2549,78,0.0,1,0.3355,,0.8495,,0.2286,65,0.0,1,0.3355,,0.4521,
2005-10-21,0.2568,78,0.0,1,0.1588,,0.2187,,0.2061,48,0.0,1,0.0361,,0.1734,
2004-02-11,0.1378,38,0.0,1,0.1663,,0.2347,,0.1724,39,0.0,1,0.1663,,0.2347,
