date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2011-02-16,0.5645,55,0.0,1,0.7283,74,0.611,36,0.6298,51,0.0,1,0.7283,81,0.611,41
2011-02-07,0.6091,61,0.0,1,0.7156,72,0.6575,50,0.6649,61,0.0,1,0.7156,78,0.6575,57
2011-02-04,0.6146,61,0.0,1,0.6694,61,0.6515,48,0.6811,64,0.0,1,0.6694,69,0.6515,56
2011-02-03,0.613,61,0.0,1,0.6862,65,0.6493,48,0.69,65,0.0,1,0.6862,72,0.6493,56
2011-02-02,0.5996,60,0.0,1,0.6143,44,0.6947,57,0.6967,66,0.0,1,0.6143,56,0.6947,63
2011-02-01,0.4932,44,0.0,1,0.7238,74,0.7257,64,0.6962,66,0.0,1,0.7238,81,0.7257,69
2011-01-31,0.3961,28,0.0,1,0.7544,79,0.663,51,0.6937,66,0.0,1,0.7544,87,0.663,59
2011-01-27,0.3967,28,0.0,1,0.6639,60,0.7124,62,0.6915,66,0.0,1,0.6639,68,0.7124,66
2011-01-25,0.4211,32,0.0,1,0.6843,64,0.7019,59,0.696,66,0.0,1,0.6843,72,0.7019,64
2011-01-24,0.4568,38,0.0,1,0.6425,55,0.706,60,0.6954,66,0.0,1,0.6425,63,0.706,65
2011-01-21,0.3757,25,0.0,1,0.708,70,0.679,54,0.6953,66,0.0,1,0.708,77,0.679,61
2011-01-20,0.4844,42,0.0,1,0.7032,69,0.6926,57,0.6986,66,0.0,1,0.7032,76,0.6926,63
2011-01-19,0.5156,47,0.0,1,0.7046,69,0.7002,59,0.701,67,0.0,1,0.7046,76,0.7002,64
2011-01-18,0.5098,46,0.0,1,0.6788,63,0.7237,64,0.7053,68,0.0,1,0.6788,71,0.7237,69
2011-01-14,0.583,57,0.0,1,0.6858,65,0.6999,59,0.7139,69,0.0,1,0.6858,72,0.6999,64
2011-01-13,0.5602,54,0.0,1,0.7378,76,0.6803,54,0.7133,69,0.0,1,0.7378,84,0.6803,61
2011-01-12,0.5092,46,0.0,1,0.6707,61,0.6912,57,0.711,69,0.0,1,0.7178,79,0.6912,63
2011-01-11,0.5103,47,0.0,1,0.6918,66,0.6827,55,0.7112,69,0.0,1,0.6918,73,0.6827,61
2011-01-10,0.259,8,0.0,1,0.6475,56,0.6948,57,0.709,68,0.0,1,0.696,74,0.6948,63
2011-01-07,0.2557,8,0.0,1,0.6408,54,0.7123,62,0.7084,68,0.0,1,0.6768,71,0.7123,66
2011-01-06,0.2997,13,0.0,1,0.6414,54,0.7149,62,0.7083,68,0.0,1,0.6654,68,0.7149,67
2011-01-05,0.2212,5,0.0,1,0.6513,57,0.7179,63,0.7084,68,0.0,1,0.6863,72,0.7179,68
2011-01-04,0.1944,3,0.0,1,0.661,59,0.7345,66,0.713,69,0.0,1,0.7128,77,0.7345,70
