date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
2009-08-06,0.5693,69,0.0,1,0.6306,77,0.7447,83,0.8624,83,0.0,1,0.5937,81,0.6276,81
2009-08-05,0.5679,68,0.0,1,0.6235,77,0.7226,81,0.8626,83,0.0,1,0.5932,81,0.6269,81
2009-08-04,0.6754,76,0.0,1,0.6166,77,0.7022,80,0.8639,83,0.0,1,0.5928,81,0.6261,81
2009-08-03,0.7085,77,0.0,1,0.61,76,0.6836,78,0.8656,83,0.0,1,0.5924,81,0.6253,80
2009-07-31,0.8564,85,0.0,1,0.5914,75,0.6354,77,0.8657,83,0.0,1,0.5904,81,0.6242,80
2009-07-30,0.8523,85,0.0,1,0.6061,76,0.6846,78,0.8669,83,0.0,1,0.5833,80,0.6554,81
2009-07-29,0.7393,79,0.0,1,0.6267,77,0.6409,77,0.8607,82,0.0,1,0.5866,81,0.6394,81
2009-07-28,0.6601,75,0.0,1,0.6296,77,0.6455,77,0.8641,83,0.0,1,0.5857,81,0.6627,82
2009-07-27,0.6534,75,0.0,1,0.6181,77,0.6413,77,0.8667,83,0.0,1,0.6225,82,0.6338,81
2009-07-24,0.4494,55,0.0,1,0.6486,78,0.669,78,0.8668,83,0.0,1,0.6042,82,0.6553,81
2009-07-23,0.4475,54,0.0,1,0.6361,78,0.6789,78,0.8762,84,0.0,1,0.5761,80,0.6963,83
2009-07-22,0.4465,54,0.0,1,0.6549,79,0.6878,79,0.8696,83,0.0,1,0.61,82,0.6755,82
2009-07-21,0.4338,52,0.0,1,0.6371,78,0.6747,78,0.8696,83,0.0,1,0.5946,81,0.6967,83
2009-07-20,0.5531,67,0.0,1,0.6402,78,0.6609,77,0.8727,84,0.0,1,0.6203,82,0.6824,82
2009-07-17,0.5678,68,0.0,1,0.6375,78,0.659,77,0.9031,84,0.0,1,0.6102,82,0.6862,83
2009-07-16,0.5693,69,0.0,1,0.677,79,0.6998,80,0.921,84,0.0,1,0.6058,82,0.7096,84
2009-07-15,0.5002,62,0.0,1,0.6565,79,0.6962,79,0.9158,84,0.0,1,0.639,83,0.6939,83
2009-07-14,0.5082,64,0.0,1,0.718,81,0.7195,81,0.9141,84,0.0,1,0.6698,85,0.6804,82
2009-07-13,0.5836,70,0.0,1,0.6954,80,0.7232,81,0.9213,84,0.0,1,0.6038,81,0.7056,84
2009-07-10,0.6065,73,0.0,1,0.74,83,0.6999,80,0.9292,85,0.0,1,0.6585,84,0.7077,84
